Alaska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
192501,-10.9,-13.1
192502,-3.5,-8.3
192503,10.8,0.0
192504,23.4,0.1
192505,38.5,0.7
192506,48.6,-0.6
192507,51.8,-0.9
192508,50.9,1.4
192509,42.8,2.2
192510,33.0,7.5
192511,15.1,3.4
192512,2.9,-0.8
192601,15.0,12.8
192602,3.1,-1.7
192603,20.6,9.8
192604,28.4,5.1
192605,38.8,1.0
192606,52.4,3.2
192607,53.5,0.8
192608,51.7,2.2
192609,44.3,3.7
192610,30.3,4.8
192611,18.8,7.1
192612,1.2,-2.5
192701,5.5,3.3
192702,7.0,2.2
192703,3.9,-6.9
192704,14.8,-8.5
192705,36.6,-1.2
192706,49.8,0.6
192707,54.1,1.4
192708,49.6,0.1
192709,37.0,-3.6
192710,22.2,-3.3
192711,2.4,-9.3
192712,3.9,0.2
192801,8.0,5.8
192802,13.1,8.3
192803,4.2,-6.6
192804,23.5,0.2
192805,37.2,-0.6
192806,49.0,-0.2
192807,51.5,-1.2
192808,47.9,-1.6
192809,38.2,-2.4
192810,24.8,-0.7
192811,16.4,4.7
192812,9.2,5.5
192901,12.1,9.9
192902,12.4,7.6
192903,3.9,-6.9
192904,21.2,-2.1
192905,37.7,-0.1
192906,50.2,1.0
192907,51.5,-1.2
192908,48.9,-0.6
192909,45.0,4.4
192910,26.5,1.0
192911,18.6,6.9
192912,3.2,-0.5
193001,9.5,7.3
193002,-6.2,-11.0
193003,7.4,-3.4
193004,21.1,-2.2
193005,37.4,-0.4
193006,48.7,-0.5
193007,52.2,-0.5
193008,50.2,0.7
193009,39.5,-1.1
193010,25.8,0.3
193011,7.2,-4.5
193012,11.3,7.6
193101,8.6,6.4
193102,9.7,4.9
193103,10.6,-0.2
193104,22.4,-0.9
193105,35.6,-2.2
193106,48.4,-0.8
193107,51.2,-1.5
193108,49.7,0.2
193109,39.7,-0.9
193110,24.2,-1.3
193111,16.0,4.3
193112,4.6,0.9
193201,-6.4,-8.6
193202,-5.2,-10.0
193203,15.0,4.2
193204,25.1,1.8
193205,36.6,-1.2
193206,47.0,-2.2
193207,51.5,-1.2
193208,47.3,-2.2
193209,38.4,-2.2
193210,27.7,2.2
193211,4.5,-7.2
193212,5.3,1.6
193301,-9.0,-11.2
193302,2.4,-2.4
193303,8.7,-2.1
193304,24.9,1.6
193305,37.4,-0.4
193306,46.0,-3.2
193307,51.7,-1.0
193308,48.9,-0.6
193309,38.6,-2.0
193310,21.8,-3.7
193311,12.4,0.7
193312,-8.1,-11.8
193401,-12.1,-14.3
193402,13.5,8.7
193403,11.8,1.0
193404,26.1,2.8
193405,36.5,-1.3
193406,48.4,-0.8
193407,50.4,-2.3
193408,49.1,-0.4
193409,41.8,1.2
193410,28.9,3.4
193411,12.6,0.9
193412,9.4,5.7
193501,0.8,-1.4
193502,11.0,6.2
193503,11.0,0.2
193504,24.0,0.7
193505,35.1,-2.7
193506,48.8,-0.4
193507,52.8,0.1
193508,47.8,-1.7
193509,40.0,-0.6
193510,26.2,0.7
193511,11.0,-0.7
193512,-0.6,-4.3
193601,5.0,2.8
193602,-0.5,-5.3
193603,7.6,-3.2
193604,24.0,0.7
193605,38.3,0.5
193606,53.3,4.1
193607,52.7,0.0
193608,51.6,2.1
193609,40.4,-0.2
193610,29.3,3.8
193611,14.9,3.2
193612,-0.4,-4.1
193701,15.6,13.4
193702,-0.4,-5.2
193703,7.6,-3.2
193704,19.8,-3.5
193705,36.0,-1.8
193706,50.6,1.4
193707,52.7,0.0
193708,48.2,-1.3
193709,43.4,2.8
193710,31.3,5.8
193711,17.0,5.3
193712,4.2,0.5
193801,-3.5,-5.7
193802,-0.7,-5.5
193803,11.3,0.5
193804,27.4,4.1
193805,37.9,0.1
193806,47.9,-1.3
193807,51.6,-1.1
193808,49.7,0.2
193809,42.6,2.0
193810,33.1,7.6
193811,16.8,5.1
193812,7.7,4.0
193901,-1.7,-3.9
193902,7.0,2.2
193903,6.7,-4.1
193904,24.9,1.6
193905,35.4,-2.4
193906,49.0,-0.2
193907,52.3,-0.4
193908,47.6,-1.9
193909,39.6,-1.0
193910,23.0,-2.5
193911,4.4,-7.3
193912,8.8,5.1
194001,9.2,7.0
194002,9.2,4.4
194003,12.1,1.3
194004,32.9,9.6
194005,40.9,3.1
194006,50.4,1.2
194007,53.4,0.7
194008,50.3,0.8
194009,41.3,0.7
194010,28.1,2.6
194011,15.4,3.7
194012,7.3,3.6
194101,-0.8,-3.0
194102,13.1,8.3
194103,13.1,2.3
194104,27.2,3.9
194105,37.7,-0.1
194106,50.4,1.2
194107,51.0,-1.7
194108,51.9,2.4
194109,40.9,0.3
194110,24.8,-0.7
194111,9.2,-2.5
194112,4.8,1.1
194201,11.4,9.2
194202,16.9,12.1
194203,9.3,-1.5
194204,26.6,3.3
194205,41.1,3.3
194206,50.2,1.0
194207,52.4,-0.3
194208,50.3,0.8
194209,44.0,3.4
194210,27.7,2.2
194211,6.0,-5.7
194212,-9.6,-13.3
194301,-8.4,-10.6
194302,9.7,4.9
194303,11.9,1.1
194304,23.6,0.3
194305,39.4,1.6
194306,51.4,2.2
194307,52.3,-0.4
194308,48.5,-1.0
194309,40.0,-0.6
194310,29.7,4.2
194311,19.0,7.3
194312,8.6,4.9
194401,3.5,1.3
194402,14.2,9.4
194403,10.3,-0.5
194404,21.2,-2.1
194405,38.0,0.2
194406,50.2,1.0
194407,53.6,0.9
194408,49.0,-0.5
194409,40.0,-0.6
194410,29.0,3.5
194411,12.0,0.3
194412,8.8,5.1
194501,14.1,11.9
194502,11.0,6.2
194503,8.7,-2.1
194504,20.4,-2.9
194505,33.8,-4.0
194506,47.0,-2.2
194507,51.9,-0.8
194508,48.0,-1.5
194509,40.2,-0.4
194510,26.0,0.5
194511,2.1,-9.6
194512,4.5,0.8
194601,6.4,4.2
194602,4.0,-0.8
194603,2.7,-8.1
194604,20.3,-3.0
194605,37.8,0.0
194606,50.2,1.0
194607,53.5,0.8
194608,47.8,-1.7
194609,39.3,-1.3
194610,29.9,4.4
194611,8.1,-3.6
194612,-6.4,-10.1
194701,-9.9,-12.1
194702,7.2,2.4
194703,11.7,0.9
194704,23.3,0.0
194705,38.4,0.6
194706,47.7,-1.5
194707,53.4,0.7
194708,47.4,-2.1
194709,38.6,-2.0
194710,24.8,-0.7
194711,17.3,5.6
194712,10.3,6.6
194801,4.0,1.8
194802,2.2,-2.6
194803,8.0,-2.8
194804,22.0,-1.3
194805,36.0,-1.8
194806,48.8,-0.4
194807,50.5,-2.2
194808,46.3,-3.2
194809,37.0,-3.6
194810,24.5,-1.0
194811,4.9,-6.8
194812,-3.9,-7.6
194901,2.8,0.6
194902,-1.8,-6.6
194903,18.7,7.9
194904,17.0,-6.3
194905,33.8,-4.0
194906,44.0,-5.2
194907,51.5,-1.2
194908,49.6,0.1
194909,43.6,3.0
194910,28.1,2.6
194911,19.2,7.5
194912,0.0,-3.7
195001,6.6,4.4
195002,-7.3,-12.1
195003,16.3,5.5
195004,23.5,0.2
195005,37.0,-0.8
195006,48.2,-1.0
195007,53.6,0.9
195008,52.0,2.5
195009,41.7,1.1
195010,26.9,1.4
195011,9.4,-2.3
195012,5.0,1.3
195101,-7.1,-9.3
195102,2.2,-2.6
195103,1.8,-9.0
195104,26.6,3.3
195105,39.7,1.9
195106,48.8,-0.4
195107,53.2,0.5
195108,50.6,1.1
195109,41.2,0.6
195110,24.0,-1.5
195111,17.7,6.0
195112,3.2,-0.5
195201,-4.1,-6.3
195202,3.5,-1.3
195203,9.9,-0.9
195204,19.8,-3.5
195205,32.3,-5.5
195206,47.6,-1.6
195207,51.9,-0.8
195208,48.8,-0.7
195209,38.7,-1.9
195210,29.3,3.8
195211,21.5,9.8
195212,5.8,2.1
195301,-5.0,-7.2
195302,5.8,1.0
195303,7.2,-3.6
195304,27.2,3.9
195305,40.0,2.2
195306,51.6,2.4
195307,54.0,1.3
195308,49.4,-0.1
195309,40.6,0.0
195310,24.3,-1.2
195311,11.9,0.2
195312,5.6,1.9
195401,-3.3,-5.5
195402,-6.2,-11.0
195403,13.2,2.4
195404,21.3,-2.0
195405,39.5,1.7
195406,48.6,-0.6
195407,50.9,-1.8
195408,50.1,0.6
195409,40.6,0.0
195410,29.5,4.0
195411,17.7,6.0
195412,-7.3,-11.0
