Connecticut, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,22.8,-2.6
189502,18.7,-7.6
189503,31.5,-3.9
189504,44.5,-1.5
189505,57.8,1.0
189506,67.5,2.1
189507,66.4,-4.3
189508,68.7,0.1
189509,63.4,1.9
189510,45.0,-6.0
189511,41.2,1.0
189512,31.7,2.5
189601,21.1,-4.3
189602,25.8,-0.5
189603,28.8,-6.6
189604,47.8,1.8
189605,60.2,3.4
189606,63.3,-2.1
189607,70.4,-0.3
189608,69.1,0.5
189609,59.7,-1.8
189610,46.8,-4.2
189611,43.0,2.8
189612,26.0,-3.2
189701,24.5,-0.9
189702,26.3,0.0
189703,35.0,-0.4
189704,46.5,0.5
189705,56.6,-0.2
189706,61.6,-3.8
189707,70.3,-0.4
189708,66.6,-2.0
189709,60.1,-1.4
189710,51.1,0.1
189711,38.5,-1.7
189712,30.3,1.1
189801,25.4,0.0
189802,27.6,1.3
189803,40.5,5.1
189804,43.1,-2.9
189805,54.8,-2.0
189806,65.9,0.5
189807,70.7,0.0
189808,70.3,1.7
189809,63.6,2.1
189810,51.2,0.2
189811,37.6,-2.6
189812,27.8,-1.4
189901,24.6,-0.8
189902,21.9,-4.4
189903,31.4,-4.0
189904,45.8,-0.2
189905,57.0,0.2
189906,67.6,2.2
189907,69.3,-1.4
189908,67.4,-1.2
189909,59.2,-2.3
189910,51.4,0.4
189911,37.9,-2.3
189912,31.1,1.9
190001,26.2,0.8
190002,25.4,-0.9
190003,30.2,-5.2
190004,46.3,0.3
190005,55.6,-1.2
190006,66.0,0.6
190007,71.6,0.9
190008,70.8,2.2
190009,64.7,3.2
190010,54.7,3.7
190011,41.1,0.9
190012,28.7,-0.5
190101,24.4,-1.0
190102,19.6,-6.7
190103,33.2,-2.2
190104,45.2,-0.8
190105,54.8,-2.0
190106,66.2,0.8
190107,72.5,1.8
190108,69.2,0.6
190109,62.1,0.6
190110,50.1,-0.9
190111,33.4,-6.8
190112,28.0,-1.2
190201,23.0,-2.4
190202,23.9,-2.4
190203,40.0,4.6
190204,46.3,0.3
190205,56.0,-0.8
190206,63.2,-2.2
190207,67.2,-3.5
190208,66.1,-2.5
190209,60.8,-0.7
190210,50.8,-0.2
190211,43.6,3.4
190212,25.1,-4.1
190301,25.2,-0.2
190302,27.4,1.1
190303,43.0,7.6
190304,46.3,0.3
190305,58.7,1.9
190306,59.2,-6.2
190307,69.6,-1.1
190308,62.6,-6.0
190309,60.7,-0.8
190310,51.0,0.0
190311,35.6,-4.6
190312,23.3,-5.9
190401,16.9,-8.5
190402,18.6,-7.7
190403,31.7,-3.7
190404,42.9,-3.1
190405,59.3,2.5
190406,63.9,-1.5
190407,69.0,-1.7
190408,66.5,-2.1
190409,60.0,-1.5
190410,47.4,-3.6
190411,34.4,-5.8
190412,21.3,-7.9
190501,21.2,-4.2
190502,17.9,-8.4
190503,33.6,-1.8
190504,45.4,-0.6
190505,56.7,-0.1
190506,63.8,-1.6
190507,71.2,0.5
190508,66.0,-2.6
190509,60.2,-1.3
190510,50.8,-0.2
190511,37.4,-2.8
190512,31.1,1.9
190601,30.6,5.2
190602,25.8,-0.5
190603,28.8,-6.6
190604,45.8,-0.2
190605,57.0,0.2
190606,65.5,0.1
190607,69.6,-1.1
190608,70.5,1.9
190609,63.6,2.1
190610,50.9,-0.1
190611,38.4,-1.8
190612,25.4,-3.8
190701,24.6,-0.8
190702,17.0,-9.3
190703,35.2,-0.2
190704,41.2,-4.8
190705,51.4,-5.4
190706,62.0,-3.4
190707,69.9,-0.8
190708,66.7,-1.9
190709,62.5,1.0
190710,46.0,-5.0
190711,38.9,-1.3
190712,32.0,2.8
190801,26.4,1.0
190802,21.6,-4.7
190803,35.3,-0.1
190804,45.6,-0.4
190805,58.6,1.8
190806,67.2,1.8
190807,72.7,2.0
190808,67.2,-1.4
190809,63.1,1.6
190810,53.4,2.4
190811,38.6,-1.6
190812,29.0,-0.2
190901,27.2,1.8
