Delaware, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,31.1,-2.2
189502,24.2,-10.1
189503,39.5,-3.2
189504,51.1,-0.9
189505,60.7,-1.5
189506,72.2,1.5
189507,71.8,-3.7
189508,75.6,1.8
189509,70.5,3.0
189510,51.1,-5.3
189511,46.2,0.5
189512,38.5,2.3
189601,31.4,-1.9
189602,35.0,0.7
189603,37.1,-5.6
189604,54.3,2.3
189605,66.6,4.4
189606,69.2,-1.5
189607,75.7,0.2
189608,74.5,0.7
189609,66.2,-1.3
189610,52.8,-3.6
189611,50.2,4.5
189612,33.6,-2.6
189701,30.3,-3.0
189702,34.8,0.5
189703,43.8,1.1
189704,51.4,-0.6
189705,60.7,-1.5
189706,67.4,-3.3
189707,74.8,-0.7
189708,72.8,-1.0
189709,67.3,-0.2
189710,57.1,0.7
189711,45.5,-0.2
189712,37.4,1.2
189801,35.6,2.3
189802,34.8,0.5
189803,47.0,4.3
189804,48.8,-3.2
189805,60.8,-1.4
189806,71.2,0.5
189807,77.0,1.5
189808,76.2,2.4
189809,69.7,2.2
189810,57.2,0.8
189811,42.9,-2.8
189812,35.8,-0.4
189901,32.4,-0.9
189902,26.8,-7.5
189903,40.6,-2.1
189904,51.6,-0.4
189905,61.8,-0.4
189906,73.1,2.4
189907,75.8,0.3
189908,73.3,-0.5
189909,65.4,-2.1
189910,57.4,1.0
189911,44.9,-0.8
189912,36.2,0.0
190001,33.9,0.6
190002,33.0,-1.3
190003,37.6,-5.1
190004,51.6,-0.4
190005,62.5,0.3
190006,71.5,0.8
190007,78.1,2.6
190008,78.3,4.5
190009,71.4,3.9
190010,60.5,4.1
190011,48.3,2.6
190012,35.3,-0.9
190101,32.8,-0.5
190102,27.4,-6.9
190103,43.0,0.3
190104,48.7,-3.3
190105,60.2,-2.0
190106,71.0,0.3
190107,79.0,3.5
190108,75.7,1.9
190109,67.4,-0.1
190110,55.4,-1.0
190111,39.6,-6.1
190112,34.0,-2.2
190201,30.2,-3.1
190202,27.9,-6.4
190203,45.1,2.4
190204,50.7,-1.3
190205,62.3,0.1
190206,70.0,-0.7
190207,75.4,-0.1
190208,71.8,-2.0
190209,66.2,-1.3
190210,57.6,1.2
190211,50.8,5.1
190212,34.0,-2.2
190301,31.9,-1.4
190302,35.8,1.5
190303,48.3,5.6
190304,51.6,-0.4
190305,62.8,0.6
190306,65.6,-5.1
190307,74.9,-0.6
190308,71.8,-2.0
190309,66.5,-1.0
190310,56.5,0.1
190311,41.4,-4.3
190312,30.7,-5.5
190401,26.9,-6.4
190402,26.7,-7.6
190403,40.0,-2.7
190404,48.4,-3.6
190405,63.2,1.0
190406,69.4,-1.3
190407,73.4,-2.1
190408,72.3,-1.5
190409,66.8,-0.7
190410,53.0,-3.4
190411,41.8,-3.9
190412,29.1,-7.1
190501,28.5,-4.8
190502,25.1,-9.2
190503,43.2,0.5
190504,51.4,-0.6
190505,63.3,1.1
190506,69.9,-0.8
190507,75.1,-0.4
190508,72.4,-1.4
190509,67.0,-0.5
190510,56.8,0.4
190511,43.7,-2.0
190512,37.3,1.1
190601,38.8,5.5
190602,33.2,-1.1
190603,37.4,-5.3
190604,52.9,0.9
190605,62.7,0.5
190606,71.5,0.8
190607,73.9,-1.6
190608,75.9,2.1
190609,70.5,3.0
190610,56.0,-0.4
190611,44.6,-1.1
190612,36.1,-0.1
190701,35.6,2.3
190702,27.5,-6.8
190703,44.9,2.2
190704,46.2,-5.8
190705,57.2,-5.0
190706,64.4,-6.3
190707,74.9,-0.6
190708,71.8,-2.0
190709,68.5,1.0
190710,51.0,-5.4
190711,43.9,-1.8
190712,38.1,1.9
190801,33.1,-0.2
190802,30.5,-3.8
190803,45.3,2.6
190804,53.5,1.5
190805,63.6,1.4
190806,70.2,-0.5
190807,76.8,1.3
190808,71.3,-2.5
190809,65.4,-2.1
190810,58.0,1.6
190811,44.5,-1.2
190812,36.0,-0.2
190901,35.9,2.6
190902,41.7,7.4
190903,40.2,-2.5
190904,51.9,-0.1
190905,61.7,-0.5
190906,71.0,0.3
190907,72.6,-2.9
190908,71.2,-2.6
190909,65.3,-2.2
190910,51.6,-4.8
190911,47.6,1.9
190912,30.5,-5.7
191001,31.8,-1.5
191002,34.0,-0.3
191003,47.5,4.8
191004,55.2,3.2
191005,60.5,-1.7
191006,67.8,-2.9
191007,75.6,0.1
191008,71.8,-2.0
191009,68.8,1.3
191010,58.1,1.7
191011,40.1,-5.6
191012,28.7,-7.5
191101,36.7,3.4
191102,34.6,0.3
191103,39.3,-3.4
191104,47.9,-4.1
191105,66.4,4.2
191106,70.8,0.1
191107,76.9,1.4
191108,74.2,0.4
191109,68.6,1.1
191110,55.8,-0.6
191111,42.8,-2.9
191112,40.2,4.0
191201,24.6,-8.7
191202,29.6,-4.7
191203,39.4,-3.3
191204,52.8,0.8
191205,62.9,0.7
191206,69.2,-1.5
191207,74.1,-1.4
191208,72.0,-1.8
191209,68.6,1.1
191210,57.9,1.5
191211,45.5,-0.2
191212,38.8,2.6
191301,42.5,9.2
191302,34.0,-0.3
191303,47.3,4.6
191304,53.5,1.5
191305,62.2,0.0
191306,70.0,-0.7
191307,75.8,0.3
191308,72.7,-1.1
191309,66.6,-0.9
191310,57.5,1.1
191311,46.4,0.7
