Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,57.6,-0.1
189502,50.7,-8.7
189503,63.6,-0.4
189504,67.9,-1.4
189505,74.8,-0.3
189506,79.4,-0.1
189507,80.8,-0.2
189508,81.0,-0.1
189509,79.4,0.3
189510,70.4,-1.9
189511,63.6,-0.6
189512,55.4,-3.4
189601,54.1,-3.6
189602,57.1,-2.3
189603,62.1,-1.9
189604,70.3,1.0
189605,76.7,1.6
189606,80.0,0.5
189607,81.3,0.3
189608,82.3,1.2
189609,79.1,0.0
189610,71.1,-1.2
189611,68.7,4.5
189612,56.4,-2.4
189701,53.8,-3.9
189702,62.4,3.0
189703,69.1,5.1
189704,69.0,-0.3
189705,73.3,-1.8
189706,81.9,2.4
189707,81.5,0.5
189708,81.0,-0.1
189709,77.0,-2.1
189710,71.9,-0.4
189711,65.3,1.1
189712,59.0,0.2
189801,59.6,1.9
189802,56.7,-2.7
189803,67.2,3.2
189804,67.4,-1.9
189805,76.0,0.9
189806,81.0,1.5
189807,81.1,0.1
189808,80.4,-0.7
189809,79.8,0.7
189810,70.8,-1.5
189811,64.4,0.2
189812,56.5,-2.3
189901,58.7,1.0
189902,58.5,-0.9
189903,65.4,1.4
189904,67.3,-2.0
189905,78.2,3.1
189906,80.4,0.9
189907,80.6,-0.4
189908,81.9,0.8
189909,78.3,-0.8
189910,73.0,0.7
189911,64.5,0.3
189912,57.6,-1.2
190001,54.9,-2.8
190002,57.9,-1.5
190003,62.6,-1.4
190004,69.1,-0.2
190005,74.9,-0.2
190006,79.3,-0.2
190007,81.7,0.7
190008,82.0,0.9
190009,80.2,1.1
190010,75.4,3.1
190011,63.6,-0.6
190012,57.3,-1.5
190101,56.4,-1.3
190102,55.0,-4.4
190103,61.0,-3.0
190104,64.4,-4.9
190105,74.7,-0.4
190106,79.2,-0.3
190107,81.5,0.5
190108,80.0,-1.1
190109,78.8,-0.3
190110,71.3,-1.0
190111,57.9,-6.3
190112,55.6,-3.2
190201,54.0,-3.7
190202,53.2,-6.2
190203,63.9,-0.1
190204,67.6,-1.7
190205,77.4,2.3
190206,80.4,0.9
190207,81.8,0.8
190208,81.6,0.5
190209,78.7,-0.4
190210,73.3,1.0
190211,67.6,3.4
190212,59.2,0.4
190301,56.5,-1.2
190302,61.8,2.4
190303,68.0,4.0
190304,66.3,-3.0
190305,73.2,-1.9
190306,78.0,-1.5
190307,80.7,-0.3
190308,81.9,0.8
190309,77.4,-1.7
190310,69.9,-2.4
190311,61.8,-2.4
190312,52.2,-6.6
190401,54.4,-3.3
190402,60.5,1.1
190403,66.3,2.3
190404,68.0,-1.3
190405,74.2,-0.9
190406,78.6,-0.9
190407,79.6,-1.4
190408,79.8,-1.3
190409,79.1,0.0
190410,72.6,0.3
190411,61.0,-3.2
190412,57.0,-1.8
190501,51.9,-5.8
190502,57.6,-1.8
190503,66.0,2.0
190504,69.5,0.2
190505,78.1,3.0
190506,80.0,0.5
190507,81.3,0.3
190508,80.7,-0.4
190509,80.3,1.2
190510,72.8,0.5
190511,65.1,0.9
190512,57.3,-1.5
190601,57.5,-0.2
190602,57.7,-1.7
190603,61.4,-2.6
190604,69.2,-0.1
190605,74.5,-0.6
190606,79.9,0.4
190607,80.3,-0.7
190608,80.7,-0.4
190609,80.2,1.1
190610,70.3,-2.0
190611,65.4,1.2
190612,58.6,-0.2
190701,62.5,4.8
190702,59.4,0.0
190703,69.9,5.9
190704,67.0,-2.3
190705,75.5,0.4
190706,78.3,-1.2
190707,80.9,-0.1
190708,80.8,-0.3
190709,79.5,0.4
190710,70.9,-1.4
190711,64.0,-0.2
190712,57.8,-1.0
190801,56.1,-1.6
190802,55.6,-3.8
190803,68.0,4.0
190804,74.7,5.4
190805,75.4,0.3
190806,78.8,-0.7
190807,80.6,-0.4
190808,80.6,-0.5
190809,78.0,-1.1
190810,69.4,-2.9
190811,64.4,0.2
190812,61.9,3.1
190901,61.4,3.7
190902,59.2,-0.2
190903,64.8,0.8
190904,70.4,1.1
190905,74.7,-0.4
190906,80.2,0.7
190907,80.3,-0.7
190908,81.3,0.2
190909,78.3,-0.8
190910,71.1,-1.2
190911,65.9,1.7
190912,54.4,-4.4
191001,55.1,-2.6
191002,57.1,-2.3
191003,63.7,-0.3
191004,67.0,-2.3
191005,74.5,-0.6
191006,77.8,-1.7
191007,79.4,-1.6
191008,80.1,-1.0
191009,78.8,-0.3
191010,72.3,0.0
191011,60.0,-4.2
191012,52.1,-6.7
191101,60.1,2.4
191102,62.0,2.6
191103,64.8,0.8
191104,71.1,1.8
191105,74.0,-1.1
191106,80.5,1.0
191107,79.7,-1.3
191108,80.0,-1.1
191109,80.5,1.4
191110,75.8,3.5
191111,64.8,0.6
191112,61.8,3.0
191201,55.9,-1.8
191202,53.7,-5.7
191203,65.0,1.0
191204,71.9,2.6
191205,76.7,1.6
191206,78.3,-1.2
191207,81.0,0.0
191208,80.8,-0.3
191209,79.8,0.7
191210,74.3,2.0
191211,61.4,-2.8
191212,61.6,2.8
191301,64.1,6.4
191302,60.4,1.0
191303,66.7,2.7
191304,67.1,-2.2
191305,73.5,-1.6
191306,77.8,-1.7
191307,81.1,0.1
191308,80.0,-1.1
191309,77.2,-1.9
