Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,44.9,-1.2
189502,38.5,-10.1
189503,55.0,-0.3
189504,62.6,-0.5
189505,69.4,-1.6
189506,78.0,0.6
189507,78.8,-0.9
189508,79.4,0.4
189509,76.9,2.4
189510,61.5,-2.8
189511,54.1,-0.1
189512,45.2,-1.9
189601,43.9,-2.2
189602,48.4,-0.2
189603,52.8,-2.5
189604,67.6,4.5
189605,76.1,5.1
189606,78.0,0.6
189607,80.6,0.9
189608,81.3,2.3
189609,76.1,1.6
189610,63.5,-0.8
189611,58.7,4.5
189612,46.2,-0.9
189701,42.9,-3.2
189702,51.3,2.7
189703,58.9,3.6
189704,62.8,-0.3
189705,69.6,-1.4
189706,81.2,3.8
189707,80.4,0.7
189708,78.5,-0.5
189709,73.7,-0.8
189710,66.9,2.6
189711,55.6,1.4
189712,48.3,1.2
189801,49.7,3.6
189802,46.0,-2.6
189803,59.9,4.6
189804,59.3,-3.8
189805,74.4,3.4
189806,80.6,3.2
189807,80.0,0.3
189808,78.3,-0.7
189809,75.1,0.6
189810,62.3,-2.0
189811,51.5,-2.7
189812,45.6,-1.5
189901,45.4,-0.7
189902,45.2,-3.4
189903,56.3,1.0
189904,61.5,-1.6
189905,75.3,4.3
189906,80.0,2.6
189907,80.0,0.3
189908,80.7,1.7
189909,73.2,-1.3
189910,65.3,1.0
189911,55.8,1.6
189912,45.1,-2.0
190001,44.1,-2.0
190002,44.9,-3.7
190003,53.0,-2.3
190004,64.6,1.5
190005,70.7,-0.3
190006,76.6,-0.8
190007,80.6,0.9
190008,82.1,3.1
190009,76.9,2.4
190010,68.4,4.1
190011,55.4,1.2
190012,46.7,-0.4
190101,45.4,-0.7
190102,44.1,-4.5
190103,53.2,-2.1
190104,57.3,-5.8
190105,71.9,0.9
190106,77.7,0.3
190107,81.4,1.7
190108,78.2,-0.8
190109,73.1,-1.4
190110,62.8,-1.5
190111,48.6,-5.6
190112,43.1,-4.0
190201,43.4,-2.7
190202,41.8,-6.8
190203,54.2,-1.1
190204,61.5,-1.6
190205,75.5,4.5
190206,79.6,2.2
190207,82.1,2.4
190208,80.3,1.3
190209,73.1,-1.4
190210,64.0,-0.3
190211,58.1,3.9
190212,46.6,-0.5
190301,43.7,-2.4
190302,49.5,0.9
190303,59.9,4.6
190304,60.5,-2.6
190305,70.4,-0.6
190306,74.7,-2.7
190307,80.2,0.5
190308,80.8,1.8
190309,73.0,-1.5
