Idaho, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,28.4,-1.9
189502,33.8,-1.8
189503,41.3,-1.6
189504,57.7,5.0
189505,61.7,-0.3
189506,68.9,-1.6
189507,78.7,-2.4
189508,80.2,0.7
189509,63.6,-5.7
189510,61.0,4.7
189511,40.6,0.1
189512,29.7,-2.0
189601,34.5,4.2
189602,40.4,4.8
189603,41.3,-1.6
189604,48.2,-4.5
189605,54.3,-7.7
189606,73.6,3.1
189607,82.5,1.4
189608,78.9,-0.6
189609,66.6,-2.7
189610,57.0,0.7
189611,34.0,-6.5
189612,36.4,4.7
189701,30.5,0.2
189702,33.2,-2.4
189703,34.1,-8.8
189704,54.2,1.5
189705,70.2,8.2
189706,70.9,0.4
189707,78.3,-2.8
189708,83.7,4.2
189709,68.9,-0.4
189710,55.6,-0.7
189711,40.3,-0.2
189712,30.8,-0.9
189801,27.3,-3.0
189802,39.2,3.6
189803,39.5,-3.4
189804,58.6,5.9
189805,62.9,0.9
189806,72.9,2.4
189807,82.2,1.1
189808,83.6,4.1
189809,70.9,1.6
189810,51.8,-4.5
189811,36.1,-4.4
189812,26.6,-5.1
189901,32.8,2.5
189902,30.2,-5.4
189903,39.4,-3.5
189904,52.1,-0.6
189905,56.4,-5.6
189906,69.9,-0.6
189907,82.7,1.6
189908,72.9,-6.6
189909,72.9,3.6
189910,50.0,-6.3
189911,45.9,5.4
189912,30.2,-1.5
190001,36.4,6.1
190002,35.5,-0.1
190003,50.8,7.9
190004,54.2,1.5
190005,65.3,3.3
190006,78.6,8.1
190007,80.8,-0.3
190008,75.1,-4.4
190009,66.1,-3.2
190010,53.7,-2.6
190011,40.5,0.0
190012,34.6,2.9
190101,32.9,2.6
190102,33.7,-1.9
190103,41.6,-1.3
190104,50.2,-2.5
190105,65.8,3.8
190106,64.8,-5.7
190107,84.2,3.1
190108,82.5,3.0
190109,63.5,-5.8
190110,60.5,4.2
190111,45.7,5.2
190112,33.6,1.9
190201,30.9,0.6
190202,37.8,2.2
190203,39.3,-3.6
190204,50.5,-2.2
190205,61.8,-0.2
190206,71.3,0.8
190207,76.7,-4.4
190208,78.2,-1.3
190209,69.2,-0.1
190210,58.8,2.5
190211,38.6,-1.9
190212,32.2,0.5
190301,31.1,0.8
190302,27.3,-8.3
190303,40.8,-2.1
190304,49.5,-3.2
190305,60.0,-2.0
190306,74.2,3.7
190307,76.6,-4.5
190308,79.9,0.4
190309,65.2,-4.1
190310,57.6,1.3
190311,40.1,-0.4
190312,32.0,0.3
190401,31.0,0.7
190402,35.4,-0.2
190403,37.8,-5.1
190404,54.3,1.6
190405,61.9,-0.1
190406,70.6,0.1
190407,79.0,-2.1
190408,80.9,1.4
190409,72.1,2.8
190410,58.2,1.9
190411,49.1,8.6
190412,33.7,2.0
190501,31.7,1.4
190502,33.8,-1.8
190503,47.2,4.3
190504,55.2,2.5
190505,58.3,-3.7
190506,67.8,-2.7
190507,81.7,0.6
190508,81.0,1.5
190509,70.8,1.5
190510,51.2,-5.1
190511,43.3,2.8
190512,28.7,-3.0
190601,30.6,0.3
190602,34.7,-0.9
190603,38.1,-4.8
190604,56.1,3.4
190605,60.4,-1.6
190606,65.5,-5.0
190607,84.4,3.3
190608,79.0,-0.5
190609,71.5,2.2
190610,58.4,2.1
190611,38.5,-2.0
190612,35.5,3.8
190701,27.0,-3.3
190702,41.5,5.9
190703,41.2,-1.7
190704,51.9,-0.8
190705,62.0,0.0
190706,64.3,-6.2
190707,78.3,-2.8
190708,74.5,-5.0
190709,68.5,-0.8
190710,62.3,6.0
190711,43.3,2.8
190712,32.9,1.2
190801,32.1,1.8
