Illinois, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,28.3,-5.6
189502,28.0,-10.1
189503,48.7,-0.9
189504,65.9,3.2
189505,75.1,1.5
189506,86.5,3.7
189507,84.6,-2.4
189508,86.5,1.6
189509,81.5,3.5
189510,60.6,-5.8
189511,46.6,-3.5
189512,38.6,1.1
189601,36.5,2.6
189602,38.6,0.5
189603,44.0,-5.6
189604,70.0,7.3
189605,80.3,6.7
189606,82.2,-0.6
189607,85.8,-1.2
189608,85.3,0.4
189609,73.9,-4.1
189610,62.5,-3.9
189611,49.4,-0.7
189612,41.7,4.2
189701,31.5,-2.4
189702,37.8,-0.3
189703,48.0,-1.6
189704,59.8,-2.9
189705,71.1,-2.5
189706,82.4,-0.4
189707,87.6,0.6
189708,84.2,-0.7
189709,86.4,8.4
189710,73.6,7.2
189711,49.0,-1.1
189712,33.2,-4.3
189801,37.0,3.1
189802,38.0,-0.1
189803,52.2,2.6
189804,59.8,-2.9
189805,72.3,-1.3
189806,84.0,1.2
189807,86.8,-0.2
189808,83.7,-1.2
189809,79.5,1.5
189810,59.6,-6.8
189811,46.0,-4.1
189812,34.1,-3.4
189901,33.6,-0.3
189902,27.4,-10.7
189903,41.8,-7.8
189904,64.0,1.3
189905,73.9,0.3
189906,84.0,1.2
189907,86.4,-0.6
189908,87.8,2.9
189909,77.2,-0.8
189910,70.3,3.9
189911,54.0,3.9
189912,35.8,-1.7
190001,38.6,4.7
190002,32.3,-5.8
190003,43.3,-6.3
190004,64.0,1.3
190005,76.0,2.4
190006,81.5,-1.3
190007,85.8,-1.2
190008,90.6,5.7
190009,79.6,1.6
190010,72.6,6.2
190011,49.0,-1.1
190012,39.0,1.5
190101,37.4,3.5
190102,30.4,-7.7
190103,47.3,-2.3
190104,60.6,-2.1
190105,73.0,-0.6
190106,86.8,4.0
190107,95.7,8.7
190108,87.3,2.4
190109,79.0,1.0
190110,68.7,2.3
190111,47.9,-2.2
190112,32.0,-5.5
190201,34.4,0.5
190202,29.2,-8.9
190203,50.8,1.2
190204,61.6,-1.1
190205,77.8,4.2
190206,79.3,-3.5
190207,86.5,-0.5
190208,81.6,-3.3
190209,72.6,-5.4
190210,67.3,0.9
190211,55.4,5.3
190212,34.0,-3.5
190301,33.4,-0.5
190302,35.0,-3.1
190303,54.0,4.4
190304,63.2,0.5
190305,75.6,2.0
190306,77.0,-5.8
190307,87.0,0.0
190308,82.6,-2.3
190309,77.4,-0.6
190310,65.4,-1.0
190311,46.1,-4.0
190312,32.4,-5.1
190401,28.0,-5.9
190402,31.0,-7.1
190403,47.7,-1.9
190404,56.6,-6.1
190405,72.8,-0.8
190406,80.1,-2.7
190407,83.8,-3.2
190408,81.9,-3.0
190409,77.4,-0.6
190410,65.8,-0.6
190411,53.1,3.0
190412,37.1,-0.4
190501,27.6,-6.3
190502,27.5,-10.6
190503,55.0,5.4
190504,62.9,0.2
190505,73.9,0.3
190506,84.5,1.7
190507,83.1,-3.9
190508,85.6,0.7
190509,78.8,0.8
190510,64.5,-1.9
190511,51.6,1.5
190512,38.5,1.0
190601,40.1,6.2
190602,37.5,-0.6
190603,37.2,-12.4
190604,66.8,4.1
190605,75.9,2.3
190606,81.4,-1.4
190607,86.1,-0.9
190608,87.1,2.2
190609,81.7,3.7
190610,63.9,-2.5
190611,47.6,-2.5
190612,38.8,1.3
190701,38.1,4.2
190702,37.9,-0.2
190703,56.9,7.3
190704,53.6,-9.1
190705,67.4,-6.2
190706,78.7,-4.1
190707,86.0,-1.0
190708,82.9,-2.0
190709,75.8,-2.2
190710,63.1,-3.3
190711,48.7,-1.4
190712,39.4,1.9
190801,37.2,3.3
190802,35.5,-2.6
190803,53.7,4.1
190804,62.8,0.1
190805,72.5,-1.1
190806,81.0,-1.8
190807,86.2,-0.8
190808,86.0,1.1
190809,83.8,5.8
190810,66.8,0.4
190811,53.0,2.9
190812,41.0,3.5
190901,36.1,2.2
190902,42.4,4.3
190903,47.6,-2.0
190904,60.6,-2.1
190905,70.8,-2.8
190906,82.2,-0.6
190907,83.6,-3.4
190908,89.0,4.1
190909,75.8,-2.2
190910,62.3,-4.1
190911,59.1,9.0
190912,28.1,-9.4
191001,32.8,-1.1
191002,34.3,-3.8
191003,63.6,14.0
191004,64.4,1.7
191005,68.1,-5.5
191006,82.2,-0.6
191007,87.0,0.0
191008,84.4,-0.5
191009,76.8,-1.2
191010,69.4,3.0
191011,46.0,-4.1
191012,34.2,-3.3
191101,37.6,3.7
191102,41.8,3.7
191103,52.5,2.9
191104,59.2,-3.5
191105,80.7,7.1
191106,88.2,5.4
191107,88.7,1.7
191108,84.3,-0.6
191109,79.1,1.1
191110,62.6,-3.8
191111,43.6,-6.5
191112,40.8,3.3
191201,21.2,-12.7
191202,29.9,-8.2
191203,38.7,-10.9
191204,63.9,1.2
191205,75.7,2.1
191206,79.8,-3.0
191207,86.2,-0.8
191208,82.4,-2.5
191209,78.6,0.6
191210,68.1,1.7
191211,51.2,1.1
191212,42.3,4.8
191301,38.2,4.3
191302,34.6,-3.5
191303,46.9,-2.7
191304,62.9,0.2
191305,74.4,0.8
191306,86.9,4.1
191307,90.4,3.4
191308,90.5,5.6
191309,78.1,0.1
191310,62.6,-3.8
191311,55.2,5.1
191312,42.0,4.5
191401,40.1,6.2
191402,30.1,-8.0
191403,46.6,-3.0
191404,62.4,-0.3
191405,77.4,3.8
191406,87.5,4.7
191407,92.2,5.2
191408,87.6,2.7
191409,77.2,-0.8
191410,67.6,1.2
191411,54.8,4.7
191412,30.0,-7.5
191501,30.6,-3.3
191502,42.0,3.9
191503,42.5,-7.1
191504,70.5,7.8
191505,69.9,-3.7
191506,79.1,-3.7
191507,82.3,-4.7
191508,76.8,-8.1
191509,78.2,0.2
191510,68.1,1.7
191511,54.9,4.8
191512,35.4,-2.1
191601,38.2,4.3
191602,34.4,-3.7
191603,48.0,-1.6
191604,60.5,-2.2
191605,73.8,0.2
191606,77.0,-5.8
191607,93.8,6.8
191608,88.4,3.5
191609,76.8,-1.2
191610,66.7,0.3
191611,53.0,2.9
191612,36.3,-1.2
191701,36.2,2.3
191702,34.1,-4.0
191703,51.2,1.6
191704,59.3,-3.4
191705,67.4,-6.2
191706,78.8,-4.0
191707,86.5,-0.5
191708,83.3,-1.6
191709,76.8,-1.2
191710,56.5,-9.9
191711,51.6,1.5
191712,29.3,-8.2
191801,20.1,-13.8
191802,40.1,2.0
191803,59.5,9.9
191804,56.9,-5.8
191805,77.8,4.2
191806,83.7,0.9
191807,85.6,-1.4
191808,89.8,4.9
191809,70.8,-7.2
191810,67.7,1.3
191811,49.6,-0.5
191812,45.0,7.5
191901,39.5,5.6
191902,40.1,2.0
191903,52.1,2.5
191904,63.2,0.5
191905,69.7,-3.9
191906,85.0,2.2
191907,91.1,4.1
191908,85.0,0.1
191909,81.7,3.7
191910,67.5,1.1
191911,47.4,-2.7
191912,30.9,-6.6
192001,28.6,-5.3
192002,36.3,-1.8
192003,51.1,1.5
192004,55.9,-6.8
192005,71.4,-2.2
192006,83.4,0.6
192007,86.4,-0.6
192008,83.7,-1.2
192009,80.4,2.4
192010,71.6,5.2
192011,47.1,-3.0
192012,39.1,1.6
