Indiana, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,30.3,-4.8
189502,28.4,-10.1
189503,47.5,-2.0
189504,65.0,3.0
189505,75.6,2.4
189506,87.0,4.9
189507,84.9,-1.2
189508,87.3,3.2
189509,81.8,3.8
189510,59.5,-6.5
189511,49.0,-1.6
189512,40.6,2.2
189601,35.1,0.0
189602,39.0,0.5
189603,42.7,-6.8
189604,69.6,7.6
189605,80.6,7.4
189606,81.7,-0.4
189607,85.1,-1.0
189608,83.9,-0.2
189609,73.8,-4.2
189610,61.4,-4.6
189611,52.3,1.7
189612,41.7,3.3
189701,31.8,-3.3
189702,38.7,0.2
189703,50.8,1.3
189704,59.7,-2.3
189705,69.6,-3.6
189706,81.1,-1.0
189707,87.4,1.3
189708,83.0,-1.1
189709,84.8,6.8
189710,72.2,6.2
189711,50.6,0.0
189712,36.9,-1.5
189801,38.8,3.7
189802,39.1,0.6
189803,54.0,4.5
189804,59.5,-2.5
189805,72.7,-0.5
189806,84.9,2.8
189807,87.8,1.7
189808,83.9,-0.2
189809,80.0,2.0
189810,61.7,-4.3
189811,46.4,-4.2
189812,35.5,-2.9
189901,35.2,0.1
189902,29.1,-9.4
189903,44.3,-5.2
189904,64.4,2.4
189905,74.1,0.9
189906,85.0,2.9
189907,86.9,0.8
189908,87.3,3.2
189909,77.8,-0.2
189910,69.8,3.8
189911,53.0,2.4
189912,37.1,-1.3
190001,38.6,3.5
190002,34.2,-4.3
190003,43.0,-6.5
190004,63.1,1.1
190005,76.9,3.7
190006,81.1,-1.0
190007,85.7,-0.4
190008,89.0,4.9
190009,80.9,2.9
190010,72.6,6.6
190011,49.9,-0.7
190012,39.6,1.2
190101,37.1,2.0
190102,30.7,-7.8
190103,48.5,-1.0
190104,58.4,-3.6
190105,71.3,-1.9
190106,84.4,2.3
190107,93.7,7.6
190108,86.1,2.0
190109,78.4,0.4
190110,67.6,1.6
190111,47.0,-3.6
190112,33.7,-4.7
190201,35.4,0.3
190202,30.0,-8.5
190203,51.8,2.3
190204,61.2,-0.8
190205,77.9,4.7
190206,80.0,-2.1
190207,86.7,0.6
190208,82.0,-2.1
190209,74.3,-3.7
190210,66.5,0.5
190211,56.8,6.2
190212,36.1,-2.3
190301,34.0,-1.1
190302,36.9,-1.6
190303,55.3,5.8
190304,61.8,-0.2
190305,77.2,4.0
190306,76.6,-5.5
190307,86.6,0.5
190308,82.6,-1.5
