Iowa, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,22.3,-4.9
189502,26.2,-6.2
189503,46.5,1.7
189504,66.7,6.9
189505,73.9,2.2
189506,81.9,1.3
189507,85.1,-0.4
189508,84.9,1.9
189509,79.4,4.5
189510,58.6,-4.8
189511,42.1,-3.3
189512,32.0,0.6
189601,31.3,4.1
189602,36.1,3.7
189603,40.3,-4.5
189604,65.7,5.9
189605,76.6,4.9
189606,82.0,1.4
189607,84.4,-1.1
189608,82.7,-0.3
189609,68.5,-6.4
189610,59.4,-4.0
189611,37.2,-8.2
189612,36.9,5.5
189701,23.6,-3.6
189702,31.7,-0.7
189703,39.3,-5.5
189704,57.1,-2.7
189705,71.1,-0.6
189706,79.9,-0.7
189707,87.2,1.7
189708,80.3,-2.7
189709,84.3,9.4
189710,68.6,5.2
189711,44.4,-1.0
189712,24.8,-6.6
189801,30.5,3.3
189802,32.1,-0.3
189803,47.6,2.8
189804,59.4,-0.4
189805,70.0,-1.7
189806,81.5,0.9
189807,85.9,0.4
189808,83.5,0.5
189809,77.0,2.1
189810,56.2,-7.2
189811,41.8,-3.6
189812,26.1,-5.3
189901,28.5,1.3
189902,21.9,-10.5
189903,32.2,-12.6
189904,60.4,0.6
189905,71.1,-0.6
189906,81.3,0.7
189907,84.7,-0.8
189908,85.4,2.4
189909,75.1,0.2
189910,69.0,5.6
189911,53.4,8.0
189912,30.0,-1.4
190001,33.6,6.4
190002,24.6,-7.8
190003,40.1,-4.7
190004,64.0,4.2
190005,75.3,3.6
190006,81.8,1.2
190007,84.8,-0.7
190008,88.4,5.4
190009,75.3,0.4
190010,70.2,6.8
190011,41.1,-4.3
190012,34.0,2.6
190101,31.5,4.3
190102,26.6,-5.8
190103,43.0,-1.8
190104,61.1,1.3
190105,72.9,1.2
190106,84.4,3.8
190107,96.3,10.8
190108,87.4,4.4
190109,74.4,-0.5
190110,65.2,1.8
190111,45.6,0.2
190112,26.8,-4.6
190201,30.8,3.6
190202,26.3,-6.1
190203,47.7,2.9
190204,60.8,1.0
190205,74.7,3.0
190206,75.2,-5.4
190207,83.2,-2.3
190208,78.4,-4.6
190209,69.3,-5.6
190210,64.2,0.8
190211,48.4,3.0
190212,26.6,-4.8
190301,29.9,2.7
190302,28.8,-3.6
190303,47.7,2.9
190304,60.8,1.0
190305,71.6,-0.1
190306,75.3,-5.3
190307,83.6,-1.9
190308,78.8,-4.2
190309,71.4,-3.5
190310,63.4,0.0
190311,42.3,-3.1
190312,28.8,-2.6
190401,21.9,-5.3
190402,24.2,-8.2
190403,43.1,-1.7
190404,54.8,-5.0
190405,71.4,-0.3
190406,78.1,-2.5
190407,81.4,-4.1
190408,80.6,-2.4
190409,74.6,-0.3
190410,63.2,-0.2
190411,51.6,6.2
190412,31.5,0.1
190501,19.2,-8.0
190502,22.8,-9.6
190503,50.5,5.7
190504,58.7,-1.1
190505,69.7,-2.0
190506,80.8,0.2
190507,80.9,-4.6
190508,85.1,2.1
190509,76.0,1.1
190510,59.1,-4.3
190511,47.7,2.3
190512,35.4,4.0
190601,33.2,6.0
190602,33.4,1.0
190603,34.0,-10.8
190604,63.9,4.1
190605,72.8,1.1
190606,79.8,-0.8
190607,83.2,-2.3
190608,84.7,1.7
190609,78.0,3.1
190610,61.3,-2.1
190611,41.8,-3.6
190612,32.9,1.5
190701,25.5,-1.7
190702,33.8,1.4
190703,50.2,5.4
190704,52.3,-7.5
190705,65.3,-6.4
190706,76.9,-3.7
190707,84.2,-1.3
190708,81.5,-1.5
190709,73.3,-1.6
190710,61.7,-1.7
190711,45.3,-0.1
190712,35.5,4.1
190801,33.8,6.6
190802,31.7,-0.7
190803,47.3,2.5
190804,61.8,2.0
190805,70.0,-1.7
190806,76.9,-3.7
190807,84.2,-1.3
190808,81.1,-1.9
190809,80.3,5.4
190810,61.1,-2.3
190811,48.5,3.1
190812,35.0,3.6
190901,28.4,1.2
190902,34.6,2.2
190903,40.1,-4.7
190904,53.8,-6.0
190905,69.4,-2.3
190906,79.2,-1.4
190907,82.1,-3.4
190908,87.6,4.6
190909,72.8,-2.1
190910,60.0,-3.4
190911,50.9,5.5
190912,20.8,-10.6
191001,25.0,-2.2
191002,27.3,-5.1
191003,61.5,16.7
191004,65.3,5.5
191005,67.0,-4.7
191006,82.3,1.7
191007,87.8,2.3
191008,83.5,0.5
191009,73.7,-1.2
191010,67.2,3.8
191011,41.5,-3.9
191012,30.9,-0.5
191101,28.9,1.7
191102,34.8,2.4
191103,51.0,6.2
191104,56.9,-2.9
191105,77.2,5.5
191106,88.5,7.9
191107,89.0,3.5
191108,83.4,0.4
191109,76.3,1.4
191110,57.1,-6.3
191111,38.1,-7.3
191112,34.3,2.9
191201,11.5,-15.7
191202,25.8,-6.6
191203,33.6,-11.2
191204,60.5,0.7
191205,74.3,2.6
191206,78.2,-2.4
191207,86.3,0.8
191208,81.6,-1.4
191209,72.1,-2.8
191210,63.5,0.1
191211,50.0,4.6
191212,38.5,7.1
191301,30.2,3.0
191302,29.9,-2.5
191303,42.1,-2.7
