Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,34.4,-5.7
189502,35.5,-10.5
189503,56.1,1.0
189504,73.4,6.8
189505,80.2,4.4
189506,84.6,-1.3
189507,86.4,-5.4
189508,87.8,-2.4
189509,86.6,4.7
189510,66.0,-4.1
189511,51.6,-2.9
189512,42.8,0.1
189601,44.0,3.9
189602,50.2,4.2
189603,50.5,-4.6
189604,73.2,6.6
189605,81.0,5.2
189606,87.7,1.8
189607,90.0,-1.8
189608,91.6,1.4
189609,78.3,-3.6
189610,67.0,-3.1
189611,48.4,-6.1
189612,51.1,8.4
189701,37.5,-2.6
189702,42.5,-3.5
189703,54.1,-1.0
189704,65.7,-0.9
189705,76.7,0.9
189706,87.4,1.5
189707,93.1,1.3
189708,88.4,-1.8
189709,87.8,5.9
189710,73.7,3.6
189711,55.1,0.6
189712,38.4,-4.3
189801,40.5,0.4
189802,48.9,2.9
189803,55.0,-0.1
189804,65.6,-1.0
189805,73.3,-2.5
189806,85.2,-0.7
189807,89.8,-2.0
189808,90.7,0.5
189809,82.1,0.2
189810,64.8,-5.3
189811,50.2,-4.3
189812,36.5,-6.2
189901,40.0,-0.1
189902,30.5,-15.5
189903,48.9,-6.2
189904,66.6,0.0
189905,79.6,3.8
189906,85.0,-0.9
189907,87.6,-4.2
189908,93.6,3.4
189909,83.4,1.5
189910,74.3,4.2
189911,58.5,4.0
189912,39.6,-3.1
190001,45.8,5.7
190002,39.4,-6.6
190003,54.4,-0.7
190004,65.8,-0.8
190005,76.9,1.1
190006,87.8,1.9
190007,90.4,-1.4
190008,93.5,3.3
190009,81.4,-0.5
190010,72.8,2.7
190011,53.0,-1.5
190012,46.6,3.9
190101,43.6,3.5
190102,38.0,-8.0
190103,54.6,-0.5
190104,63.9,-2.7
190105,76.5,0.7
190106,90.8,4.9
190107,100.0,8.2
190108,92.2,2.0
190109,80.9,-1.0
