Kentucky, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,37.3,-5.7
189502,34.7,-12.0
189503,53.9,-2.5
189504,68.3,0.9
189505,75.3,-1.4
189506,87.3,3.0
189507,84.6,-3.1
189508,87.2,0.9
189509,84.5,3.6
189510,64.7,-5.2
189511,55.8,-0.5
189512,46.2,0.7
189601,41.8,-1.2
189602,45.5,-1.2
189603,48.7,-7.7
189604,74.6,7.2
189605,83.1,6.4
189606,82.9,-1.4
189607,86.3,-1.4
189608,87.2,0.9
189609,79.3,-1.6
189610,66.6,-3.3
189611,58.8,2.5
189612,47.8,2.3
189701,39.5,-3.5
189702,47.2,0.5
189703,58.3,1.9
189704,65.7,-1.7
189705,73.0,-3.7
189706,84.9,0.6
189707,87.8,0.1
189708,86.0,-0.3
189709,86.8,5.9
189710,76.7,6.8
189711,57.8,1.5
189712,45.0,-0.5
189801,47.0,4.0
189802,46.4,-0.3
189803,59.4,3.0
189804,62.7,-4.7
189805,78.9,2.2
189806,87.4,3.1
189807,88.0,0.3
189808,87.2,0.9
189809,83.6,2.7
189810,66.2,-3.7
189811,52.1,-4.2
189812,42.8,-2.7
189901,42.1,-0.9
189902,35.4,-11.3
189903,54.0,-2.4
189904,67.2,-0.2
189905,78.8,2.1
189906,87.0,2.7
189907,89.1,1.4
189908,89.0,2.7
189909,81.0,0.1
189910,72.9,3.0
189911,58.8,2.5
189912,42.7,-2.8
190001,45.1,2.1
190002,42.3,-4.4
190003,52.1,-4.3
190004,68.0,0.6
190005,78.9,2.2
190006,83.3,-1.0
190007,88.4,0.7
190008,91.6,5.3
190009,85.0,4.1
190010,75.2,5.3
190011,56.6,0.3
190012,46.8,1.3
190101,44.9,1.9
190102,41.3,-5.4
190103,57.2,0.8
190104,61.5,-5.9
190105,76.1,-0.6
190106,87.2,2.9
190107,94.3,6.6
190108,85.2,-1.1
190109,79.2,-1.7
190110,70.9,1.0
190111,52.0,-4.3
190112,40.7,-4.8
190201,41.8,-1.2
190202,35.1,-11.6
190203,56.3,-0.1
190204,65.1,-2.3
190205,81.8,5.1
190206,84.4,0.1
190207,90.2,2.5
190208,87.3,1.0
190209,78.8,-2.1
190210,71.6,1.7
190211,62.8,6.5
190212,43.0,-2.5
190301,41.9,-1.1
190302,46.7,0.0
190303,61.3,4.9
190304,66.4,-1.0
190305,80.5,3.8
190306,78.9,-5.4
190307,88.5,0.8
190308,86.4,0.1
190309,83.2,2.3
190310,69.8,-0.1
190311,52.1,-4.2
190312,39.4,-6.1
190401,40.2,-2.8
190402,43.6,-3.1
190403,57.1,0.7
190404,61.2,-6.2
190405,76.8,0.1
190406,83.8,-0.5
190407,86.4,-1.3
190408,86.7,0.4
190409,82.2,1.3
