Louisiana, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,57.3,-2.3
189502,50.6,-12.4
189503,70.6,0.6
189504,77.6,0.4
189505,82.7,-1.4
189506,89.1,-1.0
189507,91.1,-0.8
189508,90.6,-1.3
189509,90.6,2.6
189510,77.4,-2.3
189511,67.6,-1.3
189512,61.2,-0.1
189601,56.8,-2.8
189602,62.9,-0.1
189603,68.4,-1.6
189604,80.1,2.9
189605,88.4,4.3
189606,91.2,1.1
189607,94.6,2.7
189608,94.7,2.8
189609,88.8,0.8
189610,78.2,-1.5
189611,70.7,1.8
189612,62.1,0.8
189701,55.4,-4.2
189702,63.5,0.5
189703,74.6,4.6
189704,76.9,-0.3
189705,83.8,-0.3
189706,91.7,1.6
189707,93.7,1.8
189708,91.7,-0.2
189709,89.4,1.4
189710,83.7,4.0
189711,69.9,1.0
189712,59.4,-1.9
189801,62.9,3.3
189802,64.6,1.6
189803,70.8,0.8
189804,74.1,-3.1
189805,86.2,2.1
189806,89.7,-0.4
189807,90.4,-1.5
189808,90.1,-1.8
189809,87.0,-1.0
189810,76.4,-3.3
189811,63.1,-5.8
189812,57.0,-4.3
189901,58.4,-1.2
189902,52.9,-10.1
189903,71.4,1.4
189904,74.5,-2.7
189905,89.0,4.9
189906,90.7,0.6
189907,93.3,1.4
189908,94.1,2.2
189909,87.6,-0.4
189910,81.5,1.8
189911,70.4,1.5
189912,59.5,-1.8
190001,58.1,-1.5
190002,59.6,-3.4
190003,67.7,-2.3
190004,77.1,-0.1
190005,84.2,0.1
190006,88.4,-1.7
190007,89.2,-2.7
190008,90.9,-1.0
190009,91.5,3.5
190010,81.0,1.3
190011,70.3,1.4
190012,61.4,0.1
190101,62.6,3.0
190102,58.3,-4.7
190103,69.8,-0.2
190104,75.0,-2.2
190105,84.6,0.5
190106,92.9,2.8
190107,93.6,1.7
190108,91.7,-0.2
190109,85.9,-2.1
190110,79.9,0.2
190111,68.3,-0.6
190112,59.5,-1.8
190201,58.2,-1.4
190202,56.2,-6.8
190203,70.3,0.3
190204,78.2,1.0
190205,86.6,2.5
190206,93.4,3.3
190207,92.4,0.5
190208,94.6,2.7
190209,86.0,-2.0
190210,78.5,-1.2
190211,71.5,2.6
190212,59.7,-1.6
190301,56.9,-2.7
190302,60.9,-2.1
190303,69.6,-0.4
190304,76.6,-0.6
190305,81.6,-2.5
190306,85.8,-4.3
190307,90.4,-1.5
190308,91.0,-0.9
190309,87.1,-0.9
190310,78.9,-0.8
190311,67.6,-1.3
190312,59.1,-2.2
190401,58.1,-1.5
190402,66.3,3.3
190403,74.6,4.6
190404,75.8,-1.4
190405,83.6,-0.5
190406,90.5,0.4
190407,89.5,-2.4
190408,89.7,-2.2
190409,90.0,2.0
190410,82.1,2.4
190411,68.9,0.0
190412,60.7,-0.6
190501,53.9,-5.7
190502,51.2,-11.8
190503,73.2,3.2
190504,76.6,-0.6
190505,86.0,1.9
190506,90.7,0.6
190507,89.2,-2.7
190508,91.7,-0.2
190509,89.0,1.0
190510,77.3,-2.4
190511,70.4,1.5
190512,54.8,-6.5
190601,60.0,0.4
190602,60.1,-2.9
190603,65.5,-4.5
190604,77.5,0.3
190605,84.6,0.5
190606,92.4,2.3
190607,90.1,-1.8
190608,92.2,0.3
190609,89.4,1.4
190610,74.3,-5.4
190611,71.7,2.8
190612,65.2,3.9
190701,69.0,9.4
190702,66.4,3.4
190703,79.1,9.1
190704,73.7,-3.5
190705,79.8,-4.3
190706,89.4,-0.7
190707,92.7,0.8
190708,92.7,0.8
190709,89.2,1.2
190710,78.9,-0.8
190711,65.6,-3.3
190712,61.8,0.5
190801,60.0,0.4
190802,62.0,-1.0
190803,76.6,6.6
190804,81.8,4.6
190805,83.7,-0.4
190806,90.5,0.4
190807,90.5,-1.4
190808,90.8,-1.1
190809,86.3,-1.7
190810,77.1,-2.6
190811,71.4,2.5
190812,65.1,3.8
190901,63.8,4.2
190902,65.8,2.8
190903,71.7,1.7
190904,76.6,-0.6
190905,82.9,-1.2
190906,89.5,-0.6
190907,93.2,1.3
190908,92.8,0.9
190909,89.3,1.3
190910,82.0,2.3
190911,76.8,7.9
190912,55.7,-5.6
191001,62.8,3.2
191002,59.8,-3.2
191003,77.0,7.0
191004,77.3,0.1
191005,83.0,-1.1
191006,88.0,-2.1
191007,90.1,-1.8
191008,92.4,0.5
191009,91.0,3.0
191010,80.6,0.9
191011,70.4,1.5
191012,60.1,-1.2
191101,66.8,7.2
191102,69.5,6.5
191103,75.2,5.2
191104,78.2,1.0
191105,86.1,2.0
191106,94.3,4.2
191107,88.5,-3.4
191108,90.6,-1.3
191109,92.5,4.5
191110,80.7,1.0
191111,66.3,-2.6
191112,61.1,-0.2
191201,55.6,-4.0
191202,58.9,-4.1
191203,65.6,-4.4
191204,77.5,0.3
191205,84.8,0.7
191206,86.6,-3.5
191207,91.9,0.0
191208,91.0,-0.9
191209,89.8,1.8
191210,81.1,1.4
191211,68.5,-0.4
191212,58.5,-2.8
191301,64.2,4.6
191302,60.1,-2.9
191303,68.2,-1.8
191304,76.2,-1.0
191305,83.5,-0.6
191306,89.0,-1.1
191307,91.1,-0.8
191308,91.6,-0.3
191309,83.7,-4.3
191310,74.7,-5.0
191311,73.1,4.2
191312,58.6,-2.7
191401,64.2,4.6
191402,60.4,-2.6
191403,66.0,-4.0
191404,76.3,-0.9
191405,83.8,-0.3
191406,94.3,4.2
191407,93.2,1.3
191408,89.8,-2.1
191409,87.6,-0.4
191410,77.9,-1.8
191411,67.4,-1.5
191412,53.5,-7.8
191501,57.2,-2.4
191502,62.1,-0.9
191503,60.7,-9.3
191504,78.3,1.1
191505,85.7,1.6
191506,92.3,2.2
191507,92.3,0.4
191508,89.2,-2.7
191509,89.4,1.4
191510,81.0,1.3
191511,72.8,3.9
191512,62.5,1.2
191601,65.5,5.9
191602,64.4,1.4
191603,73.1,3.1
191604,75.2,-2.0
191605,85.3,1.2
191606,89.8,-0.3
191607,91.1,-0.8
191608,91.9,0.0
191609,87.9,-0.1
191610,80.4,0.7
191611,70.8,1.9
191612,63.7,2.4
191701,62.4,2.8
191702,65.8,2.8
191703,71.7,1.7
191704,75.9,-1.3
191705,80.6,-3.5
191706,91.7,1.6
191707,93.3,1.4
191708,91.4,-0.5
191709,86.1,-1.9
191710,77.6,-2.1
191711,68.4,-0.5
191712,56.5,-4.8
191801,53.4,-6.2
191802,68.1,5.1
191803,76.0,6.0
191804,75.4,-1.8
191805,85.6,1.5
191806,93.2,3.1
191807,94.5,2.6
191808,92.3,0.4
191809,85.2,-2.8
191810,79.4,-0.3
191811,65.7,-3.2
191812,63.3,2.0
191901,56.9,-2.7
191902,61.9,-1.1
191903,71.6,1.6
191904,76.9,-0.3
191905,81.3,-2.8
191906,87.2,-2.9
191907,91.5,-0.4
191908,92.1,0.2
191909,87.5,-0.5
191910,83.1,3.4
191911,70.8,1.9
191912,62.5,1.2
192001,58.7,-0.9
192002,62.3,-0.7
192003,67.3,-2.7
192004,76.0,-1.2
192005,85.8,1.7
192006,88.3,-1.8
192007,90.7,-1.2
192008,89.6,-2.3
192009,89.7,1.7
192010,78.7,-1.0
192011,64.6,-4.3
192012,59.4,-1.9
192101,65.4,5.8
192102,66.8,3.8
192103,77.8,7.8
192104,75.5,-1.7
192105,84.7,0.6
192106,89.9,-0.2
192107,92.2,0.3
192108,93.7,1.8
192109,91.9,3.9
192110,80.5,0.8
192111,74.9,6.0
192112,67.3,6.0
192201,56.7,-2.9
192202,66.6,3.6
192203,69.2,-0.8
192204,79.1,1.9
192205,84.3,0.2
192206,89.9,-0.2
192207,91.0,-0.9
192208,91.0,-0.9
192209,88.7,0.7
192210,79.9,0.2
192211,71.2,2.3
192212,67.6,6.3
192301,67.2,7.6
192302,62.1,-0.9
192303,67.8,-2.2
192304,76.8,-0.4
192305,82.3,-1.8
192306,88.4,-1.7
192307,89.7,-2.2
192308,90.8,-1.1
192309,86.9,-1.1
192310,76.9,-2.8
192311,65.9,-3.0
192312,64.5,3.2
192401,56.1,-3.5
192402,61.0,-2.0
192403,65.2,-4.8
192404,76.8,-0.4
192405,81.1,-3.0
192406,91.8,1.7
192407,94.4,2.5
192408,96.6,4.7
192409,88.7,0.7
192410,82.5,2.8
192411,73.4,4.5
192412,60.2,-1.1
192501,59.5,-0.1
192502,68.7,5.7
192503,73.5,3.5
192504,82.1,4.9
192505,85.0,0.9
192506,91.9,1.8
192507,93.2,1.3
192508,93.3,1.4
192509,92.5,4.5
192510,77.3,-2.4
192511,66.7,-2.2
192512,58.0,-3.3
192601,56.8,-2.8
192602,66.7,3.7
192603,63.9,-6.1
192604,74.1,-3.1
192605,83.2,-0.9
192606,90.5,0.4
192607,91.5,-0.4
192608,91.7,-0.2
192609,90.7,2.7
192610,81.9,2.2
192611,64.6,-4.3
192612,65.1,3.8
192701,64.6,5.0
192702,70.5,7.5
192703,69.9,-0.1
192704,79.9,2.7
192705,84.9,0.8
192706,88.6,-1.5
192707,92.5,0.6
192708,91.6,-0.3
192709,89.8,1.8
192710,83.1,3.4
192711,75.5,6.6
192712,59.2,-2.1
192801,60.1,0.5
192802,61.7,-1.3
192803,71.3,1.3
192804,72.9,-4.3
192805,83.9,-0.2
192806,87.2,-2.9
192807,91.4,-0.5
192808,93.1,1.2
192809,85.6,-2.4
192810,82.7,3.0
192811,67.7,-1.2
192812,61.1,-0.2
192901,62.2,2.6
192902,57.4,-5.6
192903,72.6,2.6
192904,79.7,2.5
192905,83.2,-0.9
192906,90.0,-0.1
192907,91.1,-0.8
192908,93.2,1.3
192909,88.1,0.1
192910,79.7,0.0
192911,61.7,-7.2
192912,60.0,-1.3
193001,57.2,-2.4
193002,68.6,5.6
193003,65.7,-4.3
193004,81.2,4.0
193005,83.3,-0.8
193006,91.3,1.2
193007,95.3,3.4
193008,93.1,1.2
193009,87.2,-0.8
193010,77.0,-2.7
193011,66.7,-2.2
