Maine, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,23.6,0.0
189502,23.6,-2.5
189503,32.5,-3.6
189504,49.4,1.0
189505,66.0,3.7
189506,74.9,3.4
189507,75.3,-1.2
189508,72.5,-1.8
189509,69.0,3.1
189510,50.5,-3.8
189511,41.9,1.8
189512,30.4,2.9
189601,20.6,-3.0
189602,24.5,-1.6
189603,32.0,-4.1
189604,50.0,1.6
189605,64.7,2.4
189606,71.6,0.1
189607,76.1,-0.4
189608,72.7,-1.6
189609,62.9,-3.0
189610,49.8,-4.5
189611,39.5,-0.6
189612,24.2,-3.3
189701,23.7,0.1
189702,27.7,1.6
189703,33.6,-2.5
189704,48.6,0.2
189705,59.5,-2.8
189706,65.6,-5.9
189707,75.7,-0.8
189708,72.0,-2.3
189709,64.9,-1.0
189710,57.5,3.2
189711,37.6,-2.5
189712,27.4,-0.1
189801,20.9,-2.7
189802,29.4,3.3
189803,41.2,5.1
189804,46.0,-2.4
189805,61.2,-1.1
189806,68.8,-2.7
189807,75.8,-0.7
189808,74.5,0.2
189809,67.6,1.7
189810,54.2,-0.1
189811,39.7,-0.4
189812,26.2,-1.3
189901,23.5,-0.1
189902,22.0,-4.1
189903,31.1,-5.0
189904,51.4,3.0
189905,62.8,0.5
189906,72.1,0.6
189907,74.0,-2.5
189908,74.2,-0.1
189909,64.1,-1.8
189910,56.2,1.9
189911,38.5,-1.6
189912,30.9,3.4
190001,26.3,2.7
190002,26.7,0.6
190003,33.5,-2.6
190004,50.6,2.2
190005,59.2,-3.1
190006,73.8,2.3
190007,75.9,-0.6
190008,74.9,0.6
190009,68.0,2.1
190010,57.9,3.6
190011,40.1,0.0
190012,25.2,-2.3
190101,20.6,-3.0
190102,21.5,-4.6
190103,34.0,-2.1
190104,49.5,1.1
190105,61.5,-0.8
190106,72.6,1.1
190107,76.6,0.1
190108,73.8,-0.5
190109,67.6,1.7
190110,54.5,0.2
190111,34.5,-5.6
190112,28.2,0.7
190201,23.6,0.0
190202,27.3,1.2
190203,41.7,5.6
190204,48.8,0.4
190205,59.2,-3.1
190206,66.2,-5.3
190207,72.6,-3.9
190208,70.7,-3.6
190209,66.3,0.4
190210,54.2,-0.1
190211,43.7,3.6
190212,25.4,-2.1
190301,25.3,1.7
190302,28.5,2.4
190303,43.3,7.2
190304,50.0,1.6
190305,65.8,3.5
190306,66.4,-5.1
190307,72.0,-4.5
190308,68.3,-6.0
190309,68.6,2.7
190310,53.7,-0.6
190311,38.2,-1.9
190312,24.3,-3.2
190401,16.6,-7.0
190402,18.8,-7.3
190403,34.1,-2.0
190404,46.1,-2.3
190405,66.0,3.7
190406,70.0,-1.5
190407,76.1,-0.4
190408,71.1,-3.2
190409,61.6,-4.3
190410,50.5,-3.8
190411,35.0,-5.1
190412,17.4,-10.1
190501,19.4,-4.2
190502,21.2,-4.9
190503,35.3,-0.8
190504,48.9,0.5
190505,61.0,-1.3
190506,68.3,-3.2
190507,76.3,-0.2
190508,72.4,-1.9
190509,62.6,-3.3
190510,54.7,0.4
190511,37.9,-2.2
190512,28.6,1.1
190601,29.3,5.7
190602,27.8,1.7
190603,29.7,-6.4
190604,46.2,-2.2
190605,58.4,-3.9
190606,70.9,-0.6
190607,76.2,-0.3
190608,76.6,2.3
190609,66.6,0.7
190610,54.8,0.5
190611,36.6,-3.5
190612,23.7,-3.8
190701,20.0,-3.6
190702,20.3,-5.8
190703,35.1,-1.0
190704,45.0,-3.4
190705,56.0,-6.3
190706,71.3,-0.2
190707,73.8,-2.7
190708,71.3,-3.0
190709,64.1,-1.8
190710,50.8,-3.5
190711,39.2,-0.9
190712,31.3,3.8
190801,26.6,3.0
190802,24.3,-1.8
190803,34.8,-1.3
190804,46.7,-1.7
190805,63.4,1.1
190806,74.9,3.4
190807,79.3,2.8
190808,71.9,-2.4
190809,72.1,6.2
190810,59.0,4.7
190811,38.8,-1.3
190812,25.4,-2.1
190901,23.4,-0.2
190902,26.5,0.4
190903,33.5,-2.6
190904,45.2,-3.2
190905,58.6,-3.7
190906,73.0,1.5
190907,73.6,-2.9
190908,74.9,0.6
190909,65.5,-0.4
190910,53.8,-0.5
190911,42.4,2.3
190912,26.2,-1.3
191001,27.7,4.1
191002,25.4,-0.7
191003,39.6,3.5
191004,51.7,3.3
191005,60.4,-1.9
191006,67.5,-4.0
191007,77.3,0.8
191008,72.6,-1.7
191009,64.9,-1.0
191010,53.6,-0.7
191011,36.9,-3.2
191012,22.9,-4.6
191101,23.8,0.2
191102,21.9,-4.2
191103,32.3,-3.8
191104,48.4,0.0
191105,70.9,8.6
191106,70.5,-1.0
191107,80.9,4.4
191108,73.6,-0.7
191109,62.8,-3.1
191110,52.7,-1.6
191111,37.6,-2.5
191112,31.4,3.9
191201,16.2,-7.4
191202,24.9,-1.2
191203,32.8,-3.3
191204,47.2,-1.2
191205,63.0,0.7
191206,69.4,-2.1
191207,76.2,-0.3
191208,67.7,-6.6
191209,63.5,-2.4
191210,56.4,2.1
191211,40.6,0.5
191212,31.2,3.7
191301,30.9,7.3
191302,22.0,-4.1
191303,39.0,2.9
191304,51.7,3.3
191305,58.6,-3.7
191306,70.7,-0.8
191307,76.4,-0.1
191308,74.3,0.0
191309,65.1,-0.8
191310,57.0,2.7
191311,43.3,3.2
191312,30.5,3.0
191401,20.0,-3.6
191402,18.8,-7.3
191403,34.5,-1.6
191404,44.1,-4.3
191405,64.7,2.4
191406,68.9,-2.6
191407,74.5,-2.0
191408,72.5,-1.8
191409,67.5,1.6
191410,56.8,2.5
191411,37.4,-2.7
191412,25.3,-2.2
191501,26.2,2.6
191502,30.3,4.2
191503,34.2,-1.9
191504,50.7,2.3
191505,59.5,-2.8
191506,71.2,-0.3
191507,74.3,-2.2
191508,71.6,-2.7
191509,67.4,1.5
191510,55.8,1.5
191511,40.0,-0.1
191512,29.3,1.8
191601,26.0,2.4
191602,22.9,-3.2
191603,29.4,-6.7
191604,49.8,1.4
191605,61.2,-1.1
191606,67.7,-3.8
191607,77.3,0.8
191608,76.1,1.8
191609,66.2,0.3
191610,55.6,1.3
191611,37.0,-3.1
191612,26.3,-1.2
191701,21.8,-1.8
191702,21.3,-4.8
191703,34.7,-1.4
191704,44.8,-3.6
191705,52.9,-9.4
191706,67.9,-3.6
191707,76.8,0.3
191708,74.9,0.6
191709,64.9,-1.0
191710,50.5,-3.8
191711,34.5,-5.6
191712,18.5,-9.0
191801,15.8,-7.8
191802,22.8,-3.3
191803,33.9,-2.2
191804,51.1,2.7
191805,65.8,3.5
191806,67.6,-3.9
191807,75.1,-1.4
191808,74.0,-0.3
191809,61.8,-4.1
191810,54.0,-0.3
191811,39.6,-0.5
191812,27.6,0.1
191901,25.3,1.7
191902,28.6,2.5
191903,38.6,2.5
191904,46.2,-2.2
191905,61.9,-0.4
191906,75.6,4.1
191907,77.8,1.3
191908,71.1,-3.2
191909,63.3,-2.6
191910,51.9,-2.4
191911,37.8,-2.3
191912,22.9,-4.6
192001,15.4,-8.2
192002,24.0,-2.1
