Massachusetts, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,31.7,-1.6
189502,29.7,-5.0
189503,39.4,-4.3
189504,54.4,-1.0
189505,70.1,2.8
189506,77.3,1.6
189507,76.3,-4.4
189508,78.4,0.0
189509,73.8,2.5
189510,55.1,-5.9
189511,49.8,1.7
189512,40.2,3.5
189601,28.8,-4.5
189602,34.1,-0.6
189603,37.7,-6.0
189604,58.6,3.2
189605,71.6,4.3
189606,73.6,-2.1
189607,79.6,-1.1
189608,78.6,0.2
189609,68.4,-2.9
189610,54.1,-6.9
189611,51.4,3.3
189612,34.1,-2.6
189701,33.8,0.5
189702,34.7,0.0
189703,42.8,-0.9
189704,58.0,2.6
189705,66.4,-0.9
189706,70.9,-4.8
189707,79.3,-1.4
189708,75.6,-2.8
189709,70.3,-1.0
189710,61.9,0.9
189711,45.8,-2.3
189712,37.2,0.5
189801,32.6,-0.7
189802,36.6,1.9
189803,49.2,5.5
189804,50.9,-4.5
189805,64.2,-3.1
189806,74.7,-1.0
189807,80.4,-0.3
189808,78.7,0.3
189809,73.7,2.4
189810,59.9,-1.1
189811,45.6,-2.5
189812,35.4,-1.3
189901,34.0,0.7
189902,30.4,-4.3
189903,38.5,-5.2
189904,56.9,1.5
189905,68.2,0.9
189906,79.0,3.3
189907,79.8,-0.9
189908,77.4,-1.0
189909,69.0,-2.3
189910,60.2,-0.8
189911,45.7,-2.4
189912,39.3,2.6
190001,35.3,2.0
190002,33.5,-1.2
190003,39.5,-4.2
190004,55.0,-0.4
190005,66.3,-1.0
190006,77.5,1.8
190007,81.8,1.1
190008,79.6,1.2
190009,73.5,2.2
190010,62.5,1.5
190011,47.8,-0.3
190012,36.6,-0.1
190101,31.7,-1.6
190102,27.7,-7.0
190103,40.6,-3.1
190104,51.5,-3.9
190105,64.2,-3.1
190106,77.5,1.8
190107,81.9,1.2
190108,78.2,-0.2
190109,72.1,0.8
190110,61.1,0.1
190111,40.6,-7.5
190112,36.1,-0.6
190201,31.7,-1.6
190202,33.1,-1.6
190203,48.9,5.2
190204,56.2,0.8
190205,67.0,-0.3
190206,73.2,-2.5
190207,75.3,-5.4
190208,75.2,-3.2
190209,69.2,-2.1
190210,59.2,-1.8
190211,51.7,3.6
190212,33.1,-3.6
190301,32.7,-0.6
190302,35.6,0.9
190303,51.3,7.6
190304,56.3,0.9
190305,71.4,4.1
190306,67.7,-8.0
190307,79.4,-1.3
190308,71.3,-7.1
190309,71.9,0.6
190310,59.4,-1.6
190311,44.2,-3.9
190312,32.2,-4.5
190401,25.4,-7.9
190402,27.9,-6.8
190403,40.1,-3.6
190404,52.6,-2.8
