Arizona, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,49.0,-4.1
189502,56.0,-1.6
189503,64.7,1.5
189504,73.9,2.3
189505,80.6,-0.3
189506,87.2,-3.7
189507,91.0,-2.9
189508,90.2,-1.0
189509,84.8,-1.6
189510,73.8,-1.9
189511,56.6,-6.4
189512,49.1,-4.9
189601,56.6,3.5
189602,58.1,0.5
189603,64.6,1.4
189604,69.6,-2.0
189605,80.4,-0.5
189606,93.9,3.0
189607,89.8,-4.1
189608,88.7,-2.5
189609,82.4,-4.0
189610,71.5,-4.2
189611,59.9,-3.1
189612,56.0,2.0
189701,50.0,-3.1
189702,53.2,-4.4
189703,57.2,-6.0
189704,72.9,1.3
189705,84.1,3.2
189706,88.8,-2.1
189707,92.2,-1.7
189708,91.4,0.2
189709,83.6,-2.8
189710,70.2,-5.5
189711,64.9,1.9
189712,51.7,-2.3
189801,45.9,-7.2
189802,60.8,3.2
189803,60.1,-3.1
189804,76.3,4.7
189805,78.0,-2.9
189806,91.4,0.5
189807,93.2,-0.7
189808,90.9,-0.3
189809,87.5,1.1
189810,76.5,0.8
189811,62.8,-0.2
189812,47.3,-6.7
189901,50.1,-3.0
189902,55.9,-1.7
189903,64.5,1.3
189904,73.7,2.1
189905,77.9,-3.0
189906,89.9,-1.0
189907,92.6,-1.3
189908,89.5,-1.7
189909,90.6,4.2
189910,72.1,-3.6
189911,64.6,1.6
189912,56.2,2.2
190001,58.8,5.7
190002,60.0,2.4
190003,69.5,6.3
190004,64.6,-7.0
190005,81.8,0.9
190006,92.6,1.7
190007,95.1,1.2
190008,90.1,-1.1
190009,82.1,-4.3
190010,73.9,-1.8
190011,64.2,1.2
190012,56.5,2.5
190101,53.8,0.7
190102,56.1,-1.5
190103,63.0,-0.2
190104,69.8,-1.8
190105,80.6,-0.3
190106,89.0,-1.9
190107,96.2,2.3
190108,92.2,1.0
190109,87.3,0.9
190110,76.7,1.0
190111,66.2,3.2
190112,56.8,2.8
190201,55.4,2.3
190202,60.1,2.5
190203,59.0,-4.2
190204,75.8,4.2
190205,80.6,-0.3
190206,94.2,3.3
190207,93.2,-0.7
190208,91.2,0.0
190209,86.5,0.1
190210,77.7,2.0
190211,61.1,-1.9
190212,52.2,-1.8
190301,54.0,0.9
190302,50.3,-7.3
190303,62.4,-0.8
190304,70.6,-1.0
190305,79.1,-1.8
190306,88.8,-2.1
190307,93.8,-0.1
190308,92.9,1.7
190309,83.9,-2.5
190310,76.3,0.6
190311,68.4,5.4
190312,55.8,1.8
190401,52.4,-0.7
190402,63.5,5.9
190403,66.8,3.6
190404,74.5,2.9
190405,81.2,0.3
190406,90.7,-0.2
190407,92.8,-1.1
190408,88.9,-2.3
190409,84.4,-2.0
190410,74.2,-1.5
190411,66.5,3.5
190412,53.8,-0.2
190501,53.7,0.6
190502,51.8,-5.8
190503,60.0,-3.2
190504,67.2,-4.4
190505,76.0,-4.9
190506,90.2,-0.7
190507,94.3,0.4
190508,93.0,1.8
190509,86.4,0.0
190510,74.9,-0.8
190511,58.9,-4.1
190512,49.1,-4.9
190601,50.8,-2.3
190602,58.4,0.8
190603,61.6,-1.6
190604,69.3,-2.3
190605,79.4,-1.5
190606,90.1,-0.8
190607,93.9,0.0
190608,88.2,-3.0
190609,85.2,-1.2
190610,76.2,0.5
190611,60.9,-2.1
190612,55.0,1.0
190701,52.1,-1.0
190702,63.2,5.6
190703,64.5,1.3
190704,74.1,2.5
190705,76.1,-4.8
190706,86.0,-4.9
190707,92.8,-1.1
190708,89.2,-2.0
190709,86.7,0.3
190710,73.2,-2.5
190711,61.1,-1.9
190712,57.0,3.0
190801,55.4,2.3
190802,56.0,-1.6
190803,65.5,2.3
190804,72.4,0.8
190805,76.7,-4.2
190806,89.6,-1.3
190807,93.0,-0.9
190808,89.5,-1.7
190809,85.7,-0.7
190810,72.3,-3.4
190811,64.3,1.3
190812,52.7,-1.3
190901,56.9,3.8
190902,55.8,-1.8
190903,59.2,-4.0
190904,71.7,0.1
190905,78.9,-2.0
190906,92.2,1.3
190907,93.2,-0.7
190908,88.0,-3.2
190909,83.2,-3.2
190910,78.2,2.5
190911,64.6,1.6
190912,46.4,-7.6
191001,52.4,-0.7
191002,58.0,0.4
191003,70.9,7.7
191004,75.2,3.6
191005,85.5,4.6
191006,92.4,1.5
191007,94.8,0.9
191008,92.6,1.4
191009,89.6,3.2
191010,76.6,0.9
191011,64.7,1.7
191012,57.6,3.6
191101,55.8,2.7
191102,53.6,-4.0
191103,65.6,2.4
191104,71.2,-0.4
191105,81.1,0.2
191106,89.6,-1.3
191107,90.0,-3.9
191108,92.4,1.2
191109,85.6,-0.8
191110,73.3,-2.4
191111,60.9,-2.1
191112,49.6,-4.4
191201,56.2,3.1
191202,60.8,3.2
191203,59.7,-3.5
191204,65.4,-6.2
191205,79.1,-1.8
191206,90.6,-0.3
191207,89.1,-4.8
191208,89.0,-2.2
191209,83.6,-2.8
191210,69.9,-5.8
191211,63.2,0.2
191212,49.2,-4.8
191301,48.8,-4.3
191302,52.5,-5.1
191303,59.7,-3.5
191304,71.3,-0.3
191305,81.5,0.6
191306,88.2,-2.7
191307,91.5,-2.4
191308,90.7,-0.5
191309,84.0,-2.4
191310,74.9,-0.8
191311,61.7,-1.3
191312,49.5,-4.5
191401,55.1,2.0
191402,56.9,-0.7
191403,66.5,3.3
191404,72.8,1.2
191405,81.4,0.5
191406,88.9,-2.0
191407,89.4,-4.5
191408,92.0,0.8
191409,86.9,0.5
191410,73.7,-2.0
191411,66.4,3.4
191412,47.9,-6.1
191501,49.1,-4.0
191502,54.1,-3.5
191503,61.3,-1.9
191504,70.2,-1.4
191505,75.2,-5.7
191506,89.3,-1.6
191507,91.2,-2.7
191508,92.7,1.5
191509,84.5,-1.9
191510,79.3,3.6
191511,63.8,0.8
191512,53.3,-0.7
191601,48.8,-4.3
191602,62.0,4.4
191603,68.0,4.8
191604,73.2,1.6
191605,80.3,-0.6
191606,92.0,1.1
191607,92.2,-1.7
191608,88.3,-2.9
191609,84.2,-2.2
191610,71.1,-4.6
191611,63.2,0.2
191612,51.2,-2.8
191701,46.8,-6.3
191702,54.9,-2.7
191703,60.3,-2.9
191704,68.7,-2.9
191705,72.7,-8.2
191706,92.3,1.4
191707,94.1,0.2
191708,91.4,0.2
191709,85.7,-0.7
191710,79.8,4.1
191711,68.4,5.4
191712,62.9,8.9
191801,52.0,-1.1
191802,57.8,0.2
191803,63.8,0.6
191804,71.0,-0.6
191805,76.6,-4.3
191806,94.1,3.2
191807,91.1,-2.8
191808,87.9,-3.3
191809,87.1,0.7
191810,75.7,0.0
191811,58.7,-4.3
191812,49.4,-4.6
191901,48.9,-4.2
191902,51.3,-6.3
191903,59.6,-3.6
191904,74.0,2.4
191905,81.6,0.7
191906,92.1,1.2
191907,89.6,-4.3
191908,91.6,0.4
191909,83.5,-2.9
191910,68.8,-6.9
191911,60.4,-2.6
191912,54.2,0.2
192001,51.3,-1.8
192002,56.6,-1.0
192003,59.3,-3.9
192004,65.6,-6.0
192005,80.5,-0.4
192006,88.0,-2.9
192007,94.8,0.9
192008,89.0,-2.2
192009,84.1,-2.3
192010,70.8,-4.9
192011,61.9,-1.1
192012,52.6,-1.4
192101,54.6,1.5
192102,60.8,3.2
192103,67.3,4.1
192104,70.1,-1.5
192105,78.1,-2.8
192106,90.4,-0.5
192107,91.2,-2.7
192108,87.6,-3.6
192109,86.2,-0.2
192110,77.8,2.1
192111,66.9,3.9
192112,56.5,2.5
192201,49.6,-3.5
192202,55.0,-2.6
192203,59.2,-4.0
192204,66.4,-5.2
192205,81.3,0.4
192206,92.5,1.6
192207,93.8,-0.1
192208,90.9,-0.3
192209,88.5,2.1
192210,76.5,0.8
192211,58.6,-4.4
192212,56.0,2.0
192301,57.9,4.8
192302,54.8,-2.8
192303,59.6,-3.6
192304,68.6,-3.0
192305,82.7,1.8
192306,87.7,-3.2
192307,91.7,-2.2
192308,87.1,-4.1
192309,82.1,-4.3
192310,72.1,-3.6
192311,59.8,-3.2
192312,49.3,-4.7
192401,51.5,-1.6
192402,62.2,4.6
192403,57.3,-5.9
192404,67.9,-3.7
192405,82.6,1.7
192406,94.3,3.4
192407,92.4,-1.5
192408,93.2,2.0
192409,86.9,0.5
192410,75.2,-0.5
192411,65.9,2.9
192412,49.4,-4.6
192501,50.5,-2.6
192502,62.2,4.6
192503,67.1,3.9
192504,73.8,2.2
192505,84.2,3.3
192506,87.4,-3.5
192507,94.1,0.2
192508,88.8,-2.4
192509,83.7,-2.7
192510,71.0,-4.7
192511,60.6,-2.4
192512,54.0,0.0
192601,51.2,-1.9
192602,60.9,3.3
192603,63.2,0.0
192604,68.4,-3.2
192605,79.1,-1.8
192606,92.3,1.4
192607,93.2,-0.7
192608,92.4,1.2
192609,86.2,-0.2
192610,77.8,2.1
192611,65.8,2.8
192612,48.8,-5.2
192701,56.8,3.7
192702,58.4,0.8
192703,61.4,-1.8
192704,71.0,-0.6
192705,82.5,1.6
192706,88.9,-2.0
192707,94.0,0.1
192708,89.0,-2.2
192709,83.5,-2.9
192710,76.2,0.5
192711,66.2,3.2
192712,49.1,-4.9
192801,56.0,2.9
192802,55.9,-1.7
192803,66.0,2.8
192804,71.2,-0.4
192805,82.2,1.3
192806,90.7,-0.2
192807,94.7,0.8
192808,90.8,-0.4
192809,88.6,2.2
192810,75.8,0.1
192811,60.3,-2.7
192812,52.1,-1.9
192901,50.6,-2.5
192902,52.4,-5.2
192903,61.9,-1.3
192904,68.4,-3.2
192905,81.6,0.7
192906,91.8,0.9
192907,92.4,-1.5
192908,89.6,-1.6
192909,84.4,-2.0
192910,76.5,0.8
192911,61.8,-1.2
192912,61.0,7.0
193001,48.4,-4.7
193002,62.8,5.2
193003,61.8,-1.4
193004,75.6,4.0
193005,75.3,-5.6
193006,91.8,0.9
193007,91.6,-2.3
193008,90.5,-0.7
193009,85.2,-1.2
193010,73.9,-1.8
193011,60.3,-2.7
193012,52.5,-1.5
193101,53.1,0.0
193102,55.6,-2.0
193103,64.5,1.3
193104,73.3,1.7
193105,82.4,1.5
193106,90.2,-0.7
193107,96.1,2.2
193108,89.7,-1.5
193109,85.8,-0.6
193110,76.0,0.3
193111,56.8,-6.2
193112,47.5,-6.5
193201,46.2,-6.9
193202,55.5,-2.1
193203,63.3,0.1
193204,72.8,1.2
193205,79.9,-1.0
193206,89.4,-1.5
193207,92.8,-1.1
193208,92.2,1.0
193209,88.8,2.4
193210,73.5,-2.2
193211,67.4,4.4
193212,46.8,-7.2
193301,46.9,-6.2
193302,50.1,-7.5
193303,65.4,2.2
193304,67.2,-4.4
193305,75.7,-5.2
193306,91.4,0.5
193307,95.6,1.7
193308,92.9,1.7
193309,88.9,2.5
193310,78.5,2.8
193311,66.8,3.8
193312,58.0,4.0
193401,57.0,3.9
193402,62.9,5.3
193403,72.8,9.6
193404,77.4,5.8
193405,86.9,6.0
193406,88.2,-2.7
193407,96.1,2.2
193408,91.1,-0.1
193409,87.0,0.6
193410,79.6,3.9
193411,64.3,1.3
193412,55.6,1.6
193501,53.2,0.1
193502,57.8,0.2
193503,60.0,-3.2
193504,71.3,-0.3
193505,75.5,-5.4
193506,93.2,2.3
193507,94.3,0.4
193508,90.1,-1.1
193509,86.1,-0.3
193510,76.1,0.4
193511,60.4,-2.6
193512,54.0,0.0
193601,54.8,1.7
193602,55.7,-1.9
193603,65.4,2.2
193604,75.9,4.3
193605,85.6,4.7
193606,94.3,3.4
193607,94.7,0.8
193608,91.6,0.4
193609,84.4,-2.0
193610,74.8,-0.9
193611,62.6,-0.4
193612,53.6,-0.4
193701,40.1,-13.0
193702,54.5,-3.1
193703,60.4,-2.8
193704,71.7,0.1
193705,83.5,2.6
193706,90.0,-0.9
193707,94.3,0.4
193708,94.1,2.9
193709,88.6,2.2
193710,78.7,3.0
193711,67.0,4.0
193712,56.3,2.3
193801,55.9,2.8
193802,55.4,-2.2
193803,60.2,-3.0
193804,72.5,0.9
193805,80.6,-0.3
193806,91.3,0.4
193807,93.4,-0.5
193808,92.0,0.8
193809,88.1,1.7
193810,76.1,0.4
193811,60.0,-3.0
193812,55.9,1.9
193901,51.8,-1.3
193902,47.4,-10.2
193903,64.4,1.2
193904,75.2,3.6
193905,83.4,2.5
193906,91.9,1.0
193907,95.2,1.3
193908,92.4,1.2
193909,83.0,-3.4
193910,73.9,-1.8
193911,64.5,1.5
193912,60.4,6.4
194001,54.6,1.5
194002,56.4,-1.2
194003,67.0,3.8
194004,72.5,0.9
194005,85.2,4.3
194006,93.6,2.7
194007,95.7,1.8
194008,92.8,1.6
194009,84.0,-2.4
194010,75.5,-0.2
194011,60.1,-2.9
194012,55.1,1.1
194101,51.7,-1.4
194102,57.7,0.1
194103,60.5,-2.7
194104,63.4,-8.2
194105,79.8,-1.1
194106,87.1,-3.8
194107,92.9,-1.0
194108,89.1,-2.1
194109,83.4,-3.0
194110,69.8,-5.9
194111,63.9,0.9
194112,53.8,-0.2
194201,53.8,0.7
194202,53.4,-4.2
194203,61.1,-2.1
194204,70.1,-1.5
194205,80.6,-0.3
194206,91.6,0.7
194207,96.8,2.9
194208,91.4,0.2
194209,88.2,1.8
194210,74.8,-0.9
194211,67.4,4.4
194212,57.9,3.9
194301,54.4,1.3
194302,61.9,4.3
194303,64.8,1.6
194304,76.2,4.6
194305,83.4,2.5
194306,88.9,-2.0
194307,95.1,1.2
194308,89.8,-1.4
194309,88.5,2.1
194310,76.2,0.5
194311,66.0,3.0
194312,52.5,-1.5
194401,51.8,-1.3
194402,53.1,-4.5
194403,59.8,-3.4
194404,67.4,-4.2
194405,79.2,-1.7
194406,87.2,-3.7
194407,93.8,-0.1
194408,94.3,3.1
194409,87.1,0.7
194410,77.3,1.6
194411,58.1,-4.9
194412,54.8,0.8
194501,52.9,-0.2
194502,57.9,0.3
194503,57.9,-5.3
194504,69.8,-1.8
194505,81.1,0.2
194506,88.5,-2.4
194507,94.5,0.6
194508,91.2,0.0
194509,88.0,1.6
194510,76.4,0.7
194511,64.6,1.6
194512,51.9,-2.1
194601,50.9,-2.2
194602,58.6,1.0
194603,65.1,1.9
194604,77.1,5.5
194605,80.6,-0.3
194606,94.0,3.1
194607,93.2,-0.7
194608,90.5,-0.7
194609,87.0,0.6
194610,70.9,-4.8
194611,58.7,-4.3
194612,58.0,4.0
194701,51.2,-1.9
194702,63.5,5.9
194703,66.1,2.9
194704,72.4,0.8
194705,84.5,3.6
194706,89.0,-1.9
194707,96.2,2.3
194708,89.7,-1.5
194709,90.1,3.7
194710,76.7,1.0
194711,57.1,-5.9
194712,51.2,-2.8
194801,56.5,3.4
194802,54.1,-3.5
194803,56.5,-6.7
194804,74.1,2.5
194805,83.2,2.3
194806,90.4,-0.5
194807,94.8,0.9
194808,92.4,1.2
194809,89.4,3.0
194810,75.8,0.1
194811,59.8,-3.2
194812,53.2,-0.8
194901,40.8,-12.3
194902,52.0,-5.6
194903,62.5,-0.7
194904,74.2,2.6
194905,80.2,-0.7
194906,89.4,-1.5
194907,92.8,-1.1
194908,92.5,1.3
194909,88.7,2.3
194910,72.5,-3.2
194911,70.8,7.8
194912,52.8,-1.2
195001,52.8,-0.3
195002,61.8,4.2
195003,65.9,2.7
195004,76.6,5.0
195005,80.6,-0.3
195006,91.2,0.3
195007,90.6,-3.3
195008,92.9,1.7
195009,85.1,-1.3
195010,84.0,8.3
195011,69.4,6.4
195012,63.0,9.0
195101,54.2,1.1
195102,57.4,-0.2
195103,62.6,-0.6
195104,70.4,-1.2
195105,80.9,0.0
195106,89.8,-1.1
195107,96.4,2.5
195108,90.4,-0.8
195109,89.7,3.3
195110,75.7,0.0
195111,60.1,-2.9
195112,50.8,-3.2
195201,51.5,-1.6
195202,55.9,-1.7
195203,54.8,-8.4
195204,70.2,-1.4
195205,83.5,2.6
195206,89.9,-1.0
195207,93.8,-0.1
195208,92.8,1.6
195209,89.3,2.9
195210,83.8,8.1
195211,57.8,-5.2
195212,51.7,-2.3
195301,59.5,6.4
195302,58.1,0.5
195303,64.8,1.6
195304,70.7,-0.9
195305,75.0,-5.9
195306,91.9,1.0
195307,93.7,-0.2
195308,91.9,0.7
195309,91.4,5.0
195310,77.0,1.3
195311,66.0,3.0
195312,52.9,-1.1
195401,55.6,2.5
195402,65.7,8.1
195403,60.8,-2.4
195404,77.9,6.3
195405,83.6,2.7
195406,90.1,-0.8
195407,94.1,0.2
195408,89.8,-1.4
195409,88.2,1.8
195410,79.5,3.8
195411,68.6,5.6
195412,55.4,1.4
195501,47.9,-5.2
195502,52.8,-4.8
195503,64.4,1.2
195504,70.6,-1.0
195505,79.2,-1.7
195506,89.4,-1.5
195507,91.5,-2.4
195508,89.0,-2.2
195509,89.2,2.8
195510,80.6,4.9
195511,63.5,0.5
195512,58.9,4.9
195601,58.4,5.3
195602,53.1,-4.5
195603,67.7,4.5
195604,70.3,-1.3
195605,83.7,2.8
195606,93.9,3.0
195607,92.8,-1.1
195608,91.0,-0.2
195609,92.4,6.0
195610,77.0,1.3
195611,62.3,-0.7
195612,56.4,2.4
195701,51.9,-1.2
195702,63.2,5.6
195703,63.2,0.0
195704,69.6,-2.0
195705,75.4,-5.5
195706,92.0,1.1
195707,94.2,0.3
195708,89.8,-1.4
195709,88.4,2.0
195710,70.7,-5.0
195711,56.7,-6.3
195712,57.6,3.6
195801,55.0,1.9
195802,59.7,2.1
195803,55.8,-7.4
195804,69.6,-2.0
195805,86.0,5.1
195806,92.6,1.7
195807,95.3,1.4
195808,92.8,1.6
195809,85.4,-1.0
195810,76.4,0.7
195811,62.7,-0.3
195812,62.4,8.4
195901,57.8,4.7
195902,55.8,-1.8
195903,66.2,3.0
195904,75.9,4.3
195905,80.2,-0.7
195906,93.9,3.0
195907,96.2,2.3
195908,88.6,-2.6
195909,86.0,-0.4
195910,76.8,1.1
195911,63.0,0.0
195912,53.9,-0.1
196001,47.6,-5.5
196002,52.7,-4.9
196003,67.9,4.7
196004,74.2,2.6
196005,81.8,0.9
196006,94.8,3.9
196007,96.5,2.6
196008,93.8,2.6
196009,89.4,3.0
196010,73.0,-2.7
196011,64.2,1.2
196012,52.1,-1.9
196101,55.5,2.4
196102,60.1,2.5
196103,63.2,0.0
196104,73.4,1.8
196105,81.7,0.8
196106,94.5,3.6
196107,95.3,1.4
196108,90.3,-0.9
196109,83.2,-3.2
196110,75.1,-0.6
196111,58.7,-4.3
196112,50.5,-3.5
196201,50.8,-2.3
196202,56.6,-1.0
196203,58.0,-5.2
196204,78.1,6.5
196205,79.4,-1.5
196206,90.1,-0.8
196207,93.7,-0.2
196208,95.4,4.2
196209,87.1,0.7
196210,76.9,1.2
196211,67.2,4.2
196212,56.8,2.8
196301,50.2,-2.9
196302,63.3,5.7
196303,63.0,-0.2
196304,69.6,-2.0
196305,84.8,3.9
196306,88.2,-2.7
196307,96.2,2.3
196308,88.6,-2.6
196309,87.9,1.5
196310,79.0,3.3
196311,63.0,0.0
196312,56.0,2.0
196401,51.8,-1.3
196402,54.2,-3.4
196403,58.9,-4.3
196404,68.5,-3.1
196405,80.4,-0.5
196406,89.0,-1.9
196407,94.9,1.0
196408,89.6,-1.6
196409,84.1,-2.3
196410,80.7,5.0
196411,59.0,-4.0
196412,54.0,0.0
196501,55.4,2.3
196502,56.6,-1.0
196503,59.3,-3.9
196504,68.5,-3.1
196505,77.2,-3.7
196506,85.0,-5.9
196507,92.6,-1.3
196508,92.5,1.3
196509,82.9,-3.5
196510,80.2,4.5
196511,65.3,2.3
196512,52.5,-1.5
196601,50.2,-2.9
196602,51.5,-6.1
196603,66.2,3.0
196604,74.6,3.0
196605,84.5,3.6
196606,90.9,0.0
196607,94.6,0.7
196608,92.3,1.1
196609,85.6,-0.8
196610,75.6,-0.1
196611,66.2,3.2
196612,54.4,0.4
196701,54.8,1.7
196702,61.9,4.3
196703,67.6,4.4
196704,67.0,-4.6
196705,80.1,-0.8
196706,86.7,-4.2
196707,93.4,-0.5
196708,91.8,0.6
196709,84.8,-1.6
196710,79.3,3.6
196711,67.3,4.3
196712,47.4,-6.6
196801,50.7,-2.4
196802,61.1,3.5
196803,63.1,-0.1
196804,68.4,-3.2
196805,80.6,-0.3
196806,92.1,1.2
196807,92.3,-1.6
196808,87.3,-3.9
196809,87.1,0.7
196810,77.5,1.8
196811,62.1,-0.9
196812,51.4,-2.6
196901,55.7,2.6
196902,54.7,-2.9
196903,59.8,-3.4
196904,73.6,2.0
196905,83.3,2.4
196906,88.7,-2.2
196907,94.1,0.2
196908,94.9,3.7
196909,87.9,1.5
196910,71.9,-3.8
196911,61.5,-1.5
196912,56.7,2.7
197001,54.4,1.3
197002,61.6,4.0
197003,60.2,-3.0
197004,66.7,-4.9
197005,83.1,2.2
197006,91.2,0.3
197007,95.2,1.3
197008,92.6,1.4
197009,84.1,-2.3
197010,71.9,-3.8
197011,65.4,2.4
197012,54.3,0.3
197101,56.0,2.9
197102,58.6,1.0
197103,67.0,3.8
197104,71.0,-0.6
197105,77.1,-3.8
197106,90.6,-0.3
197107,96.8,2.9
197108,89.4,-1.8
197109,86.0,-0.4
197110,69.2,-6.5
197111,61.4,-1.6
197112,48.6,-5.4
197201,56.0,2.9
197202,63.1,5.5
197203,73.8,10.6
197204,74.6,3.0
197205,82.1,1.2
197206,89.5,-1.4
197207,96.5,2.6
197208,91.1,-0.1
197209,85.5,-0.9
197210,69.7,-6.0
197211,56.8,-6.2
197212,51.0,-3.0
197301,48.6,-4.5
197302,54.1,-3.5
197303,54.4,-8.8
197304,67.1,-4.5
197305,81.8,0.9
197306,90.8,-0.1
197307,94.4,0.5
197308,93.0,1.8
197309,87.5,1.1
197310,78.7,3.0
197311,63.5,0.5
197312,57.6,3.6
197401,51.4,-1.7
197402,57.7,0.1
197403,66.4,3.2
197404,72.3,0.7
197405,84.0,3.1
197406,96.4,5.5
197407,92.4,-1.5
197408,91.9,0.7
197409,86.3,-0.1
197410,74.4,-1.3
197411,62.3,-0.7
197412,51.5,-2.5
197501,53.5,0.4
