Minnesota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,10.0,-6.6
189502,18.0,-4.8
189503,36.1,0.5
189504,61.4,8.6
189505,68.4,1.7
189506,74.7,-0.8
189507,78.9,-1.8
189508,78.3,0.0
189509,71.3,3.0
189510,52.4,-3.5
189511,34.2,-2.0
189512,24.1,2.4
189601,18.9,2.3
189602,26.6,3.8
189603,30.2,-5.4
189604,52.4,-0.4
189605,70.3,3.6
189606,77.6,2.1
189607,80.1,-0.6
189608,78.8,0.5
189609,64.9,-3.4
189610,51.4,-4.5
189611,23.0,-13.2
189612,25.2,3.5
189701,13.1,-3.5
189702,22.6,-0.2
189703,28.4,-7.2
189704,52.5,-0.3
189705,67.6,0.9
189706,72.6,-2.9
189707,81.5,0.8
189708,74.9,-3.4
189709,76.2,7.9
189710,57.5,1.6
189711,32.6,-3.6
189712,17.6,-4.1
189801,24.8,8.2
189802,25.4,2.6
189803,38.5,2.9
189804,54.0,1.2
189805,65.4,-1.3
189806,75.3,-0.2
189807,80.6,-0.1
189808,76.9,-1.4
189809,71.0,2.7
189810,48.8,-7.1
189811,33.6,-2.6
189812,19.2,-2.5
189901,15.3,-1.3
189902,11.5,-11.3
189903,22.8,-12.8
189904,54.0,1.2
189905,64.2,-2.5
189906,75.1,-0.4
189907,81.1,0.4
189908,77.8,-0.5
189909,66.9,-1.4
189910,56.3,0.4
189911,45.8,9.6
189912,23.0,1.3
190001,25.1,8.5
190002,15.5,-7.3
190003,31.9,-3.7
190004,61.8,9.0
190005,72.5,5.8
190006,78.7,3.2
190007,79.1,-1.6
190008,82.9,4.6
190009,67.4,-0.9
190010,63.0,7.1
190011,30.6,-5.6
190012,23.4,1.7
190101,18.8,2.2
190102,17.9,-4.9
190103,34.0,-1.6
190104,56.3,3.5
190105,70.0,3.3
190106,75.2,-0.3
190107,84.0,3.3
190108,80.4,2.1
190109,66.4,-1.9
190110,58.6,2.7
190111,35.6,-0.6
190112,18.9,-2.8
190201,22.3,5.7
190202,23.7,0.9
190203,42.0,6.4
190204,52.6,-0.2
190205,67.5,0.8
190206,71.7,-3.8
190207,80.4,-0.3
190208,74.9,-3.4
190209,64.7,-3.6
190210,55.7,-0.2
190211,37.1,0.9
190212,18.9,-2.8
190301,17.8,1.2
190302,19.9,-2.9
190303,35.8,0.2
190304,53.0,0.2
190305,66.8,0.1
190306,74.8,-0.7
190307,77.4,-3.3
190308,72.6,-5.7
190309,64.5,-3.8
190310,57.4,1.5
190311,33.9,-2.3
190312,17.0,-4.7
190401,11.4,-5.2
190402,10.8,-12.0
190403,31.4,-4.2
190404,46.7,-6.1
190405,66.2,-0.5
190406,72.3,-3.2
190407,76.0,-4.7
190408,74.8,-3.5
190409,65.0,-3.3
190410,53.6,-2.3
190411,44.6,8.4
190412,21.9,0.2
190501,11.0,-5.6
190502,18.1,-4.7
190503,39.8,4.2
190504,51.2,-1.6
190505,62.5,-4.2
190506,71.9,-3.6
190507,77.0,-3.7
190508,78.6,0.3
190509,70.8,2.5
190510,50.9,-5.0
190511,39.4,3.2
190512,25.6,3.9
190601,23.3,6.7
190602,22.3,-0.5
