Mississippi, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,52.4,-3.4
189502,47.5,-12.0
189503,67.1,-0.3
189504,76.7,1.1
189505,81.2,-1.8
189506,88.8,-0.9
189507,90.4,-1.4
189508,90.4,-1.2
189509,90.2,3.2
189510,74.5,-3.2
189511,64.4,-1.8
189512,57.6,0.0
189601,52.9,-2.9
189602,58.6,-0.9
189603,63.8,-3.6
189604,80.4,4.8
189605,88.2,5.2
189606,89.5,-0.2
189607,94.0,2.2
189608,94.5,2.9
189609,87.7,0.7
189610,76.1,-1.6
189611,68.5,2.3
189612,59.1,1.5
189701,51.5,-4.3
189702,61.1,1.6
189703,70.7,3.3
189704,74.8,-0.8
189705,82.4,-0.6
189706,93.0,3.3
189707,93.7,1.9
189708,91.1,-0.5
189709,90.0,3.0
189710,82.4,4.7
189711,67.7,1.5
189712,56.9,-0.7
189801,59.6,3.8
189802,59.3,-0.2
189803,69.8,2.4
189804,71.7,-3.9
189805,86.4,3.4
189806,91.9,2.2
189807,90.4,-1.4
189808,90.1,-1.5
189809,85.9,-1.1
189810,72.6,-5.1
189811,60.7,-5.5
189812,53.2,-4.4
189901,54.4,-1.4
189902,47.9,-11.6
189903,67.8,0.4
189904,73.3,-2.3
189905,88.7,5.7
189906,91.6,1.9
189907,92.9,1.1
189908,93.5,1.9
189909,86.8,-0.2
189910,80.5,2.8
189911,68.9,2.7
189912,55.8,-1.8
190001,55.0,-0.8
190002,56.4,-3.1
190003,64.7,-2.7
190004,76.1,0.5
190005,83.6,0.6
190006,86.0,-3.7
190007,90.5,-1.3
190008,92.8,1.2
190009,90.7,3.7
190010,78.4,0.7
190011,67.0,0.8
190012,58.1,0.5
190101,58.3,2.5
190102,54.5,-5.0
190103,66.6,-0.8
190104,71.9,-3.7
190105,82.9,-0.1
190106,92.7,3.0
190107,95.6,3.8
190108,90.6,-1.0
190109,84.2,-2.8
190110,77.8,0.1
190111,64.0,-2.2
190112,53.8,-3.8
190201,54.8,-1.0
190202,50.8,-8.7
190203,67.6,0.2
190204,75.9,0.3
190205,88.0,5.0
190206,94.4,4.7
190207,94.9,3.1
190208,94.0,2.4
190209,84.0,-3.0
190210,76.5,-1.2
190211,69.6,3.4
190212,55.5,-2.1
190301,54.1,-1.7
190302,58.4,-1.1
190303,68.5,1.1
190304,75.6,0.0
190305,81.5,-1.5
190306,85.2,-4.5
190307,92.2,0.4
190308,91.3,-0.3
190309,87.2,0.2
190310,78.1,0.4
190311,64.0,-2.2
190312,54.5,-3.1
190401,53.9,-1.9
190402,61.9,2.4
190403,71.3,3.9
190404,72.7,-2.9
190405,83.4,0.4
190406,90.8,1.1
190407,90.0,-1.8
190408,90.2,-1.4
