Missouri, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,35.6,-3.7
189502,35.1,-9.1
189503,55.0,0.2
189504,70.6,4.4
189505,77.0,1.3
189506,85.1,1.0
189507,84.8,-4.4
189508,86.7,-1.1
189509,83.6,3.3
189510,65.7,-3.8
189511,51.8,-2.5
189512,43.3,0.8
189601,41.7,2.4
189602,45.9,1.7
189603,49.1,-5.7
189604,73.5,7.3
189605,81.6,5.9
189606,83.6,-0.5
189607,88.8,-0.4
189608,88.6,0.8
189609,76.9,-3.4
189610,67.0,-2.5
189611,53.4,-0.9
189612,48.5,6.0
189701,36.8,-2.5
189702,43.0,-1.2
189703,54.0,-0.8
189704,64.7,-1.5
189705,74.8,-0.9
189706,84.9,0.8
189707,90.4,1.2
189708,86.8,-1.0
189709,89.3,9.0
189710,77.4,7.9
189711,54.9,0.6
189712,37.4,-5.1
189801,42.5,3.2
189802,45.5,1.3
189803,55.6,0.8
189804,63.2,-3.0
189805,76.3,0.6
189806,85.9,1.8
189807,86.7,-2.5
189808,86.7,-1.1
189809,81.6,1.3
189810,63.4,-6.1
189811,50.4,-3.9
189812,38.2,-4.3
189901,39.0,-0.3
189902,31.1,-13.1
189903,48.4,-6.4
189904,64.6,-1.6
189905,77.8,2.1
189906,85.0,0.9
189907,87.8,-1.4
189908,90.7,2.9
189909,80.9,0.6
189910,75.4,5.9
189911,59.3,5.0
189912,39.8,-2.7
190001,43.8,4.5
190002,37.1,-7.1
190003,52.7,-2.1
190004,67.8,1.6
190005,77.8,2.1
190006,83.9,-0.2
190007,87.4,-1.8
190008,92.3,4.5
190009,81.8,1.5
190010,73.4,3.9
190011,54.2,-0.1
190012,44.8,2.3
190101,44.6,5.3
190102,37.8,-6.4
190103,53.6,-1.2
190104,64.6,-1.6
190105,76.4,0.7
190106,91.4,7.3
190107,99.9,10.7
190108,92.1,4.3
190109,81.9,1.6
190110,72.7,3.2
190111,55.0,0.7
190112,37.3,-5.2
190201,39.3,0.0
190202,33.3,-10.9
190203,55.1,0.3
190204,65.6,-0.6
190205,80.6,4.9
190206,81.2,-2.9
190207,87.6,-1.6
190208,85.9,-1.9
190209,73.9,-6.4
190210,71.0,1.5
190211,58.1,3.8
190212,37.7,-4.8
190301,39.5,0.2
190302,39.1,-5.1
190303,56.9,2.1
190304,67.1,0.9
190305,74.6,-1.1
190306,77.8,-6.3
190307,88.1,-1.1
190308,85.2,-2.6
190309,78.6,-1.7
190310,68.2,-1.3
190311,50.1,-4.2
