Montana, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,20.2,-6.3
189502,27.4,-4.4
189503,40.4,0.2
189504,59.4,6.6
189505,62.7,-0.2
189506,67.7,-3.5
189507,78.1,-2.5
189508,78.5,-0.7
189509,64.2,-3.4
189510,57.5,2.0
189511,37.8,-1.5
189512,30.4,0.4
189601,26.2,-0.3
189602,37.7,5.9
189603,34.7,-5.5
189604,49.8,-3.0
189605,58.1,-4.8
189606,75.4,4.2
189607,80.4,-0.2
189608,77.5,-1.7
189609,61.9,-5.7
189610,56.1,0.6
189611,21.5,-17.8
189612,37.4,7.4
189701,26.6,0.1
189702,28.6,-3.2
189703,28.2,-12.0
189704,54.2,1.4
189705,71.8,8.9
189706,70.1,-1.1
189707,77.0,-3.6
189708,81.4,2.2
189709,71.8,4.2
189710,55.7,0.2
189711,31.8,-7.5
189712,28.4,-1.6
189801,28.4,1.9
189802,36.4,4.6
189803,31.1,-9.1
189804,52.7,-0.1
189805,60.0,-2.9
189806,69.5,-1.7
189807,78.3,-2.3
189808,81.5,2.3
189809,67.5,-0.1
189810,46.6,-8.9
189811,34.2,-5.1
189812,27.7,-2.3
189901,25.4,-1.1
189902,16.2,-15.6
189903,27.8,-12.4
189904,47.6,-5.2
189905,56.1,-6.8
189906,68.0,-3.2
189907,80.4,-0.2
189908,73.7,-5.5
189909,71.3,3.7
189910,49.9,-5.6
189911,47.5,8.2
189912,28.8,-1.2
190001,35.4,8.9
190002,27.1,-4.7
190003,42.8,2.6
190004,56.9,4.1
190005,68.3,5.4
190006,78.9,7.7
190007,80.6,0.0
190008,76.5,-2.7
190009,63.5,-4.1
190010,54.3,-1.2
190011,35.6,-3.7
190012,36.7,6.7
190101,28.1,1.6
190102,26.7,-5.1
190103,42.2,2.0
190104,53.4,0.6
190105,69.4,6.5
190106,64.1,-7.1
190107,83.3,2.7
190108,80.4,1.2
190109,59.0,-8.6
190110,60.3,4.8
190111,43.9,4.6
190112,31.5,1.5
190201,28.8,2.3
190202,31.1,-0.7
190203,38.6,-1.6
190204,50.2,-2.6
190205,63.5,0.6
190206,66.7,-4.5
190207,75.8,-4.8
190208,77.2,-2.0
190209,66.3,-1.3
190210,57.6,2.1
190211,36.7,-2.6
190212,25.6,-4.4
190301,31.0,4.5
190302,25.8,-6.0
190303,35.4,-4.8
190304,51.5,-1.3
190305,60.1,-2.8
190306,73.5,2.3
190307,74.7,-5.9
190308,75.3,-3.9
190309,62.7,-4.9
190310,58.8,3.3
190311,36.6,-2.7
190312,34.4,4.4
190401,29.7,3.2
190402,23.9,-7.9
190403,31.2,-9.0
190404,53.9,1.1
190405,61.7,-1.2
190406,70.8,-0.4
190407,78.8,-1.8
