Nebraska, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,28.6,-5.1
189502,30.2,-8.4
189503,49.3,1.2
189504,68.1,7.2
189505,73.9,2.5
189506,79.2,-2.1
189507,85.0,-3.1
189508,85.3,-0.5
189509,81.8,4.8
189510,62.1,-2.9
189511,45.0,-3.1
189512,37.3,0.8
189601,40.1,6.4
189602,44.4,5.8
189603,40.3,-7.8
189604,63.4,2.5
189605,75.1,3.7
189606,82.9,1.6
189607,86.0,-2.1
189608,85.0,-0.8
189609,71.4,-5.6
189610,62.2,-2.8
189611,36.5,-11.6
189612,43.9,7.4
189701,30.8,-2.9
189702,37.0,-1.6
189703,43.7,-4.4
189704,58.5,-2.4
189705,75.0,3.6
189706,80.9,-0.4
189707,89.2,1.1
189708,82.7,-3.1
189709,84.6,7.6
189710,65.7,0.7
189711,46.1,-2.0
189712,30.9,-5.6
189801,36.0,2.3
189802,41.7,3.1
189803,47.5,-0.6
189804,61.5,0.6
189805,66.9,-4.5
189806,82.3,1.0
189807,86.9,-1.2
189808,87.4,1.6
189809,77.2,0.2
189810,58.0,-7.0
189811,42.7,-5.4
189812,33.8,-2.7
189901,34.7,1.0
189902,22.7,-15.9
189903,36.8,-11.3
189904,61.8,0.9
189905,70.6,-0.8
189906,82.4,1.1
189907,86.0,-2.1
189908,86.4,0.6
189909,79.5,2.5
189910,66.1,1.1
189911,56.4,8.3
189912,35.1,-1.4
190001,41.4,7.7
190002,32.0,-6.6
190003,48.6,0.5
190004,61.8,0.9
190005,76.2,4.8
190006,85.2,3.9
190007,86.8,-1.3
190008,89.4,3.6
190009,76.0,-1.0
190010,69.0,4.0
190011,46.4,-1.7
190012,42.6,6.1
190101,38.4,4.7
190102,30.7,-7.9
190103,47.2,-0.9
190104,59.0,-1.9
190105,73.4,2.0
190106,82.4,1.1
190107,96.4,8.3
190108,88.3,2.5
190109,73.8,-3.2
190110,66.5,1.5
190111,52.6,4.5
190112,34.1,-2.4
190201,36.0,2.3
190202,32.8,-5.8
190203,49.3,1.2
190204,62.2,1.3
190205,74.5,3.1
190206,77.8,-3.5
190207,84.3,-3.8
190208,82.9,-2.9
190209,73.6,-3.4
190210,66.9,1.9
190211,49.4,1.3
190212,28.8,-7.7
190301,35.9,2.2
190302,28.3,-10.3
190303,45.3,-2.8
190304,62.1,1.2
190305,69.2,-2.2
190306,75.2,-6.1
190307,84.6,-3.5
190308,81.5,-4.3
190309,73.9,-3.1
190310,67.2,2.2
190311,46.8,-1.3
190312,39.6,3.1
190401,34.0,0.3
190402,37.6,-1.0
190403,52.4,4.3
190404,59.6,-1.3
190405,71.4,0.0
190406,77.2,-4.1
190407,83.2,-4.9
190408,83.8,-2.0
190409,77.6,0.6
190410,66.1,1.1
190411,56.3,8.2
190412,39.4,2.9
190501,26.5,-7.2
190502,26.8,-11.8
190503,53.3,5.2
190504,57.7,-3.2
190505,66.6,-4.8
190506,79.2,-2.1
190507,82.2,-5.9
190508,87.1,1.3
190509,79.0,2.0
190510,60.2,-4.8
190511,52.1,4.0
190512,41.2,4.7
190601,41.1,7.4
190602,42.1,3.5
190603,33.4,-14.7
190604,64.7,3.8
190605,72.8,1.4
190606,79.8,-1.5
190607,83.9,-4.2
190608,84.8,-1.0
190609,77.3,0.3
190610,60.5,-4.5
190611,44.7,-3.4
190612,40.2,3.7
190701,27.4,-6.3
190702,41.1,2.5
190703,55.2,7.1
190704,55.4,-5.5
190705,66.5,-4.9
190706,79.1,-2.2
190707,86.2,-1.9
190708,86.6,0.8
190709,76.6,-0.4
190710,67.3,2.3
190711,49.4,1.3
190712,39.2,2.7
190801,41.4,7.7
190802,38.6,0.0
190803,52.9,4.8
190804,65.9,5.0
190805,68.7,-2.7
190806,77.4,-3.9
190807,84.7,-3.4
190808,82.2,-3.6
190809,83.6,6.6
190810,61.6,-3.4
190811,50.1,2.0
190812,37.7,1.2
190901,33.0,-0.7
190902,40.2,1.6
190903,44.8,-3.3
190904,56.9,-4.0
190905,70.8,-0.6
190906,80.2,-1.1
190907,86.4,-1.7
190908,89.8,4.0
190909,77.0,0.0
190910,65.0,0.0
190911,50.2,2.1
190912,21.4,-15.1
191001,30.0,-3.7
191002,36.0,-2.6
191003,67.4,19.3
191004,67.8,6.9
191005,67.6,-3.8
191006,82.2,0.9
191007,89.5,1.4
191008,83.0,-2.8
191009,77.4,0.4
191010,71.3,6.3
191011,49.9,1.8
191012,35.7,-0.8
191101,38.0,4.3
191102,38.7,0.1
191103,57.6,9.5
191104,60.2,-0.7
191105,73.9,2.5
191106,89.7,8.4
191107,87.8,-0.3
191108,83.0,-2.8
191109,79.3,2.3
191110,57.8,-7.2
191111,42.8,-5.3
191112,33.5,-3.0
191201,22.7,-11.0
191202,34.4,-4.2
191203,32.7,-15.4
191204,60.9,0.0
191205,74.0,2.6
191206,77.8,-3.5
191207,87.0,-1.1
191208,83.4,-2.4
191209,70.1,-6.9
191210,64.7,-0.3
191211,53.9,5.8
191212,40.8,4.3
191301,35.0,1.3
191302,31.6,-7.0
191303,44.3,-3.8
191304,63.8,2.9
191305,71.2,-0.2
191306,83.0,1.7
191307,89.5,1.4
191308,93.0,7.2
191309,76.3,-0.7
191310,60.4,-4.6
191311,54.3,6.2
191312,35.7,-0.8
191401,40.9,7.2
191402,33.5,-5.1
191403,47.2,-0.9
191404,61.2,0.3
191405,72.3,0.9
191406,84.4,3.1
191407,90.0,1.9
191408,86.4,0.6
191409,78.6,1.6
191410,66.6,1.6
191411,57.3,9.2
191412,25.7,-10.8
191501,29.1,-4.6
191502,34.8,-3.8
191503,32.1,-16.0
191504,66.3,5.4
191505,66.8,-4.6
191506,74.3,-7.0
191507,80.1,-8.0
191508,78.0,-7.8
191509,73.9,-3.1
191510,68.5,3.5
191511,52.4,4.3
191512,37.4,0.9
191601,24.7,-9.0
191602,37.9,-0.7
191603,54.9,6.8
191604,59.1,-1.8
191605,71.6,0.2
