Nevada, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,37.9,-3.1
189502,43.5,-1.8
189503,51.4,-0.2
189504,61.8,1.8
189505,69.5,0.3
189506,78.5,-0.9
189507,86.2,-2.1
189508,87.0,0.8
189509,74.8,-2.7
189510,65.5,0.3
189511,48.4,-2.9
189512,39.4,-2.9
189601,44.7,3.7
189602,49.4,4.1
189603,50.5,-1.1
189604,54.2,-5.8
189605,62.1,-7.1
189606,83.7,4.3
189607,87.3,-1.0
189608,83.4,-2.8
189609,73.4,-4.1
189610,65.4,0.2
189611,47.7,-3.6
189612,46.7,4.4
189701,40.9,-0.1
189702,39.2,-6.1
189703,40.8,-10.8
189704,61.2,1.2
189705,75.4,6.2
189706,77.0,-2.4
189707,85.2,-3.1
189708,87.8,1.6
189709,74.9,-2.6
189710,59.2,-6.0
189711,51.3,0.0
189712,39.2,-3.1
189801,32.6,-8.4
189802,47.7,2.4
189803,46.1,-5.5
189804,65.6,5.6
189805,64.8,-4.4
189806,79.8,0.4
189807,89.5,1.2
189808,87.9,1.7
189809,77.8,0.3
189810,61.6,-3.6
189811,49.1,-2.2
189812,37.9,-4.4
189901,41.9,0.9
189902,44.5,-0.8
189903,49.4,-2.2
189904,60.6,0.6
189905,62.2,-7.0
189906,78.6,-0.8
189907,89.4,1.1
189908,78.9,-7.3
189909,80.5,3.0
189910,59.0,-6.2
189911,52.5,1.2
189912,39.5,-2.8
190001,47.4,6.4
190002,48.4,3.1
190003,58.0,6.4
190004,54.2,-5.8
190005,69.9,0.7
190006,84.3,4.9
190007,87.4,-0.9
190008,81.2,-5.0
190009,69.9,-7.6
190010,60.5,-4.7
190011,51.8,0.5
190012,44.9,2.6
190101,40.8,-0.2
190102,43.0,-2.3
190103,50.5,-1.1
190104,58.0,-2.0
190105,69.5,0.3
190106,76.5,-2.9
190107,89.4,1.1
190108,84.5,-1.7
190109,73.5,-4.0
190110,65.2,0.0
190111,55.1,3.8
190112,45.0,2.7
190201,40.8,-0.2
190202,47.2,1.9
190203,45.1,-6.5
190204,59.0,-1.0
190205,67.4,-1.8
190206,82.1,2.7
190207,84.3,-4.0
190208,83.7,-2.5
190209,77.5,0.0
190210,64.7,-0.5
190211,46.2,-5.1
190212,42.2,-0.1
190301,42.8,1.8
190302,31.5,-13.8
190303,48.0,-3.6
190304,56.9,-3.1
190305,67.6,-1.6
190306,80.0,0.6
190307,84.2,-4.1
190308,86.8,0.6
190309,74.3,-3.2
190310,66.1,0.9
190311,54.0,2.7
190312,43.3,1.0
190401,40.4,-0.6
190402,47.5,2.2
190403,50.6,-1.0
190404,59.7,-0.3
190405,70.4,1.2
190406,79.6,0.2
190407,85.5,-2.8
190408,85.0,-1.2
190409,76.2,-1.3
190410,62.9,-2.3
190411,56.4,5.1
190412,43.6,1.3
190501,43.8,2.8
190502,45.4,0.1
190503,53.2,1.6
190504,60.4,0.4
190505,63.4,-5.8
190506,79.0,-0.4
190507,89.2,0.9
190508,86.3,0.1
190509,77.4,-0.1
190510,63.5,-1.7
190511,49.7,-1.6
190512,35.5,-6.8
190601,38.9,-2.1
190602,46.1,0.8
190603,47.3,-4.3
190604,58.6,-1.4
190605,66.1,-3.1
190606,75.9,-3.5
190607,89.8,1.5
190608,85.7,-0.5
190609,76.7,-0.8
190610,66.4,1.2
190611,46.0,-5.3
190612,42.2,-0.1
190701,35.9,-5.1
190702,52.0,6.7
190703,48.0,-3.6
190704,63.3,3.3
190705,66.4,-2.8
190706,71.3,-8.1
190707,85.8,-2.5
190708,82.4,-3.8
190709,75.0,-2.5
190710,64.9,-0.3
190711,52.1,0.8
190712,44.6,2.3
190801,43.3,2.3
190802,45.1,-0.2
190803,53.9,2.3
190804,65.0,5.0
190805,63.6,-5.6
190806,76.2,-3.2
190807,89.4,1.1
190808,84.9,-1.3
190809,75.6,-1.9
190810,60.1,-5.1
190811,52.8,1.5
190812,39.9,-2.4
190901,45.8,4.8
190902,43.6,-1.7
190903,49.0,-2.6
190904,60.6,0.6
190905,67.6,-1.6
190906,81.7,2.3
190907,87.2,-1.1
190908,86.8,0.6
190909,75.5,-2.0
190910,65.3,0.1
190911,51.2,-0.1
190912,33.4,-8.9
191001,34.2,-6.8
191002,40.9,-4.4
191003,59.0,7.4
191004,66.2,6.2
191005,74.5,5.3
191006,82.3,2.9
191007,89.2,0.9
191008,87.4,1.2
191009,76.9,-0.6
191010,66.8,1.6
191011,54.4,3.1
191012,44.2,1.9
191101,42.3,1.3
191102,37.9,-7.4
191103,53.2,1.6
191104,58.5,-1.5
191105,65.8,-3.4
191106,78.8,-0.6
191107,87.4,-0.9
191108,85.9,-0.3
191109,75.0,-2.5
191110,62.7,-2.5
191111,49.7,-1.6
191112,39.3,-3.0
191201,43.3,2.3
191202,48.8,3.5
191203,47.8,-3.8
191204,54.0,-6.0
191205,66.5,-2.7
191206,79.0,-0.4
191207,83.3,-5.0
191208,83.8,-2.4
191209,72.6,-4.9
191210,58.8,-6.4
191211,53.3,2.0
191212,42.4,0.1
191301,37.9,-3.1
191302,42.4,-2.9
191303,49.6,-2.0
191304,60.8,0.8
191305,71.3,2.1
191306,74.9,-4.5
191307,83.1,-5.2
191308,84.7,-1.5
191309,76.6,-0.9
191310,63.5,-1.7
191311,50.5,-0.8
191312,40.3,-2.0
191401,41.8,0.8
191402,44.5,-0.8
191403,57.5,5.9
191404,59.5,-0.5
191405,71.7,2.5
191406,75.4,-4.0
191407,87.2,-1.1
191408,87.3,1.1
191409,76.6,-0.9
191410,64.6,-0.6
191411,57.1,5.8
191412,35.8,-6.5
191501,40.6,-0.4
191502,44.4,-0.9
191503,54.4,2.8
191504,61.8,1.8
191505,64.0,-5.2
191506,77.8,-1.6
191507,86.0,-2.3
191508,90.5,4.3
191509,75.3,-2.2
191510,70.2,5.0
191511,51.3,0.0
191512,42.2,-0.1
191601,33.1,-7.9
191602,46.7,1.4
191603,56.5,4.9
191604,63.1,3.1
191605,66.3,-2.9
191606,79.1,-0.3
191607,87.1,-1.2
191608,83.8,-2.4
191609,77.6,0.1
191610,58.4,-6.8
191611,48.9,-2.4
191612,38.3,-4.0
191701,30.5,-10.5
191702,40.4,-4.9
191703,44.4,-7.2
191704,56.2,-3.8
191705,60.9,-8.3
191706,80.9,1.5
191707,91.0,2.7
191708,86.9,0.7
191709,78.1,0.6
191710,70.3,5.1
191711,55.6,4.3
191712,51.9,9.6
191801,43.8,2.8
191802,44.2,-1.1
191803,53.1,1.5
191804,61.2,1.2
191805,67.2,-2.0
191806,87.4,8.0
191807,87.0,-1.3
191808,84.1,-2.1
191809,77.7,0.2
191810,65.1,-0.1
191811,48.4,-2.9
191812,39.0,-3.3
191901,43.0,2.0
191902,41.4,-3.9
191903,48.4,-3.2
191904,63.5,3.5
191905,75.2,6.0
191906,82.8,3.4
191907,91.1,2.8
191908,89.7,3.5
191909,77.3,-0.2
191910,56.3,-8.9
191911,50.2,-1.1
191912,40.2,-2.1
192001,46.3,5.3
192002,47.8,2.5
192003,48.6,-3.0
192004,56.1,-3.9
192005,69.8,0.6
192006,78.7,-0.7
192007,88.7,0.4
192008,85.7,-0.5
192009,76.6,-0.9
192010,60.4,-4.8
192011,48.6,-2.7
192012,41.0,-1.3
192101,42.6,1.6
192102,48.7,3.4
192103,56.9,5.3
192104,58.6,-1.4
192105,65.7,-3.5
192106,80.8,1.4
192107,89.5,1.2
192108,86.5,0.3
192109,77.9,0.4
192110,69.8,4.6
192111,57.9,6.6
192112,45.6,3.3
192201,33.1,-7.9
192202,38.0,-7.3
192203,46.0,-5.6
192204,54.4,-5.6
192205,69.9,0.7
192206,83.3,3.9
192207,89.4,1.1
192208,84.5,-1.7
192209,82.2,4.7
192210,65.9,0.7
192211,48.0,-3.3
192212,42.5,0.2
192301,43.6,2.6
192302,39.8,-5.5
192303,49.9,-1.7
192304,57.8,-2.2
192305,69.9,0.7
192306,73.2,-6.2
192307,88.5,0.2
192308,84.8,-1.4
192309,76.2,-1.3
192310,61.0,-4.2
192311,53.8,2.5
192312,40.0,-2.3
192401,37.6,-3.4
192402,52.3,7.0
192403,46.0,-5.6
192404,61.5,1.5
192405,76.4,7.2
192406,83.6,4.2
192407,89.0,0.7
192408,86.7,0.5
192409,79.4,1.9
192410,63.6,-1.6
192411,51.7,0.4
192412,36.2,-6.1
192501,42.1,1.1
192502,50.1,4.8
192503,55.0,3.4
192504,60.7,0.7
192505,72.9,3.7
192506,78.2,-1.2
192507,89.3,1.0
192508,82.8,-3.4
192509,73.5,-4.0
192510,62.8,-2.4
192511,50.0,-1.3
192512,44.9,2.6
192601,43.2,2.2
192602,48.3,3.0
192603,57.3,5.7
192604,64.8,4.8
192605,72.7,3.5
192606,85.4,6.0
192607,88.8,0.5
192608,86.5,0.3
192609,75.5,-2.0
192610,69.1,3.9
192611,56.1,4.8
192612,39.4,-2.9
192701,44.8,3.8
192702,45.8,0.5
192703,50.8,-0.8
192704,59.8,-0.2
192705,68.5,-0.7
192706,80.7,1.3
192707,89.9,1.6
192708,84.1,-2.1
192709,73.8,-3.7
192710,67.7,2.5
192711,55.3,4.0
192712,39.1,-3.2
192801,43.6,2.6
192802,47.0,1.7
192803,54.9,3.3
192804,59.4,-0.6
192805,74.9,5.7
192806,78.9,-0.5
192807,89.2,0.9
192808,87.0,0.8
192809,80.4,2.9
192810,64.9,-0.3
192811,51.0,-0.3
192812,39.2,-3.1
192901,38.6,-2.4
192902,39.6,-5.7
192903,51.8,0.2
192904,55.6,-4.4
192905,71.0,1.8
192906,78.4,-1.0
192907,89.7,1.4
192908,88.1,1.9
192909,75.8,-1.7
192910,68.8,3.6
192911,55.1,3.8
192912,51.8,9.5
193001,35.1,-5.9
193002,51.2,5.9
193003,53.0,1.4
193004,64.9,4.9
193005,63.1,-6.1
193006,82.0,2.6
193007,88.9,0.6
193008,84.4,-1.8
193009,75.1,-2.4
193010,62.0,-3.2
193011,49.9,-1.4
193012,39.4,-2.9
193101,42.7,1.7
193102,46.4,1.1
193103,53.8,2.2
193104,64.0,4.0
193105,74.2,5.0
193106,81.5,2.1
193107,94.1,5.8
193108,88.0,1.8
193109,75.4,-2.1
193110,66.8,1.6
193111,45.5,-5.8
193112,36.1,-6.2
193201,34.1,-6.9
193202,38.8,-6.5
193203,51.3,-0.3
193204,59.6,-0.4
193205,67.7,-1.5
193206,79.2,-0.2
193207,87.3,-1.0
193208,86.0,-0.2
193209,80.8,3.3
193210,64.4,-0.8
193211,56.9,5.6
193212,35.9,-6.4
193301,36.8,-4.2
193302,32.8,-12.5
193303,50.7,-0.9
193304,57.8,-2.2
193305,61.6,-7.6
193306,82.0,2.6
193307,92.0,3.7
193308,87.9,1.7
193309,80.3,2.8
193310,72.7,7.5
193311,55.9,4.6
193312,47.9,5.6
193401,47.7,6.7
193402,51.5,6.2
193403,63.9,12.3
193404,69.8,9.8
193405,77.2,8.0
193406,77.1,-2.3
193407,91.0,2.7
193408,89.6,3.4
193409,78.5,1.0
193410,67.7,2.5
193411,53.7,2.4
193412,43.2,0.9
193501,41.8,0.8
193502,46.9,1.6
193503,48.6,-3.0
193504,58.7,-1.3
193505,66.6,-2.6
193506,83.7,4.3
193507,87.2,-1.1
193508,88.1,1.9
193509,81.7,4.2
193510,63.6,-1.6
193511,46.5,-4.8
193512,42.7,0.4
193601,42.9,1.9
193602,42.9,-2.4
193603,53.9,2.3
193604,65.8,5.8
193605,74.2,5.0
193606,82.1,2.7
193607,89.7,1.4
193608,86.9,0.7
193609,77.5,0.0
193610,65.4,0.2
193611,53.3,2.0
193612,41.8,-0.5
193701,23.5,-17.5
193702,39.2,-6.1
193703,49.9,-1.7
193704,58.0,-2.0
193705,74.0,4.8
193706,78.9,-0.5
193707,89.7,1.4
193708,89.3,3.1
193709,81.2,3.7
193710,68.2,3.0
193711,54.5,3.2
193712,45.9,3.6
193801,43.4,2.4
193802,42.4,-2.9
193803,46.0,-5.6
193804,59.5,-0.5
193805,67.0,-2.2
193806,78.9,-0.5
193807,86.9,-1.4
193808,86.1,-0.1
193809,81.1,3.6
193810,62.8,-2.4
193811,45.9,-5.4
193812,45.1,2.8
193901,41.0,0.0
193902,37.0,-8.3
193903,52.8,1.2
193904,65.2,5.2
193905,72.0,2.8
193906,79.9,0.5
193907,89.8,1.5
193908,89.2,3.0
193909,76.6,-0.9
193910,63.5,-1.7
193911,56.4,5.1
193912,49.5,7.2
194001,42.2,1.2
194002,44.9,-0.4
194003,55.5,3.9
194004,61.1,1.1
194005,76.3,7.1
194006,86.1,6.7
194007,89.3,1.0
194008,90.3,4.1
194009,74.3,-3.2
194010,66.8,1.6
194011,47.9,-3.4
194012,44.3,2.0
194101,42.4,1.4
194102,47.2,1.9
194103,53.5,1.9
194104,54.3,-5.7
194105,70.4,1.2
194106,75.8,-3.6
194107,87.4,-0.9
194108,81.7,-4.5
194109,72.2,-5.3
194110,59.7,-5.5
194111,52.7,1.4
194112,42.4,0.1
194201,37.5,-3.5
194202,39.9,-5.4
194203,49.4,-2.2
194204,59.8,-0.2
194205,64.9,-4.3
194206,78.1,-1.3
194207,91.5,3.2
194208,87.8,1.6
194209,79.0,1.5
194210,66.9,1.7
194211,52.9,1.6
194212,45.9,3.6
194301,43.0,2.0
194302,48.3,3.0
194303,51.8,0.2
194304,64.9,4.9
194305,69.4,0.2
194306,73.7,-5.7
194307,88.1,-0.2
194308,85.6,-0.6
194309,82.9,5.4
194310,64.7,-0.5
194311,52.8,1.5
194312,42.2,-0.1
194401,37.3,-3.7
194402,40.3,-5.0
194403,48.4,-3.2
194404,55.7,-4.3
194405,69.5,0.3
194406,72.4,-7.0
194407,87.2,-1.1
194408,87.1,0.9
194409,80.1,2.6
194410,69.1,3.9
194411,43.0,-8.3
194412,41.4,-0.9
194501,42.3,1.3
194502,44.3,-1.0
194503,46.4,-5.2
194504,58.0,-2.0
194505,68.2,-1.0
194506,74.5,-4.9
194507,89.6,1.3
194508,84.7,-1.5
194509,77.0,-0.5
194510,66.3,1.1
194511,49.3,-2.0
194512,39.9,-2.4
194601,41.6,0.6
194602,44.9,-0.4
194603,51.6,0.0
194604,64.5,4.5
194605,69.1,-0.1
194606,80.8,1.4
194607,88.1,-0.2
194608,87.8,1.6
194609,77.7,0.2
194610,56.4,-8.8
194611,45.6,-5.7
194612,44.3,2.0
194701,40.0,-1.0
194702,51.8,6.5
194703,56.2,4.6
194704,60.5,0.5
194705,75.1,5.9
194706,75.9,-3.5
194707,88.4,0.1
194708,85.2,-1.0
194709,81.4,3.9
194710,66.4,1.2
194711,44.5,-6.8
