New Hampshire, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,26.7,-0.9
189502,25.4,-4.2
189503,34.2,-5.0
189504,51.5,-0.4
189505,69.0,3.8
189506,77.0,3.2
189507,75.2,-3.3
189508,74.9,-1.0
189509,71.0,2.7
189510,51.7,-5.5
189511,44.8,1.8
189512,34.9,4.0
189601,24.2,-3.4
189602,28.2,-1.4
189603,33.0,-6.2
189604,54.8,2.9
189605,69.3,4.1
189606,72.7,-1.1
189607,78.6,0.1
189608,76.0,0.1
189609,65.6,-2.7
189610,51.2,-6.0
189611,45.5,2.5
189612,28.2,-2.7
189701,28.5,0.9
189702,30.8,1.2
189703,37.4,-1.8
189704,54.1,2.2
189705,64.0,-1.2
189706,68.7,-5.1
189707,78.9,0.4
189708,74.1,-1.8
189709,67.7,-0.6
189710,59.1,1.9
189711,39.7,-3.3
189712,31.2,0.3
189801,26.1,-1.5
189802,32.6,3.0
189803,45.1,5.9
189804,48.3,-3.6
189805,62.8,-2.4
189806,72.9,-0.9
189807,79.4,0.9
189808,76.7,0.8
189809,70.7,2.4
189810,56.7,-0.5
189811,40.7,-2.3
189812,30.2,-0.7
189901,27.3,-0.3
189902,25.7,-3.9
189903,33.5,-5.7
189904,52.6,0.7
189905,65.8,0.6
189906,76.4,2.6
189907,77.8,-0.7
189908,76.2,0.3
189909,65.8,-2.5
189910,57.0,-0.2
189911,39.8,-3.2
189912,33.8,2.9
190001,29.8,2.2
190002,28.2,-1.4
190003,33.3,-5.9
190004,51.2,-0.7
190005,62.6,-2.6
190006,76.2,2.4
190007,79.3,0.8
190008,76.6,0.7
190009,70.3,2.0
190010,60.5,3.3
190011,43.2,0.2
190012,30.0,-0.9
190101,25.7,-1.9
190102,22.2,-7.4
190103,36.6,-2.6
190104,52.1,0.2
190105,63.3,-1.9
190106,76.2,2.4
190107,79.9,1.4
190108,76.0,0.1
190109,69.5,1.2
190110,57.8,0.6
190111,35.9,-7.1
190112,31.4,0.5
190201,26.3,-1.3
190202,29.3,-0.3
190203,45.6,6.4
190204,52.7,0.8
190205,63.2,-2.0
190206,69.7,-4.1
190207,73.4,-5.1
190208,72.0,-3.9
190209,67.0,-1.3
190210,54.8,-2.4
190211,47.5,4.5
190212,27.6,-3.3
190301,27.5,-0.1
190302,31.2,1.6
190303,47.0,7.8
190304,52.8,0.9
190305,70.0,4.8
190306,66.8,-7.0
190307,75.3,-3.2
190308,68.5,-7.4
190309,70.7,2.4
190310,55.2,-2.0
190311,39.4,-3.6
190312,27.0,-3.9
190401,19.4,-8.2
190402,22.1,-7.5
190403,35.5,-3.7
190404,48.5,-3.4
190405,69.9,4.7
190406,72.9,-0.9
190407,77.2,-1.3
190408,73.3,-2.6
190409,65.3,-3.0
190410,52.4,-4.8
190411,36.7,-6.3
190412,22.9,-8.0
190501,22.9,-4.7
190502,23.5,-6.1
190503,38.3,-0.9
190504,51.2,-0.7
190505,64.1,-1.1
190506,71.7,-2.1
190507,78.0,-0.5
190508,73.5,-2.4
190509,65.7,-2.6
190510,56.8,-0.4
190511,40.5,-2.5
190512,33.4,2.5
190601,33.9,6.3
190602,30.9,1.3
190603,32.0,-7.2
190604,51.0,-0.9
190605,63.6,-1.6
190606,73.0,-0.8
190607,78.0,-0.5
190608,78.9,3.0
190609,71.9,3.6
190610,57.1,-0.1
190611,39.4,-3.6
190612,26.4,-4.5
190701,24.6,-3.0
190702,22.4,-7.2
190703,38.6,-0.6
190704,47.1,-4.8
190705,58.2,-7.0
190706,72.8,-1.0
190707,77.6,-0.9
190708,74.2,-1.7
190709,65.6,-2.7
