New Jersey, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,34.8,-3.4
189502,31.8,-8.0
189503,44.6,-4.4
189504,57.8,-2.6
189505,71.1,-0.3
189506,81.4,1.7
189507,80.1,-4.1
189508,84.4,2.3
189509,80.2,4.5
189510,60.4,-4.7
189511,53.0,0.4
189512,43.9,2.5
189601,34.5,-3.7
189602,39.3,-0.5
189603,41.7,-7.3
189604,62.5,2.1
189605,75.5,4.1
189606,77.7,-2.0
189607,83.3,-0.9
189608,83.0,0.9
189609,73.8,-1.9
189610,58.6,-6.5
189611,56.1,3.5
189612,38.9,-2.5
189701,35.6,-2.6
189702,38.8,-1.0
189703,48.3,-0.7
189704,61.3,0.9
189705,70.2,-1.2
189706,76.2,-3.5
189707,82.2,-2.0
189708,79.8,-2.3
189709,75.3,-0.4
189710,64.6,-0.5
189711,50.6,-2.0
189712,41.3,-0.1
189801,38.6,0.4
189802,40.3,0.5
189803,53.4,4.4
189804,56.7,-3.7
189805,66.9,-4.5
189806,80.2,0.5
189807,84.1,-0.1
189808,82.3,0.2
189809,77.9,2.2
189810,64.4,-0.7
189811,49.0,-3.6
189812,39.4,-2.0
189901,37.5,-0.7
189902,32.4,-7.4
189903,44.2,-4.8
189904,61.2,0.8
189905,71.8,0.4
189906,82.6,2.9
189907,83.1,-1.1
189908,80.2,-1.9
189909,73.4,-2.3
189910,64.5,-0.6
189911,51.1,-1.5
189912,42.5,1.1
190001,39.4,1.2
190002,38.7,-1.1
190003,43.3,-5.7
190004,60.9,0.5
190005,72.0,0.6
190006,80.2,0.5
190007,85.7,1.5
190008,85.6,3.5
190009,78.3,2.6
190010,67.0,1.9
190011,54.0,1.4
190012,40.9,-0.5
190101,37.2,-1.0
190102,31.9,-7.9
190103,47.0,-2.0
190104,55.5,-4.9
190105,67.0,-4.4
190106,80.7,1.0
190107,85.8,1.6
190108,81.6,-0.5
190109,76.0,0.3
190110,64.9,-0.2
190111,44.8,-7.8
190112,39.7,-1.7
190201,35.6,-2.6
190202,33.7,-6.1
190203,52.2,3.2
190204,59.7,-0.7
190205,70.8,-0.6
190206,78.3,-1.4
190207,82.2,-2.0
190208,80.0,-2.1
190209,72.8,-2.9
190210,64.4,-0.7
190211,56.9,4.3
190212,38.4,-3.0
190301,36.9,-1.3
190302,41.7,1.9
190303,56.2,7.2
190304,60.2,-0.2
190305,74.1,2.7
190306,71.5,-8.2
190307,83.0,-1.2
