New Mexico, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,45.8,-1.7
189502,44.1,-7.9
189503,59.1,0.6
189504,68.3,1.1
189505,74.5,-1.8
189506,82.4,-3.2
189507,84.0,-3.2
189508,83.4,-1.5
189509,80.2,1.1
189510,65.2,-4.2
189511,51.0,-5.9
189512,45.0,-3.2
189601,50.2,2.7
189602,51.0,-1.0
189603,60.2,1.7
189604,69.8,2.6
189605,80.8,4.5
189606,89.7,4.1
189607,85.0,-2.2
189608,85.3,0.4
189609,77.3,-1.8
189610,63.0,-6.4
189611,56.6,-0.3
189612,51.9,3.7
189701,40.5,-7.0
189702,49.1,-2.9
189703,56.7,-1.8
189704,67.7,0.5
189705,76.8,0.5
189706,84.2,-1.4
189707,84.9,-2.3
189708,84.0,-0.9
189709,77.0,-2.1
189710,66.2,-3.2
189711,60.5,3.6
189712,46.2,-2.0
189801,43.1,-4.4
189802,56.0,4.0
189803,56.8,-1.7
189804,68.7,1.5
189805,75.7,-0.6
189806,83.4,-2.2
189807,84.3,-2.9
189808,84.7,-0.2
189809,79.2,0.1
189810,70.2,0.8
189811,54.4,-2.5
189812,39.9,-8.3
189901,45.3,-2.2
189902,46.7,-5.3
189903,59.9,1.4
189904,68.0,0.8
189905,77.0,0.7
189906,85.0,-0.6
189907,84.5,-2.7
189908,86.1,1.2
189909,80.4,1.3
189910,67.7,-1.7
189911,57.8,0.9
189912,48.1,-0.1
190001,51.6,4.1
190002,52.5,0.5
190003,61.6,3.1
190004,62.0,-5.2
190005,76.9,0.6
190006,87.6,2.0
190007,87.8,0.6
190008,86.9,2.0
190009,76.7,-2.4
190010,68.4,-1.0
190011,59.8,2.9
190012,50.8,2.6
190101,50.2,2.7
190102,50.5,-1.5
190103,57.9,-0.6
190104,65.9,-1.3
190105,76.1,-0.2
190106,85.3,-0.3
190107,87.7,0.5
190108,86.4,1.5
190109,78.9,-0.2
190110,69.7,0.3
190111,59.2,2.3
190112,49.9,1.7
190201,48.9,1.4
190202,54.1,2.1
190203,54.3,-4.2
190204,71.6,4.4
190205,77.1,0.8
190206,89.0,3.4
190207,84.4,-2.8
190208,85.0,0.1
190209,77.4,-1.7
190210,70.4,1.0
190211,55.8,-1.1
190212,46.4,-1.8
190301,47.2,-0.3
190302,43.6,-8.4
190303,56.8,-1.7
190304,66.0,-1.2
190305,74.2,-2.1
190306,78.0,-7.6
190307,88.8,1.6
190308,86.2,1.3
190309,76.9,-2.2
190310,69.6,0.2
190311,62.4,5.5
190312,49.9,1.7
190401,46.5,-1.0
190402,58.6,6.6
190403,62.8,4.3
190404,69.8,2.6
190405,76.0,-0.3
190406,82.0,-3.6
190407,85.6,-1.6
190408,83.4,-1.5
190409,77.2,-1.9
190410,65.2,-4.2
190411,58.1,1.2
190412,45.4,-2.8
190501,46.4,-1.1
190502,43.2,-8.8
190503,56.3,-2.2
190504,61.3,-5.9
190505,74.5,-1.8
190506,84.6,-1.0
190507,84.5,-2.7
190508,85.7,0.8
190509,78.1,-1.0
190510,66.6,-2.8
190511,53.0,-3.9
190512,40.0,-8.2
190601,46.1,-1.4
190602,51.0,-1.0
190603,57.5,-1.0
190604,64.9,-2.3
190605,76.0,-0.3
190606,86.3,0.7
190607,82.6,-4.6
190608,81.0,-3.9
190609,77.5,-1.6
190610,67.0,-2.4
190611,51.4,-5.5
190612,50.5,2.3
190701,48.2,0.7
190702,58.2,6.2
190703,64.4,5.9
190704,67.3,0.1
190705,70.1,-6.2
190706,81.7,-3.9
190707,86.2,-1.0
190708,83.3,-1.6
190709,78.7,-0.4
190710,66.8,-2.6
190711,51.4,-5.5
190712,49.9,1.7
190801,49.2,1.7
190802,50.4,-1.6
190803,63.0,4.5
190804,66.0,-1.2
190805,73.3,-3.0
190806,85.2,-0.4
190807,83.7,-3.5
190808,81.5,-3.4
190809,78.7,-0.4
190810,66.6,-2.8
190811,55.2,-1.7
190812,47.8,-0.4
190901,53.7,6.2
190902,51.7,-0.3
190903,55.1,-3.4
190904,67.0,-0.2
190905,74.1,-2.2
190906,86.6,1.0
190907,87.7,0.5
190908,83.2,-1.7
190909,77.2,-1.9
190910,70.3,0.9
190911,59.7,2.8
190912,39.2,-9.0
191001,48.7,1.2
191002,50.5,-1.5
191003,66.4,7.9
191004,69.4,2.2
191005,78.1,1.8
191006,87.2,1.6
191007,89.9,2.7
191008,86.1,1.2
191009,81.8,2.7
191010,70.2,0.8
191011,60.5,3.6
191012,50.8,2.6
191101,52.8,5.3
191102,47.6,-4.4
191103,60.9,2.4
191104,66.6,-0.6
191105,77.4,1.1
191106,84.7,-0.9
191107,82.0,-5.2
191108,86.4,1.5
191109,80.7,1.6
191110,66.4,-3.0
191111,52.6,-4.3
191112,41.4,-6.8
191201,48.7,1.2
191202,50.6,-1.4
191203,55.2,-3.3
191204,62.1,-5.1
191205,76.3,0.0
191206,82.6,-3.0
191207,86.4,-0.8
191208,83.8,-1.1
191209,75.5,-3.6
191210,66.4,-3.0
191211,57.0,0.1
191212,42.6,-5.6
191301,43.5,-4.0
191302,46.9,-5.1
191303,54.4,-4.1
191304,66.6,-0.6
191305,77.9,1.6
191306,80.9,-4.7
191307,87.6,0.4
191308,85.3,0.4
191309,74.2,-4.9
191310,66.9,-2.5
191311,57.4,0.5
191312,40.2,-8.0
191401,50.7,3.2
191402,51.6,-0.4
191403,59.4,0.9
191404,67.4,0.2
191405,74.9,-1.4
191406,83.6,-2.0
191407,82.3,-4.9
191408,84.2,-0.7
191409,80.0,0.9
191410,67.1,-2.3
191411,59.6,2.7
191412,40.9,-7.3
191501,42.6,-4.9
191502,48.8,-3.2
191503,50.9,-7.6
191504,64.3,-2.9
191505,72.3,-4.0
191506,84.7,-0.9
191507,84.9,-2.3
191508,82.4,-2.5
191509,77.3,-1.8
191510,71.4,2.0
191511,59.7,2.8
191512,49.7,1.5
191601,47.4,-0.1
191602,56.4,4.4
191603,63.8,5.3
191604,66.0,-1.2
191605,77.1,0.8
191606,87.4,1.8
191607,86.2,-1.0
191608,82.0,-2.9
191609,78.1,-1.0
