Arkansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,46.0,-3.5
189502,43.0,-10.8
189503,62.1,-0.5
189504,74.5,2.4
189505,79.5,-0.4
189506,87.2,-0.5
189507,87.9,-3.7
189508,89.7,-1.3
189509,87.8,2.9
189510,69.8,-4.9
189511,59.4,-1.8
189512,52.3,0.8
189601,48.9,-0.6
189602,54.6,0.8
189603,58.0,-4.6
189604,77.9,5.8
189605,85.2,5.3
189606,88.6,0.9
189607,95.3,3.7
189608,95.2,4.2
189609,85.6,0.7
189610,71.8,-2.9
189611,61.8,0.6
189612,56.4,4.9
189701,46.8,-2.7
189702,55.1,1.3
189703,64.7,2.1
189704,71.2,-0.9
189705,79.7,-0.2
189706,88.9,1.2
189707,94.3,2.7
189708,91.8,0.8
189709,90.5,5.6
189710,81.6,6.9
189711,61.9,0.7
189712,47.7,-3.8
189801,52.5,3.0
189802,54.7,0.9
189803,64.1,1.5
189804,69.0,-3.1
189805,83.0,3.1
189806,88.6,0.9
189807,90.3,-1.3
189808,89.8,-1.2
189809,85.4,0.5
189810,70.1,-4.6
189811,57.9,-3.3
189812,48.3,-3.2
189901,48.2,-1.3
189902,42.0,-11.8
189903,61.7,-0.9
189904,70.1,-2.0
189905,82.1,2.2
189906,87.6,-0.1
189907,90.4,-1.2
189908,94.7,3.7
189909,85.7,0.8
189910,77.8,3.1
189911,65.1,3.9
189912,50.2,-1.3
190001,52.0,2.5
190002,50.4,-3.4
190003,62.0,-0.6
190004,73.0,0.9
190005,80.2,0.3
190006,86.1,-1.6
190007,89.3,-2.3
190008,92.0,1.0
190009,87.5,2.6
190010,76.3,1.6
190011,62.5,1.3
190012,54.3,2.8
190101,54.7,5.2
190102,49.9,-3.9
190103,62.2,-0.4
190104,68.9,-3.2
190105,80.0,0.1
190106,91.4,3.7
190107,97.8,6.2
190108,92.6,1.6
190109,84.8,-0.1
190110,76.4,1.7
190111,61.2,0.0
190112,47.5,-4.0
190201,47.3,-2.2
190202,42.5,-11.3
190203,62.7,0.1
190204,71.6,-0.5
190205,83.7,3.8
190206,88.6,0.9
190207,90.4,-1.2
190208,91.8,0.8
190209,79.6,-5.3
190210,74.5,-0.2
190211,63.8,2.6
190212,47.7,-3.8
190301,48.4,-1.1
190302,49.3,-4.5
190303,63.4,0.8
190304,71.4,-0.7
190305,76.8,-3.1
190306,81.5,-6.2
190307,89.8,-1.8
190308,88.9,-2.1
190309,83.0,-1.9
190310,73.1,-1.6
190311,58.8,-2.4
190312,50.4,-1.1
190401,49.6,0.1
190402,53.6,-0.2
190403,66.0,3.4
190404,66.9,-5.2
190405,78.3,-1.6
190406,85.5,-2.2
190407,88.1,-3.5
190408,88.7,-2.3
190409,86.0,1.1
190410,75.6,0.9
190411,62.7,1.5
190412,51.4,-0.1
190501,41.2,-8.3
190502,40.3,-13.5
190503,67.5,4.9
190504,69.8,-2.3
190505,79.1,-0.8
190506,87.1,-0.6
190507,85.8,-5.8
190508,89.5,-1.5
190509,85.0,0.1
190510,71.6,-3.1
190511,64.0,2.8
190512,46.2,-5.3
190601,52.1,2.6
190602,52.4,-1.4
190603,53.2,-9.4
190604,74.9,2.8
190605,80.2,0.3
190606,87.3,-0.4
190607,87.0,-4.6
190608,88.5,-2.5
190609,85.5,0.6
190610,69.1,-5.6
190611,60.7,-0.5
190612,54.4,2.9
190701,58.4,8.9
190702,55.5,1.7
190703,72.3,9.7
190704,64.2,-7.9
190705,73.8,-6.1
190706,85.5,-2.2
190707,92.7,1.1
190708,93.5,2.5
190709,86.3,1.4
190710,74.0,-0.7
190711,59.3,-1.9
190712,52.7,1.2
190801,50.3,0.8
190802,53.4,-0.4
190803,69.7,7.1
190804,73.1,1.0
190805,79.5,-0.4
190806,85.9,-1.8
190807,90.2,-1.4
190808,89.5,-1.5
190809,84.6,-0.3
190810,72.7,-2.0
190811,64.4,3.2
190812,55.4,3.9
190901,52.1,2.6
190902,58.4,4.6
190903,62.7,0.1
190904,71.7,-0.4
190905,77.5,-2.4
190906,86.9,-0.8
190907,92.7,1.1
190908,94.7,3.7
190909,87.6,2.7
190910,76.5,1.8
190911,69.8,8.6
190912,44.2,-7.3
191001,51.8,2.3
191002,49.0,-4.8
191003,73.2,10.6
191004,70.2,-1.9
191005,76.4,-3.5
191006,84.6,-3.1
191007,89.0,-2.6
191008,88.9,-2.1
191009,88.4,3.5
191010,75.3,0.6
191011,63.1,1.9
191012,50.0,-1.5
191101,56.5,7.0
191102,59.3,5.5
191103,68.0,5.4
191104,70.3,-1.8
191105,83.6,3.7
191106,93.5,5.8
191107,88.4,-3.2
191108,87.0,-4.0
191109,89.4,4.5
191110,73.2,-1.5
191111,57.8,-3.4
191112,51.1,-0.4
191201,44.0,-5.5
191202,47.8,-6.0
191203,53.2,-9.4
191204,71.1,-1.0
191205,80.3,0.4
191206,83.7,-4.0
191207,91.7,0.1
191208,89.4,-1.6
191209,87.1,2.2
191210,76.0,1.3
191211,62.2,1.0
191212,51.0,-0.5
191301,53.4,3.9
191302,49.4,-4.4
191303,60.4,-2.2
191304,71.8,-0.3
191305,80.3,0.4
191306,89.8,2.1
191307,92.3,0.7
191308,94.9,3.9
191309,81.5,-3.4
191310,70.2,-4.5
191311,66.1,4.9
191312,50.1,-1.4
191401,55.8,6.3
191402,49.7,-4.1
191403,59.8,-2.8
191404,70.8,-1.3
191405,80.2,0.3
191406,94.5,6.8
191407,94.0,2.4
191408,87.2,-3.8
191409,84.3,-0.6
191410,72.5,-2.2
191411,63.5,2.3
191412,41.0,-10.5
191501,46.9,-2.6
191502,54.2,0.4
191503,50.1,-12.5
191504,74.8,2.7
191505,80.6,0.7
191506,86.0,-1.7
191507,89.8,-1.8
191508,83.8,-7.2
191509,85.2,0.3
191510,75.9,1.2
191511,65.2,4.0
191512,53.8,2.3
191601,53.0,3.5
191602,53.4,-0.4
191603,64.8,2.2
191604,69.6,-2.5
191605,82.5,2.6
191606,85.5,-2.2
191607,94.0,2.4
191608,93.0,2.0
191609,84.2,-0.7
191610,76.2,1.5
191611,64.3,3.1
191612,52.2,0.7
191701,52.9,3.4
191702,55.5,1.7
191703,63.0,0.4
191704,71.2,-0.9
191705,74.6,-5.3
191706,86.8,-0.9
191707,90.8,-0.8
191708,88.0,-3.0
191709,83.6,-1.3
191710,71.7,-3.0
191711,62.6,1.4
191712,44.1,-7.4
191801,37.0,-12.5
191802,58.1,4.3
191803,69.8,7.2
191804,70.2,-1.9
191805,83.1,3.2
191806,91.6,3.9
191807,92.9,1.3
191808,95.2,4.2
191809,79.5,-5.4
191810,74.9,0.2
191811,58.7,-2.5
191812,56.6,5.1
191901,50.8,1.3
191902,54.2,0.4
191903,64.2,1.6
191904,72.7,0.6
191905,75.9,-4.0
191906,86.4,-1.3
