New York, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,26.7,-2.1
189502,23.6,-6.8
189503,34.4,-5.8
189504,52.8,-0.6
189505,69.5,3.4
189506,79.6,4.7
189507,76.0,-3.4
189508,76.8,-0.3
189509,72.5,2.7
189510,52.0,-6.6
189511,45.7,1.3
189512,36.9,4.5
189601,25.0,-3.8
189602,29.5,-0.9
189603,32.2,-8.0
189604,57.5,4.1
189605,71.0,4.9
189606,74.7,-0.2
189607,79.1,-0.3
189608,78.0,0.9
189609,67.7,-2.1
189610,52.2,-6.4
189611,48.2,3.8
189612,31.2,-1.2
189701,28.1,-0.7
189702,31.0,0.6
189703,39.8,-0.4
189704,54.4,1.0
189705,64.7,-1.4
189706,70.9,-4.0
189707,80.2,0.8
189708,74.2,-2.9
189709,70.0,0.2
189710,61.2,2.6
189711,42.7,-1.7
189712,33.6,1.2
189801,29.3,0.5
189802,32.1,1.7
189803,47.6,7.4
189804,50.7,-2.7
189805,64.4,-1.7
189806,76.0,1.1
189807,82.0,2.6
189808,77.6,0.5
189809,72.3,2.5
189810,58.0,-0.6
189811,42.7,-1.7
189812,32.3,-0.1
189901,29.2,0.4
189902,26.2,-4.2
189903,35.8,-4.4
189904,56.0,2.6
189905,66.8,0.7
189906,77.5,2.6
189907,79.3,-0.1
189908,79.9,2.8
189909,67.7,-2.1
189910,60.4,1.8
189911,42.6,-1.8
189912,34.2,1.8
190001,30.7,1.9
190002,28.9,-1.5
190003,32.5,-7.7
190004,53.3,-0.1
190005,66.7,0.6
190006,77.2,2.3
190007,80.5,1.1
190008,80.6,3.5
190009,73.0,3.2
190010,63.8,5.2
190011,44.3,-0.1
190012,31.5,-0.9
190101,28.5,-0.3
190102,21.9,-8.5
190103,37.2,-3.0
190104,52.9,-0.5
190105,64.3,-1.8
190106,77.0,2.1
190107,82.3,2.9
190108,77.1,0.0
190109,69.9,0.1
190110,58.2,-0.4
190111,37.2,-7.2
190112,31.5,-0.9
190201,26.8,-2.0
190202,27.4,-3.0
190203,45.0,4.8
190204,53.6,0.2
190205,64.8,-1.3
190206,70.6,-4.3
190207,76.8,-2.6
190208,74.0,-3.1
190209,69.3,-0.5
190210,56.5,-2.1
190211,50.4,6.0
190212,29.4,-3.0
190301,28.0,-0.8
190302,31.9,1.5
190303,48.2,8.0
190304,53.6,0.2
190305,71.0,4.9
190306,69.6,-5.3
190307,76.6,-2.8
190308,70.2,-6.9
190309,70.8,1.0
190310,57.6,-1.0
190311,40.0,-4.4
190312,26.9,-5.5
190401,21.5,-7.3
190402,23.0,-7.4
190403,36.2,-4.0
190404,48.0,-5.4
190405,70.1,4.0
190406,75.0,0.1
190407,77.2,-2.2
190408,74.8,-2.3
190409,67.5,-2.3
190410,54.6,-4.0
190411,40.2,-4.2
190412,25.5,-6.9
190501,23.6,-5.2
190502,23.8,-6.6
190503,39.8,-0.4
190504,52.3,-1.1
190505,65.7,-0.4
190506,73.6,-1.3
190507,78.5,-0.9
190508,75.0,-2.1
190509,69.2,-0.6
190510,58.6,0.0
190511,41.4,-3.0
190512,35.1,2.7
190601,35.9,7.1
190602,31.3,0.9
190603,32.4,-7.8
190604,53.6,0.2
190605,65.8,-0.3
190606,75.9,1.0
190607,78.6,-0.8
190608,79.5,2.4
190609,73.6,3.8
190610,57.3,-1.3
190611,41.4,-3.0
190612,29.2,-3.2
190701,28.3,-0.5
190702,24.2,-6.2
190703,42.6,2.4
190704,47.4,-6.0
190705,60.2,-5.9
190706,73.0,-1.9
190707,78.3,-1.1
190708,75.6,-1.5
190709,68.3,-1.5
190710,53.2,-5.4
190711,41.3,-3.1
190712,34.8,2.4
190801,29.3,0.5
190802,26.3,-4.1
190803,40.3,0.1
190804,52.1,-1.3
190805,67.1,1.0
190806,77.4,2.5
190807,81.3,1.9
190808,76.3,-0.8
190809,75.1,5.3
190810,61.8,3.2
190811,44.0,-0.4
190812,32.2,-0.2
190901,31.4,2.6
190902,34.2,3.8
190903,36.1,-4.1
190904,51.9,-1.5
190905,64.2,-1.9
190906,75.2,0.3
190907,77.4,-2.0
190908,76.7,-0.4
190909,69.2,-0.6
190910,53.9,-4.7
190911,48.4,4.0
190912,27.7,-4.7
191001,29.6,0.8
191002,28.2,-2.2
191003,48.1,7.9
191004,58.3,4.9
191005,63.5,-2.6
191006,72.4,-2.5
191007,81.0,1.6
191008,76.3,-0.8
191009,69.3,-0.5
191010,60.0,1.4
191011,37.6,-6.8
191012,25.6,-6.8
191101,31.3,2.5
191102,29.4,-1.0
191103,36.9,-3.3
191104,52.0,-1.4
191105,74.6,8.5
191106,73.8,-1.1
191107,83.0,3.6
191108,77.7,0.6
191109,68.7,-1.1
191110,56.2,-2.4
191111,40.0,-4.4
191112,37.3,4.9
191201,19.6,-9.2
191202,25.8,-4.6
191203,35.0,-5.2
191204,52.3,-1.1
191205,66.7,0.6
191206,72.5,-2.4
191207,80.1,0.7
191208,72.0,-5.1
