North Dakota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,6.8,-9.6
189502,15.7,-6.2
189503,35.7,0.8
189504,63.2,10.0
189505,65.5,-1.3
189506,71.2,-4.0
189507,79.9,-2.4
189508,80.2,-0.7
189509,71.2,1.5
189510,54.7,-1.8
189511,28.6,-7.2
189512,22.9,0.8
189601,13.9,-2.5
189602,24.8,2.9
189603,25.9,-9.0
189604,49.3,-3.9
189605,66.9,0.1
189606,76.6,1.4
189607,80.1,-2.2
189608,79.1,-1.8
189609,64.8,-4.9
189610,52.0,-4.5
189611,13.0,-22.8
189612,23.3,1.2
189701,11.9,-4.5
189702,16.8,-5.1
189703,21.3,-13.6
189704,50.6,-2.6
189705,70.6,3.8
189706,73.8,-1.4
189707,81.5,-0.8
189708,77.5,-3.4
189709,79.6,9.9
189710,58.1,1.6
189711,29.2,-6.6
189712,20.2,-1.9
189801,24.1,7.7
189802,25.6,3.7
189803,30.4,-4.5
189804,53.5,0.3
189805,65.6,-1.2
189806,73.9,-1.3
189807,80.8,-1.5
189808,80.0,-0.9
189809,70.4,0.7
189810,46.2,-10.3
189811,31.0,-4.8
189812,20.9,-1.2
189901,13.8,-2.6
189902,8.2,-13.7
189903,18.4,-16.5
189904,48.9,-4.3
189905,60.7,-6.1
189906,73.4,-1.8
189907,81.8,-0.5
189908,77.2,-3.7
189909,70.2,0.5
189910,51.2,-5.3
189911,45.4,9.6
189912,21.4,-0.7
190001,26.1,9.7
190002,14.0,-7.9
190003,31.2,-3.7
190004,63.2,10.0
190005,75.1,8.3
190006,81.2,6.0
190007,82.1,-0.2
190008,81.6,0.7
190009,64.6,-5.1
190010,58.0,1.5
190011,27.7,-8.1
190012,25.5,3.4
190101,17.2,0.8
190102,16.7,-5.2
190103,35.1,0.2
190104,55.8,2.6
190105,76.2,9.4
190106,72.5,-2.7
190107,83.2,0.9
190108,80.7,-0.2
190109,63.7,-6.0
190110,60.1,3.6
190111,37.1,1.3
190112,20.0,-2.1
190201,21.2,4.8
190202,19.4,-2.5
190203,33.8,-1.1
190204,51.3,-1.9
190205,67.5,0.7
190206,68.8,-6.4
190207,80.3,-2.0
190208,77.4,-3.5
190209,68.0,-1.7
190210,55.4,-1.1
190211,34.9,-0.9
190212,15.8,-6.3
190301,20.0,3.6
190302,14.6,-7.3
190303,31.3,-3.6
190304,55.1,1.9
190305,66.3,-0.5
190306,75.2,0.0
190307,79.4,-2.9
190308,74.7,-6.2
190309,62.0,-7.7
190310,58.8,2.3
190311,33.8,-2.0
190312,20.5,-1.6
190401,12.4,-4.0
190402,8.4,-13.5
190403,26.4,-8.5
190404,46.7,-6.5
190405,66.5,-0.3
190406,71.7,-3.5
190407,77.6,-4.7
190408,76.9,-4.0
