Ohio, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,30.8,-4.3
189502,27.6,-10.4
189503,44.2,-4.1
189504,62.3,1.7
189505,73.6,1.5
189506,85.0,4.4
189507,84.1,-0.5
189508,85.9,3.4
189509,80.7,4.2
189510,58.2,-6.3
189511,50.2,0.3
189512,40.2,2.1
189601,34.4,-0.7
189602,37.3,-0.7
189603,40.4,-7.9
189604,68.0,7.4
189605,79.6,7.5
189606,80.5,-0.1
189607,82.9,-1.7
189608,82.2,-0.3
189609,72.8,-3.7
189610,58.6,-5.9
189611,53.0,3.1
189612,39.2,1.1
189701,31.7,-3.4
189702,38.4,0.4
189703,50.3,2.0
189704,58.7,-1.9
189705,68.0,-4.1
189706,79.2,-1.4
189707,86.2,1.6
189708,80.4,-2.1
189709,82.3,5.8
189710,70.9,6.4
189711,50.0,0.1
189712,38.4,0.3
189801,38.2,3.1
189802,37.5,-0.5
189803,53.6,5.3
189804,57.4,-3.2
189805,71.8,-0.3
189806,83.3,2.7
189807,87.3,2.7
189808,83.2,0.7
189809,79.4,2.9
189810,62.9,-1.6
189811,46.8,-3.1
189812,35.7,-2.4
189901,35.4,0.3
189902,30.2,-7.8
189903,45.6,-2.7
189904,63.9,3.3
189905,74.4,2.3
189906,83.3,2.7
189907,86.0,1.4
189908,86.2,3.7
189909,75.8,-0.7
189910,69.0,4.5
189911,52.1,2.2
189912,37.2,-0.9
190001,37.8,2.7
190002,34.9,-3.1
190003,40.8,-7.5
190004,60.8,0.2
190005,76.0,3.9
190006,80.6,0.0
190007,85.3,0.7
190008,87.7,5.2
190009,80.9,4.4
190010,72.3,7.8
190011,49.2,-0.7
190012,37.8,-0.3
190101,36.2,1.1
190102,29.5,-8.5
190103,48.3,0.0
190104,56.5,-4.1
190105,70.5,-1.6
190106,82.4,1.8
190107,89.8,5.2
190108,83.7,1.2
190109,76.0,-0.5
190110,66.5,2.0
190111,45.3,-4.6
190112,35.0,-3.1
190201,34.3,-0.8
190202,30.2,-7.8
190203,50.8,2.5
190204,58.2,-2.4
190205,75.9,3.8
190206,78.2,-2.4
190207,85.5,0.9
190208,80.8,-1.7
190209,75.1,-1.4
190210,65.4,0.9
190211,56.5,6.6
190212,35.5,-2.6
190301,33.8,-1.3
190302,38.0,0.0
190303,55.4,7.1
190304,60.4,-0.2
190305,76.9,4.8
190306,74.4,-6.2
190307,84.6,0.0
190308,82.6,0.1
190309,79.5,3.0
190310,64.5,0.0
190311,46.2,-3.7
190312,31.0,-7.1
190401,28.9,-6.2
190402,32.0,-6.0
190403,48.2,-0.1
190404,53.5,-7.1
190405,72.2,0.1
190406,78.9,-1.7
190407,82.7,-1.9
190408,81.4,-1.1
190409,77.1,0.6
190410,63.8,-0.7
190411,50.4,0.5
190412,35.3,-2.8
190501,29.6,-5.5
190502,28.4,-9.6
190503,52.2,3.9
190504,59.3,-1.3
190505,72.3,0.2
190506,80.3,-0.3
190507,83.7,-0.9
190508,82.5,0.0
190509,77.0,0.5
190510,62.7,-1.8
190511,48.5,-1.4
190512,38.9,0.8
190601,42.8,7.7
190602,37.8,-0.2
190603,37.6,-10.7
190604,64.3,3.7
190605,73.9,1.8
190606,80.8,0.2
190607,83.4,-1.2
190608,84.9,2.4
190609,80.4,3.9
190610,61.8,-2.7
190611,50.0,0.1
190612,38.1,0.0
190701,39.8,4.7
190702,35.0,-3.0
190703,54.8,6.5
190704,51.8,-8.8
190705,66.3,-5.8
190706,76.0,-4.6
190707,83.6,-1.0
190708,80.2,-2.3
190709,75.8,-0.7
190710,59.5,-5.0
190711,46.5,-3.4
190712,39.2,1.1
190801,36.2,1.1
190802,35.2,-2.8
190803,52.2,3.9
190804,61.4,0.8
190805,73.0,0.9
190806,81.4,0.8
190807,85.7,1.1
190808,83.6,1.1
