Oklahoma, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,43.5,-4.4
189502,40.6,-12.8
189503,62.2,0.4
189504,77.2,5.4
189505,83.1,3.4
189506,89.1,0.6
189507,89.9,-4.0
189508,92.1,-1.3
189509,89.8,4.2
189510,70.1,-4.4
189511,56.5,-4.1
189512,48.7,-1.4
189601,48.0,0.1
189602,55.3,1.9
189603,58.5,-3.3
189604,78.4,6.6
189605,87.0,7.3
189606,92.0,3.5
189607,96.2,2.3
189608,98.5,5.1
189609,86.5,0.9
189610,72.3,-2.2
189611,57.5,-3.1
189612,56.1,6.0
189701,43.7,-4.2
189702,53.6,0.2
189703,62.1,0.3
189704,72.2,0.4
189705,79.7,0.0
189706,89.4,0.9
189707,96.2,2.3
189708,92.6,-0.8
189709,90.0,4.4
189710,79.9,5.4
189711,62.9,2.3
189712,47.2,-2.9
189801,49.6,1.7
189802,57.2,3.8
189803,60.9,-0.9
189804,70.9,-0.9
189805,80.2,0.5
189806,88.2,-0.3
189807,92.1,-1.8
189808,91.9,-1.5
189809,87.3,1.7
189810,72.4,-2.1
189811,58.2,-2.4
189812,45.1,-5.0
189901,46.1,-1.8
189902,40.5,-12.9
189903,61.0,-0.8
189904,70.9,-0.9
189905,82.5,2.8
189906,87.5,-1.0
189907,90.8,-3.1
189908,98.7,5.3
189909,87.0,1.4
189910,78.6,4.1
189911,62.7,2.1
189912,47.1,-3.0
190001,50.6,2.7
190002,49.2,-4.2
190003,61.2,-0.6
190004,72.1,0.3
190005,79.7,0.0
190006,90.4,1.9
190007,91.3,-2.6
190008,94.8,1.4
190009,86.1,0.5
190010,76.3,1.8
190011,62.4,1.8
190012,53.4,3.3
190101,52.5,4.6
190102,48.6,-4.8
190103,62.9,1.1
190104,70.2,-1.6
190105,80.6,0.9
190106,92.6,4.1
190107,100.7,6.8
190108,95.5,2.1
190109,86.4,0.8
190110,77.7,3.2
190111,63.1,2.5
190112,49.1,-1.0
190201,48.2,0.3
190202,47.9,-5.5
190203,61.5,-0.3
190204,73.2,1.4
190205,81.5,1.8
190206,88.6,0.1
190207,90.9,-3.0
190208,97.4,4.0
190209,80.8,-4.8
190210,75.3,0.8
190211,61.0,0.4
190212,45.3,-4.8
190301,48.0,0.1
190302,44.6,-8.8
190303,59.4,-2.4
190304,73.0,1.2
190305,76.0,-3.7
190306,81.9,-6.6
190307,93.5,-0.4
190308,92.2,-1.2
190309,84.6,-1.0
190310,73.5,-1.0
190311,58.5,-2.1
190312,53.0,2.9
190401,48.2,0.3
190402,57.7,4.3
190403,69.9,8.1
190404,70.8,-1.0
190405,79.0,-0.7
190406,85.4,-3.1
190407,91.0,-2.9
190408,90.6,-2.8
190409,86.8,1.2
190410,76.1,1.6
190411,65.2,4.6
190412,50.0,-0.1
190501,38.1,-9.8
190502,38.1,-15.3
190503,65.8,4.0
190504,69.2,-2.6
190505,79.7,0.0
190506,89.2,0.7
190507,88.4,-5.5
190508,92.6,-0.8
190509,87.8,2.2
190510,71.4,-3.1
190511,63.7,3.1
190512,48.0,-2.1
190601,51.8,3.9
190602,53.4,0.0
190603,51.9,-9.9
190604,73.6,1.8
190605,79.8,0.1
190606,86.4,-2.1
190607,87.2,-6.7
190608,87.9,-5.5
190609,84.7,-0.9
190610,70.5,-4.0
190611,57.5,-3.1
190612,53.9,3.8
190701,52.9,5.0
190702,57.8,4.4
190703,72.1,10.3
190704,67.0,-4.8
190705,73.3,-6.4
190706,86.3,-2.2
190707,91.9,-2.0
190708,94.3,0.9
190709,88.6,3.0
190710,72.6,-1.9
190711,58.9,-1.7
190712,51.4,1.3
190801,52.6,4.7
190802,54.7,1.3
190803,68.2,6.4
190804,70.6,-1.2
190805,79.3,-0.4
190806,85.4,-3.1
190807,88.9,-5.0
190808,91.7,-1.7
190809,85.2,-0.4
190810,71.6,-2.9
190811,62.4,1.8
190812,54.0,3.9
190901,49.6,1.7
190902,58.7,5.3
190903,61.2,-0.6
190904,72.3,0.5
190905,80.0,0.3
190906,88.2,-0.3
190907,95.8,1.9
190908,96.5,3.1
190909,89.2,3.6
190910,76.0,1.5
190911,66.3,5.7
190912,40.7,-9.4
191001,50.3,2.4
191002,49.2,-4.2
191003,74.1,12.3
191004,73.9,2.1
191005,76.9,-2.8
191006,89.5,1.0
191007,95.7,1.8
191008,91.9,-1.5
191009,91.1,5.5
191010,77.8,3.3
191011,64.8,4.2
191012,50.6,0.5
191101,54.7,6.8
191102,55.5,2.1
191103,67.8,6.0
191104,71.9,0.1
191105,83.9,4.2
191106,98.0,9.5
191107,92.0,-1.9
191108,91.2,-2.2
191109,91.4,5.8
191110,73.4,-1.1
191111,58.6,-2.0
191112,46.2,-3.9
191201,40.6,-7.3
191202,48.7,-4.7
191203,49.7,-12.1
191204,70.8,-1.0
191205,82.7,3.0
191206,86.2,-2.3
191207,95.3,1.4
191208,91.5,-1.9
191209,84.4,-1.2
191210,76.6,2.1
191211,62.5,1.9
191212,50.0,-0.1
191301,49.2,1.3
191302,44.1,-9.3
191303,58.0,-3.8
191304,74.8,3.0
191305,82.8,3.1
191306,87.9,-0.6
191307,96.2,2.3
191308,99.8,6.4
191309,81.3,-4.3
191310,69.2,-5.3
191311,63.4,2.8
191312,45.2,-4.9
191401,55.7,7.8
191402,50.5,-2.9
191403,62.2,0.4
191404,70.9,-0.9
191405,76.8,-2.9
191406,93.0,4.5
191407,97.6,3.7
191408,90.9,-2.5
191409,87.2,1.6
191410,73.2,-1.3
191411,65.7,5.1
191412,38.6,-11.5
191501,47.1,-0.8
191502,54.2,0.8
191503,47.3,-14.5
191504,72.8,1.0
191505,77.0,-2.7
191506,84.3,-4.2
191507,89.5,-4.4
191508,84.5,-8.9
191509,84.3,-1.3
191510,75.8,1.3
191511,66.6,6.0
191512,54.2,4.1
191601,45.2,-2.7
191602,52.7,-0.7
191603,68.7,6.9
191604,66.7,-5.1
191605,81.8,2.1
191606,86.3,-2.2
191607,96.6,2.7
191608,96.2,2.8
191609,85.7,0.1
191610,74.9,0.4
191611,62.0,1.4
191612,50.0,-0.1
191701,50.7,2.8
191702,53.2,-0.2
191703,63.7,1.9
191704,70.4,-1.4
191705,74.5,-5.2
191706,90.7,2.2
191707,95.8,1.9
191708,89.1,-4.3
191709,85.4,-0.2
191710,72.4,-2.1
191711,64.4,3.8
191712,43.4,-6.7
191801,37.4,-10.5
191802,57.6,4.2
191803,68.6,6.8
191804,67.8,-4.0
191805,82.9,3.2
191806,94.0,5.5
191807,95.4,1.5
191808,98.9,5.5
191809,81.3,-4.3
191810,75.3,0.8
191811,55.7,-4.9
191812,50.7,0.6
191901,46.7,-1.2
191902,50.6,-2.8
191903,61.5,-0.3
191904,70.8,-1.0
191905,75.9,-3.8
191906,85.1,-3.4
191907,93.3,-0.6
191908,94.3,0.9
191909,86.4,0.8
191910,70.9,-3.6
191911,57.9,-2.7
191912,46.2,-3.9
192001,45.1,-2.8
192002,54.5,1.1
192003,62.8,1.0
192004,69.7,-2.1
192005,79.7,0.0
192006,86.5,-2.0
192007,92.7,-1.2
192008,86.7,-6.7
192009,85.2,-0.4
192010,74.7,0.2
192011,55.5,-5.1
192012,51.3,1.2
192101,53.2,5.3
192102,57.4,4.0
192103,67.5,5.7
192104,70.4,-1.4
192105,81.6,1.9
192106,85.9,-2.6
192107,91.9,-2.0
192108,94.9,1.5
192109,90.3,4.7
192110,79.0,4.5
192111,66.5,5.9
192112,55.2,5.1
192201,45.1,-2.8
192202,56.1,2.7
192203,59.9,-1.9
192204,70.4,-1.4
192205,79.5,-0.2
192206,89.2,0.7
192207,93.4,-0.5
192208,96.4,3.0
192209,90.6,5.0
192210,77.3,2.8
192211,61.9,1.3
192212,55.0,4.9
192301,59.1,11.2
192302,49.4,-4.0
192303,60.0,-1.8
192304,71.3,-0.5
192305,77.5,-2.2
192306,87.2,-1.3
192307,95.7,1.8
192308,97.0,3.6
192309,84.7,-0.9
192310,65.1,-9.4
192311,59.3,-1.3
192312,52.2,2.1
192401,44.6,-3.3
192402,52.6,-0.8
192403,51.6,-10.2
192404,71.6,-0.2
192405,75.6,-4.1
192406,92.1,3.6
