Oregon, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,33.7,-3.9
189502,39.8,-2.4
189503,45.3,-2.7
189504,56.6,1.3
189505,61.5,-1.5
189506,70.7,0.0
189507,76.1,-4.2
189508,77.1,-2.3
189509,62.4,-9.2
189510,62.4,2.4
189511,44.0,-2.1
189512,36.9,-2.0
189601,39.7,2.1
189602,45.3,3.1
189603,46.3,-1.7
189604,47.4,-7.9
189605,55.0,-8.0
189606,71.2,0.5
189607,82.6,2.3
189608,76.5,-2.9
189609,67.9,-3.7
189610,60.2,0.2
189611,38.6,-7.5
189612,41.0,2.1
189701,36.0,-1.6
189702,38.9,-3.3
189703,37.4,-10.6
189704,57.8,2.5
189705,67.8,4.8
189706,66.9,-3.8
189707,74.3,-6.0
189708,81.3,1.9
189709,66.4,-5.2
189710,58.6,-1.4
189711,44.1,-2.0
189712,38.0,-0.9
189801,33.9,-3.7
189802,43.8,1.6
189803,44.5,-3.5
189804,57.5,2.2
189805,60.5,-2.5
189806,69.8,-0.9
189807,79.6,-0.7
189808,81.1,1.7
189809,70.8,-0.8
189810,56.1,-3.9
189811,42.7,-3.4
189812,33.7,-5.2
189901,38.6,1.0
189902,36.3,-5.9
189903,42.2,-5.8
189904,50.8,-4.5
189905,55.0,-8.0
189906,68.4,-2.3
189907,79.6,-0.7
189908,69.8,-9.6
189909,73.4,1.8
189910,53.5,-6.5
189911,48.4,2.3
189912,37.4,-1.5
190001,41.8,4.2
190002,40.7,-1.5
190003,52.7,4.7
190004,54.3,-1.0
190005,62.6,-0.4
190006,72.7,2.0
190007,78.5,-1.8
190008,72.4,-7.0
190009,66.2,-5.4
190010,55.6,-4.4
190011,46.2,0.1
190012,41.8,2.9
190101,36.6,-1.0
190102,37.9,-4.3
190103,46.8,-1.2
190104,51.8,-3.5
190105,63.2,0.2
190106,65.6,-5.1
190107,78.2,-2.1
190108,81.6,2.2
190109,64.2,-7.4
190110,62.7,2.7
190111,49.2,3.1
190112,39.6,0.7
190201,36.4,-1.2
190202,42.6,0.4
190203,43.4,-4.6
190204,51.9,-3.4
190205,59.6,-3.4
190206,69.7,-1.0
190207,75.4,-4.9
190208,78.4,-1.0
190209,71.5,-0.1
190210,61.0,1.0
190211,43.1,-3.0
190212,38.1,-0.8
190301,38.8,1.2
190302,36.4,-5.8
190303,45.7,-2.3
190304,51.9,-3.4
190305,62.3,-0.7
190306,72.2,1.5
190307,74.9,-5.4
190308,77.2,-2.2
190309,68.5,-3.1
190310,61.3,1.3
190311,45.0,-1.1
190312,38.6,-0.3
190401,38.2,0.6
190402,39.1,-3.1
190403,41.2,-6.8
190404,56.9,1.6
190405,64.4,1.4
190406,71.5,0.8
190407,77.5,-2.8
190408,81.5,2.1
190409,72.7,1.1
190410,60.7,0.7
190411,51.1,5.0
190412,39.2,0.3
190501,37.8,0.2
190502,41.3,-0.9
190503,51.2,3.2
190504,58.0,2.7
190505,58.8,-4.2
190506,68.3,-2.4
190507,83.0,2.7
190508,80.6,1.2
190509,71.4,-0.2
190510,55.1,-4.9
190511,47.2,1.1
190512,37.0,-1.9
190601,38.2,0.6
190602,41.0,-1.2
190603,43.6,-4.4
190604,59.3,4.0
190605,61.3,-1.7
190606,66.4,-4.3
190607,86.0,5.7
190608,81.3,1.9
190609,71.5,-0.1
190610,61.4,1.4
190611,44.3,-1.8
190612,41.4,2.5
190701,33.3,-4.3
190702,47.2,5.0
190703,44.2,-3.8
190704,55.4,0.1
190705,64.0,1.0
190706,67.2,-3.5
190707,79.3,-1.0
190708,74.5,-4.9
190709,70.2,-1.4
190710,64.0,4.0
190711,48.0,1.9
190712,40.6,1.7
190801,39.4,1.8
190802,42.2,0.0
190803,46.9,-1.1
190804,58.8,3.5
190805,57.6,-5.4
190806,68.3,-2.4
190807,83.3,3.0
190808,78.8,-0.6
190809,71.5,-0.1
190810,57.1,-2.9
190811,49.0,2.9
190812,35.3,-3.6
190901,36.1,-1.5
190902,41.5,-0.7
190903,48.5,0.5
190904,55.2,-0.1
190905,61.1,-1.9
190906,71.1,0.4
190907,75.9,-4.4
190908,79.5,0.1
190909,71.3,-0.3
190910,59.4,-0.6
190911,45.4,-0.7
190912,32.8,-6.1
191001,33.5,-4.1
191002,36.1,-6.1
191003,54.0,6.0
191004,60.7,5.4
191005,67.3,4.3
191006,70.6,-0.1
191007,81.9,1.6
191008,77.3,-2.1
191009,68.3,-3.3
191010,60.6,0.6
191011,44.1,-2.0
191012,38.8,-0.1
191101,36.0,-1.6
191102,35.4,-6.8
191103,52.3,4.3
191104,54.4,-0.9
191105,57.1,-5.9
191106,69.6,-1.1
191107,82.3,2.0
191108,78.3,-1.1
191109,64.6,-7.0
191110,58.5,-1.5
191111,44.5,-1.6
191112,37.7,-1.2
191201,37.4,-0.2
191202,42.4,0.2
191203,44.8,-3.2
191204,51.6,-3.7
191205,61.3,-1.7
191206,70.6,-0.1
191207,75.3,-5.0
191208,73.9,-5.5
191209,66.9,-4.7
191210,54.4,-5.6
191211,46.1,0.0
191212,38.3,-0.6
191301,34.0,-3.6
191302,38.1,-4.1
191303,43.8,-4.2
191304,54.1,-1.2
191305,63.3,0.3
191306,68.2,-2.5
191307,76.2,-4.1
191308,79.1,-0.3
191309,71.7,0.1
191310,57.2,-2.8
191311,45.1,-1.0
191312,36.8,-2.1
191401,40.2,2.6
191402,40.3,-1.9
191403,52.4,4.4
191404,55.3,0.0
191405,66.5,3.5
191406,67.6,-3.1
191407,80.9,0.6
191408,81.0,1.6
191409,67.2,-4.4
191410,58.8,-1.2
191411,48.8,2.7
191412,32.3,-6.6
191501,35.7,-1.9
191502,42.4,0.2
191503,52.4,4.4
191504,59.9,4.6
191505,58.2,-4.8
191506,69.3,-1.4
191507,76.7,-3.6
191508,84.0,4.6
191509,69.2,-2.4
191510,61.9,1.9
191511,43.3,-2.8
191512,38.8,-0.1
191601,28.0,-9.6
191602,42.6,0.4
191603,49.1,1.1
191604,56.8,1.5
191605,57.1,-5.9
191606,68.1,-2.6
191607,74.1,-6.2
191608,78.4,-1.0
191609,70.9,-0.7
191610,58.6,-1.4
191611,42.7,-3.4
191612,34.3,-4.6
191701,33.5,-4.1
191702,37.9,-4.3
191703,38.0,-10.0
191704,48.7,-6.6
191705,57.0,-6.0
191706,69.6,-1.1
191707,83.2,2.9
191708,81.8,2.4
191709,71.7,0.1
191710,64.7,4.7
191711,50.4,4.3
191712,45.8,6.9
191801,41.4,3.8
191802,39.4,-2.8
191803,48.3,0.3
191804,56.9,1.6
191805,61.2,-1.8
191806,79.2,8.5
191807,79.8,-0.5
191808,75.7,-3.7
191809,73.3,1.7
191810,60.0,0.0
191811,44.1,-2.0
191812,37.1,-1.8
191901,39.7,2.1
191902,37.8,-4.4
191903,46.6,-1.4
191904,56.9,1.6
191905,64.4,1.4
191906,71.6,0.9
191907,82.7,2.4
191908,81.6,2.2
191909,69.6,-2.0
191910,53.2,-6.8
191911,42.9,-3.2
191912,31.8,-7.1
192001,39.0,1.4
192002,44.0,1.8
192003,44.6,-3.4
192004,50.1,-5.2
192005,62.3,-0.7
192006,69.2,-1.5
192007,80.5,0.2
192008,80.6,1.2
192009,68.6,-3.0
192010,53.7,-6.3
192011,43.5,-2.6
192012,37.9,-1.0
192101,37.5,-0.1
192102,41.6,-0.6
192103,48.7,0.7
192104,52.2,-3.1
192105,61.3,-1.7
192106,71.6,0.9
192107,80.4,0.1
192108,79.6,0.2
192109,66.6,-5.0
192110,63.0,3.0
192111,48.3,2.2
192112,36.6,-2.3
192201,29.9,-7.7
192202,35.4,-6.8
192203,42.1,-5.9
192204,49.8,-5.5
192205,62.6,-0.4
192206,76.2,5.5
192207,82.7,2.4
192208,78.0,-1.4
192209,75.3,3.7
192210,60.0,0.0
192211,41.5,-4.6
192212,35.1,-3.8
192301,38.6,1.0
192302,38.1,-4.1
192303,48.0,0.0
192304,54.2,-1.1
192305,61.0,-2.0
192306,66.2,-4.5
192307,79.3,-1.0
192308,80.2,0.8
192309,73.3,1.7
192310,56.3,-3.7
