Pennsylvania, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,29.3,-4.2
189502,26.4,-9.3
189503,40.6,-5.2
189504,57.3,-0.9
189505,71.4,1.5
189506,82.0,4.2
189507,78.8,-3.1
189508,81.5,1.7
189509,77.0,3.7
189510,56.7,-5.3
189511,49.1,1.0
189512,39.7,3.1
189601,31.4,-2.1
189602,34.6,-1.1
189603,37.4,-8.4
189604,61.9,3.7
189605,75.0,5.1
189606,76.6,-1.2
189607,80.8,-1.1
189608,79.9,0.1
189609,71.9,-1.4
189610,55.3,-6.7
189611,52.4,4.3
189612,35.7,-0.9
189701,30.3,-3.2
189702,35.3,-0.4
189703,45.9,0.1
189704,58.1,-0.1
189705,67.1,-2.8
189706,74.6,-3.2
189707,81.7,-0.2
189708,77.2,-2.6
189709,75.2,1.9
189710,63.9,1.9
189711,46.9,-1.2
189712,37.8,1.2
189801,35.2,1.7
189802,35.0,-0.7
189803,51.4,5.6
189804,53.5,-4.7
189805,68.7,-1.2
189806,79.7,1.9
189807,84.7,2.8
189808,80.2,0.4
189809,75.9,2.6
189810,60.8,-1.2
189811,45.6,-2.5
189812,34.8,-1.8
189901,33.0,-0.5
189902,28.2,-7.5
189903,41.8,-4.0
189904,61.3,3.1
189905,71.0,1.1
189906,80.2,2.4
189907,82.0,0.1
189908,81.6,1.8
189909,70.8,-2.5
189910,64.2,2.2
189911,47.3,-0.8
189912,36.8,0.2
190001,34.6,1.1
190002,32.8,-2.9
190003,37.9,-7.9
190004,57.9,-0.3
190005,71.7,1.8
190006,79.0,1.2
190007,83.7,1.8
190008,84.8,5.0
190009,77.7,4.4
190010,66.7,4.7
190011,48.0,-0.1
190012,35.8,-0.8
190101,33.5,0.0
190102,27.1,-8.6
190103,43.8,-2.0
190104,54.2,-4.0
190105,67.4,-2.5
190106,79.3,1.5
190107,85.0,3.1
190108,79.8,0.0
190109,72.6,-0.7
190110,62.4,0.4
190111,41.0,-7.1
190112,35.0,-1.6
190201,31.3,-2.2
190202,29.1,-6.6
190203,48.6,2.8
190204,56.1,-2.1
190205,71.0,1.1
190206,75.2,-2.6
190207,80.8,-1.1
190208,77.6,-2.2
190209,72.0,-1.3
190210,61.4,-0.6
190211,54.5,6.4
190212,33.7,-2.9
190301,31.8,-1.7
190302,37.1,1.4
190303,53.9,8.1
190304,57.6,-0.6
190305,73.6,3.7
190306,71.4,-6.4
190307,80.4,-1.5
190308,75.2,-4.6
190309,73.2,-0.1
190310,61.2,-0.8
190311,44.1,-4.0
190312,30.6,-6.0
190401,26.3,-7.2
190402,29.1,-6.6
190403,42.4,-3.4
190404,52.2,-6.0
190405,72.1,2.2
190406,76.9,-0.9
190407,79.6,-2.3
190408,78.1,-1.7
190409,73.1,-0.2
190410,60.5,-1.5
190411,45.4,-2.7
190412,30.8,-5.8
190501,28.3,-5.2
190502,27.3,-8.4
190503,47.5,1.7
190504,57.6,-0.6
190505,70.9,1.0
190506,77.0,-0.8
190507,80.4,-1.5
190508,78.1,-1.7
190509,73.4,0.1
190510,62.1,0.1
190511,45.4,-2.7
190512,38.4,1.8
190601,40.4,6.9
190602,36.1,0.4
190603,36.6,-9.2
190604,60.2,2.0
190605,70.8,0.9
190606,78.7,0.9
190607,80.6,-1.3
190608,81.0,1.2
190609,76.6,3.3
190610,58.9,-3.1
190611,47.7,-0.4
190612,35.1,-1.5
190701,35.3,1.8
190702,30.2,-5.5
190703,49.8,4.0
190704,51.3,-6.9
190705,64.7,-5.2
190706,73.0,-4.8
190707,80.6,-1.3
190708,77.5,-2.3
190709,71.9,-1.4
190710,57.2,-4.8
190711,44.5,-3.6
190712,37.4,0.8
190801,33.8,0.3
190802,31.2,-4.5
190803,47.9,2.1
190804,58.9,0.7
190805,69.4,-0.5
190806,79.6,1.8
190807,83.7,1.8
190808,79.1,-0.7
190809,77.8,4.5
190810,64.4,2.4
190811,48.1,0.0
190812,36.6,0.0
190901,36.0,2.5
190902,41.7,6.0
190903,41.6,-4.2
190904,57.6,-0.6
190905,69.1,-0.8
190906,77.4,-0.4
190907,80.6,-1.3
190908,80.0,0.2
190909,72.6,-0.7
190910,57.0,-5.0
190911,53.7,5.6
190912,31.4,-5.2
191001,32.1,-1.4
191002,32.8,-2.9
191003,55.2,9.4
191004,62.7,4.5
191005,66.9,-3.0
191006,74.4,-3.4
191007,83.2,1.3
191008,79.8,0.0
191009,73.9,0.6
191010,64.9,2.9
191011,40.6,-7.5
191012,29.4,-7.2
191101,37.2,3.7
191102,36.1,0.4
191103,42.9,-2.9
191104,55.6,-2.6
191105,77.9,8.0
191106,77.8,0.0
191107,85.3,3.4
191108,80.2,0.4
191109,73.4,0.1
191110,60.3,-1.7
191111,43.8,-4.3
191112,41.2,4.6
191201,24.4,-9.1
191202,30.5,-5.2
191203,40.6,-5.2
191204,59.6,1.4
191205,71.8,1.9
191206,76.1,-1.7
191207,80.7,-1.2
191208,75.5,-4.3
191209,73.7,0.4
191210,64.2,2.2
191211,49.5,1.4
191212,40.5,3.9
191301,42.6,9.1
191302,34.3,-1.4
191303,50.8,5.0
191304,60.0,1.8
191305,69.5,-0.4
191306,79.8,2.0
191307,82.0,0.1
