Rhode Island, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,34.5,-1.3
189502,31.5,-5.1
189503,41.2,-3.8
189504,54.3,-1.3
189505,69.3,2.7
189506,76.5,1.6
189507,75.3,-4.6
189508,78.3,0.1
189509,74.4,2.6
189510,56.7,-5.4
189511,52.4,2.2
189512,42.5,3.2
189601,31.2,-4.6
189602,36.5,-0.1
189603,39.0,-6.0
189604,58.9,3.3
189605,71.6,5.0
189606,72.9,-2.0
189607,78.8,-1.1
189608,78.5,0.3
189609,69.1,-2.7
189610,56.0,-6.1
189611,53.8,3.6
189612,36.7,-2.6
189701,34.5,-1.3
189702,35.4,-1.2
189703,44.1,-0.9
189704,56.9,1.3
189705,65.5,-1.1
189706,70.9,-4.0
189707,78.1,-1.8
189708,75.7,-2.5
189709,70.4,-1.4
189710,62.7,0.6
189711,48.0,-2.2
189712,38.9,-0.4
189801,35.6,-0.2
189802,38.8,2.2
189803,50.5,5.5
189804,51.1,-4.5
189805,63.7,-2.9
189806,73.9,-1.0
189807,79.1,-0.8
189808,78.7,0.5
189809,74.2,2.4
189810,61.0,-1.1
189811,47.6,-2.6
189812,37.6,-1.7
189901,36.9,1.1
189902,31.2,-5.4
189903,40.1,-4.9
189904,56.9,1.3
189905,67.0,0.4
189906,78.4,3.5
189907,79.3,-0.6
189908,77.3,-0.9
189909,69.9,-1.9
189910,61.6,-0.5
189911,48.5,-1.7
189912,41.5,2.2
190001,37.7,1.9
190002,35.6,-1.0
190003,41.8,-3.2
190004,56.2,0.6
190005,65.7,-0.9
190006,75.9,1.0
190007,81.5,1.6
190008,79.9,1.7
190009,74.4,2.6
190010,63.2,1.1
190011,50.1,-0.1
190012,39.0,-0.3
190101,33.6,-2.2
190102,29.1,-7.5
190103,42.5,-2.5
190104,50.9,-4.7
190105,63.0,-3.6
190106,76.1,1.2
190107,80.9,1.0
190108,77.6,-0.6
190109,73.0,1.2
190110,62.2,0.1
190111,43.0,-7.2
190112,38.1,-1.2
190201,33.7,-2.1
190202,34.4,-2.2
190203,49.2,4.2
190204,55.8,0.2
190205,65.8,-0.8
190206,73.4,-1.5
190207,74.9,-5.0
190208,76.1,-2.1
190209,69.9,-1.9
190210,60.8,-1.3
190211,53.4,3.2
190212,35.9,-3.4
190301,35.4,-0.4
190302,37.3,0.7
190303,51.8,6.8
190304,55.5,-0.1
190305,69.5,2.9
190306,66.6,-8.3
190307,78.6,-1.3
190308,71.5,-6.7
190309,71.6,-0.2
190310,60.4,-1.7
190311,46.4,-3.8
190312,34.3,-5.0
190401,28.8,-7.0
190402,29.8,-6.8
190403,41.5,-3.5
190404,52.9,-2.7
190405,69.4,2.8
190406,72.0,-2.9
190407,77.6,-2.3
190408,74.9,-3.3
190409,69.8,-2.0
190410,58.1,-4.0
190411,43.8,-6.4
190412,31.4,-7.9
190501,31.4,-4.4
190502,29.6,-7.0
190503,43.7,-1.3
190504,55.2,-0.4
190505,65.7,-0.9
190506,72.9,-2.0
190507,79.7,-0.2
190508,74.6,-3.6
190509,68.7,-3.1
190510,61.7,-0.4
190511,48.8,-1.4
190512,41.4,2.1
190601,41.1,5.3
190602,37.5,0.9
190603,39.0,-6.0
190604,55.8,0.2
190605,67.6,1.0
190606,74.8,-0.1
190607,76.6,-3.3
190608,78.8,0.6
190609,73.1,1.3
190610,60.6,-1.5
190611,47.0,-3.2
190612,35.8,-3.5
190701,34.1,-1.7
190702,29.1,-7.5
190703,45.4,0.4
190704,50.4,-5.2
190705,59.7,-6.9
190706,71.6,-3.3
190707,79.7,-0.2
190708,76.8,-1.4
190709,70.3,-1.5
190710,57.2,-4.9
190711,47.8,-2.4
190712,41.4,2.1
190801,37.8,2.0
190802,33.3,-3.3
190803,45.0,0.0
190804,55.6,0.0
190805,67.3,0.7
190806,77.6,2.7
190807,81.4,1.5
190808,75.5,-2.7
190809,72.4,0.6
190810,64.5,2.4
190811,48.2,-2.0
190812,39.2,-0.1
190901,37.0,1.2
190902,39.4,2.8
190903,41.7,-3.3
190904,54.0,-1.6
190905,64.1,-2.5
190906,75.3,0.4
190907,78.3,-1.6
190908,77.0,-1.2
190909,70.3,-1.5
190910,59.7,-2.4
190911,52.1,1.9
190912,34.8,-4.5
191001,36.9,1.1
191002,35.6,-1.0
191003,49.2,4.2
191004,60.3,4.7
191005,64.3,-2.3
191006,72.4,-2.5
191007,82.0,2.1
191008,75.5,-2.7
191009,70.4,-1.4
191010,62.9,0.8
191011,45.0,-5.2
191012,32.8,-6.5
191101,38.0,2.2
191102,33.2,-3.4
191103,41.9,-3.1
191104,53.1,-2.5
191105,71.0,4.4
191106,73.8,-1.1
191107,82.9,3.0
191108,76.8,-1.4
191109,69.6,-2.2
191110,58.6,-3.5
191111,47.9,-2.3
191112,43.6,4.3
191201,27.7,-8.1
191202,32.9,-3.7
191203,42.0,-3.0
191204,54.3,-1.3
191205,65.6,-1.0
191206,75.8,0.9
191207,79.8,-0.1
191208,74.8,-3.4
191209,70.1,-1.7
191210,64.0,1.9
191211,50.4,0.2
