South Carolina, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,52.3,-3.3
189502,46.6,-11.9
189503,62.6,-3.3
189504,71.8,-2.8
189505,79.2,-3.5
189506,89.3,0.9
189507,89.6,-1.0
189508,88.5,-0.7
189509,87.8,3.3
189510,74.5,-0.9
189511,64.8,-0.6
189512,55.9,-0.9
189601,52.6,-3.0
189602,58.7,0.2
189603,63.5,-2.4
189604,78.8,4.2
189605,88.5,5.8
189606,87.9,-0.5
189607,90.3,-0.3
189608,90.7,1.5
189609,86.2,1.7
189610,73.7,-1.7
189611,70.0,4.6
189612,54.6,-2.2
189701,51.3,-4.3
189702,59.6,1.1
189703,65.6,-0.3
189704,74.0,-0.6
189705,81.9,-0.8
189706,90.7,2.3
189707,91.1,0.5
189708,88.4,-0.8
189709,85.2,0.7
189710,77.0,1.6
189711,67.0,1.6
189712,56.9,0.1
189801,58.7,3.1
189802,56.9,-1.6
189803,68.5,2.6
189804,70.4,-4.2
189805,87.1,4.4
189806,92.1,3.7
189807,90.3,-0.3
189808,88.0,-1.2
189809,85.2,0.7
189810,73.1,-2.3
189811,61.5,-3.9
189812,55.4,-1.4
189901,54.5,-1.1
189902,53.9,-4.6
189903,65.9,0.0
189904,71.3,-3.3
189905,86.2,3.5
189906,91.3,2.9
189907,91.0,0.4
189908,92.0,2.8
189909,84.4,-0.1
189910,74.9,-0.5
189911,66.1,0.7
189912,55.4,-1.4
190001,55.0,-0.6
190002,54.6,-3.9
190003,62.6,-3.3
190004,74.5,-0.1
190005,83.2,0.5
190006,86.3,-2.1
190007,92.1,1.5
190008,95.1,5.9
190009,88.9,4.4
190010,77.4,2.0
190011,67.1,1.7
190012,55.6,-1.2
190101,55.4,-0.2
190102,54.2,-4.3
190103,64.7,-1.2
190104,67.1,-7.5
190105,83.9,1.2
190106,87.3,-1.1
190107,91.6,1.0
190108,88.1,-1.1
190109,83.8,-0.7
190110,75.4,0.0
190111,60.4,-5.0
190112,54.5,-2.3
190201,53.2,-2.4
190202,49.9,-8.6
190203,64.9,-1.0
190204,71.9,-2.7
190205,86.1,3.4
190206,90.0,1.6
190207,93.3,2.7
190208,89.5,0.3
190209,82.5,-2.0
190210,76.0,0.6
190211,68.9,3.5
190212,56.0,-0.8
190301,51.5,-4.1
190302,59.2,0.7
190303,68.5,2.6
190304,72.0,-2.6
190305,81.4,-1.3
190306,84.2,-4.2
190307,91.1,0.5
190308,90.4,1.2
190309,82.9,-1.6
190310,74.4,-1.0
190311,61.2,-4.2
190312,52.6,-4.2
190401,50.4,-5.2
190402,55.0,-3.5
190403,67.2,1.3
190404,70.9,-3.7
190405,82.7,0.0
190406,88.6,0.2
190407,90.9,0.3
190408,87.3,-1.9
190409,85.8,1.3
190410,75.0,-0.4
190411,63.1,-2.3
190412,55.1,-1.7
190501,52.1,-3.5
190502,48.9,-9.6
190503,69.0,3.1
190504,74.8,0.2
190505,83.7,1.0
190506,90.0,1.6
190507,90.5,-0.1
190508,88.0,-1.2
190509,86.8,2.3
190510,75.4,0.0
190511,66.4,1.0
190512,52.9,-3.9
190601,56.6,1.0
190602,57.6,-0.9
190603,61.7,-4.2
190604,77.6,3.0
190605,82.0,-0.7
190606,88.8,0.4
190607,87.9,-2.7
190608,89.5,0.3
190609,86.2,1.7
190610,71.6,-3.8
190611,66.3,0.9
190612,58.5,1.7
190701,63.4,7.8
190702,55.9,-2.6
190703,74.5,8.6
190704,67.8,-6.8
190705,81.4,-1.3
190706,86.5,-1.9
190707,92.1,1.5
190708,89.3,0.1
190709,86.2,1.7
190710,73.4,-2.0
190711,62.6,-2.8
190712,56.3,-0.5
190801,54.9,-0.7
190802,53.4,-5.1
190803,72.3,6.4
190804,77.7,3.1
190805,84.4,1.7
190806,87.2,-1.2
190807,89.5,-1.1
190808,88.4,-0.8
190809,82.8,-1.7
190810,73.2,-2.2
190811,67.4,2.0
190812,60.3,3.5
190901,59.7,4.1
190902,63.5,5.0
190903,64.4,-1.5
190904,75.0,0.4
190905,81.3,-1.4
190906,88.6,0.2
190907,88.3,-2.3
190908,89.2,0.0
190909,82.4,-2.1
190910,73.7,-1.7
190911,70.1,4.7
190912,52.5,-4.3
191001,55.5,-0.1
191002,55.4,-3.1
191003,71.5,5.6
191004,76.2,1.6
191005,81.6,-1.1
191006,85.2,-3.2
191007,89.3,-1.3
191008,88.2,-1.0
191009,86.2,1.7
191010,77.8,2.4
191011,63.2,-2.2
191012,51.8,-5.0
191101,60.1,4.5
191102,62.8,4.3
191103,66.2,0.3
191104,72.7,-1.9
191105,85.9,3.2
191106,93.6,5.2
191107,90.6,0.0
191108,90.0,0.8
191109,88.9,4.4
191110,76.7,1.3
191111,61.4,-4.0
191112,58.8,2.0
191201,49.2,-6.4
191202,52.4,-6.1
191203,62.6,-3.3
191204,74.7,0.1
191205,83.1,0.4
191206,85.9,-2.5
191207,89.6,-1.0
191208,90.1,0.9
191209,86.3,1.8
191210,75.9,0.5
191211,64.6,-0.8
191212,58.1,1.3
191301,62.7,7.1
191302,58.1,-0.4
191303,65.8,-0.1
191304,72.7,-1.9
191305,84.6,1.9
191306,89.0,0.6
191307,92.7,2.1
191308,89.1,-0.1
191309,81.6,-2.9
191310,74.0,-1.4
191311,66.0,0.6
191312,56.8,0.0
191401,56.7,1.1
191402,54.4,-4.1
191403,61.0,-4.9
191404,75.0,0.4
191405,85.6,2.9
191406,92.5,4.1
191407,91.5,0.9
191408,88.5,-0.7
191409,81.8,-2.7
191410,73.5,-1.9
191411,64.3,-1.1
191412,50.0,-6.8
191501,53.8,-1.8
191502,58.4,-0.1
191503,56.4,-9.5
191504,75.7,1.1
191505,83.5,0.8
191506,86.7,-1.7
191507,91.8,1.2
191508,88.2,-1.0
191509,86.5,2.0
191510,77.0,1.6
191511,67.5,2.1
191512,54.2,-2.6
191601,61.5,5.9
191602,59.7,1.2
191603,65.4,-0.5
191604,74.0,-0.6
191605,86.7,4.0
191606,87.2,-1.2
191607,86.0,-4.6
191608,89.5,0.3
191609,83.5,-1.0
191610,74.4,-1.0
191611,66.2,0.8
191612,56.6,-0.2
191701,59.0,3.4
191702,58.4,-0.1
191703,65.4,-0.5
191704,77.5,2.9
191705,78.6,-4.1
191706,88.3,-0.1
191707,89.8,-0.8
191708,88.8,-0.4
191709,80.5,-4.0
191710,72.9,-2.5
191711,62.4,-3.0
191712,47.3,-9.5
191801,46.9,-8.7
191802,63.1,4.6
191803,70.3,4.4
191804,71.3,-3.3
191805,83.8,1.1
191806,88.4,0.0
191807,89.4,-1.2
191808,91.0,1.8
191809,81.0,-3.5
191810,77.4,2.0
191811,63.2,-2.2
191812,59.2,2.4
191901,58.2,2.6
191902,55.7,-2.8
191903,67.0,1.1
191904,75.1,0.5
191905,81.7,-1.0
191906,86.5,-1.9
191907,89.0,-1.6
191908,88.0,-1.2
191909,85.8,1.3
191910,83.4,8.0
191911,67.2,1.8
191912,56.9,0.1
192001,55.8,0.2
192002,53.6,-4.9
192003,62.8,-3.1
192004,71.9,-2.7
192005,79.2,-3.5
192006,89.1,0.7
192007,89.7,-0.9
192008,86.9,-2.3
192009,85.7,1.2
192010,76.7,1.3
192011,62.9,-2.5
192012,55.4,-1.4
192101,57.7,2.1
192102,60.0,1.5
192103,73.8,7.9
192104,75.5,0.9
192105,79.2,-3.5
192106,91.3,2.9
192107,89.3,-1.3
192108,88.2,-1.0
192109,92.1,7.6
192110,75.3,-0.1
192111,66.9,1.5
192112,61.8,5.0
192201,52.6,-3.0
192202,62.4,3.9
192203,66.2,0.3
192204,76.1,1.5
192205,81.7,-1.0
192206,89.1,0.7
192207,90.2,-0.4
192208,86.4,-2.8
192209,86.6,2.1
192210,76.0,0.6
192211,66.7,1.3
192212,59.7,2.9
192301,59.7,4.1
192302,55.9,-2.6
192303,67.1,1.2
192304,73.5,-1.1
192305,78.8,-3.9
192306,88.1,-0.3
192307,89.8,-0.8
192308,88.9,-0.3
192309,85.6,1.1
192310,74.0,-1.4
192311,61.7,-3.7
192312,62.5,5.7
192401,54.9,-0.7
192402,55.0,-3.5
192403,61.6,-4.3
192404,73.3,-1.3
192405,80.5,-2.2
192406,90.1,1.7
192407,88.6,-2.0
192408,91.7,2.5
192409,79.7,-4.8
192410,73.8,-1.6
192411,66.4,1.0
192412,58.5,1.7
192501,54.4,-1.2
192502,63.8,5.3
192503,68.5,2.6
192504,78.7,4.1
192505,81.3,-1.4
192506,91.7,3.3
192507,93.1,2.5
192508,92.2,3.0
192509,94.0,9.5
192510,75.3,-0.1
192511,61.1,-4.3
192512,53.8,-3.0
192601,53.4,-2.2
192602,60.3,1.8
192603,58.7,-7.2
192604,73.1,-1.5
192605,85.1,2.4
192606,89.1,0.7
192607,91.0,0.4
192608,91.1,1.9
192609,88.0,3.5
192610,77.7,2.3
192611,61.7,-3.7
192612,59.9,3.1
192701,57.0,1.4
192702,67.1,8.6
192703,65.5,-0.4
192704,75.7,1.1
192705,84.6,1.9
192706,85.8,-2.6
192707,88.8,-1.8
192708,86.4,-2.8
192709,87.3,2.8
192710,78.1,2.7
192711,68.4,3.0
192712,57.0,0.2
192801,57.1,1.5
192802,57.2,-1.3
192803,65.0,-0.9
192804,71.9,-2.7
192805,80.1,-2.6
192806,87.0,-1.4
192807,89.6,-1.0
192808,89.0,-0.2
192809,81.8,-2.7
192810,77.2,1.8
192811,64.9,-0.5
192812,57.1,0.3
192901,57.8,2.2
192902,55.0,-3.5
192903,68.3,2.4
192904,76.1,1.5
192905,80.9,-1.8
192906,86.4,-2.0
192907,89.2,-1.4
192908,89.7,0.5
192909,81.7,-2.8
192910,73.1,-2.3
192911,63.9,-1.5
192912,56.5,-0.3
193001,57.0,1.4
193002,64.3,5.8
193003,60.8,-5.1
193004,76.4,1.8
193005,84.8,2.1
193006,86.8,-1.6
193007,93.6,3.0
193008,89.3,0.1
193009,87.4,2.9
193010,72.5,-2.9
193011,59.7,-5.7
193012,50.8,-6.0
193101,55.4,-0.2
193102,60.2,1.7
193103,59.5,-6.4
193104,72.4,-2.2
193105,80.5,-2.2
193106,91.1,2.7
193107,93.9,3.3
193108,89.5,0.3
193109,90.2,5.7
193110,80.4,5.0
193111,71.8,6.4
193112,63.9,7.1
193201,64.6,9.0
193202,65.0,6.5
193203,63.2,-2.7
193204,75.6,1.0
193205,81.5,-1.2
193206,88.7,0.3
193207,95.1,4.5
193208,88.8,-0.4
193209,83.5,-1.0
193210,75.2,-0.2
193211,61.6,-3.8
193212,59.6,2.8
193301,61.6,6.0
193302,58.7,0.2
193303,66.2,0.3
193304,73.6,-1.0
193305,88.4,5.7
193306,92.2,3.8
193307,89.6,-1.0
193308,89.4,0.2
193309,89.3,4.8
193310,76.3,0.9
193311,65.0,-0.4
193312,64.1,7.3
193401,58.3,2.7
193402,52.8,-5.7
193403,63.8,-2.1
193404,75.3,0.7
193405,80.9,-1.8
193406,90.4,2.0
193407,93.5,2.9
193408,89.9,0.7
193409,86.2,1.7
193410,76.3,0.9
193411,67.9,2.5
193412,55.7,-1.1
193501,56.5,0.9
193502,58.7,0.2
193503,71.5,5.6
193504,73.9,-0.7
193505,83.5,0.8
193506,90.7,2.3
193507,89.2,-1.4
193508,89.6,0.4
193509,83.2,-1.3
193510,77.3,1.9
193511,66.1,0.7
193512,48.2,-8.6
193601,51.6,-4.0
193602,53.7,-4.8
193603,67.9,2.0
193604,72.3,-2.3
193605,86.4,3.7
193606,90.2,1.8
193607,93.6,3.0
193608,90.3,1.1
193609,86.8,2.3
193610,76.4,1.0
193611,63.1,-2.3
193612,55.9,-0.9
193701,63.4,7.8
193702,56.7,-1.8
193703,64.6,-1.3
193704,73.2,-1.4
193705,83.9,1.2
193706,90.9,2.5
193707,90.7,0.1
193708,89.0,-0.2
193709,82.4,-2.1
193710,71.8,-3.6
193711,61.8,-3.6
193712,54.5,-2.3
193801,54.8,-0.8
193802,63.6,5.1
193803,72.3,6.4
193804,74.9,0.3
193805,84.5,1.8
193806,86.7,-1.7
193807,88.7,-1.9
193808,92.3,3.1
193809,85.4,0.9
193810,75.8,0.4
193811,67.9,2.5
193812,56.7,-0.1
193901,59.9,4.3
193902,64.5,6.0
193903,69.5,3.6
193904,74.5,-0.1
193905,82.2,-0.5
193906,91.6,3.2
193907,91.3,0.7
193908,88.7,-0.5
193909,87.3,2.8
193910,79.0,3.6
193911,62.7,-2.7
193912,58.2,1.4
194001,44.1,-11.5
194002,56.2,-2.3
194003,63.1,-2.8
194004,73.3,-1.3
194005,81.9,-0.8
194006,90.0,1.6
194007,90.4,-0.2
194008,87.9,-1.3
194009,84.1,-0.4
194010,77.0,1.6
194011,64.9,-0.5
194012,59.8,3.0
194101,55.4,-0.2
194102,53.2,-5.3
194103,59.5,-6.4
194104,76.3,1.7
194105,86.8,4.1
194106,88.0,-0.4
194107,89.7,-0.9
194108,90.5,1.3
194109,88.4,3.9
194110,82.6,7.2
194111,67.5,2.1
194112,59.4,2.6
194201,55.8,0.2
194202,52.0,-6.5
194203,66.2,0.3
194204,78.3,3.7
194205,83.1,0.4
194206,89.9,1.5
194207,92.6,2.0
194208,88.6,-0.6
194209,86.2,1.7
194210,77.1,1.7
194211,68.8,3.4
194212,55.4,-1.4
194301,57.4,1.8
194302,61.1,2.6
194303,63.3,-2.6
194304,73.9,-0.7
194305,84.1,1.4
194306,92.8,4.4
194307,90.1,-0.5
194308,91.5,2.3
194309,82.6,-1.9
194310,75.8,0.4
194311,65.6,0.2
194312,57.2,0.4
194401,55.7,0.1
194402,62.0,3.5
194403,65.3,-0.6
194404,73.8,-0.8
194405,86.1,3.4
194406,93.4,5.0
194407,89.0,-1.6
194408,88.0,-1.2
194409,85.9,1.4
194410,76.3,0.9
194411,63.2,-2.2
194412,52.8,-4.0
194501,55.1,-0.5
194502,61.0,2.5
194503,75.5,9.6
194504,78.2,3.6
194505,80.1,-2.6
194506,90.8,2.4
194507,89.5,-1.1
194508,87.8,-1.4
194509,86.3,1.8
194510,75.2,-0.2
194511,67.7,2.3
194512,50.1,-6.7
194601,56.3,0.7
194602,62.3,3.8
194603,71.4,5.5
194604,76.4,1.8
194605,80.7,-2.0
194606,88.4,0.0
194607,88.5,-2.1
194608,87.3,-1.9
194609,82.8,-1.7
194610,75.7,0.3
194611,69.3,3.9
194612,62.8,6.0
194701,59.9,4.3
194702,54.7,-3.8
194703,57.3,-8.6
194704,77.4,2.8
194705,83.7,1.0
194706,87.8,-0.6
194707,88.0,-2.6
194708,89.3,0.1
194709,85.0,0.5
194710,76.6,1.2
194711,59.6,-5.8
194712,56.4,-0.4
194801,49.9,-5.7
194802,57.5,-1.0
194803,68.1,2.2
194804,77.2,2.6
194805,83.6,0.9
194806,90.6,2.2
194807,91.3,0.7
194808,88.6,-0.6
194809,81.8,-2.7
194810,72.1,-3.3
194811,68.8,3.4
194812,59.6,2.8
194901,64.7,9.1
194902,63.9,5.4
194903,66.6,0.7
194904,72.6,-2.0
194905,83.3,0.6
194906,87.0,-1.4
194907,90.8,0.2
194908,88.0,-1.2
194909,81.9,-2.6
194910,77.2,1.8
194911,64.9,-0.5
194912,58.4,1.6
195001,66.8,11.2
195002,63.3,4.8
195003,62.6,-3.3
195004,73.6,-1.0
195005,84.5,1.8
195006,89.8,1.4
195007,87.7,-2.9
195008,88.3,-0.9
195009,81.8,-2.7
195010,76.8,1.4
195011,63.7,-1.7
195012,51.2,-5.6
195101,57.4,1.8
195102,60.8,2.3
195103,64.8,-1.1
195104,72.8,-1.8
195105,83.6,0.9
195106,89.5,1.1
195107,91.7,1.1
195108,91.7,2.5
195109,84.6,0.1
195110,77.3,1.9
195111,61.5,-3.9
195112,59.6,2.8
195201,62.6,7.0
195202,59.9,1.4
195203,65.4,-0.5
195204,73.5,-1.1
195205,84.6,1.9
195206,94.1,5.7
195207,93.3,2.7
195208,89.0,-0.2
195209,82.8,-1.7
195210,73.1,-2.3
195211,66.4,1.0
195212,55.0,-1.8
195301,60.1,4.5
195302,60.3,1.8
195303,67.0,1.1
195304,74.6,0.0
195305,87.8,5.1
195306,89.7,1.3
195307,91.5,0.9
195308,90.7,1.5
195309,84.0,-0.5
195310,77.5,2.1
195311,66.1,0.7
195312,56.4,-0.4
195401,58.6,3.0
195402,63.8,5.3
195403,65.1,-0.8
195404,78.0,3.4
195405,78.6,-4.1
195406,91.5,3.1
195407,94.1,3.5
195408,94.9,5.7
195409,90.0,5.5
195410,78.9,3.5
195411,61.7,-3.7
195412,55.0,-1.8
195501,54.2,-1.4
195502,60.1,1.6
195503,69.4,3.5
195504,77.3,2.7
195505,85.1,2.4
195506,85.2,-3.2
195507,91.1,0.5
195508,90.3,1.1
195509,83.9,-0.6
195510,75.3,-0.1
195511,65.4,0.0
195512,53.8,-3.0
195601,53.7,-1.9
195602,62.7,4.2
195603,66.3,0.4
195604,73.1,-1.5
195605,83.7,1.0
195606,90.1,1.7
195607,91.7,1.1
195608,91.5,2.3
195609,82.6,-1.9
195610,73.4,-2.0
195611,64.6,-0.8
195612,66.6,9.8
195701,57.1,1.5
195702,64.4,5.9
195703,62.7,-3.2
195704,76.7,2.1
195705,82.0,-0.7
195706,87.7,-0.7
195707,90.6,0.0
195708,89.7,0.5
195709,84.8,0.3
195710,69.4,-6.0
195711,65.5,0.1
195712,58.3,1.5
195801,48.9,-6.7
195802,51.5,-7.0
195803,58.6,-7.3
195804,73.4,-1.2
195805,82.0,-0.7
195806,87.9,-0.5
195807,90.1,-0.5
195808,90.2,1.0
195809,85.5,1.0
195810,73.0,-2.4
195811,69.6,4.2
195812,53.7,-3.1
195901,55.6,0.0
195902,58.7,0.2
195903,63.4,-2.5
195904,75.8,1.2
195905,84.2,1.5
195906,88.6,0.2
195907,88.8,-1.8
195908,90.5,1.3
195909,82.6,-1.9
195910,74.1,-1.3
195911,64.9,-0.5
195912,57.2,0.4
196001,54.9,-0.7
196002,55.7,-2.8
196003,53.0,-12.9
196004,77.2,2.6
196005,82.5,-0.2
196006,88.1,-0.3
196007,89.6,-1.0
196008,89.4,0.2
196009,84.2,-0.3
196010,76.7,1.3
196011,66.9,1.5
196012,53.5,-3.3
196101,52.3,-3.3
196102,60.6,2.1
196103,69.2,3.3
196104,69.3,-5.3
196105,78.4,-4.3
196106,85.7,-2.7
196107,90.0,-0.6
196108,87.1,-2.1
196109,86.0,1.5
196110,76.3,0.9
196111,68.7,3.3
196112,57.5,0.7
196201,53.6,-2.0
196202,63.5,5.0
196203,60.8,-5.1
196204,72.4,-2.2
196205,89.0,6.3
196206,86.1,-2.3
196207,90.9,0.3
196208,89.5,0.3
196209,83.5,-1.0
196210,77.4,2.0
196211,61.7,-3.7
196212,53.5,-3.3
