South Dakota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,18.3,-7.7
189502,23.0,-7.9
189503,42.6,0.6
189504,66.2,8.7
189505,69.0,-0.2
189506,75.2,-3.3
189507,85.2,-1.2
189508,85.3,0.8
189509,78.2,3.8
189510,59.2,-2.3
189511,38.1,-4.6
189512,32.6,2.4
189601,28.9,2.9
189602,36.9,6.0
189603,33.5,-8.5
189604,56.4,-1.1
189605,71.8,2.6
189606,80.2,1.7
189607,84.2,-2.2
189608,84.4,-0.1
189609,68.9,-5.5
189610,57.7,-3.8
189611,22.4,-20.3
189612,33.7,3.5
189701,20.3,-5.7
189702,25.7,-5.2
189703,31.1,-10.9
189704,55.4,-2.1
189705,72.7,3.5
189706,77.0,-1.5
189707,85.7,-0.7
189708,79.7,-4.8
189709,83.7,9.3
189710,62.4,0.9
189711,37.9,-4.8
189712,26.8,-3.4
189801,31.6,5.6
189802,36.1,5.2
189803,40.0,-2.0
189804,58.2,0.7
189805,65.0,-4.2
189806,79.1,0.6
189807,85.7,-0.7
189808,85.5,1.0
189809,76.3,1.9
189810,53.0,-8.5
189811,38.4,-4.3
189812,29.0,-1.2
189901,26.9,0.9
189902,16.6,-14.3
189903,26.1,-15.9
189904,55.8,-1.7
189905,65.9,-3.3
189906,77.9,-0.6
189907,86.4,0.0
189908,83.8,-0.7
189909,75.5,1.1
189910,59.6,-1.9
189911,52.7,10.0
189912,29.2,-1.0
190001,35.2,9.2
190002,26.4,-4.5
190003,41.7,-0.3
190004,62.6,5.1
190005,76.6,7.4
190006,83.5,5.0
190007,84.3,-2.1
190008,86.4,1.9
190009,71.5,-2.9
190010,65.1,3.6
190011,38.5,-4.2
190012,35.8,5.6
190101,32.5,6.5
190102,26.8,-4.1
190103,43.4,1.4
190104,59.8,2.3
190105,75.0,5.8
190106,76.4,-2.1
190107,91.9,5.5
190108,85.8,1.3
190109,69.5,-4.9
190110,64.5,3.0
190111,46.8,4.1
190112,28.4,-1.8
190201,29.8,3.8
190202,26.8,-4.1
190203,41.8,-0.2
190204,56.3,-1.2
190205,71.4,2.2
190206,73.6,-4.9
190207,84.3,-2.1
190208,80.8,-3.7
190209,71.7,-2.7
190210,63.6,2.1
190211,44.0,1.3
190212,24.0,-6.2
190301,28.2,2.2
