California, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,47.4,-4.6
189502,56.1,0.5
189503,58.2,-1.8
189504,65.6,-0.8
189505,74.3,0.2
189506,84.1,1.3
189507,86.4,-3.5
189508,86.6,-2.2
189509,79.4,-3.7
189510,72.7,-0.1
189511,59.5,-1.4
189512,50.7,-2.2
189601,53.9,1.9
189602,59.4,3.8
189603,60.2,0.2
189604,59.6,-6.8
189605,71.3,-2.8
189606,86.1,3.3
189607,89.6,-0.3
189608,87.2,-1.6
189609,79.7,-3.4
189610,72.9,0.1
189611,57.0,-3.9
189612,54.5,1.6
189701,49.8,-2.2
189702,50.4,-5.2
189703,52.3,-7.7
189704,69.6,3.2
189705,77.4,3.3
189706,81.5,-1.3
189707,89.1,-0.8
189708,89.5,0.7
189709,80.3,-2.8
189710,67.0,-5.8
189711,59.4,-1.5
189712,52.0,-0.9
189801,46.6,-5.4
189802,57.4,1.8
189803,57.7,-2.3
189804,70.5,4.1
189805,70.6,-3.5
189806,83.7,0.9
189807,89.9,0.0
189808,89.8,1.0
189809,82.4,-0.7
189810,72.4,-0.4
189811,60.8,-0.1
189812,51.5,-1.4
189901,52.7,0.7
189902,56.0,0.4
189903,57.9,-2.1
189904,67.9,1.5
189905,69.5,-4.6
189906,83.5,0.7
189907,90.9,1.0
189908,83.6,-5.2
189909,87.3,4.2
189910,67.3,-5.5
189911,60.1,-0.8
189912,51.7,-1.2
190001,54.1,2.1
190002,58.5,2.9
190003,65.2,5.2
190004,62.5,-3.9
190005,75.5,1.4
190006,84.6,1.8
190007,90.4,0.5
190008,84.3,-4.5
190009,77.8,-5.3
190010,69.3,-3.5
190011,62.5,1.6
190012,54.6,1.7
190101,50.4,-1.6
190102,54.0,-1.6
190103,62.0,2.0
190104,64.8,-1.6
190105,71.8,-2.3
190106,82.9,0.1
190107,90.5,0.6
190108,89.8,1.0
190109,79.5,-3.6
190110,74.0,1.2
190111,63.3,2.4
190112,56.5,3.6
190201,52.0,0.0
190202,55.6,0.0
190203,56.4,-3.6
190204,64.6,-1.8
190205,71.6,-2.5
190206,85.0,2.2
190207,87.9,-2.0
190208,86.9,-1.9
190209,84.5,1.4
190210,71.1,-1.7
190211,56.8,-4.1
190212,51.7,-1.2
190301,51.7,-0.3
190302,48.9,-6.7
190303,56.7,-3.3
190304,63.4,-3.0
190305,74.1,0.0
190306,83.8,1.0
190307,87.1,-2.8
190308,88.9,0.1
190309,81.4,-1.7
190310,75.6,2.8
190311,61.3,0.4
190312,54.7,1.8
190401,52.9,0.9
190402,54.7,-0.9
190403,56.4,-3.6
190404,65.7,-0.7
190405,76.6,2.5
190406,84.8,2.0
190407,87.7,-2.2
190408,89.2,0.4
190409,82.1,-1.0
190410,70.5,-2.3
190411,63.9,3.0
190412,53.6,0.7
190501,54.6,2.6
190502,56.3,0.7
190503,60.2,0.2
190504,66.0,-0.4
190505,68.7,-5.4
190506,81.2,-1.6
190507,91.1,1.2
190508,89.6,0.8
190509,83.4,0.3
190510,73.6,0.8
190511,59.8,-1.1
190512,51.4,-1.5
190601,54.0,2.0
190602,57.5,1.9
190603,57.6,-2.4
190604,64.1,-2.3
190605,68.3,-5.8
190606,78.8,-4.0
190607,93.1,3.2
190608,88.4,-0.4
190609,82.6,-0.5
190610,75.2,2.4
190611,58.0,-2.9
190612,50.5,-2.4
190701,47.1,-4.9
190702,59.5,3.9
190703,54.6,-5.4
190704,66.5,0.1
190705,71.4,-2.7
190706,77.8,-5.0
190707,87.8,-2.1
190708,85.6,-3.2
190709,79.6,-3.5
190710,70.6,-2.2
190711,61.9,1.0
190712,53.8,0.9
190801,52.7,0.7
190802,52.4,-3.2
190803,61.1,1.1
190804,69.4,3.0
190805,69.2,-4.9
190806,79.9,-2.9
190807,92.1,2.2
