Tennessee, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,42.9,-4.2
189502,39.5,-11.2
189503,58.4,-1.5
189504,70.6,0.6
189505,76.6,-1.7
189506,87.7,2.1
189507,85.4,-3.2
189508,87.4,-0.2
189509,85.7,3.2
189510,67.4,-4.5
189511,59.1,0.1
189512,49.6,0.5
189601,45.9,-1.2
189602,49.8,-0.9
189603,54.8,-5.1
189604,76.2,6.2
189605,84.3,6.0
189606,83.8,-1.8
189607,87.8,-0.8
189608,89.7,2.1
189609,82.4,-0.1
189610,69.6,-2.3
189611,62.2,3.2
189612,50.8,1.7
189701,44.3,-2.8
189702,53.1,2.4
189703,62.5,2.6
189704,69.3,-0.7
189705,75.8,-2.5
189706,88.0,2.4
189707,88.9,0.3
189708,87.8,0.2
189709,87.7,5.2
189710,78.2,6.3
189711,60.5,1.5
189712,49.0,-0.1
189801,51.7,4.6
189802,49.7,-1.0
189803,64.1,4.2
189804,65.0,-5.0
189805,82.5,4.2
189806,89.1,3.5
189807,88.0,-0.6
189808,87.3,-0.3
189809,84.6,2.1
189810,68.2,-3.7
189811,55.0,-4.0
189812,46.7,-2.4
189901,46.7,-0.4
189902,40.3,-10.4
189903,58.6,-1.3
189904,67.8,-2.2
189905,82.4,4.1
189906,88.8,3.2
189907,89.9,1.3
189908,90.6,3.0
189909,82.4,-0.1
189910,74.4,2.5
189911,61.7,2.7
189912,46.5,-2.6
190001,48.2,1.1
190002,46.4,-4.3
190003,56.3,-3.6
190004,70.5,0.5
190005,79.4,1.1
190006,82.8,-2.8
190007,88.1,-0.5
190008,91.5,3.9
190009,86.3,3.8
190010,75.0,3.1
190011,59.9,0.9
190012,50.5,1.4
190101,48.4,1.3
190102,45.7,-5.0
190103,59.8,-0.1
190104,63.8,-6.2
190105,77.7,-0.6
190106,88.5,2.9
190107,94.2,5.6
190108,85.2,-2.4
190109,79.1,-3.4
190110,71.8,-0.1
190111,54.8,-4.2
190112,43.8,-5.3
190201,46.0,-1.1
190202,39.2,-11.5
190203,59.4,-0.5
190204,68.0,-2.0
190205,83.5,5.2
190206,87.9,2.3
190207,91.6,3.0
190208,89.0,1.4
190209,79.0,-3.5
190210,72.2,0.3
190211,64.3,5.3
190212,46.7,-2.4
190301,46.5,-0.6
190302,50.9,0.2
190303,63.2,3.3
190304,68.3,-1.7
190305,79.5,1.2
190306,79.9,-5.7
190307,88.8,0.2
190308,87.9,0.3
190309,83.7,1.2
190310,72.4,0.5
190311,55.3,-3.7
190312,44.2,-4.9
190401,45.1,-2.0
190402,50.6,-0.1
190403,61.6,1.7
190404,64.5,-5.5
190405,78.1,-0.2
190406,85.4,-0.2
190407,86.5,-2.1
190408,87.2,-0.4
190409,84.5,2.0
190410,72.7,0.8
190411,57.6,-1.4
190412,48.3,-0.8
190501,39.4,-7.7
190502,39.7,-11.0
190503,66.3,6.4
190504,70.0,0.0
190505,79.8,1.5
190506,86.4,0.8
190507,86.2,-2.4
190508,87.1,-0.5
190509,83.9,1.4
190510,70.3,-1.6
190511,60.6,1.6
190512,46.1,-3.0
190601,50.6,3.5
190602,50.2,-0.5
190603,52.2,-7.7
190604,73.9,3.9
190605,79.5,1.2
190606,86.5,0.9
190607,85.6,-3.0
190608,87.5,-0.1
190609,83.7,1.2
190610,68.5,-3.4
190611,59.8,0.8
190612,50.3,1.2
190701,57.2,10.1
190702,50.3,-0.4
190703,69.7,9.8
190704,61.6,-8.4
190705,74.6,-3.7
190706,83.2,-2.4
190707,90.6,2.0
190708,88.8,1.2
190709,82.5,0.0
190710,70.4,-1.5
190711,56.0,-3.0
190712,49.4,0.3
190801,46.7,-0.4
190802,47.7,-3.0
190803,66.6,6.7
190804,73.3,3.3
190805,79.2,0.9
190806,85.3,-0.3
190807,88.6,0.0
190808,87.5,-0.1
190809,84.4,1.9
190810,71.5,-0.4
190811,62.5,3.5
190812,51.4,2.3
190901,50.7,3.6
190902,56.1,5.4
190903,59.4,-0.5
190904,70.8,0.8
190905,76.8,-1.5
190906,85.2,-0.4
190907,86.7,-1.9
190908,89.6,2.0
190909,80.6,-1.9
190910,71.5,-0.4
190911,68.2,9.2
