Texas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,57.9,0.2
189502,50.2,-12.0
189503,69.7,0.3
189504,79.6,1.8
189505,81.6,-3.1
189506,89.4,-2.2
189507,91.3,-3.1
189508,94.4,0.3
189509,89.8,1.8
189510,75.4,-3.5
189511,62.4,-4.8
189512,58.6,-0.4
189601,56.7,-1.0
189602,63.4,1.2
189603,67.2,-2.2
189604,79.0,1.2
189605,89.6,4.9
189606,95.5,3.9
189607,93.4,-1.0
189608,96.5,2.4
189609,87.9,-0.1
189610,74.3,-4.6
189611,65.2,-2.0
189612,61.7,2.7
189701,51.3,-6.4
189702,64.5,2.3
189703,72.0,2.6
189704,78.6,0.8
189705,84.2,-0.5
189706,92.2,0.6
189707,97.4,3.0
189708,92.8,-1.3
189709,88.0,0.0
189710,81.9,3.0
189711,70.9,3.7
189712,56.9,-2.1
189801,60.7,3.0
189802,65.7,3.5
189803,68.4,-1.0
189804,76.7,-1.1
189805,85.1,0.4
189806,90.2,-1.4
189807,92.7,-1.7
189808,93.0,-1.1
189809,88.8,0.8
189810,80.3,1.4
189811,63.6,-3.6
189812,53.4,-5.6
189901,55.5,-2.2
189902,52.4,-9.8
189903,71.8,2.4
189904,75.5,-2.3
189905,87.8,3.1
189906,90.8,-0.8
189907,93.1,-1.3
189908,98.4,4.3
189909,89.3,1.3
189910,80.2,1.3
189911,67.7,0.5
189912,56.0,-3.0
190001,57.6,-0.1
190002,59.4,-2.8
190003,67.6,-1.8
190004,75.1,-2.7
190005,83.2,-1.5
190006,93.6,2.0
190007,91.3,-3.1
190008,91.6,-2.5
190009,88.9,0.9
190010,78.4,-0.5
190011,67.4,0.2
190012,58.5,-0.5
190101,60.4,2.7
190102,58.0,-4.2
190103,70.2,0.8
190104,75.8,-2.0
190105,85.3,0.6
190106,94.8,3.2
190107,95.9,1.5
190108,96.4,2.3
190109,87.6,-0.4
190110,80.8,1.9
190111,69.2,2.0
190112,58.9,-0.1
190201,57.3,-0.4
190202,60.1,-2.1
190203,70.0,0.6
190204,80.7,2.9
190205,87.1,2.4
190206,94.9,3.3
190207,91.4,-3.0
190208,95.9,1.8
190209,86.2,-1.8
190210,79.4,0.5
190211,68.3,1.1
190212,56.9,-2.1
190301,56.2,-1.5
190302,53.6,-8.6
190303,64.9,-4.5
190304,76.3,-1.5
190305,80.8,-3.9
190306,84.7,-6.9
190307,92.9,-1.5
190308,92.2,-1.9
190309,86.3,-1.7
190310,76.9,-2.0
190311,68.2,1.0
190312,60.8,1.8
190401,58.6,0.9
190402,68.4,6.2
190403,76.3,6.9
190404,78.0,0.2
190405,83.8,-0.9
190406,89.1,-2.5
190407,91.7,-2.7
190408,91.7,-2.4
190409,86.1,-1.9
190410,78.5,-0.4
190411,67.6,0.4
190412,59.2,0.2
190501,53.6,-4.1
190502,48.8,-13.4
190503,69.5,0.1
190504,73.9,-3.9
190505,84.4,-0.3
190506,90.5,-1.1
190507,91.2,-3.2
190508,94.3,0.2
190509,89.3,1.3
190510,76.0,-2.9
190511,67.1,-0.1
190512,52.1,-6.9
190601,59.9,2.2
190602,59.7,-2.5
190603,65.1,-4.3
190604,76.5,-1.3
190605,84.4,-0.3
190606,92.4,0.8
190607,90.0,-4.4
190608,89.9,-4.2
190609,87.0,-1.0
190610,74.4,-4.5
190611,65.2,-2.0
190612,63.3,4.3
190701,65.3,7.6
190702,68.1,5.9
190703,79.1,9.7
190704,76.8,-1.0
190705,79.6,-5.1
190706,91.8,0.2
190707,92.5,-1.9
190708,95.5,1.4
190709,91.2,3.2
190710,76.1,-2.8
190711,61.3,-5.9
190712,60.6,1.6
190801,60.2,2.5
190802,62.1,-0.1
190803,75.4,6.0
190804,77.0,-0.8
190805,85.1,0.4
190806,92.2,0.6
190807,91.1,-3.3
190808,91.7,-2.4
190809,87.2,-0.8
190810,77.7,-1.2
190811,68.9,1.7
190812,62.0,3.0
