Utah, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,31.3,-4.5
189502,35.6,-5.6
189503,46.2,-2.6
189504,61.6,3.4
189505,68.1,-0.2
189506,76.2,-2.6
189507,82.9,-3.3
189508,84.1,0.4
189509,73.9,-1.0
189510,60.8,-1.4
189511,41.0,-6.5
189512,29.2,-8.1
189601,37.9,2.1
189602,42.0,0.8
189603,48.2,-0.6
189604,56.3,-1.9
189605,63.7,-4.6
189606,83.3,4.5
189607,83.7,-2.5
189608,81.5,-2.2
189609,71.5,-3.4
189610,60.1,-2.1
189611,41.5,-6.0
189612,39.7,2.4
189701,34.1,-1.7
189702,35.8,-5.4
189703,39.4,-9.4
189704,57.5,-0.7
189705,73.8,5.5
189706,78.4,-0.4
189707,82.9,-3.3
189708,83.2,-0.5
189709,73.3,-1.6
189710,55.4,-6.8
189711,46.9,-0.6
189712,30.6,-6.7
189801,27.0,-8.8
189802,39.7,-1.5
189803,42.9,-5.9
189804,63.0,4.8
189805,64.0,-4.3
189806,80.3,1.5
189807,87.1,0.9
189808,86.0,2.3
189809,75.6,0.7
189810,58.5,-3.7
189811,45.2,-2.3
189812,31.6,-5.7
189901,34.7,-1.1
189902,37.6,-3.6
189903,47.1,-1.7
189904,60.2,2.0
189905,64.0,-4.3
189906,78.3,-0.5
189907,86.2,0.0
189908,79.0,-4.7
189909,78.2,3.3
189910,55.0,-7.2
189911,49.4,1.9
189912,33.0,-4.3
190001,39.6,3.8
190002,42.4,1.2
190003,56.5,7.7
190004,53.9,-4.3
190005,71.0,2.7
190006,83.9,5.1
190007,86.9,0.7
190008,81.5,-2.2
190009,69.3,-5.6
190010,59.3,-2.9
190011,49.3,1.8
190012,38.5,1.2
190101,36.6,0.8
190102,40.1,-1.1
190103,47.3,-1.5
190104,57.7,-0.5
190105,71.2,2.9
190106,76.9,-1.9
190107,90.0,3.8
190108,83.5,-0.2
190109,73.4,-1.5
190110,62.9,0.7
190111,51.6,4.1
190112,38.6,1.3
190201,37.0,1.2
190202,43.5,2.3
190203,42.6,-6.2
190204,59.6,1.4
190205,68.8,0.5
190206,82.2,3.4
190207,83.6,-2.6
190208,83.0,-0.7
190209,74.7,-0.2
190210,63.0,0.8
190211,44.2,-3.3
190212,35.0,-2.3
190301,36.2,0.4
190302,26.8,-14.4
190303,45.0,-3.8
190304,56.2,-2.0
190305,65.4,-2.9
190306,79.0,0.2
190307,83.2,-3.0
190308,85.3,1.6
190309,71.7,-3.2
190310,62.7,0.5
190311,50.1,2.6
190312,37.8,0.5
190401,34.0,-1.8
190402,45.2,4.0
190403,49.3,0.5
190404,59.6,1.4
190405,68.0,-0.3
190406,76.8,-2.0
190407,84.3,-1.9
190408,81.7,-2.0
190409,75.0,0.1
190410,61.1,-1.1
190411,53.5,6.0
190412,39.3,2.0
190501,36.0,0.2
190502,37.8,-3.4
190503,50.4,1.6
190504,58.1,-0.1
190505,62.7,-5.6
190506,79.1,0.3
190507,85.1,-1.1
190508,84.2,0.5
190509,74.1,-0.8
190510,57.6,-4.6
190511,47.2,-0.3
190512,32.0,-5.3
190601,34.0,-1.8
190602,42.1,0.9
190603,45.1,-3.7
190604,57.0,-1.2
190605,66.8,-1.5
190606,75.9,-2.9
190607,84.5,-1.7
190608,81.0,-2.7
190609,71.3,-3.6
190610,61.5,-0.7
190611,44.0,-3.5
190612,39.6,2.3
190701,35.4,-0.4
190702,49.0,7.8
190703,50.4,1.6
190704,60.4,2.2
190705,63.8,-4.5
190706,71.1,-7.7
190707,84.7,-1.5
190708,80.4,-3.3
190709,73.9,-1.0
190710,63.7,1.5
190711,48.2,0.7
190712,39.7,2.4
190801,36.6,0.8
190802,39.7,-1.5
190803,50.2,1.4
190804,61.0,2.8
190805,62.1,-6.2
190806,73.9,-4.9
190807,85.6,-0.6
190808,80.5,-3.2
190809,73.1,-1.8
190810,54.8,-7.4
190811,47.3,-0.2
190812,34.7,-2.6
190901,40.0,4.2
190902,39.2,-2.0
190903,46.0,-2.8
190904,55.2,-3.0
190905,65.1,-3.2
190906,80.6,1.8
190907,85.7,-0.5
190908,82.2,-1.5
190909,72.0,-2.9
190910,64.5,2.3
190911,47.6,0.1
190912,26.9,-10.4
