Vermont, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,25.8,0.1
189502,23.5,-4.1
189503,32.6,-4.9
189504,50.6,-0.1
189505,68.6,4.1
189506,77.0,3.8
189507,74.4,-3.4
189508,73.2,-1.9
189509,68.6,1.1
189510,50.0,-6.1
189511,43.5,1.8
189512,33.7,4.5
189601,22.9,-2.8
189602,27.0,-0.6
189603,31.6,-5.9
189604,54.1,3.4
189605,68.8,4.3
189606,72.3,-0.9
189607,77.7,-0.1
189608,75.0,-0.1
189609,65.0,-2.5
189610,50.6,-5.5
189611,45.0,3.3
189612,26.8,-2.4
189701,26.9,1.2
189702,28.8,1.2
189703,36.4,-1.1
189704,52.1,1.4
189705,63.6,-0.9
189706,69.3,-3.9
189707,79.0,1.2
189708,72.4,-2.7
189709,66.2,-1.3
189710,58.6,2.5
189711,39.2,-2.5
189712,30.8,1.6
189801,25.0,-0.7
189802,31.1,3.5
189803,43.7,6.2
189804,49.3,-1.4
189805,62.4,-2.1
189806,73.1,-0.1
189807,79.3,1.5
189808,75.4,0.3
189809,69.5,2.0
189810,55.6,-0.5
189811,39.2,-2.5
189812,30.6,1.4
189901,26.6,0.9
189902,24.3,-3.3
189903,33.1,-4.4
189904,51.9,1.2
189905,64.9,0.4
189906,75.6,2.4
189907,77.0,-0.8
189908,76.6,1.5
189909,65.1,-2.4
189910,56.8,0.7
189911,39.1,-2.6
189912,33.4,4.2
190001,28.6,2.9
190002,26.9,-0.7
190003,30.9,-6.6
190004,49.9,-0.8
190005,62.7,-1.8
190006,75.3,2.1
190007,77.8,0.0
190008,75.9,0.8
190009,69.2,1.7
190010,60.9,4.8
190011,42.2,0.5
190012,27.6,-1.6
190101,24.5,-1.2
190102,19.9,-7.7
190103,34.7,-2.8
190104,52.6,1.9
190105,63.3,-1.2
190106,75.6,2.4
190107,79.3,1.5
190108,75.5,0.4
190109,68.2,0.7
190110,56.6,0.5
190111,34.5,-7.2
190112,30.2,1.0
190201,24.5,-1.2
190202,27.0,-0.6
190203,43.2,5.7
190204,52.2,1.5
190205,61.5,-3.0
190206,68.3,-4.9
190207,73.5,-4.3
190208,71.3,-3.8
190209,67.0,-0.5
190210,53.0,-3.1
190211,46.3,4.6
190212,25.8,-3.4
190301,25.6,-0.1
190302,28.8,1.2
190303,45.6,8.1
190304,51.8,1.1
190305,69.7,5.2
190306,68.4,-4.8
190307,74.8,-3.0
190308,67.8,-7.3
190309,70.0,2.5
190310,55.1,-1.0
190311,38.1,-3.6
190312,25.1,-4.1
190401,17.8,-7.9
190402,20.1,-7.5
190403,33.9,-3.6
190404,47.6,-3.1
190405,69.5,5.0
190406,73.3,0.1
190407,76.6,-1.2
190408,73.1,-2.0
190409,63.9,-3.6
190410,51.5,-4.6
190411,35.8,-5.9
190412,21.0,-8.2
190501,21.6,-4.1
190502,21.4,-6.2
190503,37.0,-0.5
190504,49.5,-1.2
190505,63.5,-1.0
190506,71.1,-2.1
190507,77.2,-0.6
190508,72.8,-2.3
190509,65.4,-2.1
190510,55.8,-0.3
190511,39.0,-2.7
190512,31.9,2.7
190601,33.4,7.7
190602,28.7,1.1
190603,30.4,-7.1
190604,50.2,-0.5
190605,63.0,-1.5
190606,73.5,0.3
190607,77.7,-0.1
190608,78.5,3.4
190609,70.8,3.3
190610,56.8,0.7
190611,38.1,-3.6
190612,25.1,-4.1
190701,23.2,-2.5
190702,20.2,-7.4
190703,37.5,0.0
190704,46.1,-4.6
190705,57.3,-7.2
190706,73.3,0.1
190707,77.1,-0.7
190708,72.9,-2.2
190709,65.2,-2.3
190710,50.9,-5.2
190711,39.7,-2.0
190712,32.4,3.2
190801,27.6,1.9
190802,23.0,-4.6
190803,37.2,-0.3
190804,47.7,-3.0
190805,66.8,2.3
190806,75.8,2.6
190807,81.4,3.6
190808,73.9,-1.2
190809,74.0,6.5
190810,60.8,4.7
190811,40.5,-1.2
190812,28.3,-0.9
190901,27.4,1.7
190902,29.1,1.5
190903,34.2,-3.3
190904,48.8,-1.9
190905,61.0,-3.5
190906,74.6,1.4
190907,75.5,-2.3
190908,74.7,-0.4
190909,67.0,-0.5
190910,53.3,-2.8
190911,44.7,3.0
190912,26.0,-3.2
191001,27.9,2.2
191002,26.5,-1.1
191003,44.2,6.7
191004,56.0,5.3
191005,62.1,-2.4
191006,69.7,-3.5
191007,79.0,1.2
191008,73.4,-1.7
191009,66.4,-1.1
191010,56.5,0.4
191011,37.2,-4.5
191012,23.0,-6.2
191101,27.9,2.2
191102,24.4,-3.2
191103,34.5,-3.0
191104,49.3,-1.4
191105,73.3,8.8
191106,70.9,-2.3
191107,82.3,4.5
191108,76.1,1.0
191109,65.7,-1.8
191110,54.0,-2.1
191111,38.8,-2.9
191112,34.7,5.5
191201,17.0,-8.7
191202,24.3,-3.3
191203,33.2,-4.3
191204,50.3,-0.4
191205,64.4,-0.1
191206,71.8,-1.4
191207,79.1,1.3
191208,69.9,-5.2
191209,64.5,-3.0
191210,57.9,1.8
191211,42.4,0.7
191212,35.2,6.0
191301,35.0,9.3
191302,24.2,-3.4
191303,41.8,4.3
191304,53.9,3.2
191305,61.5,-3.0
191306,74.1,0.9
191307,78.9,1.1
191308,75.7,0.6
191309,67.4,-0.1
191310,58.5,2.4
191311,44.8,3.1
191312,32.4,3.2
191401,24.4,-1.3
191402,20.6,-7.0
191403,35.4,-2.1
191404,45.8,-4.9
191405,67.5,3.0
191406,71.1,-2.1
191407,75.3,-2.5
191408,74.6,-0.5
191409,67.4,-0.1
191410,59.5,3.4
191411,39.6,-2.1
191412,27.7,-1.5
191501,28.8,3.1
191502,31.8,4.2
191503,33.7,-3.8
191504,57.2,6.5
191505,60.1,-4.4
191506,73.2,0.0
191507,75.6,-2.2
