Virginia, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,40.4,-4.2
189502,35.9,-11.3
189503,53.2,-2.9
189504,64.5,-1.7
189505,73.0,-2.4
189506,85.0,2.7
189507,82.8,-2.8
189508,86.0,2.1
189509,83.9,5.5
189510,64.8,-3.5
189511,57.2,0.4
189512,47.4,0.7
189601,42.5,-2.1
189602,47.0,-0.2
189603,51.1,-5.0
189604,69.2,3.0
189605,80.8,5.4
189606,80.6,-1.7
189607,85.2,-0.4
189608,85.7,1.8
189609,78.1,-0.3
189610,65.0,-3.3
189611,62.5,5.7
189612,46.0,-0.7
189701,41.6,-3.0
189702,48.1,0.9
189703,57.5,1.4
189704,66.4,0.2
189705,73.5,-1.9
189706,82.7,0.4
189707,86.6,1.0
189708,84.6,0.7
189709,81.7,3.3
189710,70.0,1.7
189711,57.9,1.1
189712,47.1,0.4
189801,46.6,2.0
189802,46.8,-0.4
189803,59.6,3.5
189804,61.1,-5.1
189805,77.0,1.6
189806,84.4,2.1
189807,86.4,0.8
189808,84.9,1.0
189809,80.8,2.4
189810,66.9,-1.4
189811,52.7,-4.1
189812,45.6,-1.1
189901,44.8,0.2
189902,38.4,-8.8
189903,54.0,-2.1
189904,65.7,-0.5
189905,77.0,1.6
189906,85.1,2.8
189907,87.3,1.7
189908,85.9,2.0
189909,77.8,-0.6
189910,69.3,1.0
189911,57.9,1.1
189912,46.1,-0.6
190001,45.4,0.8
190002,44.7,-2.5
190003,51.3,-4.8
190004,65.4,-0.8
190005,77.8,2.4
190006,82.0,-0.3
190007,88.9,3.3
190008,90.7,6.8
190009,83.6,5.2
190010,70.9,2.6
190011,58.4,1.6
190012,46.4,-0.3
190101,44.9,0.3
190102,41.2,-6.0
190103,56.9,0.8
190104,59.1,-7.1
190105,74.2,-1.2
190106,82.4,0.1
190107,88.1,2.5
190108,82.7,-1.2
190109,76.6,-1.8
190110,68.7,0.4
190111,50.0,-6.8
190112,44.1,-2.6
190201,41.0,-3.6
190202,37.5,-9.7
190203,57.0,0.9
190204,63.5,-2.7
190205,78.7,3.3
190206,82.8,0.5
190207,87.7,2.1
190208,83.6,-0.3
190209,76.7,-1.7
190210,69.2,0.9
190211,62.2,5.4
190212,44.8,-1.9
190301,42.4,-2.2
190302,49.8,2.6
190303,61.5,5.4
190304,64.2,-2.0
190305,77.4,2.0
190306,77.0,-5.3
190307,86.4,0.8
190308,82.6,-1.3
190309,77.5,-0.9
190310,67.6,-0.7
190311,53.1,-3.7
190312,40.9,-5.8
190401,39.7,-4.9
190402,41.0,-6.2
190403,55.4,-0.7
190404,61.8,-4.4
190405,75.7,0.3
190406,81.7,-0.6
190407,84.2,-1.4
190408,81.8,-2.1
190409,78.4,0.0
190410,68.1,-0.2
190411,54.0,-2.8
190412,42.5,-4.2
190501,39.8,-4.8
190502,36.2,-11.0
190503,58.8,2.7
190504,66.4,0.2
190505,77.6,2.2
190506,82.9,0.6
190507,84.4,-1.2
190508,82.5,-1.4
190509,79.2,0.8
190510,68.3,0.0
190511,56.1,-0.7
190512,45.8,-0.9
190601,47.8,3.2
190602,46.8,-0.4
190603,47.9,-8.2
190604,68.9,2.7
190605,76.9,1.5
190606,83.0,0.7
190607,83.1,-2.5
190608,84.2,0.3
190609,79.8,1.4
190610,64.4,-3.9
190611,57.5,0.7
190612,47.3,0.6
190701,51.4,6.8
190702,43.1,-4.1
190703,62.0,5.9
190704,58.2,-8.0
190705,72.7,-2.7
190706,75.8,-6.5
190707,85.7,0.1
190708,82.4,-1.5
190709,79.7,1.3
190710,65.1,-3.2
190711,52.8,-4.0
