Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,32.6,-1.8
189502,41.8,1.5
189503,47.8,0.1
189504,57.8,1.8
189505,61.6,-2.0
189506,70.4,0.5
189507,74.6,-3.2
189508,76.1,-1.0
189509,60.7,-8.6
189510,60.0,2.8
189511,43.2,0.0
189512,36.7,0.5
189601,36.4,2.0
189602,43.7,3.4
189603,46.2,-1.5
189604,51.8,-4.2
189605,58.9,-4.7
189606,70.4,0.5
189607,80.4,2.6
189608,75.5,-1.6
189609,66.2,-3.1
189610,57.7,0.5
189611,35.5,-7.7
189612,39.2,3.0
189701,33.7,-0.7
189702,39.6,-0.7
189703,39.6,-8.1
189704,59.1,3.1
189705,69.0,5.4
189706,68.3,-1.6
189707,72.6,-5.2
189708,81.8,4.7
189709,66.1,-3.2
189710,56.9,-0.3
189711,40.6,-2.6
189712,35.2,-1.0
189801,32.3,-2.1
189802,43.8,3.5
189803,44.8,-2.9
189804,57.2,1.2
189805,65.0,1.4
189806,70.4,0.5
189807,77.6,-0.2
189808,79.9,2.8
189809,69.6,0.3
189810,55.4,-1.8
189811,40.1,-3.1
189812,32.8,-3.4
189901,34.9,0.5
189902,35.0,-5.3
189903,44.7,-3.0
189904,53.1,-2.9
189905,58.1,-5.5
189906,67.1,-2.8
189907,78.5,0.7
189908,68.8,-8.3
189909,71.0,1.7
189910,53.2,-4.0
189911,48.6,5.4
189912,38.3,2.1
190001,40.2,5.8
190002,38.9,-1.4
190003,52.8,5.1
190004,58.9,2.9
190005,64.4,0.8
190006,72.6,2.7
190007,77.7,-0.1
190008,71.5,-5.6
190009,65.8,-3.5
190010,54.0,-3.2
190011,41.3,-1.9
190012,41.0,4.8
190101,34.4,0.0
190102,39.0,-1.3
190103,47.2,-0.5
190104,53.4,-2.6
190105,63.7,0.1
190106,64.2,-5.7
190107,74.8,-3.0
190108,81.1,4.0
190109,63.3,-6.0
190110,63.0,5.8
190111,46.0,2.8
190112,38.1,1.9
190201,33.9,-0.5
190202,41.5,1.2
190203,45.4,-2.3
190204,53.7,-2.3
190205,61.8,-1.8
190206,68.8,-1.1
190207,73.7,-4.1
190208,76.8,-0.3
190209,67.7,-1.6
190210,59.6,2.4
190211,41.0,-2.2
190212,34.2,-2.0
190301,35.6,1.2
190302,37.3,-3.0
190303,44.7,-3.0
190304,52.5,-3.5
190305,62.4,-1.2
190306,73.0,3.1
190307,72.9,-4.9
190308,74.6,-2.5
190309,64.2,-5.1
190310,57.5,0.3
190311,40.7,-2.5
190312,35.6,-0.6
190401,36.6,2.2
190402,36.8,-3.5
190403,40.8,-6.9
190404,58.8,2.8
190405,63.2,-0.4
190406,70.5,0.6
190407,77.2,-0.6
190408,79.0,1.9
190409,71.7,2.4
190410,58.5,1.3
190411,48.8,5.6
190412,38.2,2.0
190501,34.6,0.2
