Wisconsin, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,17.3,-4.6
189502,20.7,-5.9
189503,37.3,-1.0
189504,59.0,5.0
189505,69.4,2.4
189506,79.2,3.2
189507,80.6,-0.2
189508,80.5,2.4
189509,74.0,4.7
189510,51.9,-5.7
189511,37.7,-2.0
189512,27.8,1.5
189601,24.3,2.4
189602,28.6,2.0
189603,33.5,-4.8
189604,57.1,3.1
189605,73.4,6.4
189606,79.5,3.5
189607,80.8,0.0
189608,80.0,1.9
189609,65.0,-4.3
189610,53.2,-4.4
189611,33.0,-6.7
189612,29.1,2.8
189701,21.4,-0.5
189702,28.0,1.4
189703,34.7,-3.6
189704,52.9,-1.1
189705,65.8,-1.2
189706,74.0,-2.0
189707,83.5,2.7
189708,75.4,-2.7
189709,76.3,7.0
189710,61.1,3.5
189711,37.0,-2.7
189712,22.6,-3.7
189801,27.6,5.7
189802,28.0,1.4
189803,42.3,4.0
189804,53.9,-0.1
189805,67.6,0.6
189806,78.3,2.3
189807,83.6,2.8
189808,78.1,0.0
189809,73.4,4.1
189810,52.9,-4.7
189811,38.6,-1.1
189812,22.5,-3.8
189901,20.2,-1.7
189902,17.0,-9.6
189903,28.5,-9.8
189904,58.0,4.0
189905,67.2,0.2
189906,77.5,1.5
189907,81.5,0.7
189908,80.5,2.4
189909,66.9,-2.4
189910,61.7,4.1
189911,47.1,7.4
189912,26.3,0.0
190001,27.3,5.4
190002,20.2,-6.4
190003,32.2,-6.1
190004,59.0,5.0
190005,71.3,4.3
190006,78.6,2.6
190007,79.2,-1.6
190008,84.0,5.9
190009,70.4,1.1
190010,65.4,7.8
190011,34.7,-5.0
190012,27.9,1.6
190101,23.9,2.0
190102,21.0,-5.6
190103,35.3,-3.0
190104,58.3,4.3
190105,69.0,2.0
190106,79.2,3.2
190107,86.0,5.2
190108,80.8,2.7
190109,68.8,-0.5
190110,59.7,2.1
190111,37.7,-2.0
190112,23.2,-3.1
190201,24.8,2.9
190202,25.4,-1.2
190203,44.7,6.4
190204,54.6,0.6
190205,68.6,1.6
190206,71.9,-4.1
190207,80.6,-0.2
190208,75.4,-2.7
190209,65.8,-3.5
190210,57.6,0.0
190211,43.6,3.9
190212,24.5,-1.8
190301,22.6,0.7
190302,25.7,-0.9
190303,43.5,5.2
190304,54.9,0.9
190305,68.3,1.3
190306,74.3,-1.7
190307,79.1,-1.7
190308,72.4,-5.7
190309,67.6,-1.7
190310,58.9,1.3
190311,37.3,-2.4
190312,19.8,-6.5
190401,15.9,-6.0
190402,16.2,-10.4
190403,34.9,-3.4
190404,48.9,-5.1
190405,67.4,0.4
190406,75.4,-0.6
190407,77.7,-3.1
190408,75.2,-2.9
190409,68.1,-1.2
190410,55.5,-2.1
190411,44.9,5.2
190412,24.9,-1.4
190501,16.2,-5.7
190502,20.0,-6.6
190503,40.8,2.5
190504,53.1,-0.9
190505,64.5,-2.5
190506,74.5,-1.5
190507,77.6,-3.2
190508,78.1,0.0
190509,71.5,2.2
190510,54.8,-2.8
190511,41.0,1.3
190512,30.4,4.1
190601,28.5,6.6
190602,25.8,-0.8
190603,29.7,-8.6
190604,58.7,4.7
190605,66.3,-0.7
190606,75.4,-0.6
190607,79.8,-1.0
190608,79.6,1.5
190609,74.1,4.8
190610,55.8,-1.8
190611,38.2,-1.5
190612,27.4,1.1
190701,19.5,-2.4
190702,27.8,1.2
190703,41.6,3.3
190704,44.8,-9.2
190705,58.7,-8.3
190706,75.6,-0.4
190707,78.9,-1.9
190708,75.8,-2.3
190709,66.5,-2.8
190710,55.4,-2.2
190711,39.1,-0.6
190712,30.0,3.7
190801,27.2,5.3
190802,27.1,0.5
190803,38.9,0.6
190804,55.5,1.5
190805,66.3,-0.7
190806,74.8,-1.2
190807,80.6,-0.2
190808,78.2,0.1
190809,77.4,8.1
190810,58.1,0.5
190811,42.4,2.7
190812,27.3,1.0
190901,24.3,2.4
190902,28.0,1.4
190903,35.3,-3.0
190904,46.0,-8.0
190905,64.5,-2.5
190906,76.9,0.9
190907,80.6,-0.2
190908,80.9,2.8
190909,68.8,-0.5
190910,54.1,-3.5
190911,45.9,6.2
190912,20.6,-5.7
191001,22.9,1.0
191002,23.0,-3.6
191003,53.5,15.2
191004,60.4,6.4
191005,63.3,-3.7
191006,81.5,5.5
191007,85.3,4.5
191008,78.8,0.7
191009,68.6,-0.7
191010,61.8,4.2
191011,32.6,-7.1
191012,24.0,-2.3
191101,23.0,1.1
191102,30.1,3.5
191103,42.7,4.4
191104,52.5,-1.5
191105,72.7,5.7
191106,81.6,5.6
191107,81.7,0.9
191108,76.5,-1.6
191109,68.4,-0.9
191110,52.7,-4.9
191111,32.4,-7.3
191112,31.1,4.8
191201,5.0,-16.9
191202,20.4,-6.2
191203,31.6,-6.7
191204,56.9,2.9
191205,67.6,0.6
191206,75.3,-0.7
191207,79.6,-1.2
191208,72.4,-5.7
191209,69.2,-0.1
191210,59.1,1.5
191211,42.8,3.1
191212,31.4,5.1
191301,23.8,1.9
191302,21.3,-5.3
191303,34.8,-3.5
191304,57.1,3.1
191305,64.8,-2.2
191306,79.9,3.9
191307,79.3,-1.5
191308,79.1,1.0
191309,69.7,0.4
191310,55.0,-2.6
191311,45.7,6.0
191312,36.1,9.8
191401,28.3,6.4
191402,19.2,-7.4
191403,36.7,-1.6
191404,52.5,-1.5
191405,69.8,2.8
191406,74.6,-1.4
191407,82.9,2.1
191408,77.5,-0.6
191409,69.6,0.3
191410,63.3,5.7
191411,42.0,2.3
191412,20.2,-6.1
191501,20.4,-1.5
191502,31.7,5.1
191503,36.0,-2.3
191504,64.5,10.5
191505,60.3,-6.7
191506,70.8,-5.2
191507,75.7,-5.1
191508,73.3,-4.8
191509,69.5,0.2
191510,58.1,0.5
191511,41.4,1.7
191512,27.0,0.7
191601,23.5,1.6
191602,21.0,-5.6
191603,34.8,-3.5
191604,52.4,-1.6
