Wyoming, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,25.7,-3.3
189502,26.8,-6.7
189503,36.8,-3.9
189504,56.4,5.3
189505,59.7,-1.6
189506,66.8,-4.9
189507,76.1,-4.5
189508,77.7,-1.0
189509,68.2,0.0
189510,55.8,0.0
189511,36.3,-3.7
189512,25.8,-5.1
189601,32.4,3.4
189602,35.8,2.3
189603,35.3,-5.4
189604,48.9,-2.2
189605,59.5,-1.8
189606,75.7,4.0
189607,78.4,-2.2
189608,77.8,-0.9
189609,64.0,-4.2
189610,55.6,-0.2
189611,30.1,-9.9
189612,38.1,7.2
189701,29.0,0.0
189702,30.0,-3.5
189703,32.9,-7.8
189704,48.9,-2.2
189705,68.1,6.8
189706,72.9,1.2
189707,79.7,-0.9
189708,76.8,-1.9
189709,72.0,3.8
189710,54.7,-1.1
189711,40.6,0.6
189712,27.8,-3.1
189801,25.2,-3.8
189802,37.5,4.0
189803,35.1,-5.6
189804,55.2,4.1
189805,57.6,-3.7
189806,73.8,2.1
189807,80.4,-0.2
189808,82.2,3.5
189809,70.4,2.2
189810,50.0,-5.8
189811,37.6,-2.4
189812,26.4,-4.5
189901,29.9,0.9
189902,20.5,-13.0
189903,32.4,-8.3
189904,50.9,-0.2
189905,58.3,-3.0
189906,70.6,-1.1
189907,81.1,0.5
189908,77.7,-1.0
189909,70.8,2.6
189910,49.7,-6.1
189911,45.8,5.8
189912,28.8,-2.1
190001,33.0,4.0
190002,31.1,-2.4
190003,44.5,3.8
190004,51.4,0.3
190005,66.5,5.2
190006,78.9,7.2
190007,79.7,-0.9
190008,79.0,0.3
190009,65.0,-3.2
190010,55.2,-0.6
190011,39.6,-0.4
190012,32.8,1.9
190101,29.9,0.9
190102,27.8,-5.7
190103,38.2,-2.5
190104,50.0,-1.1
190105,66.0,4.7
190106,67.0,-4.7
190107,84.8,4.2
190108,78.5,-0.2
190109,64.2,-4.0
190110,57.3,1.5
190111,44.4,4.4
190112,28.2,-2.7
190201,27.5,-1.5
190202,34.8,1.3
190203,38.0,-2.7
190204,48.7,-2.4
190205,62.5,1.2
190206,70.9,-0.8
