Colorado, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,33.6,-2.9
189502,33.3,-7.2
189503,46.1,-0.8
189504,60.8,4.7
189505,66.5,0.7
189506,74.0,-2.2
189507,77.7,-4.2
189508,80.0,0.3
189509,75.7,3.6
189510,60.3,-0.6
189511,42.3,-4.4
189512,33.9,-3.8
189601,41.2,4.7
189602,41.3,0.8
189603,44.8,-2.1
189604,58.3,2.2
189605,68.0,2.2
189606,80.2,4.0
189607,80.9,-1.0
189608,81.2,1.5
189609,70.1,-2.0
189610,59.2,-1.7
189611,42.8,-3.9
189612,43.1,5.4
189701,34.2,-2.3
189702,36.8,-3.7
189703,42.8,-4.1
189704,55.8,-0.3
189705,70.5,4.7
189706,77.4,1.2
189707,82.0,0.1
189708,79.6,-0.1
189709,75.2,3.1
189710,59.8,-1.1
189711,48.5,1.8
189712,33.4,-4.3
189801,32.6,-3.9
189802,43.4,2.9
189803,43.5,-3.4
189804,59.0,2.9
189805,61.8,-4.0
189806,76.6,0.4
189807,81.9,0.0
189808,82.0,2.3
189809,72.2,0.1
189810,57.7,-3.2
189811,43.0,-3.7
189812,30.9,-6.8
189901,34.0,-2.5
189902,29.4,-11.1
189903,43.7,-3.2
189904,58.7,2.6
189905,66.5,0.7
189906,77.2,1.0
189907,80.2,-1.7
189908,79.8,0.1
189909,74.9,2.8
189910,58.0,-2.9
189911,50.5,3.8
189912,35.0,-2.7
190001,40.8,4.3
190002,39.1,-1.4
190003,51.9,5.0
190004,52.4,-3.7
190005,68.1,2.3
190006,80.1,3.9
190007,82.9,1.0
190008,81.9,2.2
190009,70.2,-1.9
190010,62.9,2.0
190011,49.3,2.6
190012,41.5,3.8
190101,39.4,2.9
190102,37.9,-2.6
190103,46.0,-0.9
190104,55.5,-0.6
190105,67.6,1.8
190106,76.8,0.6
190107,86.7,4.8
190108,80.7,1.0
190109,72.7,0.6
190110,63.1,2.2
190111,52.9,6.2
190112,38.6,0.9
190201,38.4,1.9
190202,43.2,2.7
190203,44.3,-2.6
190204,59.0,2.9
190205,68.7,2.9
190206,78.8,2.6
190207,80.3,-1.6
190208,80.8,1.1
190209,72.3,0.2
190210,61.8,0.9
190211,46.7,0.0
190212,36.4,-1.3
190301,37.5,1.0
190302,28.3,-12.2
190303,44.1,-2.8
190304,55.6,-0.5
190305,63.8,-2.0
190306,69.8,-6.4
190307,80.9,-1.0
190308,80.3,0.6
190309,70.0,-2.1
190310,62.4,1.5
190311,49.7,3.0
190312,41.8,4.1
190401,36.6,0.1
190402,47.3,6.8
190403,51.4,4.5
190404,58.3,2.2
190405,65.5,-0.3
190406,71.7,-4.5
190407,79.0,-2.9
190408,77.8,-1.9
190409,72.2,0.1
190410,60.2,-0.7
190411,53.0,6.3
190412,39.8,2.1
190501,33.9,-2.6
190502,33.0,-7.5
190503,48.8,1.9
190504,53.0,-3.1
190505,61.8,-4.0
190506,77.0,0.8
190507,79.0,-2.9
190508,81.2,1.5
190509,73.4,1.3
190510,57.7,-3.2
190511,48.3,1.6
190512,35.8,-1.9
190601,39.5,3.0
190602,43.9,3.4
190603,39.3,-7.6
190604,56.2,0.1
190605,65.5,-0.3
190606,74.6,-1.6
190607,76.7,-5.2
190608,78.3,-1.4
190609,69.8,-2.3
190610,58.1,-2.8
190611,44.2,-2.5
190612,43.5,5.8
190701,38.9,2.4
190702,48.7,8.2
190703,54.0,7.1
190704,55.5,-0.6
190705,58.7,-7.1
190706,71.8,-4.4
190707,80.7,-1.2
190708,78.0,-1.7
190709,72.4,0.3
190710,63.1,2.2
190711,46.5,-0.2
190712,38.1,0.4
190801,38.0,1.5
190802,40.3,-0.2
190803,51.2,4.3
190804,59.0,2.9
190805,62.8,-3.0
190806,74.2,-2.0
190807,80.1,-1.8
190808,77.0,-2.7
190809,74.4,2.3
190810,56.1,-4.8
190811,44.8,-1.9
190812,34.0,-3.7
190901,38.8,2.3
190902,38.2,-2.3
190903,43.3,-3.6
190904,51.8,-4.3
190905,62.4,-3.4
190906,75.8,-0.4
190907,81.9,0.0
190908,79.9,0.2
190909,69.8,-2.3
190910,61.9,1.0
190911,47.5,0.8
190912,25.8,-11.9
191001,35.1,-1.4
191002,37.5,-3.0
191003,58.4,11.5
191004,60.4,4.3
191005,65.2,-0.6
191006,78.4,2.2
191007,83.6,1.7
191008,79.1,-0.6
191009,74.3,2.2
191010,63.1,2.2
191011,51.3,4.6
191012,40.1,2.4
191101,42.3,5.8
191102,37.7,-2.8
191103,51.1,4.2
191104,56.9,0.8
191105,68.0,2.2
191106,77.9,1.7
191107,77.5,-4.4
191108,78.9,-0.8
191109,73.7,1.6
191110,56.1,-4.8
191111,42.8,-3.9
191112,32.1,-5.6
191201,34.0,-2.5
191202,37.0,-3.5
191203,38.3,-8.6
191204,52.4,-3.7
191205,64.6,-1.2
191206,72.0,-4.2
191207,78.2,-3.7
191208,77.7,-2.0
191209,64.8,-7.3
191210,58.1,-2.8
191211,48.9,2.2
191212,34.4,-3.3
191301,33.6,-2.9
191302,32.8,-7.7
191303,43.3,-3.6
191304,57.6,1.5
191305,68.8,3.0
191306,74.3,-1.9
191307,80.9,-1.0
191308,82.6,2.9
191309,67.8,-4.3
191310,56.3,-4.6
191311,49.6,2.9
191312,29.6,-8.1
191401,36.9,0.4
191402,37.2,-3.3
191403,47.8,0.9
191404,55.6,-0.5
191405,65.5,-0.3
191406,76.0,-0.2
191407,78.8,-3.1
191408,79.1,-0.6
191409,74.3,2.2
191410,60.5,-0.4
191411,53.6,6.9
191412,30.4,-7.3
191501,33.3,-3.2
191502,40.4,-0.1
191503,40.6,-6.3
191504,57.9,1.8
191505,60.9,-4.9
191506,71.4,-4.8
191507,78.0,-3.9
191508,75.9,-3.8
191509,70.0,-2.1
191510,63.1,2.2
191511,48.6,1.9
191512,38.5,0.8
191601,32.0,-4.5
191602,42.9,2.4
191603,52.6,5.7
191604,55.2,-0.9
191605,65.1,-0.7
191606,76.3,0.1
191607,82.4,0.5
191608,76.4,-3.3
191609,70.8,-1.3
191610,56.8,-4.1
191611,44.7,-2.0
191612,32.7,-5.0
191701,32.5,-4.0
191702,38.9,-1.6
191703,41.0,-5.9
191704,51.2,-4.9
191705,56.5,-9.3
191706,75.2,-1.0
191707,83.0,1.1
191708,77.1,-2.6
191709,72.1,0.0
191710,59.7,-1.2
191711,52.5,5.8
191712,42.9,5.2
191801,30.6,-5.9
191802,41.9,1.4
191803,51.8,4.9
191804,50.5,-5.6
191805,66.5,0.7
191806,80.7,4.5
191807,79.7,-2.2
191808,79.4,-0.3
191809,68.2,-3.9
191810,60.7,-0.2
191811,42.0,-4.7
191812,33.6,-4.1
191901,33.3,-3.2
191902,34.1,-6.4
191903,44.5,-2.4
191904,55.7,-0.4
191905,67.0,1.2
191906,76.6,0.4
191907,82.7,0.8
191908,82.2,2.5
191909,73.6,1.5
191910,54.7,-6.2
191911,43.2,-3.5
191912,35.1,-2.6
192001,38.4,1.9
192002,40.6,0.1
192003,45.8,-1.1
192004,47.2,-8.9
192005,65.0,-0.8
192006,74.0,-2.2
192007,81.5,-0.4
192008,76.0,-3.7
192009,71.0,-1.1
192010,59.5,-1.4
192011,43.2,-3.5
192012,35.8,-1.9
192101,38.6,2.1
192102,42.8,2.3
192103,52.2,5.3
192104,53.4,-2.7
192105,65.7,-0.1
192106,74.8,-1.4
