Connecticut, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,31.8,-2.7
189502,29.0,-6.7
189503,40.4,-4.7
189504,55.4,-1.7
189505,70.4,1.8
189506,78.7,2.0
189507,76.4,-5.1
189508,79.5,0.2
189509,75.6,3.2
189510,56.0,-6.1
189511,50.8,1.4
189512,40.8,3.1
189601,29.6,-4.9
189602,34.9,-0.8
189603,38.1,-7.0
189604,60.5,3.4
189605,72.7,4.1
189606,73.7,-3.0
189607,79.7,-1.8
189608,79.5,0.2
189609,69.8,-2.6
189610,55.8,-6.3
189611,52.8,3.4
189612,34.9,-2.8
189701,33.6,-0.9
189702,34.8,-0.9
189703,44.5,-0.6
189704,58.8,1.7
189705,67.4,-1.2
189706,72.3,-4.4
189707,78.8,-2.7
189708,76.2,-3.1
189709,71.3,-1.1
189710,63.0,0.9
189711,47.5,-1.9
189712,38.0,0.3
189801,34.2,-0.3
189802,36.5,0.8
189803,50.8,5.7
189804,53.1,-4.0
189805,64.5,-4.1
189806,76.9,0.2
189807,81.0,-0.5
189808,79.7,0.4
189809,74.7,2.3
189810,60.5,-1.6
189811,46.5,-2.9
189812,36.1,-1.6
189901,34.8,0.3
189902,30.4,-5.3
189903,39.2,-5.9
189904,58.7,1.6
189905,69.9,1.3
189906,79.8,3.1
189907,80.3,-1.2
189908,78.4,-0.9
189909,69.9,-2.5
189910,61.3,-0.8
189911,47.3,-2.1
189912,40.1,2.4
190001,36.5,2.0
190002,35.0,-0.7
190003,40.7,-4.4
190004,57.4,0.3
190005,68.9,0.3
190006,77.6,0.9
190007,82.8,1.3
190008,82.1,2.8
190009,76.3,3.9
190010,64.3,2.2
190011,50.1,0.7
190012,38.0,0.3
190101,33.3,-1.2
190102,28.3,-7.4
190103,42.0,-3.1
190104,53.8,-3.3
190105,65.2,-3.4
190106,78.1,1.4
190107,82.4,0.9
190108,79.0,-0.3
190109,73.0,0.6
190110,62.4,0.3
190111,42.1,-7.3
190112,37.1,-0.6
190201,32.6,-1.9
190202,32.8,-2.9
190203,49.6,4.5
190204,57.4,0.3
190205,68.3,-0.3
190206,74.6,-2.1
190207,77.0,-4.5
190208,77.4,-1.9
190209,70.8,-1.6
190210,61.0,-1.1
190211,53.5,4.1
190212,34.6,-3.1
190301,34.4,-0.1
190302,36.6,0.9
190303,53.2,8.1
190304,57.5,0.4
190305,72.7,4.1
190306,68.2,-8.5
190307,80.4,-1.1
190308,72.3,-7.0
190309,72.0,-0.4
190310,60.7,-1.4
190311,45.8,-3.6
190312,32.8,-4.9
190401,26.8,-7.7
190402,28.9,-6.8
190403,40.8,-4.3
190404,54.1,-3.0
190405,71.8,3.2
190406,75.2,-1.5
190407,78.9,-2.6
190408,77.0,-2.3
190409,70.8,-1.6
190410,59.0,-3.1
190411,43.8,-5.6
190412,30.4,-7.3
190501,30.3,-4.2
190502,28.0,-7.7
190503,44.2,-0.9
190504,57.2,0.1
190505,68.3,-0.3
190506,74.9,-1.8
190507,81.6,0.1
190508,76.2,-3.1
190509,70.2,-2.2
190510,62.2,0.1
190511,48.4,-1.0
190512,40.7,3.0
190601,40.0,5.5
190602,36.5,0.8
190603,37.9,-7.2
190604,57.8,0.7
190605,69.4,0.8
190606,76.7,0.0
190607,79.3,-2.2
190608,80.4,1.1
190609,75.1,2.7
190610,61.4,-0.7
190611,47.1,-2.3
190612,34.2,-3.5
190701,34.5,0.0
190702,27.8,-7.9
190703,45.5,0.4
190704,52.0,-5.1
190705,62.6,-6.0
190706,73.6,-3.1
190707,80.9,-0.6
190708,78.4,-0.9
190709,71.7,-0.7
190710,57.2,-4.9
190711,47.5,-1.9
190712,40.2,2.5
190801,36.1,1.6
190802,31.6,-4.1
190803,44.9,-0.2
190804,56.9,-0.2
190805,69.4,0.8
190806,79.7,3.0
190807,83.6,2.1
190808,77.4,-1.9
190809,74.6,2.2
190810,65.1,3.0
190811,47.5,-1.9
190812,38.1,0.4
190901,36.4,1.9
190902,39.5,3.8
190903,41.4,-3.7
190904,55.9,-1.2
190905,66.6,-2.0
190906,77.6,0.9
190907,80.4,-1.1
190908,78.0,-1.3
190909,71.2,-1.2
190910,59.2,-2.9
190911,52.0,2.6
190912,33.0,-4.7
191001,35.3,0.8
191002,34.4,-1.3
191003,51.3,6.2
191004,62.0,4.9
191005,66.9,-1.7
191006,73.9,-2.8
191007,83.9,2.4
191008,77.1,-2.2
191009,72.7,0.3
191010,63.9,1.8
191011,44.1,-5.3
191012,31.1,-6.6
191101,36.9,2.4
191102,32.5,-3.2
191103,42.1,-3.0
191104,54.4,-2.7
191105,73.9,5.3
191106,75.2,-1.5
191107,84.8,3.3
191108,78.9,-0.4
191109,71.3,-1.1
191110,58.7,-3.4
191111,46.2,-3.2
191112,41.7,4.0
191201,25.8,-8.7
191202,31.7,-4.0
191203,41.4,-3.7
191204,55.8,-1.3
191205,68.6,0.0
191206,77.0,0.3
191207,82.1,0.6
191208,76.3,-3.0
191209,70.6,-1.8
191210,64.0,1.9
191211,50.4,1.0
191212,41.5,3.8
191301,44.0,9.5
191302,33.4,-2.3
191303,50.0,4.9
191304,57.9,0.8
191305,66.5,-2.1
191306,78.0,1.3
191307,83.3,1.8
191308,80.2,0.9
191309,70.2,-2.2
191310,62.0,-0.1
191311,51.0,1.6
191312,41.2,3.5
191401,33.9,-0.6
191402,29.5,-6.2
191403,41.2,-3.9
191404,53.4,-3.7
191405,71.6,3.0
191406,75.8,-0.9
191407,76.6,-4.9
191408,78.6,-0.7
191409,74.4,2.0
191410,65.1,3.0
191411,48.2,-1.2
191412,34.1,-3.6
191501,36.3,1.8
191502,38.4,2.7
191503,42.2,-2.9
191504,62.1,5.0
191505,65.1,-3.5
191506,75.5,-1.2
191507,79.1,-2.4
191508,75.5,-3.8
191509,75.2,2.8
191510,61.3,-0.8
191511,49.8,0.4
191512,35.0,-2.7
191601,39.1,4.6
191602,30.5,-5.2
191603,35.5,-9.6
191604,53.3,-3.8
191605,67.3,-1.3
191606,70.8,-5.9
191607,80.6,-0.9
191608,81.0,1.7
191609,73.0,0.6
191610,63.7,1.6
191611,48.4,-1.0
191612,35.4,-2.3
191701,35.0,0.5
191702,31.3,-4.4
191703,42.3,-2.8
191704,54.1,-3.0
191705,58.8,-9.8
191706,75.2,-1.5
191707,80.7,-0.8
191708,81.1,1.8
191709,69.2,-3.2
191710,57.2,-4.9
191711,44.9,-4.5
191712,28.0,-9.7
191801,24.5,-10.0
191802,34.0,-1.7
191803,47.2,2.1
191804,57.6,0.5
191805,73.2,4.6
191806,73.7,-3.0
191807,80.4,-1.1
191808,80.9,1.6
191809,68.4,-4.0
191810,63.7,1.6
191811,49.3,-0.1
191812,39.4,1.7
191901,37.6,3.1
191902,36.5,0.8
191903,48.1,3.0
191904,55.1,-2.0
191905,68.8,0.2
191906,79.0,2.3
191907,80.6,-0.9
191908,75.4,-3.9
191909,71.2,-1.2
191910,63.4,1.3
191911,48.2,-1.2
191912,33.2,-4.5
192001,27.3,-7.2
192002,31.3,-4.4
192003,45.4,0.3
192004,52.1,-5.0
192005,65.0,-3.6
192006,74.5,-2.2
192007,78.1,-3.4
192008,79.2,-0.1
192009,73.5,1.1
192010,67.1,5.0
192011,45.0,-4.4
192012,38.8,1.1
192101,37.4,2.9
192102,37.3,1.6
192103,54.4,9.3
192104,63.4,6.3
192105,69.2,0.6
192106,78.4,1.7
192107,82.1,0.6
192108,77.2,-2.1
192109,76.9,4.5
192110,62.4,0.3
192111,45.9,-3.5
192112,36.2,-1.5
192201,31.8,-2.7
192202,36.4,0.7
192203,45.9,0.8
192204,57.9,0.8
192205,72.5,3.9
192206,76.7,0.0
192207,79.7,-1.8
192208,77.3,-2.0
192209,74.0,1.6
192210,63.4,1.3
192211,48.2,-1.2
192212,35.1,-2.6
192301,31.0,-3.5
192302,28.7,-7.0
192303,41.0,-4.1
192304,57.8,0.7
192305,67.7,-0.9
192306,79.1,2.4
192307,79.1,-2.4
192308,78.8,-0.5
192309,73.3,0.9
192310,61.8,-0.3
192311,49.1,-0.3
192312,43.9,6.2
192401,37.6,3.1
192402,31.1,-4.6
192403,42.8,-2.3
192404,54.9,-2.2
192405,63.0,-5.6
192406,74.6,-2.1
192407,81.8,0.3
192408,79.5,0.2
192409,69.7,-2.7
192410,63.0,0.9
192411,50.0,0.6
192412,36.2,-1.5
192501,32.0,-2.5
192502,42.4,6.7
192503,50.1,5.0
192504,59.5,2.4
192505,66.9,-1.7
192506,81.1,4.4
192507,79.2,-2.3
192508,79.7,0.4
192509,71.8,-0.6
192510,54.3,-7.8
192511,48.3,-1.1
192512,36.8,-0.9
192601,35.4,0.9
