Delaware, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,39.8,-2.2
189502,33.7,-9.9
189503,48.9,-3.8
189504,61.6,-1.5
189505,70.7,-2.6
189506,82.5,1.2
189507,81.7,-3.9
189508,86.3,2.6
189509,81.2,3.4
189510,63.2,-4.0
189511,55.8,0.3
189512,47.9,2.9
189601,39.5,-2.5
189602,44.5,0.9
189603,46.6,-6.1
189604,64.8,1.7
189605,77.2,3.9
189606,78.7,-2.6
189607,84.8,-0.8
189608,85.1,1.4
189609,75.9,-1.9
189610,62.0,-5.2
189611,60.2,4.7
189612,42.8,-2.2
189701,39.0,-3.0
189702,42.8,-0.8
189703,53.5,0.8
189704,63.3,0.2
189705,71.3,-2.0
189706,77.2,-4.1
189707,83.2,-2.4
189708,82.6,-1.1
189709,78.7,0.9
189710,66.6,-0.6
189711,54.5,-1.0
189712,46.2,1.2
189801,43.8,1.8
189802,44.3,0.7
189803,56.8,4.1
189804,59.0,-4.1
189805,70.2,-3.1
189806,81.7,0.4
189807,85.9,0.3
189808,84.9,1.2
189809,79.5,1.7
189810,67.2,0.0
189811,51.9,-3.6
189812,45.0,0.0
189901,42.3,0.3
189902,35.9,-7.7
189903,49.3,-3.4
189904,63.6,0.5
189905,73.0,-0.3
189906,83.6,2.3
189907,85.4,-0.2
189908,82.2,-1.5
189909,76.4,-1.4
189910,67.0,-0.2
189911,54.8,-0.7
189912,46.0,1.0
190001,43.3,1.3
190002,43.4,-0.2
190003,47.3,-5.4
190004,62.2,-0.9
190005,74.8,1.5
190006,81.5,0.2
190007,88.7,3.1
190008,88.4,4.7
190009,80.9,3.1
190010,69.4,2.2
190011,57.0,1.5
190012,44.8,-0.2
190101,40.8,-1.2
190102,35.8,-7.8
190103,52.7,0.0
190104,57.3,-5.8
190105,70.1,-3.2
190106,82.0,0.7
190107,88.4,2.8
190108,84.1,0.4
190109,78.1,0.3
190110,67.3,0.1
190111,48.2,-7.3
190112,43.8,-1.2
190201,38.7,-3.3
190202,35.4,-8.2
190203,55.3,2.6
190204,61.3,-1.8
190205,73.8,0.5
190206,81.4,0.1
190207,85.9,0.3
190208,82.7,-1.0
190209,75.9,-1.9
190210,67.4,0.2
190211,60.2,4.7
190212,42.6,-2.4
190301,40.0,-2.0
190302,45.4,1.8
190303,57.8,5.1
190304,61.0,-2.1
190305,74.8,1.5
190306,74.1,-7.2
190307,85.9,0.3
190308,80.5,-3.2
190309,77.1,-0.7
190310,66.5,-0.7
190311,52.5,-3.0
190312,39.6,-5.4
190401,35.7,-6.3
190402,35.8,-7.8
190403,49.2,-3.5
190404,58.6,-4.5
190405,74.9,1.6
190406,79.6,-1.7
190407,82.9,-2.7
190408,81.9,-1.8
190409,77.2,-0.6
190410,64.5,-2.7
190411,51.3,-4.2
190412,37.9,-7.1
190501,38.0,-4.0
190502,33.9,-9.7
190503,53.5,0.8
190504,62.8,-0.3
190505,74.3,1.0
190506,80.2,-1.1
190507,84.2,-1.4
190508,81.5,-2.2
190509,77.3,-0.5
190510,68.0,0.8
190511,54.6,-0.9
190512,46.4,1.4
190601,47.1,5.1
190602,43.6,0.0
190603,45.5,-7.2
190604,65.2,2.1
190605,74.8,1.5
190606,80.5,-0.8
190607,82.1,-3.5
190608,83.3,-0.4
190609,79.8,2.0
190610,64.0,-3.2
190611,54.0,-1.5
190612,44.8,-0.2
190701,45.1,3.1
190702,36.5,-7.1
190703,56.4,3.7
190704,56.4,-6.7
190705,67.5,-5.8
190706,73.8,-7.5
190707,84.4,-1.2
190708,81.1,-2.6
190709,77.6,-0.2
190710,62.6,-4.6
190711,52.0,-3.5
190712,46.8,1.8
190801,41.8,-0.2
190802,39.0,-4.6
190803,55.1,2.4
190804,65.5,2.4
190805,73.4,0.1
190806,81.5,0.2
190807,86.6,1.0
190808,80.2,-3.5
190809,75.9,-1.9
190810,68.7,1.5
190811,55.5,0.0
190812,44.7,-0.3
190901,45.0,3.0
190902,51.9,8.3
190903,49.6,-3.1
190904,62.4,-0.7
190905,72.7,-0.6
190906,80.3,-1.0
190907,83.4,-2.2
190908,81.7,-2.0
190909,75.6,-2.2
190910,63.1,-4.1
190911,57.6,2.1
190912,39.1,-5.9
191001,40.1,-1.9
191002,43.4,-0.2
191003,59.1,6.4
191004,66.7,3.6
191005,71.4,-1.9
191006,77.0,-4.3
191007,85.5,-0.1
191008,81.1,-2.6
191009,78.8,1.0
191010,68.9,1.7
191011,48.4,-7.1
191012,36.9,-8.1
191101,45.4,3.4
191102,42.6,-1.0
191103,50.5,-2.2
191104,58.3,-4.8
191105,79.8,6.5
191106,81.3,0.0
191107,87.5,1.9
191108,83.5,-0.2
191109,77.3,-0.5
191110,64.8,-2.4
191111,52.3,-3.2
191112,49.1,4.1
191201,33.4,-8.6
191202,38.6,-5.0
191203,48.3,-4.4
191204,63.3,0.2
191205,74.1,0.8
191206,79.6,-1.7
191207,83.9,-1.7
191208,82.1,-1.6
191209,77.7,-0.1
191210,69.1,1.9
191211,55.5,0.0
191212,48.6,3.6
191301,52.4,10.4
191302,43.2,-0.4
191303,57.9,5.2
191304,63.4,0.3
191305,74.1,0.8
191306,81.5,0.2
191307,86.8,1.2
191308,82.6,-1.1
191309,76.1,-1.7
191310,65.8,-1.4
191311,56.4,0.9
191312,47.6,2.6
191401,44.2,2.2
191402,38.5,-5.1
191403,45.5,-7.2
191404,61.6,-1.5
191405,76.5,3.2
191406,83.3,2.0
191407,84.2,-1.4
191408,85.6,1.9
191409,76.7,-1.1
191410,68.7,1.5
191411,55.4,-0.1
191412,38.6,-6.4
191501,43.4,1.4
191502,46.6,3.0
191503,45.6,-7.1
191504,68.6,5.5
191505,71.2,-2.1
191506,78.0,-3.3
191507,85.2,-0.4
191508,81.4,-2.3
191509,79.6,1.8
191510,66.6,-0.6
191511,55.4,-0.1
191512,41.4,-3.6
191601,47.9,5.9
191602,41.1,-2.5
191603,43.9,-8.8
191604,60.7,-2.4
191605,74.0,0.7
191606,76.3,-5.0
191607,83.9,-1.7
191608,84.4,0.7
191609,76.3,-1.5
191610,67.2,0.0
191611,55.1,-0.4
191612,42.1,-2.9
191701,42.6,0.6
191702,41.2,-2.4
191703,49.8,-2.9
191704,62.6,-0.5
191705,67.3,-6.0
191706,80.6,-0.7
191707,82.9,-2.7
191708,83.6,-0.1
191709,71.5,-6.3
191710,62.8,-4.4
191711,50.7,-4.8
191712,35.5,-9.5
191801,29.9,-12.1
191802,44.0,0.4
191803,56.0,3.3
191804,61.5,-1.6
191805,77.8,4.5
191806,78.8,-2.5
191807,84.4,-1.2
191808,85.6,1.9
191809,73.7,-4.1
191810,70.0,2.8
191811,53.8,-1.7
191812,47.9,2.9
191901,44.9,2.9
191902,43.0,-0.6
191903,56.1,3.4
191904,62.5,-0.6
191905,72.5,-0.8
191906,80.4,-0.9
191907,84.0,-1.6
191908,81.1,-2.6
191909,77.7,-0.1
191910,71.2,4.0
191911,54.8,-0.7
191912,40.6,-4.4
192001,35.0,-7.0
192002,37.9,-5.7
192003,53.5,0.8
192004,61.6,-1.5
192005,68.8,-4.5
192006,80.6,-0.7
192007,83.4,-2.2
192008,81.1,-2.6
192009,77.4,-0.4
192010,70.9,3.7
192011,53.2,-2.3
192012,46.1,1.1
192101,45.0,3.0
192102,46.0,2.4
192103,65.6,12.9
192104,68.5,5.4
192105,70.9,-2.4
192106,83.8,2.5
192107,87.1,1.5
192108,81.8,-1.9
192109,83.1,5.3
192110,67.0,-0.2
192111,55.5,0.0
192112,44.0,-1.0
192201,37.9,-4.1
192202,44.7,1.1
192203,52.9,0.2
192204,63.3,0.2
192205,75.0,1.7
192206,81.2,-0.1
192207,83.1,-2.5
192208,80.5,-3.2
192209,77.4,-0.4
192210,68.5,1.3
192211,55.2,-0.3
192212,44.6,-0.4
192301,43.2,1.2
192302,38.2,-5.4
192303,54.8,2.1
192304,62.1,-1.0
192305,73.1,-0.2
192306,84.5,3.2
192307,82.5,-3.1
192308,81.6,-2.1
192309,77.1,-0.7
192310,65.4,-1.8
192311,52.5,-3.0
192312,52.6,7.6
192401,45.1,3.1
192402,39.9,-3.7
192403,50.2,-2.5
192404,60.1,-3.0
192405,68.0,-5.3
192406,77.8,-3.5
192407,82.8,-2.8
192408,83.3,-0.4
192409,72.5,-5.3
192410,67.5,0.3
192411,54.1,-1.4
192412,45.2,0.2
192501,40.3,-1.7
192502,52.3,8.7
192503,56.8,4.1
192504,66.0,2.9
192505,71.8,-1.5
192506,88.0,6.7
192507,85.5,-0.1
192508,82.6,-1.1
192509,81.3,3.5
192510,60.7,-6.5
192511,52.4,-3.1
192512,43.0,-2.0
192601,41.7,-0.3
192602,43.3,-0.3
192603,48.6,-4.1
192604,61.1,-2.0
192605,73.9,0.6
192606,78.8,-2.5
192607,84.8,-0.8
192608,83.9,0.2
192609,76.9,-0.9
192610,66.0,-1.2
192611,54.0,-1.5
192612,39.4,-5.6
192701,41.0,-1.0
192702,48.4,4.8
192703,54.7,2.0
192704,59.8,-3.3
192705,71.2,-2.1
192706,77.3,-4.0
192707,84.0,-1.6
192708,77.9,-5.8
192709,78.8,1.0
192710,69.2,2.0
192711,59.7,4.2
192712,46.8,1.8
192801,44.3,2.3
192802,44.1,0.5
192803,50.6,-2.1
192804,60.9,-2.2
192805,70.8,-2.5
192806,78.7,-2.6
192807,86.1,0.5
192808,85.3,1.6
192809,72.4,-5.4
192810,68.8,1.6
192811,56.0,0.5
192812,45.4,0.4
192901,42.6,0.6
192902,43.3,-0.3
192903,58.6,5.9
192904,65.0,1.9
192905,72.5,-0.8
192906,81.4,0.1
192907,84.9,-0.7
192908,82.7,-1.0
192909,78.6,0.8
192910,64.3,-2.9
192911,54.0,-1.5
192912,45.9,0.9
193001,42.9,0.9
193002,49.7,6.1
193003,53.2,0.5
193004,60.6,-2.5
193005,76.9,3.6
193006,83.5,2.2
193007,88.5,2.9
193008,85.1,1.4
193009,84.2,6.4
193010,65.5,-1.7
193011,54.2,-1.3
193012,41.6,-3.4
193101,43.2,1.2
193102,45.6,2.0
193103,46.6,-6.1
193104,61.6,-1.5
193105,72.0,-1.3
193106,80.8,-0.5
193107,87.9,2.3
193108,83.6,-0.1
193109,82.5,4.7
193110,70.9,3.7
193111,61.0,5.5
193112,52.3,7.3
193201,52.9,10.9
193202,49.2,5.6
193203,48.3,-4.4
193204,62.0,-1.1
193205,72.1,-1.2
193206,81.2,-0.1
193207,85.8,0.2
193208,86.9,3.2
193209,79.6,1.8
193210,67.2,0.0
193211,54.2,-1.3
193212,47.6,2.6
193301,50.3,8.3
193302,46.3,2.7
193303,49.5,-3.2
193304,61.9,-1.2
193305,75.3,2.0
193306,83.9,2.6
193307,84.3,-1.3
193308,83.6,-0.1
193309,80.4,2.6
193310,66.9,-0.3
193311,52.1,-3.4
193312,45.4,0.4
193401,46.1,4.1
193402,31.7,-11.9
193403,49.5,-3.2
193404,62.0,-1.1
193405,74.7,1.4
193406,84.9,3.6
193407,88.3,2.7
193408,81.3,-2.4
193409,77.3,-0.5
193410,64.5,-2.7
193411,57.9,2.4
193412,44.1,-0.9
193501,40.5,-1.5
193502,42.0,-1.6
193503,57.6,4.9
193504,58.3,-4.8
193505,69.8,-3.5
193506,80.6,-0.7
193507,85.6,0.0
193508,82.8,-0.9
193509,75.2,-2.6
193510,67.7,0.5
193511,56.6,1.1
193512,37.0,-8.0
193601,37.4,-4.6
193602,35.6,-8.0
193603,57.5,4.8
193604,60.7,-2.4
193605,77.4,4.1
193606,80.8,-0.5
193607,85.7,0.1
193608,86.3,2.6
193609,78.4,0.6
193610,67.9,0.7
193611,52.5,-3.0
193612,47.6,2.6
193701,50.0,8.0
193702,44.0,0.4
193703,47.6,-5.1
193704,61.0,-2.1
193705,75.3,2.0
193706,81.9,0.6
193707,85.1,-0.5
193708,84.6,0.9
193709,75.2,-2.6
193710,63.9,-3.3
193711,54.1,-1.4
193712,43.3,-1.7
193801,41.6,-0.4
193802,48.0,4.4
193803,57.5,4.8
193804,65.6,2.5
193805,70.4,-2.9
193806,80.1,-1.2
193807,85.6,0.0
193808,86.6,2.9
193809,75.5,-2.3
193810,67.6,0.4
193811,59.5,4.0
193812,45.2,0.2
193901,43.1,1.1
193902,49.9,6.3
193903,54.0,1.3
193904,61.6,-1.5
193905,75.9,2.6
193906,83.6,2.3
193907,84.2,-1.4
193908,85.3,1.6
193909,78.9,1.1
193910,67.5,0.3
193911,51.8,-3.7
193912,45.8,0.8
194001,30.8,-11.2
194002,41.9,-1.7
194003,46.4,-6.3
194004,57.1,-6.0
194005,71.4,-1.9
194006,82.0,0.7
194007,86.4,0.8
194008,80.3,-3.4
194009,75.6,-2.2
194010,62.9,-4.3
194011,53.6,-1.9
194012,49.2,4.2
194101,39.3,-2.7
194102,39.6,-4.0
194103,46.4,-6.3
194104,68.1,5.0
194105,77.7,4.4
194106,80.2,-1.1
194107,84.3,-1.3
194108,84.0,0.3
194109,82.2,4.4
194110,73.4,6.2
194111,59.4,3.9
194112,49.1,4.1
194201,40.8,-1.2
194202,40.3,-3.3
194203,53.7,1.0
194204,66.9,3.8
194205,77.4,4.1
194206,81.8,0.5
194207,86.2,0.6
194208,81.4,-2.3
194209,79.4,1.6
194210,67.1,-0.1
194211,57.8,2.3
194212,40.6,-4.4
194301,42.1,0.1
194302,46.9,3.3
194303,54.7,2.0
194304,60.3,-2.8
194305,74.7,1.4
194306,86.6,5.3
194307,85.8,0.2
194308,87.4,3.7
194309,78.0,0.2
194310,64.3,-2.9
194311,54.5,-1.0
194312,44.5,-0.5
194401,43.1,1.1
194402,44.0,0.4
194403,50.0,-2.7
194404,61.7,-1.4
194405,78.4,5.1
194406,83.0,1.7
194407,87.6,2.0
194408,85.2,1.5
194409,78.2,0.4
194410,65.7,-1.5
194411,53.7,-1.8
194412,40.8,-4.2
194501,36.0,-6.0
194502,44.4,0.8
194503,64.9,12.2
194504,66.6,3.5
194505,70.2,-3.1
194506,83.0,1.7
194507,83.6,-2.0
194508,83.1,-0.6
194509,80.6,2.8
194510,66.7,-0.5
194511,57.7,2.2
194512,37.5,-7.5
194601,43.9,1.9
194602,47.2,3.6
194603,60.9,8.2
194604,63.1,0.0
194605,72.6,-0.7
194606,80.3,-1.0
194607,83.7,-1.9
194608,80.1,-3.6
194609,79.1,1.3
194610,70.0,2.8
194611,59.8,4.3
194612,50.4,5.4
194701,49.2,7.2
194702,39.0,-4.6
194703,46.5,-6.2
194704,65.1,2.0
194705,74.0,0.7
194706,79.8,-1.5
194707,83.9,-1.7
194708,85.6,1.9
194709,77.9,0.1
194710,72.9,5.7
194711,51.8,-3.7
194712,42.7,-2.3
194801,34.3,-7.7
194802,43.4,-0.2
194803,56.6,3.9
194804,62.2,-0.9
194805,72.3,-1.0
194806,81.0,-0.3
194807,85.4,-0.2
194808,83.9,0.2
194809,78.2,0.4
194810,63.7,-3.5
194811,59.8,4.3
194812,47.0,2.0
194901,49.6,7.6
194902,50.4,6.8
194903,54.7,2.0
194904,63.2,0.1
194905,74.3,1.0
194906,83.2,1.9
194907,89.0,3.4
194908,85.2,1.5
194909,75.8,-2.0
194910,70.1,2.9
194911,55.8,0.3
194912,48.8,3.8
195001,55.1,13.1
195002,43.5,-0.1
195003,50.0,-2.7
195004,60.5,-2.6
195005,70.4,-2.9
195006,81.4,0.1
195007,84.3,-1.3
195008,83.0,-0.7
195009,73.4,-4.4
195010,68.8,1.6
195011,57.7,2.2
195012,41.9,-3.1
195101,46.4,4.4
195102,46.8,3.2
195103,51.9,-0.8
195104,63.9,0.8
195105,74.0,0.7
195106,80.7,-0.6
195107,86.0,0.4
195108,83.9,0.2
195109,78.5,0.7
195110,68.9,1.7
195111,52.7,-2.8
195112,48.8,3.8
195201,46.4,4.4
195202,45.9,2.3
195203,50.9,-1.8
195204,64.7,1.6
195205,72.1,-1.2
195206,84.6,3.3
195207,89.1,3.5
195208,83.5,-0.2
195209,78.6,0.8
195210,65.2,-2.0
195211,55.3,-0.2
195212,45.4,0.4
195301,47.4,5.4
195302,48.6,5.0
195303,53.6,0.9
195304,62.9,-0.2
195305,76.0,2.7
195306,82.0,0.7
195307,87.6,2.0
195308,84.6,0.9
195309,79.6,1.8
195310,69.8,2.6
195311,56.7,1.2
195312,49.2,4.2
195401,42.6,0.6
195402,51.6,8.0
195403,53.2,0.5
195404,67.7,4.6
195405,71.1,-2.2
195406,83.1,1.8
195407,87.6,2.0
195408,83.8,0.1
195409,79.5,1.7
195410,71.0,3.8
195411,53.0,-2.5
195412,44.2,-0.8
195501,39.7,-2.3
195502,46.1,2.5
195503,55.3,2.6
195504,65.6,2.5
195505,75.7,2.4
195506,78.5,-2.8
