Florida, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,68.6,-0.3
189502,62.2,-8.7
189503,75.2,-0.3
189504,78.9,-2.3
189505,84.9,-1.7
189506,89.7,-0.1
189507,90.0,-0.7
189508,89.8,-0.9
189509,88.4,0.0
189510,80.6,-1.9
189511,73.5,-1.7
189512,66.8,-3.1
189601,64.5,-4.4
189602,68.4,-2.5
189603,73.6,-1.9
189604,83.0,1.8
189605,88.5,1.9
189606,89.0,-0.8
189607,90.4,-0.3
189608,91.8,1.1
189609,88.3,-0.1
189610,81.1,-1.4
189611,78.3,3.1
189612,66.8,-3.1
189701,65.1,-3.8
189702,71.8,0.9
189703,79.2,3.7
189704,80.1,-1.1
189705,85.3,-1.3
189706,92.8,3.0
189707,90.9,0.2
189708,90.2,-0.5
189709,85.8,-2.6
189710,81.4,-1.1
189711,75.4,0.2
189712,69.9,0.0
189801,71.7,2.8
189802,69.3,-1.6
189803,79.0,3.5
189804,80.1,-1.1
189805,88.6,2.0
189806,93.0,3.2
189807,90.7,0.0
189808,88.5,-2.2
189809,87.8,-0.6
189810,80.0,-2.5
189811,74.0,-1.2
189812,66.3,-3.6
189901,68.6,-0.3
189902,70.2,-0.7
189903,77.1,1.6
189904,78.1,-3.1
189905,90.0,3.4
189906,91.6,1.8
189907,89.7,-1.0
189908,91.4,0.7
189909,88.0,-0.4
189910,81.9,-0.6
189911,75.7,0.5
189912,68.6,-1.3
190001,65.6,-3.3
190002,69.3,-1.6
190003,73.0,-2.5
190004,80.8,-0.4
190005,85.0,-1.6
190006,88.4,-1.4
190007,91.5,0.8
190008,92.8,2.1
190009,89.7,1.3
190010,84.4,1.9
190011,75.0,-0.2
190012,66.9,-3.0
190101,68.4,-0.5
190102,66.5,-4.4
190103,72.8,-2.7
190104,77.1,-4.1
190105,87.6,1.0
190106,89.1,-0.7
190107,90.8,0.1
190108,89.0,-1.7
190109,87.7,-0.7
190110,81.5,-1.0
190111,70.1,-5.1
190112,67.0,-2.9
190201,66.6,-2.3
190202,64.4,-6.5
190203,74.3,-1.2
190204,80.6,-0.6
190205,89.3,2.7
190206,91.1,1.3
190207,92.7,2.0
190208,91.9,1.2
190209,87.7,-0.7
190210,82.4,-0.1
190211,77.2,2.0
190212,70.2,0.3
190301,66.3,-2.6
190302,72.2,1.3
190303,76.9,1.4
190304,78.8,-2.4
190305,84.1,-2.5
190306,88.5,-1.3
190307,90.7,0.0
190308,91.6,0.9
190309,87.3,-1.1
190310,80.8,-1.7
190311,72.6,-2.6
190312,65.4,-4.5
190401,65.5,-3.4
190402,72.1,1.2
190403,78.2,2.7
190404,80.8,-0.4
190405,86.8,0.2
190406,89.7,-0.1
190407,90.2,-0.5
190408,89.7,-1.0
190409,89.0,0.6
190410,82.4,-0.1
190411,71.7,-3.5
190412,68.3,-1.6
190501,63.9,-5.0
190502,68.3,-2.6
190503,76.9,1.4
190504,80.7,-0.5
190505,89.2,2.6
190506,90.7,0.9
190507,91.0,0.3
190508,89.3,-1.4
190509,89.3,0.9
190510,81.8,-0.7
190511,76.3,1.1
190512,66.8,-3.1
190601,67.5,-1.4
190602,68.3,-2.6
190603,72.5,-3.0
190604,81.7,0.5
190605,85.0,-1.6
190606,89.7,-0.1
190607,89.1,-1.6
190608,89.4,-1.3
190609,89.2,0.8
190610,79.8,-2.7
190611,76.3,1.1
190612,70.5,0.6
190701,74.6,5.7
190702,72.0,1.1
190703,82.8,7.3
190704,79.5,-1.7
190705,87.0,0.4
190706,89.5,-0.3
190707,90.5,-0.2
190708,90.7,0.0
190709,88.8,0.4
190710,81.8,-0.7
190711,74.5,-0.7
190712,68.5,-1.4
190801,67.2,-1.7
190802,67.0,-3.9
190803,80.4,4.9
190804,86.5,5.3
190805,87.7,1.1
190806,89.4,-0.4
190807,90.6,-0.1
190808,90.3,-0.4
190809,86.9,-1.5
190810,79.7,-2.8
190811,75.7,0.5
190812,73.5,3.6
190901,72.0,3.1
190902,72.4,1.5
190903,76.9,1.4
190904,81.8,0.6
190905,86.1,-0.5
190906,90.5,0.7
190907,89.2,-1.5
190908,90.2,-0.5
190909,87.7,-0.7
190910,82.4,-0.1
190911,78.4,3.2
190912,66.2,-3.7
191001,67.5,-1.4
191002,69.0,-1.9
191003,76.6,1.1
191004,81.2,0.0
191005,86.7,0.1
191006,88.0,-1.8
191007,88.9,-1.8
191008,89.3,-1.4
191009,88.9,0.5
191010,82.0,-0.5
191011,72.3,-2.9
191012,64.5,-5.4
191101,71.8,2.9
191102,74.4,3.5
191103,77.0,1.5
191104,82.2,1.0
191105,85.6,-1.0
191106,91.7,1.9
191107,89.7,-1.0
191108,89.3,-1.4
191109,90.4,2.0
191110,85.6,3.1
191111,74.5,-0.7
191112,72.1,2.2
191201,66.1,-2.8
191202,65.3,-5.6
191203,75.4,-0.1
191204,82.5,1.3
191205,86.8,0.2
191206,87.1,-2.7
191207,90.2,-0.5
191208,90.4,-0.3
191209,88.4,0.0
191210,83.5,1.0
191211,72.2,-3.0
191212,71.4,1.5
191301,74.0,5.1
191302,71.0,0.1
191303,76.1,0.6
191304,79.0,-2.2
191305,85.6,-1.0
191306,89.0,-0.8
191307,91.4,0.7
191308,89.3,-1.4
191309,86.7,-1.7
191310,80.9,-1.6
191311,75.1,-0.1
191312,69.1,-0.8
191401,67.2,-1.7
191402,68.3,-2.6
191403,69.9,-5.6
191404,81.2,0.0
191405,87.1,0.5
191406,92.3,2.5
191407,90.9,0.2
191408,91.0,0.3
191409,86.6,-1.8
191410,81.5,-1.0
191411,73.0,-2.2
191412,66.5,-3.4
191501,65.2,-3.7
191502,67.4,-3.5
191503,66.4,-9.1
191504,78.6,-2.6
191505,88.2,1.6
191506,90.3,0.5
191507,91.3,0.6
191508,91.7,1.0
191509,89.6,1.2
191510,82.9,0.4
191511,76.8,1.6
191512,67.1,-2.8
191601,73.6,4.7
191602,70.4,-0.5
191603,73.8,-1.7
191604,79.9,-1.3
191605,86.9,0.3
191606,88.7,-1.1
191607,88.9,-1.8
191608,90.3,-0.4
191609,87.4,-1.0
191610,81.5,-1.0
191611,74.4,-0.8
191612,70.3,0.4
191701,73.0,4.1
191702,70.6,-0.3
191703,77.9,2.4
191704,81.9,0.7
191705,84.7,-1.9
191706,89.7,-0.1
191707,90.0,-0.7
191708,90.0,-0.7
191709,86.2,-2.2
191710,80.2,-2.3
191711,70.9,-4.3
191712,64.6,-5.3
191801,63.6,-5.3
191802,75.5,4.6
191803,78.6,3.1
191804,78.3,-2.9
191805,84.8,-1.8
191806,90.2,0.4
191807,89.9,-0.8
191808,90.8,0.1
191809,86.6,-1.8
191810,83.8,1.3
191811,74.0,-1.2
191812,68.5,-1.4
191901,66.7,-2.2
191902,68.2,-2.7
191903,75.5,0.0
191904,80.3,-0.9
191905,85.4,-1.2
191906,87.9,-1.9
191907,89.5,-1.2
191908,90.8,0.1
191909,88.3,-0.1
191910,87.9,5.4
191911,77.1,1.9
191912,70.1,0.2
192001,70.3,1.4
192002,66.2,-4.7
192003,72.6,-2.9
192004,80.4,-0.8
192005,84.1,-2.5
192006,88.5,-1.3
192007,89.8,-0.9
192008,89.6,-1.1
192009,88.8,0.4
192010,80.6,-1.9
192011,72.9,-2.3
192012,68.3,-1.6
192101,71.1,2.2
192102,72.5,1.6
192103,80.8,5.3
192104,81.1,-0.1
192105,84.2,-2.4
192106,91.0,1.2
192107,89.0,-1.7
192108,91.0,0.3
192109,91.9,3.5
192110,81.1,-1.4
192111,77.2,2.0
192112,72.9,3.0
192201,67.5,-1.4
192202,74.6,3.7
192203,76.5,1.0
192204,83.6,2.4
192205,86.4,-0.2
192206,89.6,-0.2
192207,89.8,-0.9
192208,88.9,-1.8
192209,87.2,-1.2
192210,81.6,-0.9
192211,76.3,1.1
192212,73.7,3.8
192301,71.7,2.8
192302,71.6,0.7
192303,77.0,1.5
192304,81.7,0.5
192305,83.9,-2.7
192306,87.2,-2.6
192307,88.8,-1.9
192308,90.1,-0.6
192309,88.4,0.0
192310,80.4,-2.1
192311,72.0,-3.2
192312,73.3,3.4
192401,67.8,-1.1
192402,67.7,-3.2
192403,70.1,-5.4
192404,80.4,-0.8
192405,85.7,-0.9
192406,91.8,2.0
192407,90.3,-0.4
192408,92.6,1.9
192409,87.2,-1.2
192410,78.8,-3.7
192411,74.6,-0.6
192412,71.6,1.7
192501,70.8,1.9
192502,72.5,1.6
192503,76.3,0.8
192504,81.6,0.4
192505,84.4,-2.2
192506,89.0,-0.8
192507,90.4,-0.3
192508,90.6,-0.1
192509,92.9,4.5
192510,84.9,2.4
192511,73.1,-2.1
192512,67.0,-2.9
192601,65.6,-3.3
192602,70.8,-0.1
192603,69.8,-5.7
192604,79.0,-2.2
192605,85.7,-0.9
192606,89.0,-0.8
192607,89.7,-1.0
192608,90.7,0.0
192609,89.5,1.1
192610,83.7,1.2
192611,72.6,-2.6
192612,73.4,3.5
192701,69.3,0.4
192702,77.3,6.4
192703,75.4,-0.1
192704,83.5,2.3
192705,89.7,3.1
192706,92.2,2.4
192707,91.4,0.7
192708,91.0,0.3
192709,89.3,0.9
192710,83.7,1.2
192711,77.4,2.2
192712,68.2,-1.7
