Georgia, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,54.4,-2.7
189502,49.3,-11.1
189503,66.0,-1.4
189504,73.5,-2.3
189505,80.2,-3.2
189506,89.7,0.6
189507,89.1,-1.6
189508,89.4,-0.5
189509,87.7,2.1
189510,74.8,-1.6
189511,65.4,-1.2
189512,57.1,-1.1
189601,53.4,-3.7
189602,59.8,-0.6
189603,64.0,-3.4
189604,79.8,4.0
189605,88.0,4.6
189606,88.4,-0.7
189607,90.2,-0.5
189608,92.0,2.1
189609,88.0,2.4
189610,75.0,-1.4
189611,69.4,2.8
189612,57.5,-0.7
189701,53.3,-3.8
189702,60.7,0.3
189703,67.9,0.5
189704,74.5,-1.3
189705,82.4,-1.0
189706,93.4,4.3
189707,91.2,0.5
189708,88.3,-1.6
189709,84.8,-0.8
189710,77.7,1.3
189711,67.5,0.9
189712,58.5,0.3
189801,60.0,2.9
189802,58.8,-1.6
189803,70.6,3.2
189804,71.9,-3.9
189805,88.3,4.9
189806,92.6,3.5
189807,89.4,-1.3
189808,86.5,-3.4
189809,84.2,-1.4
189810,72.4,-4.0
189811,61.9,-4.7
189812,55.3,-2.9
189901,55.5,-1.6
189902,56.3,-4.1
189903,67.8,0.4
189904,72.6,-3.2
189905,88.0,4.6
189906,92.2,3.1
189907,91.2,0.5
189908,91.5,1.6
189909,85.3,-0.3
189910,75.3,-1.1
189911,67.9,1.3
189912,55.7,-2.5
190001,55.4,-1.7
190002,55.8,-4.6
190003,63.9,-3.5
190004,76.6,0.8
190005,83.2,-0.2
190006,85.8,-3.3
190007,91.6,0.9
190008,94.6,4.7
190009,87.9,2.3
190010,77.3,0.9
190011,67.0,0.4
190012,57.0,-1.2
190101,56.9,-0.2
190102,55.1,-5.3
190103,65.3,-2.1
190104,69.1,-6.7
190105,85.1,1.7
190106,88.9,-0.2
190107,92.6,1.9
190108,87.8,-2.1
190109,83.8,-1.8
190110,76.0,-0.4
190111,61.7,-4.9
190112,54.9,-3.3
190201,55.4,-1.7
190202,52.2,-8.2
190203,65.3,-2.1
190204,74.4,-1.4
190205,88.4,5.0
190206,92.1,3.0
190207,94.4,3.7
190208,91.8,1.9
190209,83.4,-2.2
190210,75.3,-1.1
190211,69.7,3.1
190212,57.7,-0.5
190301,53.6,-3.5
190302,61.3,0.9
190303,69.0,1.6
190304,73.2,-2.6
190305,80.8,-2.6
190306,85.8,-3.3
190307,91.5,0.8
190308,91.7,1.8
190309,84.6,-1.0
190310,75.8,-0.6
190311,62.6,-4.0
190312,53.5,-4.7
190401,51.9,-5.2
190402,58.4,-2.0
190403,69.2,1.8
190404,72.4,-3.4
190405,84.1,0.7
190406,90.0,0.9
190407,91.2,0.5
190408,88.4,-1.5
190409,88.1,2.5
190410,77.5,1.1
190411,64.1,-2.5
190412,57.3,-0.9
190501,51.9,-5.2
190502,51.3,-9.1
190503,69.7,2.3
190504,75.9,0.1
190505,85.6,2.2
190506,90.9,1.8
190507,91.6,0.9
190508,89.2,-0.7
190509,88.2,2.6
190510,75.1,-1.3
190511,67.6,1.0
190512,52.9,-5.3
190601,56.5,-0.6
190602,58.6,-1.8
190603,63.2,-4.2
190604,78.5,2.7
190605,82.1,-1.3
190606,90.3,1.2
190607,88.6,-2.1
190608,90.5,0.6
190609,87.5,1.9
190610,72.0,-4.4
190611,67.8,1.2
190612,59.3,1.1
190701,65.1,8.0
190702,60.0,-0.4
190703,76.7,9.3
190704,69.6,-6.2
190705,82.4,-1.0
190706,89.0,-0.1
190707,92.5,1.8
190708,90.9,1.0
190709,86.3,0.7
190710,75.1,-1.3
190711,63.3,-3.3
190712,55.9,-2.3
190801,54.6,-2.5
190802,54.7,-5.7
190803,74.6,7.2
190804,79.6,3.8
190805,85.3,1.9
190806,90.2,1.1
190807,91.1,0.4
190808,90.4,0.5
190809,84.4,-1.2
190810,73.9,-2.5
190811,69.0,2.4
190812,62.2,4.0
190901,61.1,4.0
190902,63.0,2.6
190903,66.8,-0.6
190904,75.3,-0.5
190905,82.0,-1.4
190906,89.7,0.6
190907,89.5,-1.2
190908,90.4,0.5
190909,84.8,-0.8
190910,76.4,0.0
190911,72.2,5.6
190912,52.7,-5.5
191001,56.8,-0.3
191002,56.9,-3.5
191003,72.9,5.5
191004,76.0,0.2
191005,82.5,-0.9
191006,86.1,-3.0
191007,88.8,-1.9
191008,89.6,-0.3
191009,87.7,2.1
191010,78.5,2.1
191011,64.4,-2.2
191012,52.7,-5.5
191101,61.2,4.1
191102,64.4,4.0
191103,69.2,1.8
191104,74.2,-1.6
191105,85.9,2.5
191106,94.1,5.0
191107,89.3,-1.4
191108,89.8,-0.1
191109,90.4,4.8
191110,79.4,3.0
191111,62.5,-4.1
191112,60.0,1.8
191201,50.8,-6.3
191202,54.2,-6.2
191203,63.1,-4.3
191204,75.7,-0.1
191205,84.4,1.0
191206,86.0,-3.1
191207,90.0,-0.7
191208,89.7,-0.2
191209,86.8,1.2
191210,76.6,0.2
191211,64.7,-1.9
191212,58.3,0.1
191301,62.7,5.6
191302,59.5,-0.9
191303,66.2,-1.2
191304,74.7,-1.1
191305,85.0,1.6
191306,90.1,1.0
191307,92.8,2.1
191308,90.5,0.6
191309,83.2,-2.4
191310,75.1,-1.3
191311,67.8,1.2
191312,57.9,-0.3
191401,57.5,0.4
191402,56.3,-4.1
191403,62.1,-5.3
191404,77.3,1.5
191405,86.4,3.0
191406,94.7,5.6
191407,92.4,1.7
191408,89.0,-0.9
191409,83.4,-2.2
191410,74.0,-2.4
191411,65.4,-1.2
191412,52.1,-6.1
191501,54.4,-2.7
191502,58.5,-1.9
191503,58.4,-9.0
191504,77.7,1.9
191505,86.1,2.7
191506,89.5,0.4
191507,92.5,1.8
191508,90.7,0.8
191509,88.1,2.5
191510,76.8,0.4
191511,69.2,2.6
191512,56.2,-2.0
191601,62.9,5.8
191602,60.9,0.5
191603,65.9,-1.5
191604,75.3,-0.5
191605,87.5,4.1
191606,88.7,-0.4
191607,86.7,-4.0
191608,90.6,0.7
191609,85.5,-0.1
191610,75.8,-0.6
191611,67.6,1.0
191612,58.4,0.2
191701,60.4,3.3
191702,59.7,-0.7
191703,68.6,1.2
191704,78.7,2.9
191705,80.4,-3.0
191706,90.7,1.6
191707,90.8,0.1
191708,89.0,-0.9
191709,82.6,-3.0
191710,73.4,-3.0
191711,64.4,-2.2
191712,49.8,-8.4
191801,48.8,-8.3
191802,65.1,4.7
191803,72.5,5.1
191804,72.0,-3.8
191805,85.2,1.8
191806,90.9,1.8
191807,89.8,-0.9
191808,91.6,1.7
191809,82.5,-3.1
191810,78.4,2.0
191811,64.6,-2.0
191812,59.1,0.9
191901,57.5,0.4
191902,58.3,-2.1
191903,68.7,1.3
191904,77.0,1.2
191905,82.7,-0.7
191906,88.0,-1.1
191907,89.3,-1.4
191908,89.0,-0.9
191909,87.2,1.6
191910,84.2,7.8
191911,69.4,2.8
191912,58.9,0.7
192001,57.9,0.8
192002,55.5,-4.9
192003,63.9,-3.5
192004,73.3,-2.5
192005,80.4,-3.0
192006,89.7,0.6
192007,90.0,-0.7
192008,87.8,-2.1
192009,87.5,1.9
192010,77.8,1.4
192011,63.9,-2.7
192012,56.0,-2.2
192101,60.2,3.1
192102,62.1,1.7
192103,76.0,8.6
192104,75.8,0.0
192105,81.4,-2.0
192106,92.5,3.4
192107,89.8,-0.9
192108,89.6,-0.3
192109,93.2,7.6
192110,75.7,-0.7
192111,68.7,2.1
192112,62.9,4.7
192201,55.1,-2.0
192202,65.3,4.9
192203,67.6,0.2
192204,78.5,2.7
192205,82.3,-1.1
192206,89.9,0.8
192207,90.9,0.2
192208,88.2,-1.7
192209,88.0,2.4
192210,76.2,-0.2
192211,68.1,1.5
192212,62.6,4.4
192301,62.2,5.1
192302,59.4,-1.0
192303,67.6,0.2
192304,75.4,-0.4
192305,79.4,-4.0
192306,87.1,-2.0
192307,89.7,-1.0
192308,89.6,-0.3
192309,87.0,1.4
192310,75.7,-0.7
192311,63.4,-3.2
192312,63.4,5.2
192401,54.7,-2.4
192402,57.1,-3.3
192403,62.3,-5.1
192404,74.1,-1.7
192405,80.7,-2.7
192406,91.0,1.9
192407,90.6,-0.1
192408,94.0,4.1
192409,81.5,-4.1
192410,74.7,-1.7
192411,67.8,1.2
192412,59.4,1.2
192501,57.2,0.1
192502,64.4,4.0
192503,70.5,3.1
192504,80.3,4.5
192505,83.3,-0.1
192506,92.6,3.5
192507,93.8,3.1
192508,92.8,2.9
192509,96.6,11.0
192510,76.2,-0.2
192511,62.2,-4.4
192512,55.4,-2.8
192601,53.5,-3.6
192602,61.6,1.2
192603,59.2,-8.2
192604,74.1,-1.7
192605,84.3,0.9
192606,89.1,0.0
192607,90.3,-0.4
192608,91.0,1.1
192609,88.8,3.2
192610,78.4,2.0
192611,62.4,-4.2
192612,62.0,3.8
192701,59.3,2.2
192702,68.8,8.4
192703,67.9,0.5
192704,79.6,3.8
192705,86.2,2.8
192706,88.5,-0.6
192707,90.6,-0.1
192708,88.8,-1.1
192709,89.3,3.7
192710,80.3,3.9
192711,70.4,3.8
192712,57.7,-0.5
192801,57.0,-0.1
192802,59.3,-1.1
192803,66.6,-0.8
192804,72.2,-3.6
192805,81.1,-2.3
192806,87.5,-1.6
192807,90.6,-0.1
192808,89.3,-0.6
192809,83.2,-2.4
192810,78.0,1.6
192811,65.4,-1.2
192812,58.7,0.5
192901,60.1,3.0
192902,58.4,-2.0
192903,70.4,3.0
192904,78.5,2.7
192905,82.4,-1.0
192906,87.5,-1.6
192907,90.2,-0.5
192908,91.0,1.1
192909,83.2,-2.4
192910,74.0,-2.4
192911,64.8,-1.8
192912,57.3,-0.9
193001,57.8,0.7
193002,65.8,5.4
193003,61.4,-6.0
193004,77.1,1.3
193005,85.7,2.3
193006,87.6,-1.5
193007,94.1,3.4
193008,90.5,0.6
193009,87.8,2.2
193010,73.7,-2.7
193011,61.3,-5.3
193012,51.2,-7.0
193101,55.6,-1.5
193102,61.5,1.1
193103,61.4,-6.0
193104,73.7,-2.1
193105,81.8,-1.6
193106,94.0,4.9
193107,93.8,3.1
193108,89.6,-0.3
193109,90.9,5.3
193110,80.4,4.0
193111,73.0,6.4
193112,65.9,7.7
193201,64.9,7.8
193202,67.6,7.2
193203,64.0,-3.4
193204,77.0,1.2
193205,82.6,-0.8
193206,88.9,-0.2
193207,94.0,3.3
193208,89.2,-0.7
193209,84.6,-1.0
193210,75.2,-1.2
193211,61.9,-4.7
193212,61.6,3.4
193301,62.5,5.4
193302,59.8,-0.6
193303,67.4,0.0
193304,73.6,-2.2
193305,88.1,4.7
193306,91.7,2.6
193307,89.6,-1.1
193308,90.4,0.5
193309,90.1,4.5
193310,77.8,1.4
193311,66.3,-0.3
193312,66.2,8.0
193401,59.1,2.0
193402,55.9,-4.5
193403,65.6,-1.8
193404,76.4,0.6
193405,81.6,-1.8
193406,90.2,1.1
193407,93.0,2.3
193408,90.6,0.7
193409,87.6,2.0
193410,78.2,1.8
193411,69.0,2.4
193412,56.5,-1.7
193501,58.6,1.5
193502,60.7,0.3
193503,72.8,5.4
193504,75.5,-0.3
193505,84.7,1.3
193506,90.9,1.8
193507,89.7,-1.0
193508,90.0,0.1
193509,84.6,-1.0
193510,79.4,3.0
193511,67.8,1.2
193512,49.9,-8.3
193601,54.6,-2.5
193602,55.9,-4.5
193603,70.7,3.3
193604,74.1,-1.7
193605,86.1,2.7
193606,91.8,2.7
193607,93.3,2.6
193608,90.8,0.9
193609,88.0,2.4
193610,77.4,1.0
193611,64.4,-2.2
193612,58.2,0.0
193701,65.6,8.5
193702,59.0,-1.4
193703,65.1,-2.3
193704,74.1,-1.7
193705,84.2,0.8
193706,91.1,2.0
193707,90.5,-0.2
193708,89.7,-0.2
193709,83.4,-2.2
193710,72.8,-3.6
193711,62.3,-4.3
193712,56.9,-1.3
193801,56.8,-0.3
193802,66.2,5.8
193803,73.6,6.2
193804,76.0,0.2
193805,84.7,1.3
193806,87.1,-2.0
193807,88.7,-2.0
193808,92.6,2.7
193809,86.2,0.6
193810,77.8,1.4
193811,68.6,2.0
193812,57.7,-0.5
193901,60.8,3.7
193902,65.3,4.9
193903,70.7,3.3
193904,75.0,-0.8
193905,81.7,-1.7
193906,90.0,0.9
193907,91.5,0.8
193908,88.0,-1.9
193909,87.5,1.9
193910,79.3,2.9
193911,65.1,-1.5
193912,60.0,1.8
194001,45.1,-12.0
194002,56.6,-3.8
194003,65.5,-1.9
194004,73.5,-2.3
194005,83.1,-0.3
194006,89.3,0.2
194007,88.5,-2.2
194008,89.3,-0.6
194009,85.1,-0.5
194010,78.8,2.4
194011,65.9,-0.7
194012,60.9,2.7
194101,58.1,1.0
194102,54.4,-6.0
194103,61.2,-6.2
194104,77.6,1.8
194105,87.4,4.0
194106,89.1,0.0
194107,90.0,-0.7
194108,91.4,1.5
194109,88.5,2.9
194110,82.4,6.0
194111,67.4,0.8
194112,60.6,2.4
194201,57.1,0.0
194202,53.5,-6.9
194203,65.8,-1.6
194204,78.7,2.9
194205,83.5,0.1
194206,89.1,0.0
194207,92.3,1.6
194208,89.0,-0.9
194209,85.5,-0.1
194210,77.7,1.3
194211,70.0,3.4
194212,58.8,0.6
194301,59.8,2.7
194302,62.8,2.4
194303,65.0,-2.4
194304,75.4,-0.4
194305,84.7,1.3
194306,92.4,3.3
194307,91.2,0.5
194308,92.3,2.4
194309,84.0,-1.6
194310,75.8,-0.6
194311,67.0,0.4
194312,58.5,0.3
194401,57.2,0.1
194402,64.8,4.4
194403,68.0,0.6
194404,73.8,-2.0
194405,85.6,2.2
194406,93.4,4.3
194407,89.5,-1.2
194408,88.3,-1.6
194409,86.0,0.4
194410,76.9,0.5
194411,64.7,-1.9
194412,55.1,-3.1
194501,57.1,0.0
194502,62.8,2.4
194503,76.4,9.0
194504,78.5,2.7
194505,81.4,-2.0
194506,91.0,1.9
194507,89.4,-1.3
194508,89.0,-0.9
194509,87.3,1.7
194510,75.4,-1.0
194511,68.4,1.8
194512,51.8,-6.4
194601,58.1,1.0
194602,63.7,3.3
194603,71.5,4.1
194604,78.0,2.2
194605,81.5,-1.9
194606,88.1,-1.0
194607,88.8,-1.9
194608,88.8,-1.1
194609,82.8,-2.8
194610,76.0,-0.4
194611,70.4,3.8
194612,64.2,6.0
194701,61.0,3.9
194702,55.8,-4.6
194703,59.7,-7.7
194704,78.0,2.2
194705,83.1,-0.3
194706,87.8,-1.3
194707,88.8,-1.9
194708,89.7,-0.2
194709,86.6,1.0
194710,77.4,1.0
194711,61.2,-5.4
194712,58.5,0.3
194801,51.9,-5.2
194802,61.6,1.2
194803,68.9,1.5
194804,78.6,2.8
194805,85.2,1.8
194806,91.2,2.1
194807,90.5,-0.2
194808,88.6,-1.3
194809,83.4,-2.2
194810,73.7,-2.7
194811,69.6,3.0
194812,60.7,2.5
194901,65.0,7.9
194902,65.3,4.9
194903,66.3,-1.1
194904,73.3,-2.5
194905,84.5,1.1
194906,87.3,-1.8
194907,90.1,-0.6
194908,88.5,-1.4
194909,83.6,-2.0
194910,78.7,2.3
194911,65.6,-1.0
194912,60.4,2.2
195001,68.7,11.6
195002,65.4,5.0
195003,64.0,-3.4
195004,73.4,-2.4
195005,85.4,2.0
195006,90.3,1.2
195007,88.1,-2.6
195008,89.2,-0.7
195009,82.5,-3.1
195010,77.8,1.4
195011,63.7,-2.9
195012,52.6,-5.6
195101,59.4,2.3
195102,63.0,2.6
195103,66.3,-1.1
195104,73.8,-2.0
195105,84.2,0.8
195106,90.6,1.5
195107,91.7,1.0
195108,93.2,3.3
195109,86.1,0.5
195110,78.4,2.0
195111,62.5,-4.1
195112,61.5,3.3
195201,64.0,6.9
195202,62.0,1.6
195203,67.3,-0.1
195204,74.8,-1.0
195205,84.9,1.5
195206,94.7,5.6
195207,94.5,3.8
195208,90.0,0.1
195209,83.2,-2.4
195210,74.2,-2.2
195211,66.8,0.2
195212,56.2,-2.0
195301,61.2,4.1
195302,61.2,0.8
195303,69.7,2.3
195304,74.6,-1.2
195305,87.0,3.6
195306,89.9,0.8
195307,89.6,-1.1
195308,90.3,0.4
195309,84.2,-1.4
195310,77.4,1.0
195311,66.4,-0.2
195312,57.0,-1.2
195401,60.4,3.3
195402,65.6,5.2
195403,66.6,-0.8
195404,79.9,4.1
195405,79.0,-4.4
195406,92.1,3.0
195407,94.0,3.3
195408,95.4,5.5
195409,90.6,5.0
195410,79.0,2.6
195411,63.3,-3.3
195412,56.9,-1.3
195501,56.2,-0.9
195502,62.3,1.9
195503,71.8,4.4
195504,79.2,3.4
195505,86.0,2.6
195506,86.2,-2.9
195507,90.2,-0.5
195508,91.3,1.4
195509,85.8,0.2
195510,75.8,-0.6
195511,66.1,-0.5
195512,56.3,-1.9
195601,55.6,-1.5
195602,65.5,5.1
195603,67.8,0.4
195604,74.6,-1.2
195605,85.2,1.8
195606,88.9,-0.2
195607,90.6,-0.1
195608,92.3,2.4
195609,84.0,-1.6
195610,75.0,-1.4
195611,65.6,-1.0
195612,67.1,8.9
195701,60.1,3.0
195702,67.8,7.4
195703,64.5,-2.9
195704,77.4,1.6
195705,82.9,-0.5
195706,87.7,-1.4
195707,90.0,-0.7
