Idaho, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,11.6,-2.3
189502,13.5,-3.7
189503,19.7,-2.8
189504,29.0,-0.2
189505,35.6,-1.0
189506,40.1,-2.9
189507,46.9,-2.2
189508,47.2,-0.3
189509,38.3,-1.8
189510,30.3,-1.5
189511,21.3,-1.5
189512,14.5,-1.7
189601,19.3,5.4
189602,20.2,3.0
189603,20.6,-1.9
189604,27.7,-1.5
189605,33.1,-3.5
189606,44.7,1.7
189607,52.5,3.4
189608,48.3,0.8
189609,39.5,-0.6
189610,30.1,-1.7
189611,19.6,-3.2
189612,23.0,6.8
189701,13.6,-0.3
189702,17.4,0.2
189703,16.2,-6.3
189704,30.0,0.8
189705,42.0,5.4
189706,42.1,-0.9
189707,45.9,-3.2
189708,48.2,0.7
189709,41.4,1.3
189710,31.6,-0.2
189711,25.7,2.9
189712,17.0,0.8
189801,7.1,-6.8
189802,20.0,2.8
189803,18.0,-4.5
189804,29.9,0.7
189805,35.4,-1.2
189806,42.9,-0.1
189807,48.1,-1.0
189808,50.7,3.2
189809,39.0,-1.1
189810,28.8,-3.0
189811,19.1,-3.7
189812,10.1,-6.1
189901,18.6,4.7
189902,12.2,-5.0
189903,21.8,-0.7
189904,27.9,-1.3
189905,33.5,-3.1
189906,40.4,-2.6
189907,47.8,-1.3
189908,44.2,-3.3
189909,40.6,0.5
189910,30.6,-1.2
189911,28.9,6.1
189912,14.4,-1.8
190001,19.6,5.7
190002,16.7,-0.5
190003,25.9,3.4
190004,32.2,3.0
190005,37.9,1.3
190006,45.4,2.4
190007,46.1,-3.0
190008,44.9,-2.6
190009,39.6,-0.5
190010,31.9,0.1
190011,22.0,-0.8
190012,21.9,5.7
190101,16.9,3.0
190102,15.6,-1.6
190103,22.4,-0.1
190104,27.1,-2.1
190105,40.0,3.4
190106,39.1,-3.9
190107,49.6,0.5
190108,50.1,2.6
190109,37.7,-2.4
190110,35.1,3.3
190111,25.7,2.9
190112,18.2,2.0
190201,12.0,-1.9
190202,22.3,5.1
190203,21.0,-1.5
190204,28.7,-0.5
190205,37.1,0.5
190206,41.1,-1.9
190207,44.8,-4.3
190208,45.8,-1.7
190209,37.2,-2.9
190210,31.0,-0.8
190211,23.1,0.3
190212,17.1,0.9
190301,17.1,3.2
190302,4.8,-12.4
190303,21.4,-1.1
190304,27.9,-1.3
190305,34.1,-2.5
190306,46.2,3.2
190307,45.3,-3.8
190308,46.7,-0.8
190309,37.4,-2.7
190310,31.8,0.0
190311,22.8,0.0
190312,15.7,-0.5
190401,14.2,0.3
190402,18.0,0.8
190403,23.5,1.0
190404,29.2,0.0
190405,36.3,-0.3
190406,40.8,-2.2
190407,47.2,-1.9
190408,48.5,1.0
190409,40.7,0.6
190410,33.8,2.0
190411,25.1,2.3
190412,16.5,0.3
190501,17.5,3.6
190502,11.9,-5.3
190503,26.8,4.3
190504,30.7,1.5
190505,35.5,-1.1
190506,41.6,-1.4
190507,49.0,-0.1
190508,48.2,0.7
190509,40.7,0.6
190510,26.9,-4.9
190511,20.5,-2.3
190512,12.3,-3.9
190601,15.1,1.2
190602,19.0,1.8
190603,18.4,-4.1
190604,30.7,1.5
190605,36.9,0.3
190606,40.5,-2.5
190607,50.5,1.4
190608,48.3,0.8
190609,40.4,0.3
190610,32.5,0.7
190611,22.0,-0.8
190612,23.7,7.5
190701,10.8,-3.1
190702,23.4,6.2
190703,27.4,4.9
190704,30.1,0.9
190705,35.4,-1.2
190706,41.1,-1.9
190707,48.0,-1.1
190708,44.3,-3.2
190709,39.3,-0.8
190710,34.9,3.1
190711,23.3,0.5
190712,18.8,2.6
190801,14.9,1.0
190802,17.9,0.7
190803,23.2,0.7
190804,29.6,0.4
190805,35.1,-1.5
190806,40.7,-2.3
190807,50.0,0.9
190808,46.5,-1.0
190809,40.5,0.4
190810,31.6,-0.2
190811,22.7,-0.1
190812,15.6,-0.6
190901,17.4,3.5
190902,21.3,4.1
190903,23.9,1.4
190904,25.6,-3.6
190905,33.6,-3.0
190906,43.3,0.3
190907,47.8,-1.3
190908,47.0,-0.5
190909,42.8,2.7
190910,31.5,-0.3
190911,27.1,4.3
190912,10.5,-5.7
191001,9.1,-4.8
191002,11.3,-5.9
191003,28.0,5.5
191004,32.5,3.3
191005,37.2,0.6
191006,41.6,-1.4
191007,50.3,1.2
191008,42.8,-4.7
191009,41.2,1.1
191010,32.3,0.5
191011,26.6,3.8
191012,20.8,4.6
191101,16.4,2.5
191102,11.1,-6.1
191103,22.4,-0.1
191104,27.1,-2.1
191105,34.7,-1.9
191106,45.5,2.5
191107,47.7,-1.4
191108,43.6,-3.9
191109,38.5,-1.6
191110,28.4,-3.4
191111,19.3,-3.5
191112,14.3,-1.9
191201,15.4,1.5
191202,20.6,3.4
191203,19.9,-2.6
191204,29.1,-0.1
191205,35.7,-0.9
191206,44.0,1.0
191207,46.8,-2.3
191208,45.5,-2.0
191209,35.3,-4.8
191210,29.9,-1.9
191211,25.3,2.5
191212,14.9,-1.3
191301,10.7,-3.2
191302,9.1,-8.1
191303,20.3,-2.2
191304,29.3,0.1
191305,37.8,1.2
191306,44.8,1.8
191307,48.3,-0.8
191308,48.6,1.1
191309,39.6,-0.5
191310,29.8,-2.0
191311,26.8,4.0
191312,12.6,-3.6
191401,19.6,5.7
191402,16.6,-0.6
191403,23.7,1.2
191404,31.5,2.3
191405,38.0,1.4
191406,42.1,-0.9
191407,49.9,0.8
191408,45.9,-1.6
191409,38.4,-1.7
191410,35.0,3.2
191411,21.6,-1.2
191412,6.7,-9.5
191501,11.0,-2.9
191502,23.0,5.8
191503,25.4,2.9
191504,33.8,4.6
191505,37.3,0.7
191506,39.5,-3.5
191507,46.6,-2.5
191508,49.8,2.3
191509,39.3,-0.8
191510,31.8,0.0
191511,22.7,-0.1
191512,16.6,0.4
191601,6.1,-7.8
191602,18.5,1.3
191603,25.5,3.0
191604,29.8,0.6
191605,31.8,-4.8
191606,39.3,-3.7
191607,48.3,-0.8
191608,45.6,-1.9
191609,38.9,-1.2
191610,28.6,-3.2
191611,16.4,-6.4
191612,10.9,-5.3
191701,6.4,-7.5
191702,13.8,-3.4
191703,13.0,-9.5
191704,27.2,-2.0
191705,35.2,-1.4
191706,39.2,-3.8
191707,50.2,1.1
191708,45.9,-1.6
191709,41.6,1.5
191710,30.1,-1.7
191711,26.1,3.3
191712,27.7,11.5
191801,19.5,5.6
191802,15.0,-2.2
191803,24.4,1.9
191804,26.8,-2.4
191805,33.6,-3.0
191806,47.6,4.6
191807,49.8,0.7
191808,45.3,-2.2
191809,42.9,2.8
191810,35.9,4.1
191811,21.7,-1.1
191812,15.0,-1.2
191901,13.4,-0.5
191902,17.8,0.6
191903,22.4,-0.1
191904,30.3,1.1
191905,36.1,-0.5
191906,41.7,-1.3
191907,49.1,0.0
191908,48.7,1.2
191909,41.0,0.9
191910,28.0,-3.8
191911,19.6,-3.2
191912,6.9,-9.3
192001,13.8,-0.1
192002,17.6,0.4
192003,21.9,-0.6
192004,27.2,-2.0
192005,34.3,-2.3
192006,40.8,-2.2
192007,50.1,1.0
192008,47.7,0.2
192009,41.3,1.2
192010,32.0,0.2
192011,24.0,1.2
192012,19.1,2.9
192101,17.5,3.6
192102,17.7,0.5
192103,25.7,3.2
192104,28.0,-1.2
192105,37.8,1.2
192106,45.7,2.7
192107,48.4,-0.7
192108,48.0,0.5
192109,35.9,-4.2
192110,31.9,0.1
192111,24.9,2.1
192112,17.0,0.8
192201,4.2,-9.7
192202,10.4,-6.8
192203,16.9,-5.6
192204,25.4,-3.8
192205,35.0,-1.6
192206,44.7,1.7
192207,48.8,-0.3
192208,51.5,4.0
192209,40.8,0.7
192210,32.7,0.9
192211,20.4,-2.4
192212,13.8,-2.4
192301,18.1,4.2
192302,8.7,-8.5
192303,18.1,-4.4
192304,28.6,-0.6
192305,37.2,0.6
192306,42.3,-0.7
192307,51.6,2.5
192308,48.1,0.6
192309,41.5,1.4
192310,31.8,0.0
192311,23.4,0.6
192312,14.0,-2.2
192401,8.4,-5.5
192402,23.9,6.7
192403,20.0,-2.5
192404,28.0,-1.2
192405,37.2,0.6
192406,41.0,-2.0
192407,47.9,-1.2
192408,45.3,-2.2
192409,39.1,-1.0
192410,32.7,0.9
192411,22.0,-0.8
192412,7.5,-8.7
192501,17.0,3.1
192502,23.7,6.5
192503,24.4,1.9
192504,31.5,2.3
192505,39.1,2.5
192506,43.6,0.6
192507,51.2,2.1
192508,46.2,-1.3
192509,41.6,1.5
192510,29.9,-1.9
192511,23.1,0.3
192512,23.0,6.8
192601,13.4,-0.5
192602,23.7,6.5
192603,23.7,1.2
192604,32.8,3.6
192605,37.3,0.7
192606,44.4,1.4
192607,50.4,1.3
192608,48.5,1.0
192609,34.7,-5.4
192610,31.9,0.1
192611,28.2,5.4
192612,16.6,0.4
192701,15.8,1.9
192702,20.7,3.5
192703,22.5,0.0
192704,27.8,-1.4
192705,35.8,-0.8
192706,44.1,1.1
192707,48.7,-0.4
192708,47.3,-0.2
192709,40.4,0.3
192710,33.5,1.7
192711,29.6,6.8
192712,8.9,-7.3
192801,16.3,2.4
192802,14.8,-2.4
192803,24.5,2.0
192804,27.4,-1.8
192805,39.6,3.0
192806,41.4,-1.6
192807,50.2,1.1
192808,44.8,-2.7
192809,38.5,-1.6
192810,31.7,-0.1
192811,23.8,1.0
192812,10.3,-5.9
192901,3.9,-10.0
192902,6.5,-10.7
192903,22.7,0.2
192904,27.0,-2.2
192905,34.2,-2.4
192906,41.5,-1.5
192907,48.6,-0.5
192908,49.6,2.1
192909,36.6,-3.5
192910,30.0,-1.8
192911,16.3,-6.5
192912,21.8,5.6
193001,0.2,-13.7
193002,24.2,7.0
193003,23.3,0.8
193004,33.3,4.1
193005,35.8,-0.8
193006,40.4,-2.6
193007,50.7,1.6
193008,51.3,3.8
193009,40.8,0.7
193010,31.1,-0.7
193011,15.6,-7.2
193012,7.8,-8.4
193101,13.4,-0.5
193102,15.9,-1.3
193103,22.0,-0.5
193104,28.6,-0.6
193105,36.3,-0.3
193106,44.7,1.7
193107,50.6,1.5
193108,48.2,0.7
193109,40.9,0.8
193110,31.7,-0.1
193111,16.8,-6.0
193112,11.6,-4.6
193201,9.0,-4.9
193202,10.8,-6.4
193203,21.8,-0.7
193204,29.6,0.4
193205,37.7,1.1
193206,44.0,1.0
193207,48.2,-0.9
193208,45.8,-1.7
193209,37.6,-2.5
193210,30.2,-1.6
193211,25.4,2.6
193212,7.2,-9.0
193301,13.7,-0.2
193302,4.6,-12.6
193303,20.8,-1.7
193304,26.8,-2.4
193305,33.4,-3.2
193306,45.5,2.5
193307,50.2,1.1
193308,47.1,-0.4
193309,38.3,-1.8
193310,32.9,1.1
193311,23.7,0.9
193312,24.6,8.4
193401,23.7,9.8
193402,25.5,8.3
193403,28.7,6.2
193404,34.1,4.9
193405,40.1,3.5
193406,42.9,-0.1
193407,49.8,0.7
193408,48.5,1.0
193409,38.0,-2.1
193410,34.2,2.4
193411,28.4,5.6
193412,18.5,2.3
193501,14.6,0.7
193502,16.2,-1.0
193503,21.0,-1.5
193504,28.6,-0.6
193505,34.4,-2.2
193506,42.2,-0.8
193507,48.5,-0.6
193508,45.9,-1.6
193509,40.4,0.3
193510,30.0,-1.8
193511,17.8,-5.0
193512,14.8,-1.4
193601,14.2,0.3
193602,9.9,-7.3
193603,20.0,-2.5
193604,30.4,1.2
193605,39.2,2.6
193606,46.6,3.6
193607,52.7,3.6
193608,49.0,1.5
193609,37.8,-2.3
193610,30.5,-1.3
193611,15.7,-7.1
193612,18.0,1.8
193701,-3.4,-17.3
193702,11.7,-5.5
193703,22.3,-0.2
193704,28.0,-1.2
193705,36.6,0.0
193706,42.1,-0.9
193707,51.7,2.6
193708,45.7,-1.8
193709,41.8,1.7
193710,33.2,1.4
193711,26.8,4.0
193712,20.9,4.7
193801,17.4,3.5
193802,20.4,3.2
193803,23.7,1.2
193804,30.2,1.0
193805,36.1,-0.5
193806,44.1,1.1
193807,50.5,1.4
193808,46.5,-1.0
193809,44.3,4.2
193810,35.4,3.6
193811,18.3,-4.5
193812,18.8,2.6
193901,17.8,3.9
193902,11.0,-6.2
193903,22.3,-0.2
193904,30.4,1.2
193905,38.2,1.6
193906,40.6,-2.4
193907,50.2,1.1
193908,47.3,-0.2
193909,40.8,0.7
193910,33.0,1.2
193911,21.0,-1.8
193912,23.2,7.0
194001,16.4,2.5
194002,22.6,5.4
194003,25.9,3.4
194004,31.8,2.6
194005,38.0,1.4
194006,45.0,2.0
194007,50.5,1.4
194008,47.8,0.3
194009,45.6,5.5
194010,35.9,4.1
194011,19.8,-3.0
194012,19.3,3.1
194101,16.3,2.4
194102,20.0,2.8
194103,24.3,1.8
194104,29.7,0.5
194105,38.7,2.1
194106,44.1,1.1
194107,51.4,2.3
194108,50.0,2.5
194109,38.5,-1.6
194110,32.2,0.4
194111,24.4,1.6
194112,20.4,4.2
194201,8.0,-5.9
194202,10.9,-6.3
194203,18.3,-4.2
194204,30.4,1.2
194205,35.1,-1.5
194206,40.4,-2.6
194207,49.7,0.6
194208,47.1,-0.4
194209,39.9,-0.2
194210,32.6,0.8
194211,23.4,0.6
194212,19.4,3.2
194301,12.6,-1.3
194302,16.1,-1.1
194303,17.3,-5.2
194304,33.1,3.9
194305,34.5,-2.1
194306,40.4,-2.6
194307,48.4,-0.7
194308,46.2,-1.3
194309,40.5,0.4
194310,34.6,2.8
194311,23.3,0.5
194312,16.8,0.6
194401,8.4,-5.5
194402,17.3,0.1
194403,18.1,-4.4
194404,29.4,0.2
194405,36.9,0.3
194406,41.7,-1.3
194407,47.3,-1.8
194408,44.5,-3.0
194409,40.4,0.3
194410,33.6,1.8
194411,23.5,0.7
194412,13.8,-2.4
194501,17.4,3.5
194502,21.4,4.2
194503,21.7,-0.8
194504,26.2,-3.0
194505,36.9,0.3
194506,41.0,-2.0
194507,48.5,-0.6
194508,47.7,0.2
194509,38.4,-1.7
194510,33.2,1.4
194511,23.3,0.5
194512,15.4,-0.8
194601,13.0,-0.9
194602,15.3,-1.9
194603,25.0,2.5
194604,30.4,1.2
194605,35.9,-0.7
194606,42.6,-0.4
194607,50.5,1.4
194608,47.8,0.3
194609,39.1,-1.0
194610,29.7,-2.1
194611,22.7,-0.1
194612,21.8,5.6
194701,8.4,-5.5
194702,20.3,3.1
194703,25.2,2.7
194704,29.3,0.1
194705,39.3,2.7
194706,41.9,-1.1
194707,48.7,-0.4
194708,46.9,-0.6
194709,40.6,0.5
194710,36.5,4.7
194711,22.4,-0.4
194712,18.8,2.6
194801,14.2,0.3
194802,16.6,-0.6
194803,19.2,-3.3
194804,29.0,-0.2
194805,36.7,0.1
194806,46.2,3.2
194807,47.7,-1.4
194808,46.5,-1.0
194809,39.7,-0.4
194810,30.7,-1.1
194811,21.7,-1.1
194812,8.5,-7.7
194901,-6.4,-20.3
194902,11.7,-5.5
194903,23.7,1.2
194904,29.8,0.6
194905,39.4,2.8
194906,42.0,-1.0
194907,47.9,-1.2
