Illinois, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,8.8,-8.1
189502,7.3,-12.9
189503,26.4,-3.5
189504,41.8,1.5
189505,50.4,-0.3
189506,61.0,1.0
189507,61.3,-2.8
189508,61.6,-0.4
189509,57.7,3.3
189510,34.1,-8.8
189511,28.7,-2.8
189512,23.3,1.9
189601,20.8,3.9
189602,21.1,0.9
189603,25.3,-4.6
189604,46.8,6.5
189605,57.4,6.7
189606,59.9,-0.1
189607,64.0,-0.1
189608,62.5,0.5
189609,51.3,-3.1
189610,37.9,-5.0
189611,29.9,-1.6
189612,25.7,4.3
189701,15.7,-1.2
189702,23.1,2.9
189703,30.0,0.1
189704,40.1,-0.2
189705,46.2,-4.5
189706,59.2,-0.8
189707,65.6,1.5
189708,58.9,-3.1
189709,56.1,1.7
189710,45.7,2.8
189711,29.9,-1.6
189712,18.7,-2.7
189801,22.0,5.1
189802,21.4,1.2
189803,32.7,2.8
189804,38.0,-2.3
189805,51.4,0.7
189806,61.9,1.9
189807,63.1,-1.0
189808,62.4,0.4
189809,58.2,3.8
189810,42.7,-0.2
189811,26.9,-4.6
189812,16.9,-4.5
189901,16.8,-0.1
189902,8.6,-11.6
189903,24.4,-5.5
189904,41.3,1.0
189905,52.4,1.7
189906,61.2,1.2
189907,62.7,-1.4
189908,63.1,1.1
189909,51.9,-2.5
189910,46.2,3.3
189911,35.8,4.3
189912,19.0,-2.4
190001,21.4,4.5
190002,12.4,-7.8
190003,24.5,-5.4
190004,40.5,0.2
190005,51.8,1.1
190006,59.1,-0.9
190007,63.5,-0.6
190008,67.0,5.0
190009,57.0,2.6
190010,48.5,5.6
190011,29.7,-1.8
190012,22.6,1.2
190101,19.6,2.7
190102,11.6,-8.6
190103,29.0,-0.9
190104,37.4,-2.9
190105,48.4,-2.3
190106,61.4,1.4
190107,67.3,3.2
190108,60.8,-1.2
190109,52.3,-2.1
190110,42.2,-0.7
190111,25.8,-5.7
190112,16.7,-4.7
190201,16.6,-0.3
190202,9.1,-11.1
190203,32.5,2.6
190204,37.0,-3.3
190205,54.6,3.9
190206,58.0,-2.0
190207,63.9,-0.2
190208,59.8,-2.2
190209,50.6,-3.8
190210,44.2,1.3
190211,38.4,6.9
190212,19.6,-1.8
190301,17.0,0.1
190302,17.6,-2.6
190303,34.2,4.3
190304,40.1,-0.2
190305,53.2,2.5
190306,54.2,-5.8
190307,63.3,-0.8
190308,60.6,-1.4
190309,52.3,-2.1
190310,42.2,-0.7
190311,26.7,-4.8
190312,13.0,-8.4
190401,9.8,-7.1
190402,12.2,-8.0
190403,29.6,-0.3
190404,34.5,-5.8
190405,50.0,-0.7
190406,57.6,-2.4
190407,60.9,-3.2
190408,57.6,-4.4
190409,54.8,0.4
190410,41.6,-1.3
190411,29.4,-2.1
190412,18.6,-2.8
190501,10.2,-6.7
190502,7.6,-12.6
190503,33.8,3.9
190504,39.2,-1.1
190505,51.0,0.3
190506,59.6,-0.4
190507,61.9,-2.2
190508,62.6,0.6
190509,55.8,1.4
190510,40.8,-2.1
190511,29.2,-2.3
190512,21.5,0.1
190601,22.2,5.3
190602,17.0,-3.2
190603,22.8,-7.1
190604,42.0,1.7
190605,50.4,-0.3
190606,58.3,-1.7
190607,60.2,-3.9
190608,63.8,1.8
190609,57.7,3.3
190610,41.7,-1.2
190611,29.7,-1.8
190612,23.9,2.5
190701,21.3,4.4
190702,19.2,-1.0
190703,36.5,6.6
190704,32.6,-7.7
190705,44.4,-6.3
190706,56.7,-3.3
190707,64.4,0.3
190708,61.0,-1.0
190709,53.6,-0.8
190710,39.8,-3.1
190711,27.9,-3.6
190712,25.1,3.7
190801,18.8,1.9
190802,19.8,-0.4
190803,33.2,3.3
190804,40.3,0.0
190805,52.4,1.7
190806,58.6,-1.4
190807,63.2,-0.9
190808,60.3,-1.7
190809,55.0,0.6
190810,40.6,-2.3
190811,31.0,-0.5
190812,22.3,0.9
190901,19.3,2.4
190902,23.2,3.0
190903,28.7,-1.2
190904,37.9,-2.4
190905,48.0,-2.7
190906,60.4,0.4
190907,61.9,-2.2
190908,63.6,1.6
190909,52.0,-2.4
190910,38.0,-4.9
190911,38.6,7.1
190912,12.3,-9.1
191001,17.7,0.8
191002,14.4,-5.8
191003,37.4,7.5
191004,39.8,-0.5
191005,45.9,-4.8
191006,56.4,-3.6
191007,64.0,-0.1
191008,60.0,-2.0
191009,54.9,0.5
191010,44.1,1.2
191011,25.4,-6.1
191012,17.1,-4.3
191101,19.7,2.8
191102,24.6,4.4
191103,29.0,-0.9
191104,38.8,-1.5
191105,54.4,3.7
191106,62.4,2.4
191107,62.8,-1.3
191108,60.7,-1.3
191109,58.6,4.2
191110,43.2,0.3
191111,25.5,-6.0
191112,26.2,4.8
191201,4.6,-12.3
191202,13.7,-6.5
191203,21.2,-8.7
191204,41.3,1.0
191205,52.9,2.2
191206,55.9,-4.1
191207,64.3,0.2
191208,61.0,-1.0
191209,55.5,1.1
191210,42.0,-0.9
191211,31.0,-0.5
191212,23.3,1.9
191301,20.2,3.3
191302,15.6,-4.6
191303,25.7,-4.2
191304,39.8,-0.5
191305,50.4,-0.3
191306,59.8,-0.2
191307,65.1,1.0
191308,64.2,2.2
191309,54.2,-0.2
191310,42.0,-0.9
191311,37.6,6.1
191312,28.9,7.5
191401,25.0,8.1
191402,11.0,-9.2
191403,28.0,-1.9
191404,41.0,0.7
191405,51.5,0.8
191406,62.6,2.6
191407,64.6,0.5
191408,62.5,0.5
191409,54.1,-0.3
191410,46.2,3.3
191411,31.9,0.4
191412,15.2,-6.2
191501,13.4,-3.5
191502,28.1,7.9
191503,25.8,-4.1
191504,45.2,4.9
191505,48.4,-2.3
191506,56.6,-3.4
191507,62.0,-2.1
191508,57.0,-5.0
191509,56.7,2.3
191510,43.0,0.1
191511,33.2,1.7
191512,21.3,-0.1
191601,18.7,1.8
191602,16.7,-3.5
191603,26.7,-3.2
191604,39.0,-1.3
191605,51.5,0.8
191606,55.6,-4.4
191607,66.9,2.8
191608,63.8,1.8
191609,51.6,-2.8
191610,41.2,-1.7
191611,31.8,0.3
191612,16.6,-4.8
191701,16.4,-0.5
191702,12.4,-7.8
191703,30.0,0.1
191704,38.4,-1.9
191705,44.3,-6.4
191706,56.9,-3.1
191707,62.7,-1.4
191708,58.8,-3.2
191709,51.4,-3.0
191710,34.4,-8.5
191711,31.4,-0.1
191712,11.9,-9.5
191801,1.6,-15.3
191802,18.4,-1.8
191803,32.6,2.7
191804,36.6,-3.7
191805,54.5,3.8
191806,59.4,-0.6
191807,60.8,-3.3
191808,65.9,3.9
191809,47.0,-7.4
191810,45.8,2.9
191811,32.6,1.1
191812,29.1,7.7
191901,20.6,3.7
191902,22.2,2.0
191903,30.7,0.8
191904,41.0,0.7
191905,48.2,-2.5
191906,63.4,3.4
191907,64.8,0.7
191908,60.1,-1.9
191909,55.9,1.5
191910,46.2,3.3
191911,29.4,-2.1
191912,14.2,-7.2
192001,12.1,-4.8
192002,20.0,-0.2
192003,30.5,0.6
192004,35.9,-4.4
192005,49.3,-1.4
192006,59.2,-0.8
192007,61.2,-2.9
192008,59.2,-2.8
192009,56.5,2.1
192010,46.9,4.0
192011,30.0,-1.5
192012,23.7,2.3
192101,24.8,7.9
192102,26.8,6.6
192103,36.9,7.0
192104,43.0,2.7
192105,52.2,1.5
192106,64.3,4.3
192107,66.8,2.7
192108,62.2,0.2
192109,59.7,5.3
192110,42.4,-0.5
192111,31.9,0.4
192112,24.6,3.2
192201,14.0,-2.9
192202,21.4,1.2
192203,32.7,2.8
192204,41.7,1.4
192205,54.5,3.8
192206,60.6,0.6
192207,62.4,-1.7
192208,61.2,-0.8
192209,55.6,1.2
192210,44.0,1.1
192211,34.5,3.0
192212,20.8,-0.6
192301,24.7,7.8
