Indiana, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,11.2,-6.9
189502,8.5,-11.7
189503,25.6,-3.9
189504,41.1,1.8
189505,49.7,0.2
189506,60.4,1.5
189507,60.1,-2.7
189508,60.5,-0.2
189509,56.4,2.9
189510,32.9,-9.0
189511,30.0,-1.6
189512,24.2,2.0
189601,20.1,2.0
189602,21.5,1.3
189603,24.7,-4.8
189604,46.0,6.7
189605,56.4,6.9
189606,58.8,-0.1
189607,63.3,0.5
189608,61.3,0.6
189609,51.3,-2.2
189610,37.3,-4.6
189611,32.8,1.2
189612,25.3,3.1
189701,15.4,-2.7
189702,23.1,2.9
189703,30.8,1.3
189704,38.8,-0.5
189705,44.8,-4.7
189706,57.4,-1.5
189707,65.2,2.4
189708,57.9,-2.8
189709,52.2,-1.3
189710,43.8,1.9
189711,31.0,-0.6
189712,22.5,0.3
189801,23.5,5.4
189802,22.2,2.0
189803,33.9,4.4
189804,37.1,-2.2
189805,51.3,1.8
189806,60.2,1.3
189807,63.2,0.4
189808,62.2,1.5
189809,57.6,4.1
189810,43.2,1.3
189811,27.2,-4.4
189812,18.7,-3.5
189901,18.0,-0.1
189902,11.3,-8.9
189903,25.5,-4.0
189904,42.2,2.9
189905,52.6,3.1
189906,61.1,2.2
189907,62.5,-0.3
189908,62.8,2.1
189909,52.2,-1.3
189910,45.4,3.5
189911,34.5,2.9
189912,20.1,-2.1
190001,22.4,4.3
190002,14.9,-5.3
190003,24.3,-5.2
190004,39.6,0.3
190005,51.0,1.5
190006,59.8,0.9
190007,63.5,0.7
190008,66.4,5.7
190009,57.3,3.8
190010,48.1,6.2
190011,31.7,0.1
190012,23.3,1.1
190101,19.7,1.6
190102,12.5,-7.7
190103,29.3,-0.2
190104,36.3,-3.0
190105,48.1,-1.4
190106,61.1,2.2
190107,67.0,4.2
190108,61.5,0.8
190109,52.4,-1.1
190110,40.8,-1.1
190111,27.2,-4.4
190112,17.4,-4.8
190201,17.8,-0.3
190202,10.0,-10.2
190203,32.6,3.1
190204,37.2,-2.1
190205,52.9,3.4
190206,57.7,-1.2
190207,63.1,0.3
190208,58.4,-2.3
190209,51.2,-2.3
190210,44.2,2.3
190211,39.4,7.8
190212,21.1,-1.1
190301,17.0,-1.1
190302,19.4,-0.8
190303,35.7,6.2
190304,39.4,0.1
190305,52.1,2.6
190306,53.9,-5.0
190307,62.3,-0.5
190308,59.4,-1.3
190309,51.4,-2.1
190310,41.5,-0.4
