Iowa, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.1,-8.3
189502,2.9,-10.0
189503,20.2,-4.2
189504,39.6,3.1
189505,48.0,0.0
189506,56.6,-1.0
189507,58.1,-4.1
189508,58.6,-1.2
189509,54.1,3.0
189510,30.6,-8.9
189511,22.7,-3.3
189512,15.2,1.2
189601,11.8,3.4
189602,15.8,2.9
189603,18.4,-6.0
189604,41.3,4.8
189605,53.8,5.8
189606,57.0,-0.6
189607,60.2,-2.0
189608,59.2,-0.6
189609,46.3,-4.8
189610,33.9,-5.6
189611,17.4,-8.6
189612,21.4,7.4
189701,6.4,-2.0
189702,15.1,2.2
189703,21.5,-2.9
189704,36.8,0.3
189705,44.6,-3.4
189706,56.5,-1.1
189707,62.9,0.7
189708,55.8,-4.0
189709,55.7,4.6
189710,42.1,2.6
189711,20.8,-5.2
189712,7.3,-6.7
189801,12.9,4.5
189802,13.0,0.1
189803,25.4,1.0
189804,34.6,-1.9
189805,48.0,0.0
189806,60.1,2.5
189807,59.8,-2.4
189808,59.2,-0.6
189809,51.9,0.8
189810,36.8,-2.7
189811,20.0,-6.0
189812,7.4,-6.6
189901,7.9,-0.5
189902,0.4,-12.5
189903,14.5,-9.9
189904,35.5,-1.0
189905,48.1,0.1
189906,59.0,1.4
189907,60.2,-2.0
189908,61.5,1.7
189909,48.3,-2.8
189910,42.3,2.8
189911,31.7,5.7
189912,11.9,-2.1
190001,14.8,6.4
190002,2.7,-10.2
190003,19.7,-4.7
190004,39.3,2.8
190005,50.6,2.6
190006,56.2,-1.4
190007,61.4,-0.8
190008,65.4,5.6
190009,52.4,1.3
190010,46.5,7.0
190011,23.0,-3.0
190012,16.8,2.8
190101,12.3,3.9
190102,5.8,-7.1
190103,23.7,-0.7
190104,36.8,0.3
190105,47.4,-0.6
190106,59.0,1.4
190107,67.7,5.5
190108,58.9,-0.9
190109,50.4,-0.7
190110,40.6,1.1
190111,22.4,-3.6
190112,10.5,-3.5
190201,10.4,2.0
190202,6.0,-6.9
190203,27.9,3.5
190204,33.7,-2.8
190205,51.8,3.8
190206,54.3,-3.3
190207,62.0,-0.2
190208,58.4,-1.4
190209,47.1,-4.0
190210,40.6,1.1
190211,30.7,4.7
190212,10.4,-3.6
190301,12.4,4.0
190302,8.4,-4.5
190303,28.1,3.7
190304,37.2,0.7
190305,50.7,2.7
190306,52.8,-4.8
190307,61.2,-1.0
190308,58.1,-1.7
190309,48.8,-2.3
190310,38.8,-0.7
190311,23.4,-2.6
190312,7.3,-6.7
190401,3.5,-4.9
190402,2.7,-10.2
190403,24.3,-0.1
190404,31.7,-4.8
190405,47.0,-1.0
190406,55.4,-2.2
190407,59.0,-3.2
190408,56.1,-3.7
190409,51.6,0.5
190410,40.4,0.9
190411,26.9,0.9
190412,11.6,-2.4
190501,-0.4,-8.8
190502,0.7,-12.2
190503,30.1,5.7
190504,34.7,-1.8
190505,46.0,-2.0
190506,58.2,0.6
190507,59.5,-2.7
190508,62.2,2.4
190509,54.1,3.0
190510,37.4,-2.1
190511,26.4,0.4
190512,15.4,1.4
190601,14.2,5.8
190602,11.1,-1.8
190603,18.2,-6.2
190604,39.1,2.6
190605,47.9,-0.1
190606,55.2,-2.4
190607,58.0,-4.2
190608,62.3,2.5
190609,54.6,3.5
190610,37.7,-1.8
190611,25.7,-0.3
190612,16.5,2.5
190701,8.9,0.5
190702,13.7,0.8
190703,29.1,4.7
190704,28.9,-7.6
190705,40.0,-8.0
190706,55.2,-2.4
190707,62.5,0.3
190708,59.0,-0.8
190709,50.4,-0.7
190710,36.3,-3.2
190711,24.9,-1.1
190712,18.7,4.7
190801,12.5,4.1
190802,14.2,1.3
190803,26.2,1.8
190804,37.1,0.6
190805,47.9,-0.1
190806,56.4,-1.2
190807,61.2,-1.0
190808,57.6,-2.2
190809,53.6,2.5
190810,39.0,-0.5
190811,26.5,0.5
190812,16.1,2.1
190901,10.8,2.4
190902,14.8,1.9
190903,22.6,-1.8
190904,32.0,-4.5
190905,45.0,-3.0
190906,58.1,0.5
190907,61.5,-0.7
190908,63.3,3.5
190909,50.3,-0.8
190910,36.8,-2.7
190911,30.6,4.6
190912,5.9,-8.1
191001,7.3,-1.1
191002,5.6,-7.3
191003,33.8,9.4
191004,38.0,1.5
191005,42.8,-5.2
191006,55.6,-2.0
191007,60.6,-1.6
191008,59.3,-0.5
191009,51.1,0.0
191010,40.9,1.4
191011,21.8,-4.2
191012,12.2,-1.8
191101,7.9,-0.5
191102,17.0,4.1
191103,25.5,1.1
191104,34.9,-1.6
191105,51.8,3.8
191106,61.4,3.8
191107,61.0,-1.2
191108,58.3,-1.5
191109,53.3,2.2
191110,38.0,-1.5
191111,18.4,-7.6
191112,18.4,4.4
191201,-6.7,-15.1
191202,7.6,-5.3
191203,14.0,-10.4
191204,37.4,0.9
191205,49.6,1.6
191206,53.3,-4.3
191207,61.9,-0.3
191208,58.8,-1.0
191209,50.6,-0.5
191210,38.7,-0.8
191211,26.9,0.9
191212,16.8,2.8
191301,8.3,-0.1
191302,7.3,-5.6
191303,19.3,-5.1
191304,37.2,0.7
191305,48.1,0.1
191306,58.7,1.1
191307,62.9,0.7
191308,62.6,2.8
191309,51.5,0.4
191310,36.7,-2.8
191311,33.2,7.2
191312,22.0,8.0
191401,16.9,8.5
191402,5.1,-7.8
191403,23.9,-0.5
191404,36.4,-0.1
191405,49.2,1.2
191406,60.4,2.8
191407,63.4,1.2
191408,59.9,0.1
191409,51.8,0.7
191410,43.9,4.4
191411,27.1,1.1
191412,5.6,-8.4
191501,6.9,-1.5
191502,20.7,7.8
191503,20.8,-3.6
191504,43.4,6.9
191505,44.6,-3.4
191506,53.4,-4.2
191507,59.0,-3.2
191508,53.8,-6.0
191509,52.3,1.2
191510,40.9,1.4
191511,28.1,2.1
191512,15.3,1.3
191601,6.5,-1.9
191602,8.3,-4.6
191603,22.8,-1.6
191604,35.4,-1.1
191605,47.6,-0.4
191606,52.8,-4.8
191607,66.2,4.0
191608,60.7,0.9
191609,49.1,-2.0
191610,37.7,-1.8
191611,25.6,-0.4
191612,6.5,-7.5
191701,4.8,-3.6
191702,1.8,-11.1
191703,22.9,-1.5
191704,34.3,-2.2
191705,42.2,-5.8
191706,54.5,-3.1
191707,61.9,-0.3
191708,55.7,-4.1
