Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,12.7,-4.5
189502,12.3,-8.9
189503,27.9,-1.7
189504,42.9,2.5
189505,50.1,-0.8
189506,59.5,-1.3
189507,62.8,-3.1
189508,62.7,-1.7
189509,57.3,2.0
189510,37.4,-5.7
189511,26.5,-3.0
189512,19.9,-0.5
189601,21.0,3.8
189602,22.8,1.6
189603,24.7,-4.9
189604,45.5,5.1
189605,55.4,4.5
189606,60.1,-0.7
189607,65.3,-0.6
189608,63.2,-1.2
189609,52.4,-2.9
189610,39.6,-3.5
189611,24.1,-5.4
189612,25.3,4.9
189701,16.7,-0.5
189702,22.5,1.3
189703,29.0,-0.6
189704,40.2,-0.2
189705,50.0,-0.9
189706,61.2,0.4
189707,65.5,-0.4
189708,61.5,-2.9
189709,57.7,2.4
189710,45.0,1.9
189711,27.2,-2.3
189712,17.8,-2.6
189801,19.9,2.7
189802,22.3,1.1
189803,27.7,-1.9
189804,38.8,-1.6
189805,50.2,-0.7
189806,62.9,2.1
189807,64.2,-1.7
189808,62.9,-1.5
189809,54.3,-1.0
189810,38.2,-4.9
189811,23.8,-5.7
189812,15.5,-4.9
189901,16.1,-1.1
189902,7.4,-13.8
189903,22.6,-7.0
189904,38.4,-2.0
189905,52.3,1.4
189906,61.1,0.3
189907,64.0,-1.9
189908,66.0,1.6
189909,53.0,-2.3
189910,44.7,1.6
189911,34.2,4.7
189912,19.7,-0.7
190001,22.2,5.0
190002,14.8,-6.4
190003,28.4,-1.2
190004,42.8,2.4
190005,52.4,1.5
190006,60.9,0.1
190007,64.6,-1.3
190008,66.2,1.8
190009,57.7,2.4
190010,46.6,3.5
190011,27.7,-1.8
190012,20.7,0.3
190101,17.8,0.6
190102,15.8,-5.4
190103,26.7,-2.9
190104,39.2,-1.2
190105,48.4,-2.5
190106,62.4,1.6
190107,68.7,2.8
190108,64.2,-0.2
190109,55.3,0.0
190110,44.9,1.8
190111,28.9,-0.6
190112,17.6,-2.8
190201,16.1,-1.1
190202,15.8,-5.4
190203,31.9,2.3
190204,39.5,-0.9
190205,55.8,4.9
190206,59.1,-1.7
190207,64.3,-1.6
190208,64.7,0.3
190209,49.9,-5.4
190210,43.2,0.1
190211,33.0,3.5
190212,17.0,-3.4
190301,20.0,2.8
190302,15.2,-6.0
190303,29.3,-0.3
190304,39.4,-1.0
190305,50.3,-0.6
190306,54.9,-5.9
190307,65.3,-0.6
190308,63.2,-1.2
190309,51.8,-3.5
190310,42.0,-1.1
190311,28.8,-0.7
190312,18.4,-2.0
190401,14.8,-2.4
190402,17.6,-3.6
190403,30.0,0.4
190404,36.1,-4.3
190405,50.1,-0.8
190406,58.5,-2.3
190407,63.7,-2.2
190408,61.8,-2.6
190409,55.3,0.0
190410,43.7,0.6
190411,27.8,-1.7
190412,17.9,-2.5
190501,10.4,-6.8
190502,9.2,-12.0
190503,36.9,7.3
190504,38.6,-1.8
190505,49.9,-1.0
190506,62.7,1.9
190507,62.0,-3.9
190508,64.4,0.0
190509,57.8,2.5
190510,39.0,-4.1
190511,30.2,0.7
190512,18.4,-2.0
190601,21.3,4.1
190602,21.1,-0.1
190603,22.3,-7.3
190604,43.3,2.9
190605,51.1,0.2
190606,57.5,-3.3
190607,60.3,-5.6
190608,63.2,-1.2
190609,56.3,1.0
190610,39.9,-3.2
190611,28.8,-0.7
190612,24.9,4.5
190701,20.2,3.0
190702,20.6,-0.6
190703,36.1,6.5
190704,33.7,-6.7
190705,44.5,-6.4
190706,58.1,-2.7
190707,65.6,-0.3
190708,64.6,0.2
190709,54.8,-0.5
190710,42.4,-0.7
190711,27.3,-2.2
190712,22.4,2.0
190801,21.2,4.0
190802,23.2,2.0
190803,31.6,2.0
190804,40.9,0.5
190805,49.9,-1.0
190806,60.2,-0.6
190807,63.4,-2.5
190808,63.3,-1.1
190809,55.1,-0.2
190810,41.2,-1.9
190811,29.2,-0.3
190812,22.4,2.0
190901,17.6,0.4
190902,20.3,-0.9
190903,27.7,-1.9
190904,37.1,-3.3
190905,47.4,-3.5
190906,60.9,0.1
190907,66.3,0.4
190908,65.8,1.4
190909,54.5,-0.8
190910,41.0,-2.1
190911,34.9,5.4
190912,12.0,-8.4
191001,19.1,1.9
191002,16.6,-4.6
191003,37.1,7.5
191004,40.7,0.3
191005,47.6,-3.3
191006,59.0,-1.8
191007,65.0,-0.9
191008,62.6,-1.8
191009,56.6,1.3
191010,42.4,-0.7
191011,28.2,-1.3
191012,19.9,-0.5
191101,19.5,2.3
191102,22.2,1.0
191103,32.0,2.4
191104,38.6,-1.8
191105,53.1,2.2
191106,63.7,2.9
191107,65.0,-0.9
191108,62.1,-2.3
191109,60.1,4.8
191110,41.6,-1.5
191111,23.7,-5.8
191112,18.8,-1.6
191201,7.7,-9.5
191202,20.5,-0.7
191203,21.6,-8.0
191204,40.2,-0.2
191205,52.4,1.5
191206,55.9,-4.9
191207,66.1,0.2
191208,63.8,-0.6
191209,52.3,-3.0
191210,41.7,-1.4
191211,29.3,-0.2
191212,19.8,-0.6
191301,15.3,-1.9
191302,13.1,-8.1
191303,24.9,-4.7
191304,40.5,0.1
191305,52.6,1.7
191306,61.3,0.5
191307,66.9,1.0
191308,66.6,2.2
191309,54.1,-1.2
191310,40.0,-3.1
191311,36.7,7.2
191312,25.2,4.8
191401,25.4,8.2
191402,15.8,-5.4
191403,28.5,-1.1
191404,39.9,-0.5
191405,52.0,1.1
191406,65.2,4.4
191407,66.8,0.9
191408,63.8,-0.6
191409,57.4,2.1
191410,44.4,1.3
191411,30.9,1.4
191412,12.8,-7.6
191501,16.6,-0.6
191502,27.3,6.1
191503,23.3,-6.3
191504,45.4,5.0
191505,47.7,-3.2
191506,57.7,-3.1
191507,62.4,-3.5
191508,58.5,-5.9
191509,56.6,1.3
191510,42.4,-0.7
191511,31.8,2.3
191512,21.1,0.7
191601,13.1,-4.1
191602,18.1,-3.1
191603,30.2,0.6
191604,37.8,-2.6
191605,49.7,-1.2
191606,57.8,-3.0
191607,65.9,0.0
191608,64.9,0.5
191609,52.5,-2.8
191610,42.2,-0.9
191611,27.9,-1.6
191612,13.1,-7.3
191701,16.8,-0.4
191702,15.8,-5.4
191703,26.2,-3.4
191704,37.8,-2.6
191705,44.6,-6.3
191706,57.4,-3.4
191707,65.4,-0.5
191708,60.4,-4.0
191709,55.0,-0.3
191710,34.6,-8.5
191711,32.1,2.6
191712,12.8,-7.6
191801,6.1,-11.1
191802,19.3,-1.9
191803,33.4,3.8
191804,36.1,-4.3
191805,53.5,2.6
191806,63.4,2.6
191807,64.4,-1.5
191808,66.8,2.4
191809,48.6,-6.7
191810,47.6,4.5
191811,31.0,1.5
191812,23.3,2.9
191901,17.6,0.4
191902,21.4,0.2
191903,31.4,1.8
191904,40.9,0.5
191905,49.7,-1.2
191906,60.0,-0.8
191907,66.3,0.4
191908,63.4,-1.0
191909,58.0,2.7
191910,41.2,-1.9
191911,25.5,-4.0
191912,15.4,-5.0
192001,19.4,2.2
192002,22.3,1.1
192003,28.7,-0.9
192004,34.6,-5.8
192005,51.4,0.5
192006,60.1,-0.7
192007,63.6,-2.3
192008,59.2,-5.2
192009,55.1,-0.2
192010,45.9,2.8
192011,27.9,-1.6
192012,21.9,1.5
192101,24.7,7.5
192102,25.0,3.8
192103,34.7,5.1
192104,40.0,-0.4
192105,52.2,1.3
192106,62.7,1.9
192107,66.3,0.4
192108,64.8,0.4
192109,59.3,4.0
192110,42.4,-0.7
192111,27.1,-2.4
192112,20.8,0.4
192201,14.7,-2.5
192202,18.2,-3.0
192203,29.6,0.0
192204,42.0,1.6
192205,51.8,0.9
192206,61.5,0.7
192207,64.1,-1.8
192208,65.5,1.1
192209,57.6,2.3
192210,42.1,-1.0
192211,31.9,2.4
192212,19.4,-1.0
192301,22.9,5.7
192302,16.7,-4.5
192303,24.8,-4.8
192304,40.1,-0.3
192305,49.2,-1.7
192306,62.4,1.6
192307,66.2,0.3
192308,63.8,-0.6
192309,55.8,0.5
192310,41.6,-1.5
192311,30.7,1.2
192312,23.6,3.2
192401,11.9,-5.3
192402,22.3,1.1
192403,24.5,-5.1
192404,39.9,-0.5
192405,43.8,-7.1
192406,60.8,0.0
192407,61.9,-4.0
192408,65.8,1.4
192409,50.8,-4.5
192410,45.3,2.2
192411,29.2,-0.3
192412,11.9,-8.5
192501,12.3,-4.9
192502,25.2,4.0
192503,32.3,2.7
192504,46.0,5.6
192505,49.1,-1.8
192506,63.9,3.1
192507,66.3,0.4
192508,62.9,-1.5
192509,60.0,4.7
192510,36.3,-6.8
192511,27.5,-2.0
192512,19.7,-0.7
192601,20.8,3.6
192602,26.5,5.3
192603,27.6,-2.0
192604,35.8,-4.6
192605,52.6,1.7
192606,58.7,-2.1
192607,65.0,-0.9
192608,64.4,0.0
192609,57.4,2.1
192610,44.9,1.8
192611,27.0,-2.5
192612,20.2,-0.2
192701,19.0,1.8
192702,24.5,3.3
192703,30.2,0.6
192704,44.3,3.9
192705,52.0,1.1
192706,59.4,-1.4
192707,63.9,-2.0
192708,60.5,-3.9
192709,56.7,1.4
192710,43.8,0.7
192711,30.4,0.9
192712,12.7,-7.7
192801,19.9,2.7
192802,23.6,2.4
192803,31.8,2.2
192804,37.1,-3.3
192805,50.5,-0.4
192806,56.3,-4.5
192807,65.4,-0.5
192808,63.4,-1.0
192809,51.3,-4.0
192810,44.4,1.3
192811,30.5,1.0
192812,23.7,3.3
192901,12.8,-4.4
192902,12.8,-8.4
192903,32.4,2.8
192904,42.6,2.2
192905,50.0,-0.9
192906,59.8,-1.0
192907,66.3,0.4
192908,64.7,0.3
192909,53.6,-1.7
192910,44.2,1.1
192911,24.4,-5.1
192912,20.5,0.1
193001,5.5,-11.7
193002,30.7,9.5
193003,25.7,-3.9
193004,43.6,3.2
193005,49.9,-1.0
193006,59.9,-0.9
193007,66.8,0.9
193008,65.3,0.9
193009,56.7,1.4
193010,43.2,0.1
193011,30.5,1.0
193012,22.2,1.8
193101,21.6,4.4
193102,27.8,6.6
193103,26.1,-3.5
193104,39.4,-1.0
193105,47.3,-3.6
193106,64.1,3.3
193107,66.1,0.2
193108,62.3,-2.1
193109,62.8,7.5
193110,47.4,4.3
193111,33.5,4.0
193112,27.2,6.8
193201,18.0,0.8
193202,26.8,5.6
193203,23.2,-6.4
193204,43.3,2.9
193205,51.5,0.6
193206,61.2,0.4
193207,68.2,2.3
193208,65.7,1.3
193209,53.9,-1.4
193210,39.6,-3.5
193211,25.3,-4.2
193212,15.1,-5.3
193301,23.1,5.9
193302,14.7,-6.5
193303,31.6,2.0
193304,39.4,-1.0
193305,51.0,0.1
193306,65.0,4.2
193307,67.3,1.4
193308,64.2,-0.2
193309,60.5,5.2
193310,42.4,-0.7
193311,32.1,2.6
193312,25.0,4.6
193401,22.5,5.3
193402,21.7,0.5
193403,27.8,-1.8
193404,41.7,1.3
193405,54.5,3.6
193406,65.6,4.8
193407,71.3,5.4
193408,68.6,4.2
193409,51.3,-4.0
193410,47.0,3.9
193411,34.0,4.5
193412,21.3,0.9
193501,20.8,3.6
193502,25.5,4.3
193503,36.5,6.9
193504,39.0,-1.4
193505,48.9,-2.0
193506,59.2,-1.6
193507,69.9,4.0
193508,66.2,1.8
193509,54.7,-0.6
193510,43.0,-0.1
193511,28.8,-0.7
193512,22.3,1.9
193601,14.9,-2.3
193602,8.0,-13.2
193603,31.2,1.6
193604,37.9,-2.5
193605,55.7,4.8
193606,62.2,1.4
193607,69.6,3.7
193608,68.9,4.5
193609,59.9,4.6
193610,41.5,-1.6
193611,26.6,-2.9
193612,25.8,5.4
193701,9.4,-7.8
193702,20.2,-1.0
193703,27.7,-1.9
193704,39.8,-0.6
193705,53.4,2.5
193706,61.7,0.9
193707,67.3,1.4
193708,69.2,4.8
193709,57.0,1.7
193710,42.5,-0.6
193711,27.6,-1.9
193712,20.3,-0.1
193801,20.6,3.4
193802,24.5,3.3
193803,36.8,7.2
193804,41.5,1.1
193805,51.6,0.7
193806,61.4,0.6
193807,66.7,0.8
193808,68.4,4.0
193809,57.0,1.7
193810,47.3,4.2
193811,26.8,-2.7
193812,21.7,1.3
193901,24.8,7.6
193902,15.3,-5.9
193903,31.2,1.6
193904,40.1,-0.3
193905,53.9,3.0
193906,62.0,1.2
193907,68.3,2.4
193908,63.7,-0.7
193909,59.0,3.7
193910,44.1,1.0
193911,29.0,-0.5
193912,24.4,4.0
194001,4.2,-13.0
194002,23.3,2.1
194003,30.3,0.7
194004,40.1,-0.3
194005,49.4,-1.5
194006,60.2,-0.6
194007,67.2,1.3
194008,63.4,-1.0
194009,57.3,2.0
194010,47.0,3.9
194011,27.4,-2.1
194012,24.9,4.5
194101,23.0,5.8
194102,22.8,1.6
194103,28.0,-1.6
194104,44.0,3.6
194105,55.4,4.5
194106,60.2,-0.6
194107,65.6,-0.3
194108,65.0,0.6
194109,58.1,2.8
194110,47.4,4.3
194111,30.6,1.1
194112,25.9,5.5
194201,16.8,-0.4
194202,20.6,-0.6
194203,30.0,0.4
194204,44.7,4.3
194205,49.5,-1.4
194206,61.2,0.4
194207,65.9,0.0
194208,64.2,-0.2
194209,53.4,-1.9
194210,44.0,0.9
194211,31.2,1.7
194212,21.8,1.4
194301,16.7,-0.5
194302,24.2,3.0
194303,24.2,-5.4
194304,42.7,2.3
