Kentucky, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,19.4,-4.9
189502,14.0,-12.2
189503,32.3,-1.9
189504,44.2,1.3
189505,51.2,-0.9
189506,62.6,1.8
189507,63.2,-1.6
189508,63.6,0.2
189509,60.0,3.5
189510,36.2,-8.1
189511,33.3,-0.9
189512,27.9,0.9
189601,26.0,1.7
189602,26.7,0.5
189603,29.2,-5.0
189604,49.5,6.6
189605,57.7,5.6
189606,61.0,0.2
189607,66.1,1.3
189608,64.0,0.6
189609,54.9,-1.6
189610,41.3,-3.0
189611,37.4,3.2
189612,28.2,1.2
189701,20.6,-3.7
189702,29.8,3.6
189703,37.8,3.6
189704,42.9,0.0
189705,48.2,-3.9
189706,60.3,-0.5
189707,65.9,1.1
189708,62.7,-0.7
189709,54.5,-2.0
189710,46.5,2.2
189711,35.0,0.8
189712,28.9,1.9
189801,29.9,5.6
189802,26.8,0.6
189803,39.7,5.5
189804,39.5,-3.4
189805,54.6,2.5
189806,62.9,2.1
189807,66.1,1.3
189808,65.2,1.8
189809,60.5,4.0
189810,46.1,1.8
189811,31.3,-2.9
189812,22.6,-4.4
189901,23.6,-0.7
189902,15.3,-10.9
189903,31.8,-2.4
189904,45.1,2.2
189905,56.7,4.6
189906,63.3,2.5
189907,63.8,-1.0
189908,65.3,1.9
189909,54.1,-2.4
189910,47.1,2.8
189911,37.9,3.7
189912,24.5,-2.5
190001,26.1,1.8
190002,20.7,-5.5
190003,30.7,-3.5
190004,42.5,-0.4
190005,52.0,-0.1
190006,63.4,2.6
190007,66.0,1.2
190008,67.5,4.1
190009,62.0,5.5
190010,50.6,6.3
190011,35.0,0.8
190012,27.7,0.7
190101,25.5,1.2
190102,21.5,-4.7
190103,34.3,0.1
190104,38.9,-4.0
190105,50.6,-1.5
190106,62.7,1.9
190107,68.0,3.2
190108,64.6,1.2
190109,55.4,-1.1
190110,42.5,-1.8
190111,28.2,-6.0
190112,21.9,-5.1
190201,22.6,-1.7
190202,18.8,-7.4
190203,35.7,1.5
190204,40.7,-2.2
190205,56.4,4.3
190206,60.7,-0.1
190207,65.1,0.3
190208,62.4,-1.0
190209,54.2,-2.3
190210,46.3,2.0
190211,41.9,7.7
190212,28.0,1.0
190301,24.2,-0.1
190302,26.2,0.0
190303,42.0,7.8
190304,42.1,-0.8
190305,54.8,2.7
190306,57.1,-3.7
190307,65.1,0.3
190308,63.8,0.4
190309,53.4,-3.1
190310,43.0,-1.3
190311,29.9,-4.3
190312,19.4,-7.6
190401,21.1,-3.2
190402,23.3,-2.9
190403,35.5,1.3
190404,38.6,-4.3
190405,51.6,-0.5
190406,60.9,0.1
190407,62.6,-2.2
190408,62.5,-0.9
190409,57.9,1.4
190410,41.9,-2.4
190411,31.0,-3.2
190412,26.2,-0.8
190501,17.4,-6.9
190502,17.2,-9.0
190503,38.7,4.5
190504,43.5,0.6
190505,56.2,4.1
190506,63.1,2.3
190507,64.7,-0.1
190508,64.0,0.6
190509,57.2,0.7
190510,44.6,0.3
190511,32.7,-1.5
190512,28.1,1.1
190601,28.7,4.4
190602,21.5,-4.7
190603,30.2,-4.0
190604,44.4,1.5
190605,52.0,-0.1
