Louisiana, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,37.9,-1.2
189502,31.8,-9.9
189503,47.9,-0.1
189504,54.0,-1.4
189505,62.5,-0.3
189506,70.2,0.8
189507,72.1,0.3
189508,71.6,0.4
189509,68.5,2.1
189510,49.1,-6.2
189511,44.3,-1.6
189512,38.3,-2.2
189601,38.3,-0.8
189602,41.2,-0.5
189603,46.5,-1.5
189604,59.6,4.2
189605,67.3,4.5
189606,69.6,0.2
189607,72.8,1.0
189608,72.0,0.8
189609,65.1,-1.3
189610,54.9,-0.4
189611,50.5,4.6
189612,38.6,-1.9
189701,37.1,-2.0
189702,45.1,3.4
189703,57.6,9.6
189704,56.2,0.8
189705,60.5,-2.3
189706,70.5,1.1
189707,72.4,0.6
189708,71.3,0.1
189709,64.7,-1.7
189710,57.7,2.4
189711,47.0,1.1
189712,41.4,0.9
189801,44.2,5.1
189802,42.6,0.9
189803,52.6,4.6
189804,51.0,-4.4
189805,63.4,0.6
189806,70.8,1.4
189807,72.0,0.2
189808,72.1,0.9
189809,69.3,2.9
189810,53.4,-1.9
189811,42.7,-3.2
189812,36.6,-3.9
189901,38.5,-0.6
189902,33.5,-8.2
189903,49.7,1.7
189904,54.7,-0.7
189905,67.2,4.4
189906,69.6,0.2
189907,71.9,0.1
189908,72.6,1.4
189909,61.9,-4.5
189910,57.6,2.3
189911,46.0,0.1
189912,39.2,-1.3
190001,39.4,0.3
190002,38.5,-3.2
190003,47.6,-0.4
190004,56.9,1.5
190005,63.5,0.7
190006,71.2,1.8
190007,72.9,1.1
190008,72.1,0.9
190009,71.3,4.9
190010,60.8,5.5
190011,48.3,2.4
190012,40.3,-0.2
190101,41.0,1.9
190102,39.4,-2.3
190103,45.4,-2.6
190104,50.8,-4.6
190105,60.1,-2.7
190106,69.6,0.2
190107,72.9,1.1
190108,72.1,0.9
190109,65.3,-1.1
190110,53.1,-2.2
190111,41.5,-4.4
190112,36.7,-3.8
190201,35.1,-4.0
190202,36.2,-5.5
190203,50.0,2.0
190204,56.1,0.7
190205,67.1,4.3
190206,69.9,0.5
190207,72.0,0.2
190208,73.5,2.3
190209,65.7,-0.7
190210,54.8,-0.5
190211,53.0,7.1
190212,39.6,-0.9
190301,37.4,-1.7
190302,41.3,-0.4
190303,53.3,5.3
190304,54.0,-1.4
190305,61.7,-1.1
190306,65.2,-4.2
190307,70.8,-1.0
190308,71.8,0.6
190309,62.7,-3.7
190310,52.3,-3.0
190311,42.1,-3.8
190312,34.0,-6.5
190401,33.9,-5.2
190402,45.4,3.7
190403,52.1,4.1
190404,53.3,-2.1
190405,59.9,-2.9
190406,69.3,-0.1
190407,69.9,-1.9
190408,69.8,-1.4
190409,67.6,1.2
190410,55.0,-0.3
190411,42.9,-3.0
190412,38.8,-1.7
190501,34.3,-4.8
190502,32.5,-9.2
190503,51.6,3.6
190504,58.0,2.6
190505,67.8,5.0
190506,71.9,2.5
190507,71.0,-0.8
190508,73.2,2.0
190509,68.3,1.9
190510,57.0,1.7
190511,50.6,4.7
190512,35.4,-5.1
190601,39.0,-0.1
190602,37.3,-4.4
190603,45.4,-2.6
190604,56.8,1.4
190605,62.3,-0.5
190606,70.6,1.2
190607,72.0,0.2
190608,71.1,-0.1
190609,69.8,3.4
190610,52.5,-2.8
190611,47.9,2.0
190612,45.0,4.5
190701,49.0,9.9
190702,42.5,0.8
190703,57.8,9.8
190704,53.0,-2.4
190705,61.2,-1.6
190706,68.4,-1.0
190707,72.7,0.9
190708,72.5,1.3
190709,67.5,1.1
190710,56.8,1.5
190711,43.6,-2.3
190712,41.6,1.1
190801,38.8,-0.3
190802,40.7,-1.0
190803,56.0,8.0
190804,61.2,5.8
190805,64.1,1.3
190806,70.9,1.5
190807,71.9,0.1
190808,72.2,1.0
190809,67.2,0.8
190810,49.0,-6.3
190811,47.7,1.8
190812,44.4,3.9
190901,43.8,4.7
190902,41.2,-0.5
190903,49.6,1.6
190904,55.6,0.2
190905,61.7,-1.1
190906,70.4,1.0
190907,74.2,2.4
190908,73.0,1.8
190909,65.8,-0.6
190910,54.2,-1.1
190911,50.2,4.3
190912,34.6,-5.9
191001,38.3,-0.8
191002,38.2,-3.5
191003,50.6,2.6
191004,53.3,-2.1
191005,61.3,-1.5
191006,67.6,-1.8
191007,72.4,0.6
191008,72.6,1.4
191009,67.6,1.2
191010,56.2,0.9
191011,45.8,-0.1
191012,40.4,-0.1
191101,47.4,8.3
191102,50.4,8.7
191103,51.9,3.9
191104,59.0,3.6
191105,62.0,-0.8
191106,71.5,2.1
191107,71.7,-0.1
191108,71.8,0.6
191109,71.8,5.4
191110,58.3,3.0
191111,42.1,-3.8
191112,42.8,2.3
191201,33.9,-5.2
191202,34.2,-7.5
191203,45.9,-2.1
191204,58.8,3.4
191205,64.4,1.6
191206,68.7,-0.7
191207,72.8,1.0
191208,71.9,0.7
191209,68.8,2.4
191210,57.8,2.5
191211,40.9,-5.0
191212,41.2,0.7
191301,44.5,5.4
191302,39.8,-1.9
191303,47.3,-0.7
191304,53.0,-2.4
191305,61.5,-1.3
191306,68.0,-1.4
191307,72.4,0.6
191308,71.1,-0.1
191309,66.4,0.0
191310,54.6,-0.7
191311,51.2,5.3
191312,41.7,1.2
191401,40.9,1.8
191402,37.3,-4.4
191403,43.6,-4.4
191404,55.9,0.5
191405,63.5,0.7
191406,72.2,2.8
191407,73.0,1.2
191408,71.6,0.4
191409,66.2,-0.2
191410,57.0,1.7
191411,46.4,0.5
191412,38.0,-2.5
191501,36.0,-3.1
191502,42.1,0.4
191503,39.2,-8.8
191504,54.9,-0.5
191505,64.4,1.6
191506,71.0,1.6
191507,71.5,-0.3
191508,71.2,0.0
191509,67.5,1.1
191510,57.0,1.7
191511,47.8,1.9
191512,39.1,-1.4
191601,45.2,6.1
191602,40.1,-1.6
191603,47.6,-0.4
191604,53.4,-2.0
191605,64.0,1.2
191606,69.8,0.4
191607,72.6,0.8
191608,71.5,0.3
191609,64.1,-2.3
191610,53.0,-2.3
191611,42.4,-3.5
191612,40.3,-0.2
191701,43.4,4.3
191702,42.0,0.3
191703,49.4,1.4
191704,53.6,-1.8
191705,57.8,-5.0
191706,67.4,-2.0
191707,72.0,0.2
191708,70.5,-0.7
191709,63.9,-2.5
191710,47.3,-8.0
191711,38.4,-7.5
191712,35.9,-4.6
191801,29.2,-9.9
191802,46.5,4.8
191803,53.7,5.7
191804,55.1,-0.3
191805,64.0,1.2
191806,71.6,2.2
191807,69.7,-2.1
191808,71.0,-0.2
191809,60.5,-5.9
191810,61.4,6.1
191811,44.7,-1.2
191812,43.2,2.7
191901,36.9,-2.2
191902,42.4,0.7
191903,48.1,0.1
191904,53.9,-1.5
191905,61.4,-1.4
191906,69.2,-0.2
191907,71.7,-0.1
191908,72.5,1.3
191909,67.2,0.8
191910,66.4,11.1
191911,50.1,4.2
191912,40.6,0.1
192001,42.4,3.3
192002,43.1,1.4
192003,47.1,-0.9
192004,55.5,0.1
192005,66.2,3.4
192006,67.7,-1.7
192007,71.9,0.1
192008,70.2,-1.0
192009,69.0,2.6
192010,55.3,0.0
192011,40.9,-5.0
192012,39.4,-1.1
192101,45.0,5.9
192102,44.4,2.7
192103,57.3,9.3
192104,54.0,-1.4
192105,60.8,-2.0
192106,70.1,0.7
192107,71.8,0.0
192108,72.0,0.8
192109,70.7,4.3
192110,52.3,-3.0
192111,50.2,4.3
192112,44.6,4.1
192201,40.9,1.8
192202,47.7,6.0
192203,47.8,-0.2
192204,59.7,4.3
192205,65.0,2.2
192206,70.1,0.7
192207,71.3,-0.5
192208,70.5,-0.7
192209,67.0,0.6
192210,53.8,-1.5
192211,50.0,4.1
192212,48.1,7.6
192301,44.9,5.8
192302,42.4,0.7
192303,46.4,-1.6
192304,57.3,1.9
192305,61.7,-1.1
192306,69.5,0.1
192307,70.5,-1.3
192308,71.1,-0.1
192309,66.6,0.2
192310,54.2,-1.1
192311,43.1,-2.8
192312,49.2,8.7
192401,33.6,-5.5
192402,40.6,-1.1
192403,44.0,-4.0
192404,56.1,0.7
192405,59.7,-3.1
192406,71.6,2.2
192407,70.0,-1.8
192408,71.6,0.4
192409,63.8,-2.6
192410,53.5,-1.8
192411,47.1,1.2
192412,41.1,0.6
192501,38.4,-0.7
192502,45.2,3.5
192503,49.4,1.4
192504,58.2,2.8
192505,59.0,-3.8
192506,70.8,1.4
192507,72.5,0.7
192508,70.0,-1.2
192509,70.4,4.0
192510,58.2,2.9
192511,45.8,-0.1
192512,36.4,-4.1
192601,38.1,-1.0
192602,43.5,1.8
192603,44.9,-3.1
192604,52.5,-2.9
192605,60.7,-2.1
192606,68.3,-1.1
192607,70.6,-1.2
192608,72.3,1.1
192609,69.9,3.5
192610,60.3,5.0
192611,41.7,-4.2
192612,44.6,4.1
192701,44.0,4.9
192702,50.9,9.2
192703,49.2,1.2
192704,60.6,5.2
192705,66.6,3.8
192706,70.9,1.5
192707,71.6,-0.2
192708,70.0,-1.2
192709,66.6,0.2
192710,56.2,0.9
192711,52.8,6.9
192712,38.8,-1.7
192801,38.2,-0.9
192802,41.4,-0.3
192803,50.1,2.1
192804,51.3,-4.1
192805,60.5,-2.3
192806,69.8,0.4
192807,72.0,0.2
192808,72.3,1.1
192809,64.5,-1.9
192810,58.8,3.5
192811,44.4,-1.5
192812,37.8,-2.7
192901,40.8,1.7
192902,37.8,-3.9
192903,51.6,3.6
192904,60.0,4.6
192905,63.5,0.7
192906,68.6,-0.8
192907,71.5,-0.3
192908,70.0,-1.2
192909,65.8,-0.6
192910,55.2,-0.1
192911,44.4,-1.5
192912,38.5,-2.0
193001,37.0,-2.1
193002,46.9,5.2
193003,45.6,-2.4
193004,56.0,0.6
193005,64.6,1.8
193006,66.1,-3.3
193007,71.4,-0.4
193008,69.9,-1.3
193009,67.7,1.3
193010,54.9,-0.4
193011,46.4,0.5
193012,37.2,-3.3
193101,37.4,-1.7
193102,43.4,1.7
193103,41.6,-6.4
193104,51.2,-4.2
193105,57.7,-5.1
193106,67.4,-2.0
193107,72.5,0.7
193108,68.5,-2.7
193109,68.3,1.9
193110,59.9,4.6
193111,52.1,6.2
193112,47.5,7.0
193201,45.6,6.5
193202,51.4,9.7
193203,44.2,-3.8
193204,55.4,0.0
193205,61.9,-0.9
193206,70.4,1.0
193207,73.4,1.6
193208,71.9,0.7
193209,66.4,0.0
193210,52.3,-3.0
193211,39.9,-6.0
193212,41.2,0.7
193301,45.7,6.6
193302,43.2,1.5
193303,49.4,1.4
193304,55.5,0.1
193305,67.4,4.6
193306,66.1,-3.3
193307,72.7,0.9
193308,71.5,0.3
193309,69.9,3.5
193310,57.3,2.0
193311,47.0,1.1
193312,48.6,8.1
193401,42.8,3.7
193402,39.6,-2.1
193403,45.1,-2.9
193404,56.3,0.9
193405,62.2,-0.6
193406,70.7,1.3
193407,72.0,0.2
193408,72.6,1.4
193409,64.4,-2.0
193410,59.1,3.8
193411,47.9,2.0
193412,40.2,-0.3
193501,40.9,1.8
193502,41.9,0.2
193503,54.4,6.4
193504,57.1,1.7
193505,63.8,1.0
193506,69.0,-0.4
193507,72.0,0.2
193508,71.9,0.7
193509,65.4,-1.0
193510,57.4,2.1
193511,45.8,-0.1
193512,35.6,-4.9
193601,36.8,-2.3
193602,37.8,-3.9
193603,50.1,2.1
193604,51.9,-3.5
193605,63.2,0.4
193606,69.1,-0.3
193607,71.8,0.0
193608,71.5,0.3
193609,69.6,3.2
193610,54.3,-1.0
193611,41.8,-4.1
193612,41.5,1.0
193701,48.4,9.3
193702,42.4,0.7
193703,43.5,-4.5
193704,53.7,-1.7
193705,62.1,-0.7
193706,69.9,0.5
193707,71.2,-0.6
193708,71.6,0.4
193709,65.1,-1.3
193710,54.7,-0.6
193711,42.5,-3.4
193712,41.9,1.4
193801,41.0,1.9
193802,47.4,5.7
193803,55.6,7.6
193804,54.9,-0.5
193805,63.2,0.4
193806,68.6,-0.8
193807,71.4,-0.4
193808,71.4,0.2
193809,64.5,-1.9
193810,55.0,-0.3
193811,42.8,-3.1
193812,39.2,-1.3
193901,42.3,3.2
193902,43.7,2.0
193903,49.6,1.6
193904,53.7,-1.7
193905,61.8,-1.0
193906,70.6,1.2
193907,72.0,0.2
193908,70.7,-0.5
193909,67.7,1.3
193910,55.7,0.4
193911,42.8,-3.1
193912,41.8,1.3
194001,26.5,-12.6
194002,39.6,-2.1
194003,47.1,-0.9
194004,54.6,-0.8
194005,59.5,-3.3
194006,68.8,-0.6
194007,71.5,-0.3
194008,70.2,-1.0
194009,62.5,-3.9
194010,53.9,-1.4
194011,46.8,0.9
194012,45.0,4.5
194101,40.7,1.6
194102,38.6,-3.1
194103,43.3,-4.7
194104,57.3,1.9
194105,62.8,0.0
194106,70.2,0.8
194107,72.1,0.3
194108,72.2,1.0
194109,69.6,3.2
194110,64.2,8.9
194111,42.0,-3.9
194112,42.4,1.9
194201,33.6,-5.5
194202,38.8,-2.9
194203,45.6,-2.4
194204,55.6,0.2
194205,62.2,-0.6
194206,70.5,1.1
194207,71.5,-0.3
194208,71.4,0.2
194209,64.0,-2.4
194210,54.7,-0.6
194211,47.8,1.9
194212,40.8,0.3
194301,38.7,-0.4
194302,41.9,0.2
194303,45.5,-2.5
194304,55.4,0.0
194305,65.5,2.7
194306,71.4,2.0
194307,72.0,0.2
194308,71.8,0.6
194309,64.7,-1.7
194310,51.7,-3.6
194311,40.1,-5.8
194312,40.2,-0.3
194401,38.6,-0.5
194402,49.7,8.0
194403,48.9,0.9
194404,55.9,0.5
194405,62.7,-0.1
194406,70.6,1.2
194407,71.3,-0.5
194408,71.7,0.5
194409,67.4,1.0
194410,51.1,-4.2
194411,47.4,1.5
194412,37.3,-3.2
194501,38.1,-1.0
194502,45.5,3.8
194503,55.2,7.2
194504,57.6,2.2
194505,60.0,-2.8
194506,70.1,0.7
194507,71.8,0.0
194508,71.3,0.1
194509,67.8,1.4
194510,54.0,-1.3
194511,48.8,2.9
194512,36.4,-4.1
194601,40.0,0.9
194602,41.9,0.2
194603,50.6,2.6
194604,58.0,2.6
194605,63.3,0.5
194606,68.4,-1.0
194607,72.0,0.2
194608,70.9,-0.3
194609,66.6,0.2
194610,56.6,1.3
194611,51.8,5.9
194612,43.7,3.2
194701,42.0,2.9
194702,32.9,-8.8
194703,41.6,-6.4
194704,58.6,3.2
194705,62.6,-0.2
194706,70.2,0.8
194707,68.7,-3.1
194708,71.8,0.6
194709,67.0,0.6
194710,59.6,4.3
194711,45.3,-0.6
194712,40.7,0.2
194801,30.8,-8.3
194802,42.5,0.8
194803,49.7,1.7
194804,58.1,2.7
194805,63.1,0.3
194806,69.5,0.1
194807,72.6,0.8
194808,70.9,-0.3
194809,64.1,-2.3
194810,51.1,-4.2
194811,46.9,1.0
194812,43.5,3.0
194901,43.6,4.5
194902,46.6,4.9
194903,47.0,-1.0
194904,54.7,-0.7
194905,64.4,1.6
194906,70.6,1.2
194907,72.7,0.9
194908,69.8,-1.4
194909,65.4,-1.0
194910,61.9,6.6
194911,42.9,-3.0
194912,43.2,2.7
195001,52.4,13.3
195002,46.8,5.1
195003,45.3,-2.7
195004,52.4,-3.0
195005,65.4,2.6
195006,69.7,0.3
195007,70.5,-1.3
195008,69.8,-1.4
195009,65.9,-0.5
195010,56.4,1.1
195011,41.4,-4.5
195012,37.3,-3.2
195101,38.8,-0.3
195102,41.9,0.2
195103,48.7,0.7
195104,52.2,-3.2
195105,61.3,-1.5
195106,69.9,0.5
195107,72.0,0.2
195108,72.5,1.3
195109,67.0,0.6
195110,56.4,1.1
195111,41.4,-4.5
195112,43.4,2.9
195201,48.2,9.1
195202,45.9,4.2
195203,45.2,-2.8
195204,51.3,-4.1
195205,61.4,-1.4
195206,70.4,1.0
195207,71.7,-0.1
195208,71.7,0.5
195209,62.9,-3.5
195210,43.3,-12.0
195211,43.3,-2.6
195212,39.5,-1.0
195301,41.4,2.3
195302,42.3,0.6
195303,53.9,5.9
195304,53.6,-1.8
195305,65.8,3.0
195306,72.1,2.7
195307,71.6,-0.2
195308,70.8,-0.4
195309,63.3,-3.1
195310,54.2,-1.1
195311,43.2,-2.7
195312,38.1,-2.4
195401,41.1,2.0
195402,43.6,1.9
195403,46.2,-1.8
195404,59.1,3.7
195405,58.6,-4.2
195406,69.5,0.1
195407,72.5,0.7
195408,71.4,0.2
195409,65.7,-0.7
195410,57.3,2.0
195411,42.5,-3.4
195412,38.7,-1.8
195501,39.1,0.0
195502,42.1,0.4
195503,50.5,2.5
195504,58.3,2.9
195505,64.4,1.6
195506,64.8,-4.6
195507,71.5,-0.3
195508,71.1,-0.1
195509,68.4,2.0
195510,52.6,-2.7
195511,44.9,-1.0
195512,41.6,1.1
195601,36.6,-2.5
195602,46.6,4.9
195603,46.8,-1.2
195604,54.1,-1.3
