Maine, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,0.9,-1.9
189502,-0.1,-3.9
189503,10.1,-5.5
189504,26.8,-1.4
189505,40.5,1.9
189506,50.4,2.2
189507,51.2,-2.8
189508,50.7,-1.1
189509,42.1,-1.8
189510,28.2,-6.1
189511,23.2,-1.2
189512,11.0,1.2
189601,0.3,-2.5
189602,2.9,-0.9
189603,9.8,-5.8
189604,26.6,-1.6
189605,36.8,-1.8
189606,46.2,-2.0
189607,53.4,-0.6
189608,50.7,-1.1
189609,42.6,-1.3
189610,32.8,-1.5
189611,23.2,-1.2
189612,5.9,-3.9
189701,2.1,-0.7
189702,4.3,0.5
189703,13.3,-2.3
189704,27.9,-0.3
189705,39.5,0.9
189706,44.8,-3.4
189707,54.5,0.5
189708,50.4,-1.4
189709,41.0,-2.9
189710,31.5,-2.8
189711,22.3,-2.1
189712,10.0,0.2
189801,-2.0,-4.8
189802,9.1,5.3
189803,18.4,2.8
189804,26.5,-1.7
189805,39.5,0.9
189806,48.8,0.6
189807,53.8,-0.2
189808,53.8,2.0
189809,44.3,0.4
189810,34.3,0.0
189811,25.1,0.7
189812,7.0,-2.8
189901,-0.1,-2.9
189902,1.7,-2.1
189903,12.3,-3.3
189904,26.5,-1.7
189905,36.9,-1.7
189906,47.5,-0.7
189907,53.6,-0.4
189908,50.6,-1.2
189909,42.1,-1.8
189910,35.0,0.7
189911,22.2,-2.2
189912,14.4,4.6
190001,1.5,-1.3
190002,4.4,0.6
190003,9.8,-5.8
190004,28.4,0.2
190005,34.2,-4.4
190006,48.3,0.1
190007,53.7,-0.3
190008,52.5,0.7
190009,44.6,0.7
190010,38.0,3.7
190011,24.3,-0.1
190012,6.0,-3.8
190101,1.4,-1.4
190102,0.8,-3.0
190103,13.5,-2.1
190104,31.4,3.2
190105,40.0,1.4
190106,48.9,0.7
190107,54.3,0.3
190108,52.8,1.0
190109,44.6,0.7
190110,33.3,-1.0
190111,18.2,-6.2
190112,9.9,0.1
190201,1.4,-1.4
190202,6.1,2.3
190203,22.7,7.1
190204,29.7,1.5
190205,36.7,-1.9
190206,43.9,-4.3
190207,49.9,-4.1
190208,49.3,-2.5
