Massachusetts, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,13.0,-2.0
189502,7.2,-8.2
189503,22.3,-2.3
189504,33.0,-1.0
189505,45.3,1.3
189506,55.7,2.7
189507,55.8,-2.9
189508,56.5,-0.2
189509,50.2,0.8
189510,33.7,-5.4
189511,31.1,0.8
189512,21.4,1.8
189601,12.2,-2.8
189602,16.0,0.6
189603,19.2,-5.4
189604,34.4,0.4
189605,47.0,3.0
189606,52.0,-1.0
189607,60.1,1.4
189608,57.6,0.9
189609,49.1,-0.3
189610,37.8,-1.3
189611,32.7,2.4
189612,16.2,-3.4
189701,14.9,-0.1
189702,16.5,1.1
189703,23.8,-0.8
189704,34.0,0.0
189705,45.2,1.2
189706,49.8,-3.2
189707,60.9,2.2
189708,55.6,-1.1
189709,47.6,-1.8
189710,37.6,-1.5
189711,28.4,-1.9
189712,21.7,2.1
189801,14.5,-0.5
189802,17.7,2.3
189803,29.0,4.4
189804,32.1,-1.9
189805,44.6,0.6
189806,54.0,1.0
189807,59.2,0.5
189808,59.4,2.7
189809,51.1,1.7
189810,41.4,2.3
189811,29.0,-1.3
189812,18.3,-1.3
189901,13.8,-1.2
189902,13.2,-2.2
189903,22.6,-2.0
189904,32.4,-1.6
189905,43.8,-0.2
189906,54.8,1.8
189907,58.5,-0.2
189908,55.7,-1.0
189909,48.1,-1.3
189910,41.4,2.3
189911,28.4,-1.9
189912,22.3,2.7
190001,14.6,-0.4
190002,14.8,-0.6
190003,18.7,-5.9
190004,33.6,-0.4
190005,40.6,-3.4
190006,53.2,0.2
190007,58.9,0.2
190008,57.8,1.1
190009,51.2,1.8
190010,44.6,5.5
190011,31.6,1.3
190012,18.8,-0.8
190101,14.5,-0.5
190102,9.7,-5.7
190103,23.8,-0.8
190104,35.5,1.5
190105,43.8,-0.2
190106,53.1,0.1
190107,60.9,2.2
190108,58.2,1.5
190109,50.4,1.0
190110,37.9,-1.2
190111,24.4,-5.9
190112,17.8,-1.8
190201,12.8,-2.2
190202,15.2,-0.2
190203,30.4,5.8
190204,35.0,1.0
190205,43.2,-0.8
190206,50.2,-2.8
190207,56.1,-2.6
190208,53.3,-3.4
190209,49.9,0.5
190210,39.4,0.3
190211,31.7,1.4
190212,14.2,-5.4
190301,15.5,0.5
190302,17.5,2.1
190303,31.3,6.7
190304,34.0,0.0
190305,43.9,-0.1
190306,49.1,-3.9
190307,57.4,-1.3
190308,51.5,-5.2
190309,48.8,-0.6
190310,40.3,1.2
190311,25.1,-5.2
190312,13.5,-6.1
190401,6.0,-9.0
190402,7.0,-8.4
190403,21.4,-3.2
190404,31.6,-2.4
190405,46.9,2.9
