Arizona, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,31.8,3.4
189502,31.0,-0.8
189503,35.4,-0.5
189504,42.6,0.9
189505,50.9,1.6
189506,55.9,-2.1
189507,65.6,0.0
189508,65.5,1.2
189509,58.2,0.6
189510,48.6,2.3
189511,35.3,-0.1
189512,25.8,-3.2
189601,32.5,4.1
189602,32.5,0.7
189603,38.0,2.1
189604,40.9,-0.8
189605,51.3,2.0
189606,61.9,3.9
189607,67.2,1.6
189608,66.0,1.7
189609,60.7,3.1
189610,50.1,3.8
189611,36.8,1.4
189612,30.7,1.7
189701,32.4,4.0
189702,30.5,-1.3
189703,33.0,-2.9
189704,41.9,0.2
189705,52.1,2.8
189706,56.7,-1.3
189707,65.4,-0.2
189708,66.5,2.2
189709,60.9,3.3
189710,46.8,0.5
189711,35.7,0.3
189712,25.2,-3.8
189801,24.3,-4.1
189802,33.0,1.2
189803,33.8,-2.1
189804,47.2,5.5
189805,49.3,0.0
189806,60.3,2.3
189807,68.7,3.1
189808,68.1,3.8
189809,58.5,0.9
189810,44.8,-1.5
189811,33.5,-1.9
189812,24.2,-4.8
189901,25.9,-2.5
189902,30.4,-1.4
189903,35.7,-0.2
189904,42.9,1.2
189905,44.8,-4.5
189906,59.4,1.4
189907,67.8,2.2
189908,62.6,-1.7
189909,59.6,2.0
189910,45.9,-0.4
189911,37.4,2.0
189912,29.7,0.7
190001,32.2,3.8
190002,31.7,-0.1
190003,40.5,4.6
190004,41.1,-0.6
190005,52.3,3.0
190006,59.7,1.7
190007,66.9,1.3
190008,60.0,-4.3
190009,54.4,-3.2
190010,47.3,1.0
190011,38.0,2.6
190012,28.1,-0.9
190101,29.3,0.9
190102,34.5,2.7
190103,34.6,-1.3
190104,39.8,-1.9
190105,50.5,1.2
190106,56.5,-1.5
190107,68.6,3.0
190108,67.1,2.8
190109,55.5,-2.1
190110,47.5,1.2
190111,39.2,3.8
190112,27.8,-1.2
190201,28.4,0.0
190202,31.2,-0.6
190203,32.9,-3.0
190204,43.2,1.5
190205,50.1,0.8
190206,59.4,1.4
190207,62.5,-3.1
190208,64.9,0.6
190209,57.7,0.1
