Michigan, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.2,-6.1
189502,1.6,-8.3
189503,11.4,-7.8
189504,31.9,1.0
189505,41.6,0.3
189506,51.5,0.5
189507,51.5,-4.4
189508,53.1,-1.1
189509,49.2,1.8
189510,29.6,-7.7
189511,21.9,-5.2
189512,15.9,-0.4
189601,12.2,1.9
189602,10.6,0.7
189603,13.2,-6.0
189604,35.5,4.6
189605,48.2,6.9
189606,51.4,0.4
189607,55.2,-0.7
189608,54.1,-0.1
189609,43.9,-3.5
189610,31.5,-5.8
189611,24.4,-2.7
189612,17.4,1.1
189701,10.1,-0.2
189702,12.8,2.9
189703,16.8,-2.4
189704,30.0,-0.9
189705,39.0,-2.3
189706,47.8,-3.2
189707,58.6,2.7
189708,50.7,-3.5
189709,48.0,0.6
189710,38.7,1.4
189711,24.2,-2.9
189712,13.5,-2.8
189801,13.2,2.9
189802,10.8,0.9
189803,22.1,2.9
189804,29.0,-1.9
189805,41.4,0.1
189806,51.2,0.2
189807,54.6,-1.3
189808,53.8,-0.4
189809,49.4,2.0
189810,37.9,0.6
189811,24.0,-3.1
189812,12.8,-3.5
189901,7.1,-3.2
189902,-0.2,-10.1
189903,11.2,-8.0
189904,32.4,1.5
189905,42.6,1.3
189906,51.7,0.7
189907,54.9,-1.0
189908,54.1,-0.1
189909,43.7,-3.7
189910,38.6,1.3
189911,30.3,3.2
189912,16.1,-0.2
190001,14.3,4.0
190002,3.0,-6.9
190003,11.0,-8.2
190004,32.6,1.7
190005,42.4,1.1
190006,49.6,-1.4
190007,54.4,-1.5
190008,58.7,4.5
190009,50.0,2.6
190010,43.3,6.0
190011,25.1,-2.0
190012,17.2,0.9
190101,10.1,-0.2
190102,2.6,-7.3
190103,16.6,-2.6
190104,31.5,0.6
190105,41.3,0.0
190106,52.1,1.1
190107,59.4,3.5
190108,54.2,0.0
190109,47.2,-0.2
190110,36.3,-1.0
190111,23.8,-3.3
190112,12.6,-3.7
190201,10.7,0.4
190202,7.6,-2.3
190203,24.5,5.3
190204,31.0,0.1
190205,41.8,0.5
190206,47.7,-3.3
190207,56.8,0.9
190208,50.5,-3.7
190209,46.2,-1.2
190210,35.6,-1.7
190211,32.1,5.0
190212,14.9,-1.4
190301,10.2,-0.1
190302,9.1,-0.8
