Minnesota, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-11.2,-7.7
189502,-6.6,-7.7
189503,10.6,-4.4
189504,34.5,4.5
189505,42.1,0.3
189506,51.0,-0.9
189507,53.3,-3.6
189508,51.7,-2.7
189509,46.0,0.7
189510,27.0,-7.3
189511,15.6,-3.9
189512,4.5,0.3
189601,-2.1,1.4
189602,3.0,1.9
189603,6.4,-8.6
189604,31.5,1.5
189605,47.7,5.9
189606,52.5,0.6
189607,54.8,-2.1
189608,51.8,-2.6
189609,41.0,-4.3
189610,29.2,-5.1
189611,6.6,-12.9
189612,7.7,3.5
189701,-7.3,-3.8
189702,1.1,0.0
189703,7.2,-7.8
189704,30.6,0.6
189705,39.4,-2.4
189706,48.9,-3.0
189707,59.4,2.5
189708,50.8,-3.6
189709,49.7,4.4
189710,36.5,2.2
189711,13.2,-6.3
189712,-1.2,-5.4
189801,3.4,6.9
189802,0.8,-0.3
189803,15.9,0.9
189804,28.3,-1.7
189805,41.1,-0.7
189806,52.2,0.3
189807,55.2,-1.7
189808,52.1,-2.3
189809,45.1,-0.2
189810,31.3,-3.0
189811,14.0,-5.5
189812,-2.7,-6.9
189901,-6.2,-2.7
189902,-10.0,-11.1
189903,-0.9,-15.9
189904,28.8,-1.2
189905,41.3,-0.5
189906,52.2,0.3
189907,55.8,-1.1
189908,55.5,1.1
189909,41.7,-3.6
189910,35.2,0.9
189911,27.3,7.8
189912,5.2,1.0
190001,4.3,7.8
190002,-9.4,-10.5
190003,10.1,-4.9
190004,34.4,4.4
190005,42.4,0.6
190006,50.9,-1.0
190007,54.2,-2.7
190008,60.2,5.8
190009,46.0,0.7
190010,42.2,7.9
190011,14.6,-4.9
190012,7.1,2.9
190101,-2.5,1.0
190102,-4.4,-5.5
190103,14.5,-0.5
190104,32.6,2.6
190105,43.2,1.4
190106,52.2,0.3
190107,61.0,4.1
190108,54.5,0.1
190109,43.5,-1.8
190110,34.5,0.2
190111,15.6,-3.9
190112,1.2,-3.0
190201,1.6,5.1
190202,1.6,0.5
190203,20.4,5.4
190204,27.8,-2.2
190205,45.1,3.3
190206,47.9,-4.0
190207,56.4,-0.5
190208,52.0,-2.4
190209,41.3,-4.0
190210,32.9,-1.4
190211,23.5,4.0
190212,0.3,-3.9
190301,-2.7,0.8
