Missouri, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,13.4,-6.2
189502,12.2,-10.9
189503,30.2,-2.1
189504,45.3,2.4
189505,52.7,0.0
189506,61.8,0.0
189507,64.5,-1.6
189508,64.1,-0.1
189509,59.6,3.3
189510,36.9,-7.7
189511,30.4,-2.4
189512,24.7,1.1
189601,22.9,3.3
189602,25.0,1.9
189603,27.9,-4.4
189604,50.0,7.1
189605,58.4,5.7
189606,61.8,0.0
189607,66.4,0.3
189608,64.7,0.5
189609,53.5,-2.8
189610,41.1,-3.5
189611,30.7,-2.1
189612,27.8,4.2
189701,18.7,-0.9
189702,26.0,2.9
189703,33.9,1.6
189704,43.2,0.3
189705,49.5,-3.2
189706,62.4,0.6
189707,67.3,1.2
189708,61.4,-2.8
189709,58.2,1.9
189710,47.6,3.0
189711,30.4,-2.4
189712,20.0,-3.6
189801,25.3,5.7
189802,24.2,1.1
189803,33.2,0.9
189804,40.9,-2.0
189805,54.4,1.7
189806,64.9,3.1
189807,65.6,-0.5
189808,64.6,0.4
189809,60.0,3.7
189810,43.0,-1.6
189811,28.4,-4.4
189812,18.3,-5.3
189901,19.7,0.1
189902,9.0,-14.1
189903,25.8,-6.5
189904,42.5,-0.4
189905,55.9,3.2
189906,63.1,1.3
189907,64.1,-2.0
189908,66.6,2.4
189909,53.1,-3.2
189910,48.1,3.5
189911,37.8,5.0
189912,19.7,-3.9
190001,23.7,4.1
190002,15.1,-8.0
190003,28.4,-3.9
190004,44.0,1.1
190005,54.0,1.3
190006,62.0,0.2
190007,65.7,-0.4
190008,67.5,3.3
190009,60.1,3.8
190010,49.6,5.0
190011,31.8,-1.0
190012,25.2,1.6
190101,23.4,3.8
190102,18.0,-5.1
190103,31.7,-0.6
190104,40.9,-2.0
190105,50.5,-2.2
190106,63.6,1.8
190107,70.1,4.0
190108,64.1,-0.1
190109,55.0,-1.3
190110,45.7,1.1
190111,29.9,-2.9
190112,18.5,-5.1
190201,19.4,-0.2
190202,13.4,-9.7
190203,34.6,2.3
190204,40.9,-2.0
190205,58.1,5.4
190206,60.6,-1.2
190207,66.1,0.0
190208,63.9,-0.3
190209,51.0,-5.3
190210,46.0,1.4
190211,40.3,7.5
190212,22.5,-1.1
190301,21.6,2.0
190302,19.6,-3.5
190303,35.3,3.0
190304,43.0,0.1
190305,55.1,2.4
190306,56.0,-5.8
190307,66.2,0.1
190308,63.3,-0.9
190309,53.2,-3.1
190310,44.3,-0.3
190311,29.7,-3.1
190312,18.8,-4.8
190401,16.1,-3.5
190402,19.9,-3.2
190403,32.6,0.3
190404,37.1,-5.8
190405,52.0,-0.7
190406,60.4,-1.4
190407,63.2,-2.9
190408,61.7,-2.5
190409,57.7,1.4
190410,43.7,-0.9
190411,31.6,-1.2
190412,22.3,-1.3
190501,12.1,-7.5
190502,10.1,-13.0
190503,37.6,5.3
190504,42.1,-0.8
190505,54.0,1.3
190506,63.5,1.7
190507,63.5,-2.6
190508,64.5,0.3
190509,58.4,2.1
190510,43.1,-1.5
190511,32.5,-0.3
190512,22.3,-1.3
190601,23.3,3.7
190602,20.6,-2.5
190603,24.9,-7.4
190604,45.5,2.6
190605,53.1,0.4
190606,60.4,-1.4
190607,62.1,-4.0
190608,64.4,0.2
190609,60.3,4.0
190610,42.4,-2.2
190611,30.1,-2.7
190612,27.0,3.4
190701,25.2,5.6
190702,22.6,-0.5
190703,41.1,8.8
190704,36.2,-6.7
190705,47.4,-5.3
190706,59.1,-2.7
190707,66.4,0.3
190708,65.4,1.2
190709,55.4,-0.9
190710,42.7,-1.9
190711,30.0,-2.8
190712,27.1,3.5
190801,21.6,2.0
190802,23.7,0.6
190803,36.4,4.1
190804,43.6,0.7
190805,54.5,1.8
190806,61.3,-0.5
190807,64.2,-1.9
190808,63.7,-0.5
190809,56.7,0.4
190810,41.8,-2.8
190811,33.6,0.8
190812,25.6,2.0
190901,22.2,2.6
190902,25.3,2.2
190903,31.7,-0.6
190904,40.6,-2.3
190905,50.7,-2.0
190906,62.5,0.7
190907,65.7,-0.4
190908,65.7,1.5
190909,55.4,-0.9
190910,42.3,-2.3
190911,40.9,8.1
190912,15.0,-8.6
191001,21.5,1.9
191002,16.9,-6.2
191003,40.8,8.5
191004,42.2,-0.7
191005,49.4,-3.3
191006,58.5,-3.3
191007,65.8,-0.3
191008,63.4,-0.8
191009,58.0,1.7
191010,45.3,0.7
191011,28.8,-4.0
191012,20.1,-3.5
191101,23.6,4.0
191102,27.0,3.9
191103,32.8,0.5
191104,41.7,-1.2
191105,55.3,2.6
191106,65.0,3.2
191107,65.3,-0.8
191108,64.0,-0.2
191109,62.2,5.9
191110,46.1,1.5
191111,26.7,-6.1
191112,26.6,3.0
191201,8.5,-11.1
191202,17.4,-5.7
191203,24.7,-7.6
191204,43.9,1.0
191205,55.2,2.5
191206,57.6,-4.2
191207,67.0,0.9
191208,64.3,0.1
191209,55.9,-0.4
191210,44.1,-0.5
191211,32.1,-0.7
191212,23.8,0.2
191301,20.8,1.2
191302,18.4,-4.7
191303,28.0,-4.3
191304,42.9,0.0
191305,53.4,0.7
191306,61.4,-0.4
191307,67.5,1.4
191308,67.2,3.0
191309,57.2,0.9
191310,42.6,-2.0
191311,40.4,7.6
191312,29.9,6.3
191401,26.2,6.6
191402,16.3,-6.8
191403,30.9,-1.4
191404,42.8,-0.1
191405,53.4,0.7
191406,66.3,4.5
191407,67.9,1.8
191408,65.1,0.9
191409,57.8,1.5
191410,47.7,3.1
191411,34.4,1.6
191412,17.7,-5.9
191501,17.9,-1.7
191502,29.8,6.7
191503,26.6,-5.7
191504,48.2,5.3
191505,51.7,-1.0
191506,59.6,-2.2
191507,63.8,-2.3
191508,59.4,-4.8
191509,59.0,2.7
191510,44.8,0.2
191511,36.1,3.3
191512,24.4,0.8
191601,19.8,0.2
191602,20.4,-2.7
191603,31.8,-0.5
191604,42.1,-0.8
191605,53.8,1.1
191606,58.8,-3.0
191607,67.6,1.5
191608,66.3,2.1
191609,54.3,-2.0
191610,43.8,-0.8
191611,33.4,0.6
191612,19.2,-4.4
191701,20.9,1.3
191702,16.6,-6.5
191703,32.0,-0.3
191704,40.9,-2.0
191705,46.9,-5.8
191706,58.8,-3.0
191707,65.0,-1.1
191708,61.0,-3.2
191709,54.4,-1.9
191710,35.8,-8.8
191711,32.7,-0.1
191712,13.7,-9.9
191801,4.9,-14.7
191802,20.9,-2.2
191803,35.6,3.3
191804,39.4,-3.5
191805,56.6,3.9
191806,64.3,2.5
191807,63.4,-2.7
191808,68.4,4.2
191809,49.2,-7.1
191810,48.8,4.2
191811,34.0,1.2
191812,29.9,6.3
191901,22.1,2.5
191902,23.6,0.5
191903,33.4,1.1
191904,42.8,-0.1
191905,51.2,-1.5
191906,64.1,2.3
191907,66.3,0.2
191908,63.1,-1.1
191909,57.3,1.0
191910,47.0,2.4
191911,30.6,-2.2
191912,18.3,-5.3
192001,18.0,-1.6
192002,24.2,1.1
192003,32.3,0.0
192004,38.7,-4.2
192005,53.3,0.6
192006,60.3,-1.5
192007,63.9,-2.2
192008,61.1,-3.1
192009,58.2,1.9
192010,48.5,3.9
192011,30.2,-2.6
192012,25.6,2.0
192101,27.1,7.5
192102,29.0,5.9
192103,39.3,7.0
192104,43.5,0.6
192105,53.9,1.2
192106,65.5,3.7
192107,67.9,1.8
192108,65.5,1.3
192109,62.4,6.1
192110,43.0,-1.6
192111,32.4,-0.4
192112,26.1,2.5
192201,17.8,-1.8
192202,23.6,0.5
192203,33.7,1.4
192204,44.6,1.7
192205,55.2,2.5
192206,63.2,1.4
192207,64.8,-1.3
192208,64.1,-0.1
192209,57.3,1.0
192210,44.7,0.1
192211,35.5,2.7
192212,23.8,0.2
192301,27.9,8.3
192302,19.5,-3.6
192303,27.5,-4.8
192304,41.3,-1.6
192305,51.3,-1.4
192306,63.3,1.5
192307,66.2,0.1
192308,65.0,0.8
192309,57.5,1.2
192310,41.3,-3.3
192311,33.6,0.8
192312,30.7,7.1
192401,13.4,-6.2
192402,23.2,0.1
192403,28.7,-3.6
192404,43.3,0.4
192405,46.6,-6.1
192406,62.2,0.4
192407,61.8,-4.3
192408,65.5,1.3
192409,51.5,-4.8
192410,46.4,1.8
192411,33.2,0.4
192412,16.7,-6.9
192501,18.6,-1.0
192502,26.7,3.6
192503,33.4,1.1
192504,48.8,5.9
192505,48.3,-4.4
192506,64.6,2.8
192507,65.8,-0.3
192508,62.4,-1.8
192509,62.6,6.3
192510,38.9,-5.7
192511,29.7,-3.1
192512,21.1,-2.5
192601,21.8,2.2
192602,28.3,5.2
192603,28.3,-4.0
192604,36.8,-6.1
192605,53.3,0.6
192606,58.3,-3.5
192607,65.1,-1.0
192608,65.5,1.3
192609,59.3,3.0
192610,46.3,1.7
192611,28.1,-4.7
192612,22.6,-1.0
192701,20.4,0.8
192702,29.4,6.3
192703,34.5,2.2
192704,47.3,4.4
192705,53.6,0.9
192706,59.7,-2.1
192707,63.6,-2.5
192708,59.6,-4.6
192709,58.6,2.3
192710,46.0,1.4
192711,35.2,2.4
192712,18.2,-5.4
192801,21.8,2.2
192802,25.8,2.7
192803,32.8,0.5
192804,38.9,-4.0
192805,52.3,-0.4
192806,57.7,-4.1
192807,66.4,0.3
192808,65.4,1.2
192809,51.0,-5.3
192810,48.1,3.5
192811,33.5,0.7
192812,25.5,1.9
192901,13.2,-6.4
192902,14.0,-9.1
192903,36.1,3.8
192904,45.7,2.8
192905,50.6,-2.1
192906,60.0,-1.8
192907,66.7,0.6
192908,62.8,-1.4
192909,55.6,-0.7
192910,45.0,0.4
192911,28.2,-4.6
192912,24.4,0.8
193001,10.1,-9.5
193002,32.4,9.3
193003,30.1,-2.2
193004,45.7,2.8
193005,52.7,0.0
193006,59.7,-2.1
193007,66.8,0.7
193008,64.3,0.1
193009,58.8,2.5
193010,43.4,-1.2
193011,32.4,-0.4
193012,24.8,1.2
193101,24.3,4.7
193102,29.5,6.4
193103,29.4,-2.9
193104,42.0,-0.9
193105,49.1,-3.6
193106,64.5,2.7
193107,67.5,1.4
193108,62.8,-1.4
193109,62.8,6.5
193110,49.7,5.1
193111,41.4,8.6
193112,32.9,9.3
193201,26.6,7.0
193202,30.0,6.9
193203,27.0,-5.3
193204,44.5,1.6
193205,52.4,-0.3
193206,63.5,1.7
193207,67.8,1.7
193208,64.9,0.7
193209,54.3,-2.0
193210,41.7,-2.9
193211,26.4,-6.4
193212,20.8,-2.8
193301,29.0,9.4
193302,19.7,-3.4
193303,32.2,-0.1
193304,42.3,-0.6
193305,55.1,2.4
193306,63.9,2.1
193307,67.1,1.0
193308,63.5,-0.7
193309,62.1,5.8
193310,43.1,-1.5
193311,32.9,0.1
193312,27.8,4.2
193401,25.2,5.6
193402,19.8,-3.3
193403,28.1,-4.2
193404,42.8,-0.1
193405,54.2,1.5
193406,66.5,4.7
