Montana, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-1.0,-8.1
189502,3.2,-7.6
189503,16.8,-1.8
189504,29.9,1.2
189505,35.7,-2.0
189506,41.4,-4.0
189507,48.4,-2.4
189508,45.8,-3.1
189509,37.2,-2.8
189510,28.0,-2.9
189511,16.3,-3.3
189512,9.8,-1.6
189601,5.2,-1.9
189602,15.3,4.5
189603,12.8,-5.8
189604,25.9,-2.8
189605,35.9,-1.8
189606,45.3,-0.1
189607,51.6,0.8
189608,46.9,-2.0
189609,37.0,-3.0
189610,28.6,-2.3
189611,4.4,-15.2
189612,21.0,9.6
189701,5.7,-1.4
189702,6.8,-4.0
189703,5.4,-13.2
189704,30.9,2.2
189705,41.6,3.9
189706,45.6,0.2
189707,48.7,-2.1
189708,49.2,0.3
189709,42.0,2.0
189710,30.2,-0.7
189711,13.1,-6.5
189712,11.0,-0.4
189801,10.2,3.1
189802,14.7,3.9
189803,10.3,-8.3
189804,29.7,1.0
189805,38.1,0.4
189806,45.8,0.4
189807,49.8,-1.0
189808,50.9,2.0
189809,39.5,-0.5
189810,27.6,-3.3
189811,16.5,-3.1
189812,9.3,-2.1
189901,8.2,1.1
189902,-3.2,-14.0
189903,6.4,-12.2
189904,26.2,-2.5
189905,34.7,-3.0
189906,43.9,-1.5
189907,50.0,-0.8
189908,46.8,-2.1
189909,40.7,0.7
189910,29.4,-1.5
189911,26.4,6.8
189912,11.9,0.5
190001,16.3,9.2
190002,6.2,-4.6
190003,21.0,2.4
190004,33.5,4.8
190005,40.8,3.1
190006,49.5,4.1
190007,49.1,-1.7
190008,48.0,-0.9
190009,40.5,0.5
190010,32.4,1.5
190011,15.2,-4.4
190012,19.1,7.7
190101,8.7,1.6
190102,6.2,-4.6
190103,20.5,1.9
190104,28.4,-0.3
190105,42.8,5.1
190106,41.8,-3.6
190107,52.5,1.7
190108,50.8,1.9
190109,38.3,-1.7
190110,33.1,2.2
190111,23.0,3.4
190112,14.8,3.4
190201,9.1,2.0
190202,11.7,0.9
190203,19.1,0.5
190204,27.0,-1.7
190205,39.8,2.1
190206,42.4,-3.0
190207,47.7,-3.1
190208,47.1,-1.8
190209,36.4,-3.6
190210,30.7,-0.2
190211,18.9,-0.7
190212,7.0,-4.4
190301,12.8,5.7
190302,2.8,-8.0
190303,13.3,-5.3
190304,27.4,-1.3
190305,34.9,-2.8
190306,46.6,1.2
190307,48.2,-2.6
190308,48.4,-0.5
190309,38.8,-1.2
190310,31.8,0.9
190311,16.7,-2.9
190312,16.8,5.4
190401,11.0,3.9
190402,1.0,-9.8
190403,11.6,-7.0
190404,29.2,0.5
190405,37.6,-0.1
190406,43.3,-2.1
190407,49.6,-1.2
190408,47.5,-1.4
190409,39.2,-0.8
190410,31.8,0.9
190411,24.6,5.0
190412,14.5,3.1
190501,5.8,-1.3
190502,2.0,-8.8
190503,25.4,6.8
190504,27.8,-0.9
190505,35.7,-2.0
190506,44.0,-1.4
190507,50.8,0.0
190508,50.7,1.8
190509,42.8,2.8
190510,27.8,-3.1
190511,21.1,1.5
190512,14.0,2.6
190601,12.2,5.1
190602,14.4,3.6
190603,11.5,-7.1
190604,31.9,3.2
190605,37.9,0.2
190606,44.2,-1.2
190607,50.9,0.1
190608,49.4,0.5
190609,42.3,2.3
190610,32.6,1.7
190611,18.4,-1.2
190612,11.8,0.4
190701,-6.9,-14.0
190702,11.9,1.1
190703,19.1,0.5
190704,25.3,-3.4
190705,34.1,-3.6
190706,44.1,-1.3
190707,49.0,-1.8
190708,46.2,-2.7
190709,39.4,-0.6
190710,31.9,1.0
190711,22.0,2.4
190712,14.6,3.2
190801,12.2,5.1
190802,11.4,0.6
190803,17.4,-1.2
190804,30.2,1.5
190805,37.7,0.0
190806,43.4,-2.0
190807,51.0,0.2
190808,47.3,-1.6
190809,42.0,2.0
190810,30.7,-0.2
190811,21.9,2.3
190812,13.1,1.7
190901,0.4,-6.7
190902,11.8,1.0
190903,19.0,0.4
190904,22.8,-5.9
190905,35.3,-2.4
190906,46.9,1.5
190907,51.3,0.5
190908,49.3,0.4
190909,42.8,2.8
190910,30.2,-0.7
190911,21.1,1.5
190912,3.6,-7.8
191001,9.2,2.1
191002,1.2,-9.6
191003,28.6,10.0
191004,34.1,5.4
191005,37.4,-0.3
191006,45.8,0.4
191007,52.0,1.2
191008,45.0,-3.9
191009,40.3,0.3
191010,33.8,2.9
191011,21.6,2.0
191012,13.9,2.5
191101,2.2,-4.9
191102,2.2,-8.6
191103,23.7,5.1
191104,27.2,-1.5
191105,36.8,-0.9
191106,48.4,3.0
191107,47.1,-3.7
191108,46.0,-2.9
191109,39.7,-0.3
191110,28.9,-2.0
191111,12.4,-7.2
191112,11.1,-0.3
191201,3.9,-3.2
191202,14.1,3.3
191203,5.9,-12.7
191204,30.7,2.0
191205,37.7,0.0
191206,45.8,0.4
191207,48.4,-2.4
191208,47.7,-1.2
191209,35.6,-4.4
191210,29.2,-1.7
191211,24.5,4.9
191212,16.2,4.8
191301,1.6,-5.5
191302,3.7,-7.1
191303,12.1,-6.5
191304,29.5,0.8
191305,37.3,-0.4
191306,48.0,2.6
191307,48.6,-2.2
191308,49.6,0.7
191309,39.4,-0.6
191310,28.1,-2.8
191311,23.6,4.0
191312,12.2,0.8
191401,13.6,6.5
191402,5.4,-5.4
191403,20.6,2.0
191404,30.1,1.4
191405,37.5,-0.2
191406,45.0,-0.4
191407,52.1,1.3
191408,46.9,-2.0
191409,40.0,0.0
191410,32.8,1.9
191411,24.2,4.6
191412,3.8,-7.6
191501,6.8,-0.3
191502,14.4,3.6
191503,18.2,-0.4
191504,35.8,7.1
191505,38.1,0.4
191506,41.8,-3.6
191507,47.2,-3.6
191508,50.5,1.6
191509,39.0,-1.0
191510,33.1,2.2
191511,21.1,1.5
191512,13.5,2.1
191601,-14.2,-21.3
