Nebraska, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.7,-6.0
189502,6.7,-8.0
189503,19.6,-3.9
189504,39.0,4.5
189505,44.1,-1.3
189506,53.1,-2.2
189507,56.9,-4.0
189508,56.6,-2.3
189509,49.3,0.6
189510,30.1,-6.5
189511,19.7,-3.9
189512,14.3,0.1
189601,13.8,3.1
189602,18.1,3.4
189603,17.4,-6.1
189604,37.3,2.8
189605,49.2,3.8
189606,54.7,-0.6
189607,59.7,-1.2
189608,57.4,-1.5
189609,45.0,-3.7
189610,31.3,-5.3
189611,12.9,-10.7
189612,20.9,6.7
189701,9.6,-1.1
189702,14.6,-0.1
189703,21.1,-2.4
189704,34.6,0.1
189705,44.3,-1.1
189706,54.5,-0.8
189707,59.1,-1.8
189708,55.6,-3.3
189709,54.2,5.5
189710,38.3,1.7
189711,20.1,-3.5
189712,11.1,-3.1
189801,14.3,3.6
189802,17.0,2.3
189803,20.4,-3.1
189804,33.2,-1.3
189805,44.7,-0.7
189806,56.7,1.4
189807,59.0,-1.9
189808,58.2,-0.7
189809,47.2,-1.5
189810,31.8,-4.8
189811,16.8,-6.8
189812,9.5,-4.7
189901,8.2,-2.5
189902,-1.8,-16.5
189903,14.0,-9.5
189904,32.6,-1.9
189905,45.4,0.0
189906,54.8,-0.5
189907,59.1,-1.8
189908,59.3,0.4
189909,46.8,-1.9
189910,36.0,-0.6
189911,27.5,3.9
189912,12.5,-1.7
190001,16.6,5.9
190002,7.6,-7.1
190003,21.8,-1.7
190004,38.5,4.0
190005,48.2,2.8
190006,56.4,1.1
190007,59.6,-1.3
190008,61.8,2.9
190009,49.9,1.2
190010,39.3,2.7
190011,21.5,-2.1
190012,18.5,4.3
190101,12.2,1.5
190102,7.9,-6.8
190103,22.1,-1.4
190104,36.1,1.6
190105,45.6,0.2
190106,56.0,0.7
190107,64.6,3.7
190108,58.6,-0.3
190109,48.4,-0.3
190110,38.2,1.6
190111,23.7,0.1
190112,11.5,-2.7
190201,11.0,0.3
190202,12.4,-2.3
190203,25.9,2.4
190204,33.1,-1.4
190205,49.2,3.8
190206,52.7,-2.6
190207,58.6,-2.3
190208,58.3,-0.6
190209,43.8,-4.9
190210,37.3,0.7
190211,25.1,1.5
190212,10.0,-4.2
190301,14.0,3.3
190302,7.2,-7.5
190303,23.2,-0.3
190304,34.6,0.1
190305,45.5,0.1
190306,51.2,-4.1
190307,60.1,-0.8
190308,57.9,-1.0
190309,45.2,-3.5
190310,36.5,-0.1
190311,24.0,0.4
190312,14.0,-0.2
190401,9.6,-1.1
190402,9.0,-5.7
190403,22.1,-1.4
190404,30.8,-3.7
190405,45.1,-0.3
190406,53.4,-1.9
190407,57.6,-3.3
190408,56.4,-2.5
190409,47.5,-1.2
190410,38.9,2.3
190411,24.2,0.6
190412,14.1,-0.1
190501,5.5,-5.2
190502,2.4,-12.3
190503,30.1,6.6
190504,32.7,-1.8
190505,43.3,-2.1
190506,55.8,0.5
190507,57.4,-3.5
190508,59.6,0.7
190509,50.6,1.9
190510,32.4,-4.2
190511,25.1,1.5
190512,14.3,0.1
190601,15.8,5.1
190602,14.1,-0.6
190603,15.4,-8.1
190604,37.4,2.9
190605,45.7,0.3
190606,51.4,-3.9
190607,55.2,-5.7
190608,58.0,-0.9
190609,49.5,0.8
190610,34.6,-2.0
190611,24.2,0.6
190612,18.5,4.3
190701,8.6,-2.1
190702,16.8,2.1
190703,28.6,5.1
190704,27.5,-7.0
190705,38.6,-6.8
190706,53.2,-2.1
190707,59.9,-1.0
190708,57.4,-1.5
190709,47.4,-1.3
190710,35.2,-1.4
190711,21.2,-2.4
190712,16.0,1.8
190801,15.6,4.9
190802,16.0,1.3
190803,24.5,1.0
190804,34.3,-0.2
190805,43.1,-2.3
190806,53.7,-1.6
190807,58.8,-2.1
190808,56.5,-2.4
190809,50.4,1.7
190810,35.3,-1.3
190811,23.9,0.3
190812,15.6,1.4
190901,10.4,-0.3
190902,13.0,-1.7
190903,22.4,-1.1
190904,29.7,-4.8
190905,42.0,-3.4
190906,56.0,0.7
190907,61.0,0.1
190908,61.6,2.7
190909,48.3,-0.4
190910,34.9,-1.7
190911,26.0,2.4
190912,3.8,-10.4
191001,10.5,-0.2
191002,9.8,-4.9
191003,32.3,8.8
191004,35.9,1.4
191005,41.1,-4.3
191006,54.8,-0.5
191007,59.3,-1.6
191008,55.7,-3.2
191009,50.1,1.4
191010,37.5,0.9
191011,22.6,-1.0
191012,15.3,1.1
191101,12.5,1.8
191102,15.0,0.3
191103,26.8,3.3
191104,32.8,-1.7
191105,46.5,1.1
191106,58.2,2.9
191107,59.0,-1.9
191108,55.8,-3.1
191109,52.8,4.1
191110,34.7,-1.9
191111,17.3,-6.3
191112,13.0,-1.2
191201,1.6,-9.1
191202,15.6,0.9
191203,13.4,-10.1
191204,34.8,0.3
191205,45.4,0.0
191206,51.3,-4.0
191207,60.6,-0.3
191208,57.1,-1.8
191209,45.5,-3.2
191210,35.5,-1.1
191211,25.0,1.4
191212,16.0,1.8
191301,8.8,-1.9
191302,6.2,-8.5
191303,18.6,-4.9
191304,35.4,0.9
191305,45.7,0.3
191306,56.8,1.5
191307,59.9,-1.0
191308,60.1,1.2
191309,48.2,-0.5
191310,32.1,-4.5
191311,28.7,5.1
191312,17.1,2.9
191401,19.7,9.0
191402,8.3,-6.4
191403,23.4,-0.1
191404,34.8,0.3
191405,46.5,1.1
191406,58.1,2.8
191407,61.7,0.8
191408,58.5,-0.4
191409,49.9,1.2
191410,38.8,2.2
191411,24.2,0.6
191412,4.3,-9.9
191501,7.3,-3.4
191502,18.7,4.0
191503,16.9,-6.6
191504,40.8,6.3
191505,42.4,-3.0
191506,51.9,-3.4
191507,56.9,-4.0
191508,54.3,-4.6
191509,49.0,0.3
191510,37.9,1.3
191511,26.4,2.8
191512,15.9,1.7
191601,3.0,-7.7
191602,13.0,-1.7
191603,25.2,1.7
191604,33.3,-1.2
191605,43.2,-2.2
191606,51.0,-4.3
191607,63.9,3.0
191608,58.8,-0.1
191609,46.0,-2.7
191610,34.4,-2.2
191611,21.5,-2.1
191612,4.7,-9.5
191701,8.7,-2.0
191702,9.1,-5.6
191703,19.5,-4.0
191704,31.8,-2.7
191705,40.0,-5.4
191706,51.8,-3.5
191707,59.9,-1.0
191708,53.7,-5.2
191709,49.7,1.0
191710,29.3,-7.3
191711,28.5,4.9
191712,7.3,-6.9
191801,0.7,-10.0
191802,12.1,-2.6
191803,27.7,4.2
191804,30.9,-3.6
191805,46.5,1.1
191806,57.8,2.5
191807,59.7,-1.2
191808,59.4,0.5
191809,43.1,-5.6
191810,40.5,3.9
191811,24.3,0.7
191812,18.5,4.3
191901,16.4,5.7
191902,13.1,-1.6
191903,24.1,0.6
191904,34.8,0.3
191905,43.4,-2.0
191906,56.8,1.5
191907,62.7,1.8
191908,57.4,-1.5
191909,52.9,4.2
191910,32.4,-4.2
191911,18.0,-5.6
191912,8.0,-6.2
192001,14.8,4.1
192002,17.2,2.5
192003,22.0,-1.5
192004,28.4,-6.1
192005,46.0,0.6
192006,55.5,0.2
192007,59.3,-1.6
192008,54.8,-4.1
192009,48.5,-0.2
192010,39.3,2.7
192011,22.3,-1.3
192012,14.4,0.2
192101,18.2,7.5
192102,20.0,5.3
192103,27.6,4.1
192104,33.9,-0.6
192105,47.0,1.6
192106,58.7,3.4
192107,61.9,1.0
192108,58.7,-0.2
192109,50.0,1.3
192110,36.6,0.0
192111,22.3,-1.3
192112,15.7,1.5
192201,6.6,-4.1
192202,8.2,-6.5
192203,23.3,-0.2
192204,35.5,1.0
192205,45.7,0.3
192206,56.6,1.3
192207,58.1,-2.8
192208,60.5,1.6
192209,50.7,2.0
192210,35.6,-1.0
192211,26.5,2.9
192212,12.4,-1.8
192301,17.5,6.8
192302,8.9,-5.8
192303,18.1,-5.4
192304,32.6,-1.9
192305,44.1,-1.3
192306,57.2,1.9
192307,63.0,2.1
192308,57.0,-1.9
192309,49.3,0.6
192310,35.1,-1.5
192311,26.1,2.5
192312,17.3,3.1
192401,2.8,-7.9
192402,17.6,2.9
192403,19.3,-4.2
192404,33.5,-1.0
192405,37.9,-7.5
192406,53.2,-2.1
192407,56.8,-4.1
192408,58.7,-0.2
192409,45.8,-2.9
192410,40.9,4.3
192411,23.4,-0.2
192412,4.2,-10.0
192501,6.8,-3.9
192502,21.0,6.3
192503,26.0,2.5
192504,40.4,5.9
192505,43.7,-1.7
192506,56.3,1.0
192507,59.9,-1.0
192508,58.1,-0.8
192509,52.7,4.0
192510,28.6,-8.0
192511,22.2,-1.4
192512,14.0,-0.2
192601,15.5,4.8
192602,23.1,8.4
192603,21.8,-1.7
192604,31.5,-3.0
192605,49.0,3.6
192606,52.8,-2.5
192607,61.1,0.2
192608,59.2,0.3
192609,48.8,0.1
192610,38.0,1.4
192611,21.5,-2.1
192612,13.2,-1.0
192701,12.4,1.7
192702,18.1,3.4
192703,24.7,1.2
192704,36.3,1.8
192705,44.9,-0.5
192706,53.8,-1.5
192707,58.2,-2.7
192708,55.2,-3.7
192709,49.6,0.9
192710,37.5,0.9
192711,24.1,0.5
192712,4.3,-9.9
192801,14.8,4.1
192802,16.3,1.6
192803,25.2,1.7
192804,29.6,-4.9
192805,46.6,1.2
192806,50.3,-5.0
192807,60.5,-0.4
192808,57.9,-1.0
192809,45.2,-3.5
192810,37.2,0.6
192811,24.6,1.0
192812,16.3,2.1
192901,3.3,-7.4
192902,4.4,-10.3
192903,26.6,3.1
192904,35.2,0.7
192905,43.4,-2.0
192906,53.1,-2.2
192907,62.3,1.4
192908,59.7,0.8
192909,46.6,-2.1
192910,37.9,1.3
192911,19.2,-4.4
192912,15.4,1.2
193001,-2.0,-12.7
193002,25.2,10.5
193003,21.3,-2.2
193004,38.8,4.3
193005,43.8,-1.6
193006,53.3,-2.0
193007,62.4,1.5
193008,61.2,2.3
193009,49.0,0.3
193010,37.0,0.4
193011,24.3,0.7
193012,17.8,3.6
193101,17.4,6.7
193102,22.8,8.1
193103,21.2,-2.3
193104,34.2,-0.3
193105,41.8,-3.6
193106,60.5,5.2
193107,61.6,0.7
193108,57.9,-1.0
193109,55.0,6.3
193110,40.4,3.8
193111,23.6,0.0
193112,18.8,4.6
193201,9.1,-1.6
193202,17.7,3.0
193203,17.2,-6.3
193204,38.3,3.8
193205,47.1,1.7
193206,56.1,0.8
193207,62.6,1.7
193208,60.4,1.5
193209,46.6,-2.1
193210,33.4,-3.2
193211,22.9,-0.7
193212,7.6,-6.6
193301,17.4,6.7
193302,7.9,-6.8
193303,24.7,1.2
193304,34.0,-0.5
193305,44.3,-1.1
193306,60.8,5.5
193307,62.6,1.7
193308,58.1,-0.8
193309,53.4,4.7
193310,35.4,-1.2
193311,25.6,2.0
193312,18.6,4.4
193401,17.4,6.7
193402,16.2,1.5
193403,22.5,-1.0
193404,35.6,1.1
193405,52.0,6.6
193406,58.7,3.4
193407,65.2,4.3
193408,60.2,1.3
193409,43.5,-5.2
193410,40.1,3.5
193411,27.3,3.7
193412,15.0,0.8
193501,12.6,1.9
193502,20.7,6.0
193503,27.7,4.2
193504,33.0,-1.5
193505,42.5,-2.9
193506,53.3,-2.0
193507,65.6,4.7
193508,60.0,1.1
193509,48.2,-0.5
193510,33.9,-2.7
193511,21.4,-2.2
193512,16.4,2.2
193601,4.3,-6.4
193602,-5.0,-19.7
193603,24.8,1.3
193604,31.5,-3.0
193605,50.2,4.8
193606,57.1,1.8
193607,66.0,5.1
193608,62.3,3.4
193609,52.1,3.4
193610,33.7,-2.9
193611,21.4,-2.2
193612,16.9,2.7
193701,-3.8,-14.5
193702,11.8,-2.9
193703,21.8,-1.7
193704,33.7,-0.8
193705,48.1,2.7
193706,54.8,-0.5
193707,62.5,1.6
193708,63.9,5.0
193709,51.3,2.6
193710,36.7,0.1
193711,22.7,-0.9
193712,14.1,-0.1
193801,15.2,4.5
193802,14.2,-0.5
193803,30.0,6.5
193804,36.4,1.9
193805,45.7,0.3
193806,56.4,1.1
193807,61.9,1.0
193808,62.0,3.1
193809,51.8,3.1
193810,41.3,4.7
193811,20.5,-3.1
193812,15.2,1.0
193901,19.2,8.5
193902,6.3,-8.4
193903,24.4,0.9
193904,34.7,0.2
193905,49.8,4.4
193906,55.3,0.0
193907,63.2,2.3
193908,56.8,-2.1
193909,51.2,2.5
193910,36.4,-0.2
193911,23.2,-0.4
193912,19.9,5.7
194001,-0.4,-11.1
194002,17.0,2.3
194003,25.5,2.0
194004,34.4,-0.1
194005,43.6,-1.8
194006,55.6,0.3
194007,64.3,3.4
194008,58.2,-0.7
194009,53.5,4.8
194010,41.0,4.4
194011,20.4,-3.2
194012,18.7,4.5
194101,15.2,4.5
194102,16.4,1.7
194103,23.2,-0.3
194104,38.4,3.9
194105,50.4,5.0
194106,56.0,0.7
194107,60.8,-0.1
194108,60.0,1.1
194109,50.4,1.7
194110,39.5,2.9
194111,24.8,1.2
194112,18.1,3.9
194201,11.9,1.2
194202,13.4,-1.3
194203,25.1,1.6
194204,38.7,4.2
