Nevada, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,16.6,-2.5
189502,19.4,-3.6
189503,25.4,-2.1
189504,32.8,-0.3
189505,41.0,0.2
189506,47.4,-1.0
189507,55.0,-0.9
189508,55.4,1.5
189509,45.0,-0.8
189510,36.0,-0.2
189511,23.1,-3.4
189512,16.6,-3.5
189601,23.7,4.6
189602,22.8,-0.2
189603,27.3,-0.2
189604,28.9,-4.2
189605,38.2,-2.6
189606,51.7,3.3
189607,58.9,3.0
189608,55.9,2.0
189609,47.1,1.3
189610,38.1,1.9
189611,27.0,0.5
189612,25.5,5.4
189701,22.4,3.3
189702,21.3,-1.7
189703,21.5,-6.0
189704,34.1,1.0
189705,45.3,4.5
189706,48.8,0.4
189707,54.6,-1.3
189708,57.6,3.7
189709,47.2,1.4
189710,37.2,1.0
189711,29.1,2.6
189712,18.4,-1.7
189801,11.2,-7.9
189802,26.6,3.6
189803,22.8,-4.7
189804,37.1,4.0
189805,41.0,0.2
189806,50.6,2.2
189807,56.8,0.9
189808,57.7,3.8
189809,46.1,0.3
189810,33.6,-2.6
189811,24.1,-2.4
189812,16.1,-4.0
189901,23.6,4.5
189902,23.9,0.9
189903,28.4,0.9
189904,33.8,0.7
189905,36.5,-4.3
189906,47.5,-0.9
189907,55.9,0.0
189908,50.4,-3.5
189909,47.1,1.3
189910,35.5,-0.7
189911,31.0,4.5
189912,18.9,-1.2
190001,26.5,7.4
190002,25.1,2.1
190003,30.9,3.4
190004,33.4,0.3
190005,43.3,2.5
190006,52.6,4.2
190007,55.8,-0.1
190008,50.7,-3.2
190009,42.6,-3.2
190010,36.3,0.1
190011,30.5,4.0
190012,22.5,2.4
190101,20.9,1.8
190102,23.1,0.1
190103,27.5,0.0
190104,31.8,-1.3
190105,43.9,3.1
190106,46.9,-1.5
190107,57.5,1.6
190108,55.8,1.9
190109,43.4,-2.4
190110,40.4,4.2
190111,31.8,5.3
190112,22.1,2.0
190201,17.7,-1.4
190202,27.4,4.4
190203,24.8,-2.7
190204,34.1,1.0
190205,40.7,-0.1
190206,50.0,1.6
190207,52.9,-3.0
190208,53.1,-0.8
190209,46.0,0.2
190210,37.3,1.1
190211,27.0,0.5
190212,22.4,2.3
190301,21.5,2.4
190302,10.0,-13.0
190303,28.4,0.9
190304,32.1,-1.0
190305,40.6,-0.2
190306,51.6,3.2
190307,52.0,-3.9
190308,53.6,-0.3
190309,44.6,-1.2
190310,37.5,1.3
190311,30.0,3.5
190312,17.7,-2.4
190401,16.4,-2.7
190402,24.8,1.8
190403,29.6,2.1
190404,33.0,-0.1
190405,41.4,0.6
190406,48.2,-0.2
190407,54.8,-1.1
190408,56.2,2.3
190409,48.3,2.5
190410,35.0,-1.2
190411,27.2,0.7
190412,20.0,-0.1
190501,23.4,4.3
190502,24.4,1.4
190503,30.0,2.5
190504,33.5,0.4
190505,37.7,-3.1
190506,45.7,-2.7
190507,54.9,-1.0
190508,54.4,0.5
190509,45.8,0.0
190510,31.3,-4.9
190511,25.1,-1.4
190512,13.0,-7.1
190601,19.9,0.8
190602,27.5,4.5
190603,26.9,-0.6
190604,34.1,1.0
190605,39.6,-1.2
190606,45.2,-3.2
190607,57.1,1.2
190608,54.6,0.7
190609,44.7,-1.1
190610,35.4,-0.8
190611,24.2,-2.3
190612,24.8,4.7
190701,17.2,-1.9
190702,30.9,7.9
190703,29.8,2.3
190704,35.7,2.6
190705,38.6,-2.2
190706,43.6,-4.8
190707,53.0,-2.9
190708,50.7,-3.2
190709,43.5,-2.3
190710,39.5,3.3
190711,25.5,-1.0
190712,24.3,4.2
190801,22.2,3.1
190802,23.1,0.1
190803,26.8,-0.7
190804,32.9,-0.2
190805,35.2,-5.6
190806,43.7,-4.7
190807,57.7,1.8
190808,53.4,-0.5
190809,44.6,-1.2
190810,32.5,-3.7
190811,24.3,-2.2
190812,17.6,-2.5
190901,26.9,7.8
190902,24.7,1.7
190903,27.0,-0.5
190904,32.2,-0.9
190905,37.5,-3.3
190906,50.9,2.5
190907,53.4,-2.5
190908,54.0,0.1
190909,45.4,-0.4
190910,35.7,-0.5
190911,27.8,1.3
190912,13.8,-6.3
191001,13.2,-5.9
191002,18.2,-4.8
191003,32.3,4.8
191004,35.4,2.3
191005,42.3,1.5
191006,48.2,-0.2
191007,56.8,0.9
191008,51.8,-2.1
191009,46.5,0.7
191010,36.3,0.1
191011,28.8,2.3
191012,23.4,3.3
191101,22.8,3.7
191102,17.1,-5.9
191103,29.4,1.9
191104,30.6,-2.5
191105,37.0,-3.8
191106,49.1,0.7
191107,55.4,-0.5
191108,50.4,-3.5
191109,43.0,-2.8
191110,32.3,-3.9
191111,22.6,-3.9
191112,13.9,-6.2
191201,19.9,0.8
191202,23.3,0.3
191203,26.7,-0.8
191204,31.2,-1.9
191205,38.8,-2.0
191206,47.7,-0.7
191207,53.0,-2.9
191208,51.2,-2.7
191209,40.1,-5.7
191210,33.4,-2.8
191211,27.0,0.5
191212,16.5,-3.6
191301,13.5,-5.6
191302,18.5,-4.5
191303,24.5,-3.0
191304,30.8,-2.3
191305,40.3,-0.5
191306,46.7,-1.7
191307,54.0,-1.9
191308,54.3,0.4
191309,46.7,0.9
191310,33.4,-2.8
191311,29.9,3.4
191312,17.4,-2.7
191401,24.6,5.5
191402,23.3,0.3
191403,29.3,1.8
191404,35.5,2.4
191405,43.0,2.2
191406,47.3,-1.1
191407,56.3,0.4
191408,55.0,1.1
191409,45.5,-0.3
191410,37.9,1.7
191411,24.7,-1.8
191412,12.2,-7.9
191501,17.6,-1.5
191502,26.2,3.2
191503,28.7,1.2
191504,36.6,3.5
191505,39.7,-1.1
191506,45.8,-2.6
191507,54.3,-1.6
191508,54.5,0.6
191509,44.5,-1.3
191510,35.6,-0.6
191511,26.6,0.1
191512,21.9,1.8
191601,14.8,-4.3
191602,25.2,2.2
191603,30.4,2.9
191604,34.4,1.3
191605,37.0,-3.8
191606,45.5,-2.9
191607,53.7,-2.2
191608,51.0,-2.9
191609,44.2,-1.6
191610,32.7,-3.5
191611,21.1,-5.4
191612,15.7,-4.4
191701,4.8,-14.3
191702,19.2,-3.8
191703,20.3,-7.2
191704,30.5,-2.6
191705,37.7,-3.1
191706,46.6,-1.8
191707,58.8,2.9
191708,54.8,0.9
191709,45.7,-0.1
191710,36.2,0.0
191711,28.9,2.4
191712,24.7,4.6
191801,19.5,0.4
191802,20.6,-2.4
191803,29.1,1.6
191804,30.6,-2.5
191805,37.2,-3.6
191806,54.9,6.5
191807,55.3,-0.6
191808,50.6,-3.3
191809,47.6,1.8
191810,40.2,4.0
191811,24.3,-2.2
191812,17.0,-3.1
191901,17.6,-1.5
191902,22.3,-0.7
191903,25.5,-2.0
191904,34.9,1.8
191905,43.5,2.7
191906,47.2,-1.2
191907,58.2,2.3
191908,55.4,1.5
191909,46.5,0.7
191910,30.7,-5.5
191911,23.7,-2.8
191912,17.3,-2.8
192001,21.7,2.6
192002,22.5,-0.5
192003,25.9,-1.6
192004,30.8,-2.3
192005,39.9,-0.9
192006,47.4,-1.0
192007,54.6,-1.3
192008,54.1,0.2
192009,46.1,0.3
192010,33.9,-2.3
192011,27.8,1.3
192012,21.2,1.1
192101,22.0,2.9
192102,23.1,0.1
192103,31.6,4.1
192104,31.8,-1.3
192105,40.7,-0.1
192106,51.5,3.1
192107,57.4,1.5
192108,55.8,1.9
192109,43.8,-2.0
192110,38.3,2.1
192111,28.4,1.9
192112,23.5,3.4
192201,9.8,-9.3
192202,19.0,-4.0
192203,23.6,-3.9
192204,28.6,-4.5
192205,39.6,-1.2
192206,50.6,2.2
192207,56.7,0.8
192208,54.6,0.7
192209,47.7,1.9
192210,36.4,0.2
192211,24.0,-2.5
192212,24.8,4.7
192301,23.1,4.0
192302,15.8,-7.2
192303,24.8,-2.7
192304,32.2,-0.9
192305,41.6,0.8
192306,43.8,-4.6
192307,56.1,0.2
192308,52.4,-1.5
192309,46.7,0.9
192310,34.3,-1.9
192311,27.3,0.8
192312,16.8,-3.3
192401,12.1,-7.0
192402,27.0,4.0
192403,23.8,-3.7
192404,32.1,-1.0
192405,43.4,2.6
192406,48.4,0.0
192407,54.9,-1.0
192408,51.8,-2.1
192409,44.3,-1.5
192410,34.6,-1.6
192411,24.8,-1.7
192412,13.2,-6.9
192501,19.6,0.5
192502,26.5,3.5
192503,27.7,0.2
192504,35.0,1.9
192505,44.0,3.2
192506,48.5,0.1
192507,58.1,2.2
192508,52.3,-1.6
192509,43.4,-2.4
192510,34.2,-2.0
192511,25.4,-1.1
192512,22.8,2.7
192601,18.5,-0.6
192602,26.7,3.7
192603,29.5,2.0
192604,38.7,5.6
192605,42.3,1.5
192606,53.5,5.1
192607,56.7,0.8
192608,54.6,0.7
192609,42.2,-3.6
192610,36.6,0.4
192611,30.8,4.3
192612,19.0,-1.1
192701,21.4,2.3
192702,25.8,2.8
192703,27.8,0.3
192704,32.6,-0.5
192705,39.9,-0.9
192706,49.5,1.1
192707,56.7,0.8
192708,52.8,-1.1
192709,44.3,-1.5
192710,36.7,0.5
192711,32.0,5.5
192712,15.8,-4.3
192801,19.8,0.7
192802,22.2,-0.8
192803,31.7,4.2
192804,31.9,-1.2
192805,44.6,3.8
192806,47.5,-0.9
192807,56.1,0.2
192808,52.6,-1.3
192809,45.2,-0.6
192810,36.0,-0.2
192811,26.8,0.3
192812,15.8,-4.3
192901,15.8,-3.3
192902,16.8,-6.2
192903,27.4,-0.1
192904,30.0,-3.1
192905,40.0,-0.8
192906,46.8,-1.6
192907,57.1,1.2
192908,56.5,2.6
192909,43.6,-2.2
192910,35.8,-0.4
192911,22.2,-4.3
192912,25.1,5.0
193001,13.2,-5.9
193002,26.8,3.8
193003,28.3,0.8
193004,36.9,3.8
193005,38.6,-2.2
193006,48.6,0.2
193007,56.6,0.7
193008,55.4,1.5
193009,45.5,-0.3
193010,34.3,-1.9
193011,22.3,-4.2
193012,14.0,-6.1
193101,18.3,-0.8
193102,25.8,2.8
193103,27.3,-0.2
193104,34.2,1.1
193105,42.7,1.9
193106,50.3,1.9
193107,60.6,4.7
193108,57.0,3.1
193109,45.2,-0.6
193110,37.8,1.6
193111,22.0,-4.5
193112,15.6,-4.5
193201,14.2,-4.9
193202,17.0,-6.0
193203,28.6,1.1
193204,33.1,0.0
193205,41.4,0.6
193206,49.1,0.7
193207,55.0,-0.9
193208,52.3,-1.6
193209,46.6,0.8
193210,34.2,-2.0
193211,28.4,1.9
193212,11.4,-8.7
193301,14.1,-5.0
193302,7.9,-15.1
193303,26.7,-0.8
193304,30.4,-2.7
193305,36.2,-4.6
193306,49.0,0.6
193307,58.9,3.0
193308,53.5,-0.4
193309,45.2,-0.6
193310,39.4,3.2
193311,25.0,-1.5
193312,24.7,4.6
193401,23.2,4.1
193402,27.4,4.4
193403,32.7,5.2
193404,37.3,4.2
193405,44.5,3.7
193406,46.4,-2.0
193407,56.3,0.4
193408,56.1,2.2
193409,45.2,-0.6
193410,38.6,2.4
193411,30.2,3.7
193412,22.2,2.1
193501,21.2,2.1
193502,24.4,1.4
193503,23.4,-4.1
193504,33.9,0.8
193505,39.1,-1.7
193506,49.1,0.7
193507,54.0,-1.9
193508,54.4,0.5
193509,48.2,2.4
193510,33.7,-2.5
193511,21.8,-4.7
193512,19.4,-0.7
193601,21.3,2.2
193602,23.2,0.2
193603,26.8,-0.7
193604,35.1,2.0
193605,41.7,0.9
193606,50.8,2.4
193607,58.0,2.1
193608,55.1,1.2
193609,43.6,-2.2
193610,36.1,-0.1
193611,22.5,-4.0
193612,19.8,-0.3
193701,0.3,-18.8
193702,17.5,-5.5
193703,28.0,0.5
193704,30.9,-2.2
193705,41.7,0.9
193706,48.2,-0.2
193707,57.5,1.6
193708,54.3,0.4
193709,47.3,1.5
193710,36.6,0.4
193711,29.4,2.9
193712,24.1,4.0
193801,22.9,3.8
193802,23.2,0.2
193803,26.0,-1.5
193804,34.0,0.9
193805,40.0,-0.8
193806,49.4,1.0
193807,55.8,-0.1
193808,54.0,0.1
193809,48.7,2.9
193810,37.1,0.9
193811,20.6,-5.9
193812,22.4,2.3
193901,19.5,0.4
193902,15.0,-8.0
193903,27.9,0.4
193904,35.6,2.5
193905,42.3,1.5
193906,47.3,-1.1
193907,57.0,1.1
193908,55.7,1.8
193909,47.4,1.6
193910,36.3,0.1
193911,27.0,0.5
193912,25.6,5.5
194001,23.2,4.1
194002,27.5,4.5
194003,29.4,1.9
194004,34.9,1.8
194005,44.5,3.7
194006,52.3,3.9
194007,54.8,-1.1
194008,55.3,1.4
194009,46.9,1.1
194010,38.4,2.2
194011,24.8,-1.7
194012,23.1,3.0
194101,23.4,4.3
194102,28.5,5.5
194103,28.1,0.6
194104,30.7,-2.4
194105,42.4,1.6
194106,46.8,-1.6
194107,56.1,0.2
194108,53.2,-0.7
194109,40.8,-5.0
194110,34.4,-1.8
194111,27.8,1.3
194112,24.6,4.5
194201,17.2,-1.9
194202,19.2,-3.8
194203,23.8,-3.7
194204,33.3,0.2
194205,37.6,-3.2
194206,46.7,-1.7
194207,57.2,1.3
194208,54.0,0.1
194209,43.6,-2.2
194210,36.8,0.6
194211,27.4,0.9
194212,23.9,3.8
194301,20.6,1.5
194302,23.9,0.9
194303,29.5,2.0
194304,38.0,4.9
194305,40.5,-0.3
194306,44.6,-3.8
194307,55.7,-0.2
194308,51.9,-2.0
194309,47.7,1.9
194310,38.3,2.1
194311,26.2,-0.3
194312,22.1,2.0
194401,14.1,-5.0
194402,21.1,-1.9
194403,24.0,-3.5
194404,31.0,-2.1
194405,40.2,-0.6
194406,43.7,-4.7
194407,52.8,-3.1
194408,50.0,-3.9
194409,45.3,-0.5
194410,37.1,0.9
194411,24.7,-1.8
194412,18.4,-1.7
194501,19.4,0.3
194502,24.9,1.9
194503,24.0,-3.5
194504,29.7,-3.4
194505,40.6,-0.2
194506,45.3,-3.1
194507,56.6,0.7
194508,53.8,-0.1
194509,44.0,-1.8
194510,38.9,2.7
194511,26.9,0.4
194512,20.2,0.1
194601,17.3,-1.8
194602,19.6,-3.4
